long,str,flags,flags,long,long,long,long,
69,"EmoteDance",0x10,0x100,67,0,69,0,
70,"EmoteLaugh",0x10,0x108,67,0,70,0,
71,"EmoteSleep",0x10,0x100,67,100,71,0,
72,"EmoteSitGround",0x10,0x100,67,0,72,0,
73,"EmoteRude",0x10,0x108,67,0,73,0,
74,"EmoteRoar",0x0,0x100,67,0,74,0,
75,"EmoteKneel",0x10,0x100,67,0,75,0,
76,"EmoteKiss",0x10,0x100,67,0,76,0,
77,"EmoteCry",0x10,0x100,67,0,77,0,
78,"EmoteChicken",0x10,0x108,67,0,78,0,
79,"EmoteBeg",0x10,0x100,67,0,79,0,
80,"EmoteApplaud",0x10,0x108,67,0,80,0,
81,"EmoteShout",0x10,0x108,67,0,81,0,
82,"EmoteFlex",0x10,0x100,67,0,82,0,
83,"EmoteShy",0x10,0x100,67,0,83,0,
84,"EmotePoint",0x10,0x108,67,0,84,0,
85,"Attack1HPierce",0x20,0x128,2,17,85,0,
86,"Attack2HLoosePierce",0x20,0x128,0,19,86,0,
87,"AttackOff",0x20,0x128,3,88,87,0,
88,"AttackOffPierce",0x20,0x128,3,16,88,0,
89,"Sheath",0x0,0x6,11,0,89,0,
90,"HipSheath",0x0,0x6,8,0,90,0,
91,"Mount",0x4,0x100,3,0,91,0,
92,"RunRight",0x0,0x1,0,0,92,0,
93,"RunLeft",0x0,0x1,0,0,93,0,
94,"MountSpecial",0x0,0x101,3,0,94,0,
95,"Kick",0x0,0x120,3,16,95,0,
96,"SitGroundDown",0x10,0x100,66,0,96,0,
97,"SitGround",0x10,0x100,98,96,97,0,
98,"SitGroundUp",0x10,0x100,82,96,98,0,
99,"SleepDown",0x10,0x300,66,0,99,0,
100,"Sleep",0x4,0x900,99,99,100,0,
101,"SleepUp",0x0,0x500,82,99,101,0,
102,"SitChairLow",0x4,0x0,65,0,102,0,
103,"SitChairMed",0x4,0x0,97,0,103,0,
104,"SitChairHigh",0x4,0x0,65,0,104,0,
105,"LoadBow",0x0,0x108,2,0,105,0,
106,"LoadRifle",0x0,0x108,2,0,106,0,
107,"AttackThrown",0x10,0x108,3,16,107,0,
108,"ReadyThrown",0x10,0x100,3,0,108,0,
109,"HoldBow",0x0,0x8,3,0,109,0,
110,"HoldRifle",0x0,0x8,3,0,110,0,
111,"HoldThrown",0x0,0x8,3,0,111,0,
112,"LoadThrown",0x0,0x108,2,0,112,0,
113,"EmoteSalute",0x10,0x108,67,0,113,0,
114,"KneelStart",0x10,0x100,0,0,114,0,
115,"KneelLoop",0x10,0x0,34,114,115,0,
116,"KneelEnd",0x10,0x100,16,114,116,0,
117,"AttackUnarmedOff",0x10,0x128,0,87,117,0,
118,"SpecialUnarmed",0x10,0x120,3,57,118,0,
119,"StealthWalk",0x0,0x41,70,4,119,0,
120,"StealthStand",0x0,0x1,67,0,120,0,
121,"Knockdown",0x0,0x180,10,0,121,0,
122,"EatingLoop",0x0,0x108,2,0,122,0,
123,"UseStandingLoop",0x10,0x100,98,128,123,0,
124,"ChannelCastDirected",0x4,0x100,3,52,124,0,
125,"ChannelCastOmni",0x4,0x100,3,31,125,0,
126,"Whirlwind",0x20,0x120,3,0,126,0,
127,"Birth",0x0,0x100,2,0,127,0,
128,"UseStandingStart",0x4,0x100,66,0,128,0,
129,"UseStandingEnd",0x20,0x100,82,128,129,0,
130,"CreatureSpecial",0x0,0x120,3,0,130,0,
131,"Drown",0x14,0x100,11,1,131,0,
132,"Drowned",0x0,0x100,43,131,132,0,
133,"FishingCast",0x20,0x100,67,0,133,0,
134,"FishingLoop",0x20,0x100,67,0,134,0,
135,"Fly",0x0,0x901,2,42,135,0,
136,"EmoteWorkNoSheathe",0x20,0x0,67,62,136,0,
137,"EmoteStunNoSheathe",0x0,0x0,67,14,137,0,
138,"EmoteUseStandingNoSheathe",0x0,0x8,65,63,138,0,
139,"SpellSleepDown",0x0,0x0,2,0,139,0,
140,"SpellKneelStart",0x0,0x0,3,114,140,0,
141,"SpellKneelLoop",0x0,0x0,2,115,141,0,
142,"SpellKneelEnd",0x0,0x0,2,0,142,0,
143,"Sprint",0x0,0x40,4,5,143,0,
144,"InFlight",0x0,0x0,2,0,144,0,
145,"Spawn",0x0,0x0,0,0,145,0,
146,"Close",0x0,0x0,16,148,146,0,
147,"Closed",0x0,0x0,32,146,147,0,
148,"Open",0x0,0x0,19,146,148,0,
149,"Opened",0x0,0x0,35,148,149,0,
150,"Destroy",0x0,0x0,0,148,150,0,
151,"Destroyed",0x0,0x0,32,150,151,0,
152,"Rebuild",0x0,0x0,16,150,152,0,
153,"Custom0",0x0,0x0,2,0,153,0,
154,"Custom1",0x0,0x0,0,0,154,0,
155,"Custom2",0x0,0x0,0,0,155,0,
156,"Custom3",0x0,0x0,0,0,156,0,
157,"Despawn",0x0,0x0,0,0,157,0,
158,"Hold",0x0,0x0,1,0,158,0,
159,"Decay",0x0,0x0,0,0,159,0,
160,"BowPull",0x0,0x0,0,0,160,0,
161,"BowRelease",0x0,0x0,0,0,161,0,
162,"ShipStart",0x0,0x0,0,0,162,0,
163,"ShipMoving",0x0,0x0,0,0,163,0,
164,"ShipStop",0x0,0x0,0,0,164,0,
165,"GroupArrow",0x0,0x0,0,0,165,0,
166,"Arrow",0x0,0x0,0,0,166,0,
167,"CorpseArrow",0x0,0x0,0,0,167,0,
168,"GuideArrow",0x0,0x0,0,0,168,0,
169,"Sway",0x0,0x0,3,0,169,0,
170,"DruidCatPounce",0x0,0x0,2,19,170,0,
171,"DruidCatRip",0x0,0x0,2,19,171,0,
172,"DruidCatRake",0x0,0x0,2,0,172,0,
173,"DruidCatRavage",0x0,0x0,2,19,173,0,
174,"DruidCatClaw",0x0,0x0,2,0,174,0,
175,"DruidCatCower",0x0,0x0,2,30,175,0,
176,"DruidBearSwipe",0x0,0x0,2,19,176,0,
177,"DruidBearBite",0x0,0x0,2,0,177,0,
178,"DruidBearMaul",0x0,0x0,2,19,178,0,
179,"DruidBearBash",0x0,0x0,2,19,179,0,
180,"DragonTail",0x0,0x0,2,0,180,0,
181,"DragonStomp",0x0,0x0,3,0,181,0,
182,"DragonSpit",0x0,0x0,3,0,182,0,
183,"DragonSpitHover",0x0,0x0,2,0,183,0,
184,"DragonSpitFly",0x0,0x0,2,0,184,0,
185,"EmoteYes",0x0,0x0,67,0,185,0,
186,"EmoteNo",0x0,0x0,67,0,186,0,
187,"JumpLandRun",0x0,0x0,1,5,187,0,
188,"LootHold",0x0,0x0,35,50,188,0,
189,"LootUp",0x0,0x0,16,50,189,0,
190,"StandHigh",0x0,0x0,0,0,190,0,
191,"Impact",0x0,0x0,0,0,191,0,
192,"LiftOff",0x0,0x0,3,0,192,0,
193,"Hover",0x0,0x0,2,0,193,0,
194,"SuccubusEntice",0x0,0x0,2,0,194,0,
195,"EmoteTrain",0x0,0x0,67,0,195,0,
196,"EmoteDead",0x0,0x0,66,1,196,0,
197,"EmoteDanceOnce",0x0,0x0,66,69,197,0,
198,"Deflect",0x0,0x0,0,0,198,0,
199,"EmoteEatNoSheathe",0x0,0x108,67,61,199,0,
200,"Land",0x0,0x0,3,0,200,0,
201,"Submerge",0x0,0x0,3,0,201,0,
202,"Submerged",0x0,0x0,3,0,202,0,
203,"Cannibalize",0x0,0x0,3,115,203,0,
204,"ArrowBirth",0x0,0x0,0,0,204,0,
205,"GroupArrowBirth",0x0,0x0,0,0,205,0,
206,"CorpseArrowBirth",0x0,0x0,0,0,206,0,
207,"GuideArrowBirth",0x0,0x0,0,0,207,0,
208,"EmoteTalkNoSheathe",0x0,0x108,67,60,208,0,
209,"EmotePointNoSheathe",0x0,0x108,67,84,209,0,
210,"EmoteSaluteNoSheathe",0x0,0x108,67,113,210,0,
211,"EmoteDanceSpecial",0x10,0x100,67,69,211,0,
212,"Mutilate",0x20,0x128,3,16,212,0,
213,"CustomSpell01",0x0,0x8,3,0,213,0,
214,"CustomSpell02",0x0,0x0,3,0,214,0,
215,"CustomSpell03",0x0,0x0,3,0,215,0,
216,"CustomSpell04",0x0,0x0,3,0,216,0,
217,"CustomSpell05",0x0,0x0,3,0,217,0,
218,"CustomSpell06",0x0,0x0,3,0,218,0,
219,"CustomSpell07",0x0,0x0,3,0,219,0,
220,"CustomSpell08",0x0,0x0,3,0,220,0,
221,"CustomSpell09",0x0,0x0,3,0,221,0,
222,"CustomSpell10",0x0,0x0,3,0,222,0,
223,"StealthRun",0x0,0x41,70,119,223,0,
224,"Emerge",0x0,0x0,3,127,224,0,
225,"Cower",0x10,0x108,3,0,225,0,
226,"Grab",0x0,0x0,0,0,226,0,
227,"GrabClosed",0x0,0x0,0,0,227,0,
228,"GrabThrown",0x0,0x0,0,0,228,0,
229,"FlyStand",0x0,0x1,3,376,0,3,
230,"FlyDeath",0x0,0x300,11,1,1,3,
231,"FlySpell",0x4,0x100,2,229,2,3,
232,"FlyStop",0x0,0x1,4,229,3,3,
233,"FlyWalk",0x0,0x41,6,229,4,3,
234,"FlyRun",0x0,0x41,6,229,5,3,
235,"FlyDead",0x0,0x900,42,6,6,3,
236,"FlyRise",0x0,0x100,0,229,7,3,
237,"FlyStandWound",0x0,0x128,0,254,8,3,
238,"FlyCombatWound",0x0,0x128,7,237,9,3,
239,"FlyCombatCritical",0x0,0x128,7,238,10,3,
240,"FlyShuffleLeft",0x0,0x1,4,229,11,3,
241,"FlyShuffleRight",0x0,0x1,4,229,12,3,
242,"FlyWalkbackwards",0x0,0x41,16,233,13,3,
243,"FlyStun",0x0,0x100,3,229,14,3,
244,"FlyHandsClosed",0x0,0x0,0,229,15,3,
245,"FlyAttackUnarmed",0x10,0x128,3,229,16,3,
246,"FlyAttack1H",0x20,0x128,3,245,17,3,
247,"FlyAttack2H",0x20,0x128,3,246,18,3,
248,"FlyAttack2HL",0x20,0x128,1,247,19,3,
249,"FlyParryUnarmed",0x0,0x128,3,237,20,3,
250,"FlyParry1H",0x0,0x128,0,237,21,3,
251,"FlyParry2H",0x0,0x128,0,237,22,3,
252,"FlyParry2HL",0x0,0x128,0,237,23,3,
253,"FlyShieldBlock",0x0,0x128,3,237,24,3,
254,"FlyReadyUnarmed",0x10,0x108,3,229,25,3,
255,"FlyReady1H",0x20,0x100,3,254,26,3,
256,"FlyReady2H",0x20,0x100,3,254,27,3,
257,"FlyReady2HL",0x20,0x0,3,254,28,3,
258,"FlyReadyBow",0x0,0x0,3,229,29,3,
259,"FlyDodge",0x0,0x128,0,237,30,3,
260,"FlySpellPrecast",0x4,0x108,3,229,31,3,
261,"FlySpellCast",0x4,0x100,3,245,32,3,
262,"FlySpellCastArea",0x4,0x108,2,261,33,3,
263,"FlyNPCWelcome",0x0,0x0,0,229,34,3,
264,"FlyNPCGoodbye",0x0,0x0,0,229,35,3,
265,"FlyBlock",0x0,0x128,0,237,36,3,
266,"FlyJumpStart",0x0,0x101,1,229,37,3,
267,"FlyJump",0x0,0x101,2,229,38,3,
268,"FlyJumpEnd",0x0,0x101,3,229,39,3,
269,"FlyFall",0x0,0x101,3,229,40,3,
270,"FlySwimIdle",0x0,0x1,6,229,41,3,
271,"FlySwim",0x4,0x141,6,233,42,3,
272,"FlySwimLeft",0x4,0x141,4,229,43,3,
273,"FlySwimRight",0x4,0x141,4,229,44,3,
274,"FlySwimBackwards",0x4,0x141,22,271,45,3,
275,"FlyAttackBow",0x10,0x108,2,229,46,3,
276,"FlyFireBow",0x0,0x100,2,229,47,3,
277,"FlyReadyRifle",0x0,0x0,3,229,48,3,
278,"FlyAttackRifle",0x10,0x108,2,229,49,3,
279,"FlyLoot",0x4,0x100,3,229,50,3,
280,"FlyReadySpellDirected",0x4,0x108,3,281,51,3,
281,"FlyReadySpellOmni",0x4,0x108,3,260,52,3,
282,"FlySpellCastDirected",0x4,0x108,2,283,53,3,
283,"FlySpellCastOmni",0x4,0x108,2,262,54,3,
284,"FlyBattleRoar",0x0,0x108,3,245,55,3,
285,"FlyReadyAbility",0x20,0x100,2,229,56,3,
286,"FlySpecial1H",0x20,0x120,3,246,57,3,
287,"FlySpecial2H",0x20,0x120,2,247,58,3,
288,"FlyShieldBash",0x0,0x128,2,316,59,3,
289,"FlyEmoteTalk",0x10,0x108,3,229,60,3,
290,"FlyEmoteEat",0x10,0x108,3,229,61,3,
291,"FlyEmoteWork",0x10,0x100,3,229,62,3,
292,"FlyEmoteUseStanding",0x10,0x108,1,352,63,3,
293,"FlyEmoteTalkExclamation",0x10,0x108,3,229,64,3,
294,"FlyEmoteTalkQuestion",0x10,0x108,3,229,65,3,
295,"FlyEmoteBow",0x10,0x100,1,229,66,3,
296,"FlyEmoteWave",0x10,0x108,3,229,67,3,
297,"FlyEmoteCheer",0x10,0x100,3,229,68,3,
298,"FlyEmoteDance",0x10,0x100,3,229,69,3,
299,"FlyEmoteLaugh",0x10,0x108,3,229,70,3,
300,"FlyEmoteSleep",0x10,0x100,3,329,71,3,
301,"FlyEmoteSitGround",0x10,0x100,3,229,72,3,
302,"FlyEmoteRude",0x10,0x108,3,229,73,3,
303,"FlyEmoteRoar",0x0,0x100,3,229,74,3,
304,"FlyEmoteKneel",0x10,0x100,3,229,75,3,
305,"FlyEmoteKiss",0x10,0x100,1,229,76,3,
306,"FlyEmoteCry",0x10,0x100,3,229,77,3,
307,"FlyEmoteChicken",0x10,0x108,3,229,78,3,
308,"FlyEmoteBeg",0x10,0x100,3,229,79,3,
309,"FlyEmoteApplaud",0x10,0x108,1,229,80,3,
310,"FlyEmoteShout",0x10,0x108,3,229,81,3,
311,"FlyEmoteFlex",0x10,0x100,3,229,82,3,
312,"FlyEmoteShy",0x10,0x100,3,229,83,3,
313,"FlyEmotePoint",0x10,0x108,3,229,84,3,
314,"FlyAttack1HPierce",0x20,0x128,2,246,85,3,
315,"FlyAttack2HLoosePierce",0x20,0x128,0,248,86,3,
316,"FlyAttackOff",0x20,0x128,3,317,87,3,
317,"FlyAttackOffPierce",0x20,0x128,3,245,88,3,
318,"FlySheath",0x0,0x6,8,229,89,3,
319,"FlyHipSheath",0x0,0x6,8,229,90,3,
320,"FlyMount",0x4,0x100,3,229,91,3,
321,"FlyRunRight",0x0,0x1,0,229,92,3,
322,"FlyRunLeft",0x0,0x1,0,229,93,3,
323,"FlyMountSpecial",0x0,0x101,3,229,94,3,
324,"FlyKick",0x0,0x120,3,245,95,3,
325,"FlySitGroundDown",0x10,0x100,3,229,96,3,
326,"FlySitGround",0x10,0x100,35,325,97,3,
327,"FlySitGroundUp",0x10,0x100,19,325,98,3,
328,"FlySleepDown",0x10,0x300,2,229,99,3,
329,"FlySleep",0x4,0x900,35,328,100,3,
330,"FlySleepUp",0x0,0x500,18,328,101,3,
331,"FlySitChairLow",0x4,0x0,1,229,102,3,
332,"FlySitChairMed",0x4,0x0,1,229,103,3,
333,"FlySitChairHigh",0x4,0x0,1,229,104,3,
334,"FlyLoadBow",0x0,0x108,2,229,105,3,
335,"FlyLoadRifle",0x0,0x108,2,229,106,3,
336,"FlyAttackThrown",0x10,0x108,3,245,107,3,
337,"FlyReadyThrown",0x10,0x100,2,229,108,3,
338,"FlyHoldBow",0x0,0x8,3,229,109,3,
339,"FlyHoldRifle",0x0,0x8,3,229,110,3,
340,"FlyHoldThrown",0x0,0x8,3,229,111,3,
341,"FlyLoadThrown",0x0,0x108,2,229,112,3,
342,"FlyEmoteSalute",0x10,0x108,3,229,113,3,
343,"FlyKneelStart",0x10,0x100,0,229,114,3,
344,"FlyKneelLoop",0x10,0x0,34,343,115,3,
345,"FlyKneelEnd",0x10,0x100,16,343,116,3,
346,"FlyAttackUnarmedOff",0x10,0x128,0,316,117,3,
347,"FlySpecialUnarmed",0x10,0x120,2,286,118,3,
348,"FlyStealthWalk",0x0,0x41,6,233,119,3,
349,"FlyStealthStand",0x0,0x1,2,229,120,3,
350,"FlyKnockdown",0x0,0x180,10,229,121,3,
351,"FlyEatingLoop",0x0,0x108,2,229,122,3,
352,"FlyUseStandingLoop",0x10,0x100,34,357,123,3,
353,"FlyChannelCastDirected",0x4,0x100,2,281,124,3,
354,"FlyChannelCastOmni",0x4,0x100,2,260,125,3,
355,"FlyWhirlwind",0x20,0x120,3,229,126,3,
356,"FlyBirth",0x0,0x100,2,229,127,3,
357,"FlyUseStandingStart",0x4,0x100,2,229,128,3,
358,"FlyUseStandingEnd",0x20,0x100,18,357,129,3,
359,"FlyCreatureSpecial",0x0,0x120,3,229,130,3,
360,"FlyDrown",0x14,0x100,11,230,131,3,
361,"FlyDrowned",0x0,0x100,43,360,132,3,
362,"FlyFishingCast",0x20,0x100,3,229,133,3,
363,"FlyFishingLoop",0x20,0x100,3,229,134,3,
364,"FlyFly",0x0,0x901,2,271,135,3,
365,"FlyEmoteWorkNoSheathe",0x20,0x0,3,291,136,3,
366,"FlyEmoteStunNoSheathe",0x0,0x0,1,243,137,3,
367,"FlyEmoteUseStandingNoSheathe",0x0,0x8,1,292,138,3,
368,"FlySpellSleepDown",0x0,0x0,2,229,139,3,
369,"FlySpellKneelStart",0x0,0x0,3,229,140,3,
370,"FlySpellKneelLoop",0x0,0x0,2,344,141,3,
371,"FlySpellKneelEnd",0x0,0x0,2,229,142,3,
372,"FlySprint",0x0,0x40,4,234,143,3,
373,"FlyInFlight",0x0,0x0,2,229,144,3,
374,"FlySpawn",0x0,0x0,0,229,145,3,
375,"FlyClose",0x0,0x0,16,377,146,3,
376,"FlyClosed",0x0,0x0,32,375,147,3,
377,"FlyOpen",0x0,0x0,16,375,148,3,
378,"FlyOpened",0x0,0x0,32,377,149,3,
379,"FlyDestroy",0x0,0x0,0,377,150,3,
380,"FlyDestroyed",0x0,0x0,32,379,151,3,
381,"FlyRebuild",0x0,0x0,16,379,152,3,
382,"FlyCustom0",0x0,0x0,0,229,153,3,
383,"FlyCustom1",0x0,0x0,0,229,154,3,
384,"FlyCustom2",0x0,0x0,0,229,155,3,
385,"FlyCustom3",0x0,0x0,0,229,156,3,
386,"FlyDespawn",0x0,0x0,0,229,157,3,
387,"FlyHold",0x0,0x0,1,229,158,3,
388,"FlyDecay",0x0,0x0,0,229,159,3,
389,"FlyBowPull",0x0,0x0,0,229,160,3,
390,"FlyBowRelease",0x0,0x0,0,229,161,3,
391,"FlyShipStart",0x0,0x0,0,229,162,3,
392,"FlyShipMoving",0x0,0x0,0,229,163,3,
393,"FlyShipStop",0x0,0x0,0,229,164,3,
394,"FlyGroupArrow",0x0,0x0,0,229,165,3,
395,"FlyArrow",0x0,0x0,0,229,166,3,
396,"FlyCorpseArrow",0x0,0x0,0,229,167,3,
397,"FlyGuideArrow",0x0,0x0,0,229,168,3,
398,"FlySway",0x0,0x0,3,229,169,3,
399,"FlyDruidCatPounce",0x0,0x0,2,229,170,3,
400,"FlyDruidCatRip",0x0,0x0,2,229,171,3,
401,"FlyDruidCatRake",0x0,0x0,2,229,172,3,
402,"FlyDruidCatRavage",0x0,0x0,2,229,173,3,
403,"FlyDruidCatClaw",0x0,0x0,2,229,174,3,
404,"FlyDruidCatCower",0x0,0x0,2,229,175,3,
405,"FlyDruidBearSwipe",0x0,0x0,2,229,176,3,
406,"FlyDruidBearBite",0x0,0x0,2,229,177,3,
407,"FlyDruidBearMaul",0x0,0x0,2,229,178,3,
408,"FlyDruidBearBash",0x0,0x0,2,229,179,3,
409,"FlyDragonTail",0x0,0x0,2,229,180,3,
410,"FlyDragonStomp",0x0,0x0,3,229,181,3,
411,"FlyDragonSpit",0x0,0x0,3,229,182,3,
412,"FlyDragonSpitHover",0x0,0x0,2,229,183,3,
413,"FlyDragonSpitFly",0x0,0x0,3,229,184,3,
414,"FlyEmoteYes",0x0,0x0,1,229,185,3,
415,"FlyEmoteNo",0x0,0x0,3,229,186,3,
416,"FlyJumpLandRun",0x0,0x0,1,234,187,3,
417,"FlyLootHold",0x0,0x0,35,279,188,3,
418,"FlyLootUp",0x0,0x0,16,279,189,3,
419,"FlyStandHigh",0x0,0x0,0,229,190,3,
420,"FlyImpact",0x0,0x0,0,229,191,3,
421,"FlyLiftOff",0x0,0x0,3,229,192,3,
422,"FlyHover",0x0,0x0,2,229,193,3,
423,"FlySuccubusEntice",0x0,0x0,2,229,194,3,
424,"FlyEmoteTrain",0x0,0x0,3,229,195,3,
425,"FlyEmoteDead",0x0,0x0,2,230,196,3,
426,"FlyEmoteDanceOnce",0x0,0x0,2,298,197,3,
427,"FlyDeflect",0x0,0x0,0,229,198,3,
428,"FlyEmoteEatNoSheathe",0x0,0x108,3,290,199,3,
429,"FlyLand",0x0,0x0,3,229,200,3,
430,"FlySubmerge",0x0,0x0,3,229,201,3,
431,"FlySubmerged",0x0,0x0,3,229,202,3,
432,"FlyCannibalize",0x0,0x0,3,344,203,3,
433,"FlyArrowBirth",0x0,0x0,0,229,204,3,
434,"FlyGroupArrowBirth",0x0,0x0,0,229,205,3,
435,"FlyCorpseArrowBirth",0x0,0x0,0,229,206,3,
436,"FlyGuideArrowBirth",0x0,0x0,0,229,207,3,
437,"FlyEmoteTalkNoSheathe",0x0,0x108,3,289,208,3,
438,"FlyEmotePointNoSheathe",0x0,0x108,3,313,209,3,
439,"FlyEmoteSaluteNoSheathe",0x0,0x108,3,342,210,3,
440,"FlyEmoteDanceSpecial",0x10,0x100,3,298,211,3,
441,"FlyMutilate",0x20,0x128,3,245,212,3,
442,"FlyCustomSpell01",0x0,0x0,3,229,213,3,
443,"FlyCustomSpell02",0x0,0x0,3,229,214,3,
444,"FlyCustomSpell03",0x0,0x0,3,229,215,3,
445,"FlyCustomSpell04",0x0,0x0,3,229,216,3,
446,"FlyCustomSpell05",0x0,0x0,3,229,217,3,
447,"FlyCustomSpell06",0x0,0x0,3,229,218,3,
448,"FlyCustomSpell07",0x0,0x0,3,229,219,3,
449,"FlyCustomSpell08",0x0,0x0,3,229,220,3,
450,"FlyCustomSpell09",0x0,0x0,3,229,221,3,
451,"FlyCustomSpell10",0x0,0x0,3,229,222,3,
452,"FlyStealthRun",0x0,0x41,6,348,223,3,
453,"FlyEmerge",0x0,0x0,3,356,224,3,
454,"FlyCower",0x10,0x108,3,229,225,3,
455,"FlyGrab",0x0,0x0,3,229,226,3,
456,"FlyGrabClosed",0x0,0x0,3,229,227,3,
457,"FlyGrabThrown",0x0,0x0,3,229,228,3,
458,"ToFly",0x0,0x41,7,5,458,0,
459,"ToHover",0x0,0x41,7,5,459,0,
460,"ToGround",0x0,0x41,7,5,460,0,
461,"FlyToFly",0x0,0x41,7,234,458,3,
462,"FlyToHover",0x0,0x41,7,234,459,3,
463,"FlyToGround",0x0,0x41,7,234,460,3,
464,"Settle",0x0,0x41,7,0,464,0,
465,"FlySettle",0x0,0x41,7,229,464,3,
466,"DeathStart",0x0,0x300,10,1,466,0,
467,"DeathLoop",0x0,0x300,10,1,467,0,
468,"DeathEnd",0x0,0x300,10,6,468,0,
469,"FlyDeathStart",0x0,0x100,10,466,466,3,
470,"FlyDeathLoop",0x0,0x100,10,467,467,3,
471,"FlyDeathEnd",0x0,0x300,10,468,468,3,
472,"DeathEndHold",0x0,0x900,43,468,472,0,
473,"FlyDeathEndHold",0x0,0x300,43,471,472,3,
474,"Strangulate",0x10,0x108,3,0,474,0,
475,"FlyStrangulate",0x10,0x108,3,229,474,3,
476,"ReadyJoust",0x20,0x0,3,0,476,0,
477,"LoadJoust",0x0,0x108,3,0,477,0,
478,"HoldJoust",0x20,0x8,3,0,478,0,
479,"FlyReadyJoust",0x0,0x0,3,0,476,3,
480,"FlyLoadJoust",0x0,0x108,2,0,477,3,
481,"FlyHoldJoust",0x0,0x8,3,0,478,3,
482,"AttackJoust",0x20,0x128,2,85,482,0,
483,"FlyAttackJoust",0x20,0x128,2,314,482,3,
484,"ReclinedMount",0x0,0x8,3,0,484,0,
485,"FlyReclinedMount",0x0,0x8,3,0,484,3,
486,"ToAltered",0x10,0x100,0,0,486,0,
487,"FromAltered",0x10,0x100,3,0,487,0,
488,"FlyToAltered",0x10,0x100,3,0,486,3,
489,"FlyFromAltered",0x10,0x100,3,0,487,3,
490,"InStocks",0x10,0x100,3,0,490,0,
491,"FlyInStocks",0x10,0x100,3,0,490,3,
