long,str,long,flags,flags,long,long,
429,"STATE_SUBMERGED",202,0x4000,0x2,1,0,
430,"ONESHOT_COWER(DNR)",225,0x0,0x0,0,0,
431,"STATE_COWER",225,0x0,0x2,0,0,
432,"ONESHOT_USESTANDING",63,0x0,0x0,0,0,
433,"STATE_STEALTH_STAND",120,0x4000,0x2,0,3325,
434,"ONESHOT_OMNICAST_GHOUL (W/SOUND",54,0x0,0x0,0,410,
435,"ONESHOT_ATTACKBOW",46,0x0,0x0,0,0,
436,"ONESHOT_ATTACKRIFLE",49,0x0,0x0,0,0,
437,"STATE_SWIM_IDLE",41,0x0,0x2,0,0,
438,"STATE_ATTACK_UNARMED",16,0x0,0x2,0,3782,
439,"ONESHOT_SPELLCAST (W/SOUND)",32,0x2100,0x0,0,3202,
440,"ONESHOT_DODGE",30,0x4404,0x0,0,0,
441,"ONESHOT_PARRY1H",21,0x4404,0x0,0,0,
442,"ONESHOT_PARRY2H",22,0x4404,0x0,0,0,
443,"ONESHOT_PARRY2HL",28,0x4404,0x0,0,0,
444,"STATE_FLYFALL",269,0x0,0x2,0,0,
445,"ONESHOT_FLYDEATH",230,0x0,0x0,0,0,
446,"STATE_FLY_FALL",269,0x200,0x2,0,0,
447,"ONESHOT_FLY_SIT_GROUND_DOWN",325,0x0,0x0,0,0,
448,"ONESHOT_FLY_SIT_GROUND_UP",327,0x0,0x0,0,0,
449,"ONESHOT_EMERGE",224,0x0,0x0,0,0,
450,"ONESHOT_DRAGONSPIT",182,0x0,0x0,0,0,
451,"STATE_SPECIALUNARMED",118,0x0,0x2,0,0,
452,"ONESHOT_FLYGRAB",455,0x0,0x0,0,0,
453,"STATE_FLYGRABCLOSED",456,0x0,0x2,0,0,
454,"ONESHOT_FLYGRABTHROWN",457,0x0,0x0,0,0,
455,"STATE_FLY_SIT_GROUND",326,0x0,0x2,0,0,
456,"STATE_WALKBACKWARDS",13,0x0,0x2,0,0,
457,"ONESHOT_FLYTALK",289,0x8,0x0,0,0,
458,"ONESHOT_FLYATTACK1H",246,0x0,0x0,0,0,
459,"STATE_CUSTOMSPELL08",220,0x0,0x2,0,0,
460,"ONESHOT_FLY_DRAGONSPIT",411,0x0,0x0,0,7274,
461,"STATE_SIT_CHAIR_LOW",102,0x0,0x2,0,0,
462,"ONE_SHOT_STUN",14,0x0,0x0,0,0,
463,"ONESHOT_SPELLCAST_OMNI",54,0x0,0x0,0,0,
465,"STATE_READYTHROWN",108,0x1000,0x2,0,0,
466,"ONESHOT_WORK_CHOPWOOD",62,0x2000,0x0,0,3202,
467,"ONESHOT_WORK_MINING",62,0x2000,0x0,0,3782,
468,"STATE_SPELL_CHANNEL_OMNI",125,0x0,0x2,0,0,
469,"STATE_SPELL_CHANNEL_DIRECTED",124,0x0,0x2,0,0,
470,"STAND_STATE_NONE",0,0x202,0x1,0,0,
471,"STATE_READYJOUST",476,0x0,0x1,0,0,
473,"STATE_STRANGULATE",474,0x0,0x2,0,0,
474,"STATE_READYSPELLOMNI",52,0x0,0x2,0,0,
475,"STATE_HOLD_JOUST",478,0x0,0x2,0,0,
476,"ONESHOT_CRY (JAINA PROUDMOORE ONLY)",77,0x0,0x0,0,16651,
