long,str,flags,
123,"Environments\Stars\AuroraYellowGreen.mdx",0x2,
124,"Environments\Stars\Battlefield_Dirty_SkyBox.mdx",0x2,
125,"Environments\Stars\AuroraOrange.mdx",0x2,
126,"Environments\Stars\IceCrownSky.mdx",0x0,
134,"Environments\Stars\IceCrownStormySky.mdx",0x1,
135,"Environments\Stars\IceCrownRaidSky01.mdx",0x0,
136,"Environments\Stars\IceCrownSky.mdx",0x1,
137,"Environments\Stars\IceCrownSky.mdx",0x1,
138,"Environments\Stars\IceCrownStarrySky.mdx",0x1,
139,"Environments\Stars\IceCrownSky.mdx",0x1,
140,"Environments\Stars\IceCrownSky.mdx",0x1,
141,"Environments\Stars\IceCrownCitadelSky.mdx",0x0,
142,"Environments\Stars\IceCrownRaidSky01.mdx",0x0,
143,"Environments\Stars\IceCrownStormySky.mdx",0x1,
144,"Environments\Stars\IceCrownStormySky.mdx",0x1,
145,"Environments\Stars\IceCrownRaidSky02.mdx",0x0,
148,"Environments\Stars\RubySanctumSky.mdx",0x0,
