long,long,long,long,long,long,long,long,long,long,long,long,float,float,float,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,None,
1307,0,7,0,0,0,0,0,0,0,0,0,921.054016113,-1421.45996094,66.5523986816,0,516,197,"Chillwind Camp",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1770,0,6,0,0,0,0,0,0,0,0,0,1853.47998047,-3723.23999023,192.505996704,0,647,139,"Crown Guard Tower",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,2355,,
1771,0,6,0,0,0,0,0,0,0,0,0,1853.34997559,-3723.33007813,192.429992676,0,647,139,"Crown Guard Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance, Contested",,,,,,,,,,,,,,,,0xFF01FE,2374,,
1772,0,6,0,0,0,0,0,0,0,0,0,1853.41003418,-3723.26000977,192.473007202,0,647,139,"Crown Guard Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde, Contested",,,,,,,,,,,,,,,,0xFF01FE,2375,,
1773,0,11,0,0,0,0,0,0,0,0,0,1853.13000488,-3723.43994141,192.304992676,0,647,139,"Crown Guard Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance, Progressing",,,,,,,,,,,,,,,,0xFF01FE,2376,,
1774,0,10,0,0,0,0,0,0,0,0,0,1853.54003906,-3723.48999023,192.462997437,0,647,139,"Crown Guard Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde, Progressing",,,,,,,,,,,,,,,,0xFF01FE,2377,,
1775,0,11,0,0,0,0,0,0,0,0,0,1853.4699707,-3723.37988281,192.464996338,0,647,139,"Crown Guard Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance",,,,,,,,,,,,,,,,0xFF01FE,2378,,
1776,0,10,0,0,0,0,0,0,0,0,0,1853.51000977,-3723.4699707,192.457992554,0,647,139,"Crown Guard Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde",,,,,,,,,,,,,,,,0xFF01FE,2379,,
3,3,5,0,0,0,0,0,0,0,0,0,-10564.7001953,-1170.65002441,28.0505008698,0,525,10,"Darkshire",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1288,0,7,0,0,0,0,0,0,0,0,0,-10572.0,-1841.05004883,109.049003601,0,516,2697,"Deadwind Ravine",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
4,3,7,0,0,0,0,0,0,0,0,0,1879.82995605,1588.19995117,90.1719970703,0,517,154,"Deathknell",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
327,0,7,0,0,0,0,0,0,0,0,0,-1014.2199707,-3827.38989258,145.410003662,0,516,321,"Drywhisker Gorge",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
5,3,7,0,0,0,0,0,0,0,0,0,-4191.02001953,-2373.13989258,205.151000977,0,517,836,"Dun Algaz",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
6,3,7,0,0,0,0,0,0,0,0,0,-2610.26000977,-2350.56005859,81.5912017822,0,517,205,"Dun Modr",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1028,0,7,0,0,0,0,0,0,0,0,0,-7320.58984375,-2265.09008789,244.54800415,0,516,344,"Dustbelch Grotto",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1749,0,6,0,0,0,0,0,0,0,0,0,2562.30004883,-4796.95996094,138.253997803,0,647,139,"Eastwall Tower",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,2361,,
1750,0,6,0,0,0,0,0,0,0,0,0,2562.07006836,-4797.24023438,138.207000732,0,647,139,"Eastwall Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance, Contested",,,,,,,,,,,,,,,,0xFF01FE,2359,,
1751,0,11,0,0,0,0,0,0,0,0,0,2562.14990234,-4797.25,138.156005859,0,647,139,"Eastwall Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance, Progressing",,,,,,,,,,,,,,,,0xFF01FE,2357,,
1752,0,6,0,0,0,0,0,0,0,0,0,2561.73999023,-4797.14013672,138.466003418,0,647,139,"Eastwall Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde, Contested",,,,,,,,,,,,,,,,0xFF01FE,2360,,
1753,0,10,0,0,0,0,0,0,0,0,0,2561.90991211,-4797.31982422,138.255996704,0,647,139,"Eastwall Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde, Progressing",,,,,,,,,,,,,,,,0xFF01FE,2358,,
1754,0,10,0,0,0,0,0,0,0,0,0,2561.95996094,-4796.83984375,138.533004761,0,647,139,"Eastwall Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde",,,,,,,,,,,,,,,,0xFF01FE,2356,,
1755,0,11,0,0,0,0,0,0,0,0,0,2562.0300293,-4797.02001953,138.376998901,0,647,139,"Eastwall Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance",,,,,,,,,,,,,,,,0xFF01FE,2354,,
949,0,7,0,0,0,0,0,0,0,0,0,-8676.5703125,-119.634002686,91.423500061,0,516,24,"Echo Ridge Mine",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1177,0,7,0,0,0,0,0,0,0,0,0,-7479.77001953,-2186.39990234,166.149993896,0,516,250,"Flame Crest",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
7,3,7,0,0,0,0,0,0,0,0,0,-9480.08984375,63.5218009949,56.1757011414,0,517,87,"Goldshire",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1033,0,7,0,0,0,0,0,0,0,0,0,-4055.0,-3448.54003906,283.114990234,0,516,1038,"Grim Batol",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
41,3,5,0,0,0,0,0,0,0,0,83,-12378.4003906,185.73399353,3.05513000488,0,525,33,"Grom'gol Base Camp",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1011,0,7,0,0,0,0,0,0,0,0,0,-11112.2001953,-2335.62988281,117.130996704,0,516,2561,"Grosh'gok Compound",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
25,3,5,0,0,0,0,0,0,0,0,83,-991.570007324,-3528.34008789,56.5481987,0,525,45,"Hammerfall",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
948,0,7,0,0,0,0,0,0,0,0,0,-5858.70019531,-2004.09997559,401.648986816,0,516,212,"Ironband's Compound",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
8,3,6,0,0,0,0,0,0,0,0,0,-5021.0,-834.059020996,495.319000244,0,541,1,"Ironforge",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1702,0,7,0,0,0,0,0,0,0,0,0,1233.05004883,1214.2800293,52.5857009888,0,516,130,"Ivar's Patch",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1031,0,7,0,0,0,0,0,0,0,0,0,-14179.5996094,718.0,28.2884998322,0,516,35,"Janeiro's Point",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1030,0,7,0,0,0,0,0,0,0,0,0,-9184.5,-605.890991211,62.8185005188,0,516,91,"Jasperlode Mine",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
26,3,5,0,0,0,0,0,0,0,0,83,-6676.41992188,-2186.67993164,245.828994751,0,525,3,"Kargath",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
9,2,7,0,0,0,0,0,0,0,0,0,-5585.95019531,-482.12701416,397.016998291,0,517,131,"Kharanos",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
10,3,5,0,0,0,0,0,0,0,0,0,-9227.69042969,-2201.4699707,63.9333992004,0,525,44,"Lakeshire",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
950,0,7,0,0,0,0,0,0,0,0,0,-9948.38964844,69.1567993164,33.300201416,0,516,57,"Maclure Vineyards",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
11,3,5,0,0,0,0,0,0,0,0,0,-3672.69995117,-828.45501709,9.89914989471,0,525,11,"Menethil Harbor",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
227,0,3,0,0,0,0,0,0,0,0,0,-9389.25976563,458.427001953,38.2854003906,0,516,92,"Mirror Lake",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1683,0,7,0,0,0,0,0,0,0,0,0,-10854.7998047,-4093.42993164,21.7434997559,0,517,300,"Misty Reed Post",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
12,3,7,0,0,0,0,0,0,0,0,0,-11017.0996094,1510.17004395,43.1656990051,0,517,20,"Moonbrook",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1016,0,7,0,0,0,0,0,0,0,0,0,2046.10998535,1829.44995117,107.822998047,0,516,154,"Night Web's Hollow",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1763,0,6,0,0,0,0,0,0,0,0,0,3170.26000977,-4376.45019531,139.632995605,0,647,139,"Northpass Tower",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,2352,,
1764,0,6,0,0,0,0,0,0,0,0,0,3169.98999023,-4376.52978516,139.632995605,0,647,139,"Northpass Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance, Contested",,,,,,,,,,,,,,,,0xFF01FE,2362,,
1765,0,6,0,0,0,0,0,0,0,0,0,3169.64990234,-4376.62011719,139.632995605,0,647,139,"Northpass Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde, Contested",,,,,,,,,,,,,,,,0xFF01FE,2363,,
1766,0,11,0,0,0,0,0,0,0,0,0,3169.87988281,-4376.37988281,139.632995605,0,647,139,"Northpass Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance, Progressing",,,,,,,,,,,,,,,,0xFF01FE,2364,,
1767,0,10,0,0,0,0,0,0,0,0,0,3169.82006836,-4376.16992188,139.632995605,0,647,139,"Northpass Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde, Progressing",,,,,,,,,,,,,,,,0xFF01FE,2365,,
1768,0,11,0,0,0,0,0,0,0,0,0,3169.13989258,-4376.62011719,139.632995605,0,647,139,"Northpass Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance",,,,,,,,,,,,,,,,0xFF01FE,2372,,
1769,0,10,0,0,0,0,0,0,0,0,0,3168.73999023,-4376.37011719,139.634002686,0,647,139,"Northpass Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde",,,,,,,,,,,,,,,,0xFF01FE,2373,,
13,3,7,0,0,0,0,0,0,0,0,0,-8896.16015625,-179.32800293,80.2909011841,0,517,24,"Northshire Abbey",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
954,0,7,0,0,0,0,0,0,0,0,0,-9067.34960938,-333.964996338,73.4516983032,0,516,24,"Northshire Vineyards",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1756,0,6,0,0,0,0,0,0,0,0,0,2967.5300293,-3034.37011719,150.091003418,0,647,139,"Plaguewood Tower",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,2353,,
1757,0,6,0,0,0,0,0,0,0,0,0,2967.5300293,-3034.29003906,150.072998047,0,647,139,"Plaguewood Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance, Contested",,,,,,,,,,,,,,,,0xFF01FE,2366,,
1760,0,10,0,0,0,0,0,0,0,0,0,2972.88989258,-3034.52001953,120.297996521,0,647,139,"Plaguewood Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde, Progressing",,,,,,,,,,,,,,,,0xFF01FE,2369,,
1761,0,11,0,0,0,0,0,0,0,0,0,2966.68994141,-3033.86010742,148.839004517,0,647,139,"Plaguewood Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance",,,,,,,,,,,,,,,,0xFF01FE,2370,,
1762,0,10,0,0,0,0,0,0,0,0,0,2966.7199707,-3034.01000977,148.869995117,0,647,139,"Plaguewood Tower",,,,,,,,,,,,,,,,0xFF01FE,"Horde",,,,,,,,,,,,,,,,0xFF01FE,2371,,
1777,0,11,0,0,0,0,0,0,0,0,0,2967.44995117,-3034.87011719,149.886001587,0,647,139,"Plaguewood Tower",,,,,,,,,,,,,,,,0xFF01FE,"Alliance, Progressing",,,,,,,,,,,,,,,,0xFF01FE,2368,,
14,3,7,0,0,0,0,0,0,0,0,0,-10752.5,310.433013916,40.1627998352,0,517,94,"Raven Hill",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
24,3,7,0,0,0,0,0,0,0,0,84,-1251.05004883,-2526.81005859,20.7117004395,0,517,320,"Refuge Pointe",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
956,0,7,0,0,0,0,0,0,0,0,0,-8674.12011719,-2290.05004883,157.009002686,0,516,996,"Render's Rock",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1008,0,7,0,0,0,0,0,0,0,0,0,-8970.75976563,-2002.69995117,140.755996704,0,516,98,"Rethban Caverns",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1507,0,5,0,0,0,0,0,0,0,0,0,-573.458984375,-4590.50976563,10.4125003815,0,525,307,"Revantusk Village",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1127,0,7,0,0,0,0,0,0,0,0,0,-11076.0,-1139.97998047,42.8768005371,0,516,241,"Roland's Doom",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
710,0,7,0,0,0,0,0,0,0,0,0,1262.18994141,-2579.40991211,126.370002747,0,516,2298,"Scholomance",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
15,3,5,0,0,0,0,0,0,0,0,0,-10503.7001953,1027.76000977,55.5830993652,0,525,40,"Sentinel Hill",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
247,0,3,0,0,0,0,0,0,0,0,0,861.216003418,-558.21697998,146.61000061,0,516,282,"Slaughter Hollow",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1289,0,7,0,0,0,0,0,0,0,0,0,-10740.7998047,-1973.68005371,134.632003784,0,516,2938,"Sleeping Gorge",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1176,0,7,0,0,0,0,0,0,0,0,0,-7652.52001953,-3030.61010742,134.255996704,0,516,2420,"Slither Rock",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
22,3,5,0,0,0,0,0,0,0,0,0,-803.031005859,-531.726989746,15.9653997421,0,525,267,"Southshore",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1007,0,7,0,0,0,0,0,0,0,0,0,-13751.4003906,-18.3164997101,49.2767982483,0,516,1737,"Spirit Den",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1012,0,7,0,0,0,0,0,0,0,0,0,-10803.2001953,-3739.01000977,27.558599472,0,516,1797,"Stagalbog Cave",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
947,0,7,0,0,0,0,0,0,0,0,0,-5488.04003906,-658.66998291,394.303985596,0,516,131,"Steelgrill's Depot",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
788,3,5,0,0,0,0,0,0,0,0,0,-10443.7001953,-3277.48999023,20.1781997681,0,525,8,"Stonard",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
951,0,7,0,0,0,0,0,0,0,0,0,-9901.13964844,378.190002441,35.2802009583,0,516,57,"Stonefield Farm",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
16,3,6,0,0,0,0,0,0,0,0,0,-9153.76953125,364.057006836,90.4829025269,0,541,12,"Stormwind City",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
2110,0,7,0,0,0,0,0,0,0,0,0,-8573.46972656,990.094970703,96.307800293,0,0,4253,"Stormwind Harbor",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
23,3,5,0,0,0,0,0,0,0,0,0,-27.0354003906,-900.562011719,55.9603004456,0,525,267,"Tarren Mill",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1013,0,7,0,0,0,0,0,0,0,0,0,-10429.9003906,-3828.52001953,37.9912986755,0,516,74,"Temple of Atal'Hakkar",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1017,0,7,0,0,0,0,0,0,0,0,0,3035.33007813,-2773.89990234,102.873001099,0,516,2627,"Terrorweb Tunnel",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
17,3,5,0,0,0,0,0,0,0,0,0,508.072998047,1619.02001953,125.272003174,0,525,130,"The Sepulcher",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1014,0,7,0,0,0,0,0,0,0,0,0,-1778.20996094,-1513.16003418,64.9208984375,0,516,324,"The Tower of Arathor",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1551,0,7,0,0,0,0,0,0,0,0,0,2249.61010742,-2389.62988281,59.8013000488,0,516,198,"The Weeping Cave",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
19,3,5,0,0,0,0,0,0,0,0,0,-5349.27001953,-2959.90991211,323.62701416,0,525,38,"Thelsamar",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1508,0,7,0,0,0,0,0,0,0,0,0,-6513.68017578,-1142.76000977,309.817993164,0,516,1442,"Thorium Point",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
955,0,7,0,0,0,0,0,0,0,0,0,-9281.33007813,-3318.81005859,122.249000549,0,516,1000,"Tower of Ilgalar",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1027,0,7,0,0,0,0,0,0,0,0,0,-6092.00976563,-3179.35009766,257.187988281,0,516,1897,"Uldaman",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1698,3,41,0,0,0,0,0,0,0,0,0,-11456.9003906,-2981.40991211,6.54801988602,0,152,4,"Under Attack",,,,,,,,,,,,,,,,0xFF01FE,"Blasted Lands",,,,,,,,,,,,,,,,0xFF01FE,2261,,
1699,3,41,0,0,0,0,0,0,0,0,0,-7741.18994141,-2722.20996094,178.009994507,0,152,46,"Under Attack",,,,,,,,,,,,,,,,0xFF01FE,"Burning Steppes",,,,,,,,,,,,,,,,0xFF01FE,2262,,
1701,3,41,0,0,0,0,0,0,0,0,0,2414.5,-3919.26000977,212.740997314,0,152,139,"Under Attack",,,,,,,,,,,,,,,,0xFF01FE,"Eastern Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,2264,,
18,4,6,0,0,0,0,0,0,0,0,0,1849.68994141,235.699005127,61.6563987732,0,541,85,"Undercity",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
709,0,7,0,0,0,0,0,0,0,0,0,969.176025391,-1825.52001953,99.6066970825,0,516,197,"Uther's Tomb",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1703,0,7,0,0,0,0,0,0,0,0,0,908.75402832,1255.63000488,45.9686012268,0,516,227,"Valgan's Field",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1029,0,7,0,0,0,0,0,0,0,0,0,-9615.70996094,667.327026367,38.6521987915,0,516,60,"Westbrook Garrison",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1015,0,7,0,0,0,0,0,0,0,0,0,316.946014404,-2119.30004883,122.041999817,0,516,348,"Wildhammer Keep",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1588,0,7,0,0,0,0,0,0,0,0,0,-11874.5996094,1250.72998047,11.2722997665,0,516,33,"Yojamba Isle",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
36,3,5,0,0,0,0,0,0,0,0,84,10462.7001953,805.992980957,1312.66003418,1,517,188,"Aldrassil",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
907,0,7,0,0,0,0,0,0,0,0,0,10479.5996094,812.281005859,1322.75,1,516,188,"Aldrassil",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
42,3,5,0,0,0,0,0,0,0,0,84,2720.42993164,-382.390991211,107.089996338,1,525,331,"Astranaar",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
798,3,5,0,0,0,0,0,0,0,0,0,6439.33007813,411.95098877,10.8632001877,1,525,148,"Auberdine",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
911,0,7,0,0,0,0,0,0,0,0,0,9864.16992188,1557.41003418,1329.30004883,1,516,736,"Ban'ethil Barrow Den",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1233,0,7,0,0,0,0,0,0,0,0,0,3827.37011719,-161.304992676,-0.606823980808,1,516,413,"Bathran's Haunt",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1048,0,7,0,0,0,0,0,0,0,0,0,4619.41992188,25.6126003265,70.4945983887,1,516,449,"Blackwood Den",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1096,0,7,0,0,0,0,0,0,0,0,0,-4335.04003906,-2639.5300293,39.6316986084,1,516,509,"Bloodfen Burrow",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
28,3,7,0,0,0,0,0,0,0,0,83,-2323.91992188,-394.980987549,-9.12757015228,1,517,222,"Bloodhoof Village",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1244,0,7,0,0,0,0,0,0,0,0,0,1612.52001953,-1465.09997559,157.022994995,1,516,421,"Bloodtooth Camp",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1220,0,7,0,0,0,0,0,0,0,0,0,5111.97998047,-353.403015137,357.230987549,1,516,1765,"Bloodvenom Post",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1090,0,7,0,0,0,0,0,0,0,0,0,-2685.32006836,-3087.58007813,41.4505004883,1,516,496,"Bluefen",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
1147,0,7,0,0,0,0,0,0,0,0,0,-2281.94995117,2499.60009766,73.7536010742,1,516,606,"Bolgan's Hole",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,0,,
