long,long,long,long,float,float,float,flags,long,long,long,
2895,9,21,0,-9645.34863281,-801.560791016,51.5128822327,0x0,0,0,0,
2896,9,22,0,-9585.62988281,-867.937927246,47.7364692688,0x0,0,0,0,
2897,9,23,0,-9590.52832031,-937.404296875,47.6835823059,0x0,0,0,0,
2898,9,24,0,-9622.56445313,-995.977844238,50.5300788879,0x0,0,0,0,
2899,9,25,0,-9636.56933594,-1074.78381348,52.4054603577,0x0,0,0,0,
2900,9,26,0,-9618.68457031,-1142.47827148,50.8466949463,0x0,0,0,0,
2901,9,27,0,-9644.30957031,-1218.88696289,47.8963356018,0x0,0,0,0,
2902,9,28,0,-9659.28710938,-1317.52954102,55.9568748474,0x0,0,0,0,
2903,9,29,0,-9670.28613281,-1393.9576416,60.6471481323,0x0,0,0,0,
2904,9,30,0,-9648.98730469,-1498.87133789,61.5686302185,0x0,0,0,0,
2905,9,31,0,-9627.70019531,-1536.10241699,60.9936332703,0x0,0,0,0,
2906,9,32,0,-9641.58886719,-1587.70251465,63.1984176636,0x0,0,0,0,
2907,9,33,0,-9617.10742188,-1675.21057129,63.8926200867,0x0,0,0,0,
2908,9,34,0,-9611.80664063,-1749.59130859,64.0219726563,0x0,0,0,0,
2909,9,35,0,-9619.32910156,-1820.62304688,60.1351470947,0x0,0,0,0,
2910,9,36,0,-9583.85351563,-1913.12023926,70.6550674438,0x0,0,0,0,
2911,9,37,0,-9529.08007813,-1970.16992188,86.4064712524,0x0,0,0,0,
2912,9,38,0,-9496.89453125,-2019.17248535,103.225692749,0x0,0,0,0,
2913,9,39,0,-9493.75683594,-2051.93896484,109.985733032,0x0,0,0,0,
2914,9,40,0,-9453.82226563,-2120.265625,82.667930603,0x0,0,0,0,
2915,9,41,0,-9418.24414063,-2207.42333984,73.1412582397,0x0,0,0,0,
2916,9,42,0,-9431.66992188,-2238.56958008,72.7936935425,0x0,0,0,0,
439,12,0,0,-4822.79736328,-1157.97827148,503.269744873,0x0,0,0,0,
440,12,1,0,-4823.33837891,-1154.8380127,504.044342041,0x0,0,0,0,
441,12,2,0,-4825.56787109,-1144.80078125,508.209197998,0x0,0,0,0,
442,12,3,0,-4830.25097656,-1124.83105469,518.07598877,0x0,0,0,0,
443,12,4,0,-4839.86914063,-1077.75720215,543.577758789,0x0,0,0,0,
444,12,5,0,-4867.41455078,-1047.96740723,551.020812988,0x0,0,0,0,
445,12,6,0,-4889.55322266,-1032.15112305,548.742492676,0x0,0,0,0,
446,12,7,0,-4921.44287109,-1008.42932129,544.909179688,0x0,0,0,0,
447,12,8,0,-4947.06884766,-972.151672363,540.798828125,0x0,0,0,0,
448,12,9,0,-4957.78857422,-914.514343262,543.519470215,0x0,0,0,0,
449,12,10,0,-4964.65820313,-901.513122559,543.602722168,0x0,0,0,0,
450,12,11,0,-4987.02929688,-875.532348633,527.603088379,0x0,0,0,0,
451,12,12,0,-5021.61230469,-833.380187988,507.319335938,0x0,0,0,0,
452,12,13,0,-5066.39599609,-799.998291016,503.127502441,0x0,0,0,0,
453,12,14,0,-5110.95507813,-793.454101562,504.344299316,0x0,0,0,0,
454,12,15,0,-5156.02197266,-778.874450684,486.889068604,0x0,0,0,0,
455,12,16,0,-5203.81298828,-713.603515625,480.819335938,0x0,0,0,0,
456,12,17,0,-5366.66259766,-702.537658691,457.859283447,0x0,0,0,0,
457,12,18,0,-5495.62792969,-662.212402344,442.504882813,0x0,0,0,0,
1248,12,19,0,-5625.24804688,-671.737609863,439.310394287,0x0,0,0,0,
1249,12,20,0,-5709.96289063,-584.979919434,433.945037842,0x0,0,0,0,
1250,12,21,0,-5868.21435547,-569.537414551,453.786560059,0x0,0,0,0,
1251,12,22,0,-6002.71337891,-664.599182129,468.381622314,0x0,0,0,0,
1252,12,23,0,-6055.95214844,-676.701477051,491.51260376,0x0,0,0,0,
1253,12,24,0,-6103.06054688,-702.841064453,500.923492432,0x0,0,0,0,
1254,12,25,0,-6182.80712891,-759.242004395,471.098205566,0x0,0,0,0,
1255,12,26,0,-6302.09375,-807.986450195,425.824707031,0x0,0,0,0,
1256,12,27,0,-6427.89501953,-833.903625488,376.113067627,0x0,0,0,0,
1257,12,28,0,-6534.43457031,-879.641174316,342.303436279,0x0,0,0,0,
1258,12,29,0,-6643.68408203,-845.249572754,294.397338867,0x0,0,0,0,
1259,12,30,0,-6782.54541016,-862.067199707,284.273101807,0x0,0,0,0,
1260,12,31,0,-6913.29003906,-911.21661377,281.738220215,0x0,0,0,0,
1261,12,32,0,-6945.10595703,-993.701843262,272.743164063,0x0,0,0,0,
1262,12,33,0,-7035.35400391,-1010.515625,273.806091309,0x0,0,0,0,
1263,12,34,0,-7107.93164063,-945.732666016,286.628265381,0x0,0,0,0,
1264,12,35,0,-7178.48779297,-858.067932129,330.934173584,0x0,0,0,0,
1265,12,36,0,-7220.71630859,-798.405822754,333.542114258,0x0,0,0,0,
1266,12,37,0,-7376.29785156,-753.775512695,349.039306641,0x0,0,0,0,
1267,12,38,0,-7513.95068359,-706.66809082,261.967681885,0x0,0,0,0,
1268,12,39,0,-7625.78662109,-709.525085449,231.209777832,0x0,0,0,0,
1269,12,40,0,-7817.06591797,-723.25390625,197.413085938,0x0,0,0,0,
1270,12,41,0,-7879.46533203,-790.337890625,166.989624023,0x0,0,0,0,
1271,12,42,0,-7972.42529297,-814.0859375,162.116943359,0x0,0,0,0,
1272,12,43,0,-8125.31591797,-746.774108887,165.820709229,0x0,0,0,0,
1273,12,44,0,-8154.0,-657.825317383,216.733963013,0x0,0,0,0,
1274,12,45,0,-8154.26318359,-562.544921875,215.448425293,0x0,0,0,0,
1275,12,46,0,-8242.65820313,-445.082458496,212.041595459,0x0,0,0,0,
1276,12,47,0,-8289.48632813,-378.368377686,156.277877808,0x0,0,0,0,
1277,12,48,0,-8372.02832031,-387.758361816,152.279586792,0x0,0,0,0,
1278,12,49,0,-8434.69628906,-408.287872314,152.143783569,0x0,0,0,0,
1279,12,50,0,-8518.54785156,-470.904724121,152.038619995,0x0,0,0,0,
1280,12,51,0,-8576.82519531,-495.967895508,152.34538269,0x0,0,0,0,
1281,12,52,0,-8649.18457031,-487.342559814,152.433883667,0x0,0,0,0,
1314,12,53,0,-8724.703125,-429.48059082,153.900314331,0x0,0,0,0,
2702,12,54,0,-8782.3125,-376.378814697,101.405227661,0x0,0,0,0,
2703,12,55,0,-8887.08886719,-338.094512939,85.9079742432,0x0,0,0,0,
2704,12,56,0,-8978.76953125,-305.905914307,81.1082763672,0x0,0,0,0,
2705,12,57,0,-9023.16113281,-232.139328003,81.0653991699,0x0,0,0,0,
2706,12,58,0,-9081.32910156,-206.189559937,85.8152542114,0x0,0,0,0,
2707,12,59,0,-9107.56054688,-164.754989624,97.085899353,0x0,0,0,0,
2708,12,60,0,-9135.3125,-68.516708374,89.7096939087,0x0,0,0,0,
2709,12,61,0,-9150.24316406,1.4309899807,86.8735046387,0x0,0,0,0,
2710,12,62,0,-9181.91308594,81.0322265625,83.0517349243,0x0,0,0,0,
2711,12,63,0,-9131.42675781,164.392501831,115.597900391,0x0,0,0,0,
2712,12,64,0,-9124.13183594,269.961364746,161.262802124,0x0,0,0,0,
2713,12,65,0,-9039.15234375,381.637115479,156.526077271,0x0,0,0,0,
2714,12,66,0,-8916.31738281,414.504333496,137.873046875,0x0,0,0,0,
2715,12,67,0,-8833.5078125,481.685546875,112.379592896,0x0,0,0,0,
503,13,0,0,-8847.49121094,496.966949463,111.661399841,0x0,0,0,0,
504,13,1,0,-8849.62402344,495.302642822,111.684692383,0x0,0,0,0,
505,13,2,0,-8867.20898438,483.624237061,114.524169922,0x0,0,0,0,
506,13,3,0,-8935.34179688,454.308166504,127.164390564,0x0,0,0,0,
507,13,4,0,-9034.73925781,493.259002686,143.399398804,0x0,0,0,0,
508,13,5,0,-9109.71875,470.771057129,157.352401733,0x0,0,0,0,
509,13,6,0,-9213.09277344,427.234161377,162.404876709,0x0,0,0,0,
510,13,7,0,-9273.82617188,275.939453125,151.668212891,0x0,0,0,0,
511,13,8,0,-9287.29199219,34.3810768127,153.091552734,0x0,0,0,0,
512,13,9,0,-9231.04296875,-249.805236816,153.258148193,0x0,0,0,0,
513,13,10,0,-9115.01757813,-320.214752197,144.742507935,0x0,0,0,0,
514,13,11,0,-8984.97070313,-310.885528564,150.068572998,0x0,0,0,0,
515,13,12,0,-8761.8125,-406.556549072,154.290985107,0x0,0,0,0,
516,13,13,0,-8644.484375,-484.154205322,156.79776001,0x0,0,0,0,
517,13,14,0,-8543.97363281,-488.519958496,156.037796021,0x0,0,0,0,
518,13,15,0,-8434.86914063,-407.2265625,156.218276978,0x0,0,0,0,
519,13,16,0,-8332.49609375,-383.061187744,156.972137451,0x0,0,0,0,
520,13,17,0,-8272.14941406,-396.352111816,184.277877808,0x0,0,0,0,
521,13,18,0,-8236.64355469,-435.641723633,216.907424927,0x0,0,0,0,
522,13,19,0,-8182.35058594,-514.252929688,222.154541016,0x0,0,0,0,
1315,13,20,0,-8139.84277344,-660.86340332,216.592605591,0x0,0,0,0,
1316,13,21,0,-8033.88476563,-777.698120117,195.434295654,0x0,0,0,0,
1317,13,22,0,-7895.08349609,-762.189819336,195.406524658,0x0,0,0,0,
1318,13,23,0,-7733.50634766,-700.092651367,218.323242188,0x0,0,0,0,
1319,13,24,0,-7513.56689453,-700.113769531,254.989883423,0x0,0,0,0,
1320,13,25,0,-7381.81933594,-733.579650879,328.24029541,0x0,0,0,0,
1321,13,26,0,-7301.1875,-784.711914062,339.517944336,0x0,0,0,0,
1322,13,27,0,-7159.57421875,-873.011230469,339.517944336,0x0,0,0,0,
1323,13,28,0,-6971.55517578,-966.730163574,306.87902832,0x0,0,0,0,
1324,13,29,0,-6733.15478516,-933.331298828,306.87902832,0x0,0,0,0,
1325,13,30,0,-6532.68554688,-873.018127441,336.075744629,0x0,0,0,0,
1326,13,31,0,-6359.265625,-823.596130371,407.37701416,0x0,0,0,0,
1327,13,32,0,-6225.59228516,-788.046875,461.078765869,0x0,0,0,0,
1328,13,33,0,-6100.26708984,-712.719543457,497.644958496,0x0,0,0,0,
1329,13,34,0,-5952.14746094,-624.24230957,485.185119629,0x0,0,0,0,
1330,13,35,0,-5733.38085938,-566.631286621,485.335083008,0x0,0,0,0,
1331,13,36,0,-5532.80371094,-566.659179688,485.668395996,0x0,0,0,0,
1332,13,37,0,-5332.65039063,-632.856323242,497.973968506,0x0,0,0,0,
1333,13,38,0,-5225.32226563,-746.764465332,507.251739502,0x0,0,0,0,
1334,13,39,0,-5068.78662109,-798.234191895,504.294158936,0x0,0,0,0,
1335,13,40,0,-5023.56494141,-831.423828125,507.347320557,0x0,0,0,0,
1336,13,41,0,-4987.61572266,-876.45489502,535.127502441,0x0,0,0,0,
1337,13,42,0,-4965.29443359,-901.901123047,543.12713623,0x0,0,0,0,
1338,13,43,0,-4942.97949219,-917.629150391,543.127502441,0x0,0,0,0,
1339,13,44,0,-4889.66259766,-931.610900879,539.19317627,0x0,0,0,0,
1340,13,45,0,-4870.82226563,-964.171020508,544.403930664,0x0,0,0,0,
1341,13,46,0,-4855.88720703,-999.514221191,548.121276855,0x0,0,0,0,
1342,13,47,0,-4839.48486328,-1034.74450684,550.482299805,0x0,0,0,0,
1343,13,48,0,-4817.11865234,-1083.21350098,544.501281738,0x0,0,0,0,
1344,13,49,0,-4751.69384766,-1095.61096191,529.973266602,0x0,0,0,0,
1345,13,50,0,-4756.56494141,-1141.06640625,518.38079834,0x0,0,0,0,
1346,13,51,0,-4795.44042969,-1150.44726563,512.33404541,0x0,0,0,0,
2608,13,52,0,-4821.61328125,-1155.57946777,503.778747559,0x0,0,0,0,
741,15,0,0,-5426.41650391,-2932.76367188,349.24887085,0x0,0,0,0,
742,15,1,0,-5429.109375,-2933.13378906,350.362640381,0x0,0,0,0,
743,15,2,0,-5469.80761719,-2926.42822266,361.170074463,0x0,0,0,0,
744,15,3,0,-5512.31933594,-2850.48388672,374.776763916,0x0,0,0,0,
745,15,4,0,-5460.9296875,-2741.30126953,412.174591064,0x0,0,0,0,
746,15,5,0,-5500.67626953,-2647.12133789,469.4012146,0x0,0,0,0,
747,15,6,0,-5505.02587891,-2569.84887695,486.558746338,0x0,0,0,0,
748,15,7,0,-5514.47021484,-2437.68383789,432.47958374,0x0,0,0,0,
749,15,8,0,-5543.63623047,-2295.73291016,501.956115723,0x0,0,0,0,
750,15,9,0,-5506.14599609,-2210.20117188,492.090820313,0x0,0,0,0,
751,15,10,0,-5532.42041016,-2134.41894531,433.312408447,0x0,0,0,0,
752,15,11,0,-5587.42626953,-2064.81030273,404.372619629,0x0,0,0,0,
753,15,12,0,-5601.02587891,-1978.13696289,404.372619629,0x0,0,0,0,
754,15,13,0,-5610.95166016,-1856.20373535,413.071868896,0x0,0,0,0,
755,15,14,0,-5641.10302734,-1791.67553711,407.13092041,0x0,0,0,0,
756,15,15,0,-5656.55761719,-1747.23596191,417.278961182,0x0,0,0,0,
757,15,16,0,-5657.33984375,-1648.2611084,439.143463135,0x0,0,0,0,
758,15,17,0,-5686.91162109,-1582.43835449,403.20425415,0x0,0,0,0,
759,15,18,0,-5667.79785156,-1473.76062012,417.956787109,0x0,0,0,0,
760,15,19,0,-5650.85498047,-1341.44287109,423.27166748,0x0,0,0,0,
761,15,20,0,-5549.44335938,-1189.88256836,467.917602539,0x0,0,0,0,
762,15,21,0,-5434.79150391,-1016.15692139,519.638977051,0x0,0,0,0,
763,15,22,0,-5305.90234375,-835.12878418,576.16784668,0x0,0,0,0,
764,15,23,0,-5173.35546875,-787.107543945,552.945617676,0x0,0,0,0,
765,15,24,0,-5077.31103516,-791.476379395,523.305419922,0x0,0,0,0,
766,15,25,0,-5020.42285156,-836.154418945,504.899078369,0x0,0,0,0,
767,15,26,0,-4987.56445313,-875.930969238,527.12713623,0x0,0,0,0,
768,15,27,0,-4964.46875,-901.554199219,543.127502441,0x0,0,0,0,
769,15,28,0,-4947.63818359,-916.239379883,543.127502441,0x0,0,0,0,
770,15,29,0,-4886.24316406,-937.864379883,539.472473145,0x0,0,0,0,
771,15,30,0,-4870.37255859,-964.69708252,544.918212891,0x0,0,0,0,
772,15,31,0,-4858.50146484,-994.763671875,548.140197754,0x0,0,0,0,
773,15,32,0,-4845.47216797,-1024.78308105,550.251708984,0x0,0,0,0,
774,15,33,0,-4822.14306641,-1054.16650391,546.055969238,0x0,0,0,0,
775,15,34,0,-4783.12402344,-1065.93395996,534.167785645,0x0,0,0,0,
776,15,35,0,-4746.23730469,-1095.95275879,525.27911377,0x0,0,0,0,
777,15,36,0,-4754.16015625,-1138.46374512,523.807617188,0x0,0,0,0,
778,15,37,0,-4798.13671875,-1150.01574707,512.908935547,0x0,0,0,0,
779,15,38,0,-4822.39892578,-1156.91369629,503.436431885,0x0,0,0,0,
650,16,0,0,-4822.81494141,-1157.98583984,503.241973877,0x0,0,0,0,
651,16,1,0,-4823.52197266,-1155.26171875,503.822113037,0x0,0,0,0,
652,16,2,0,-4825.89111328,-1144.93762207,508.175354004,0x0,0,0,0,
653,16,3,0,-4830.33105469,-1124.69433594,517.992980957,0x0,0,0,0,
654,16,4,0,-4839.84228516,-1077.64221191,543.52130127,0x0,0,0,0,
655,16,5,0,-4867.19482422,-1047.99169922,550.965698242,0x0,0,0,0,
656,16,6,0,-4889.34667969,-1032.10461426,548.742858887,0x0,0,0,0,
657,16,7,0,-4921.54833984,-1008.38098145,544.853759766,0x0,0,0,0,
658,16,8,0,-4947.04541016,-972.202026367,540.659851074,0x0,0,0,0,
659,16,9,0,-4951.94042969,-919.937744141,543.602722168,0x0,0,0,0,
660,16,10,0,-4973.18603516,-894.053710938,543.603088379,0x0,0,0,0,
661,16,11,0,-4990.44189453,-871.018005371,529.631103516,0x0,0,0,0,
662,16,12,0,-5020.95996094,-834.343322754,505.485992432,0x0,0,0,0,
663,16,13,0,-5064.68115234,-798.774414063,507.127105713,0x0,0,0,0,
664,16,14,0,-5123.64794922,-795.646362305,511.126617432,0x0,0,0,0,
665,16,15,0,-5200.65966797,-812.110046387,530.878234863,0x0,0,0,0,
666,16,16,0,-5220.08300781,-1011.7913208,514.198059082,0x0,0,0,0,
667,16,17,0,-5481.03320313,-1210.79748535,506.661407471,0x0,0,0,0,
668,16,18,0,-5561.82421875,-1500.17236328,436.524536133,0x0,0,0,0,
669,16,19,0,-5527.74609375,-1692.45117187,407.069213867,0x0,0,0,0,
670,16,20,0,-5506.48095703,-1765.9029541,405.537902832,0x0,0,0,0,
671,16,21,0,-5521.47070313,-1917.21374512,409.133392334,0x0,0,0,0,
672,16,22,0,-5569.65869141,-1999.06384277,416.372528076,0x0,0,0,0,
673,16,23,0,-5557.54003906,-2089.7355957,416.961761475,0x0,0,0,0,
2720,16,24,0,-5511.8828125,-2158.23168945,465.511352539,0x0,0,0,0,
2721,16,25,0,-5509.453125,-2208.58813477,494.296051025,0x0,0,0,0,
2722,16,26,0,-5510.38720703,-2288.28540039,507.695526123,0x0,0,0,0,
2723,16,27,0,-5503.97753906,-2418.18725586,434.192199707,0x0,0,0,0,
2724,16,28,0,-5452.56933594,-2503.40209961,483.142028809,0x0,0,0,0,
2725,16,29,0,-5404.74121094,-2580.39526367,498.562561035,0x0,0,0,0,
2726,16,30,0,-5413.6875,-2639.18164063,467.981872559,0x0,0,0,0,
2727,16,31,0,-5406.81103516,-2728.50170898,407.886749268,0x0,0,0,0,
2728,16,32,0,-5420.73046875,-2800.52734375,381.255889893,0x0,0,0,0,
2729,16,33,0,-5410.28710938,-2867.09326172,359.637359619,0x0,0,0,0,
2730,16,34,0,-5421.10058594,-2928.65161133,350.9112854,0x0,0,0,0,
838,17,0,0,-3791.05517578,-782.97833252,10.0785713196,0x0,0,0,0,
839,17,1,0,-3790.140625,-786.888793945,12.1592388153,0x0,0,0,0,
840,17,2,0,-3788.23950195,-798.344665527,15.8998212814,0x0,0,0,0,
841,17,3,0,-3787.35644531,-830.613098145,24.0829792023,0x0,0,0,0,
842,17,4,0,-3793.08032227,-874.897399902,33.2917022705,0x0,0,0,0,
843,17,5,0,-3854.64453125,-909.283630371,33.2917022705,0x0,0,0,0,
844,17,6,0,-3956.28222656,-908.764526367,41.2925872803,0x0,0,0,0,
845,17,7,0,-4050.8762207,-921.659729004,117.608146667,0x0,0,0,0,
846,17,8,0,-4116.52099609,-942.04309082,175.707595825,0x0,0,0,0,
847,17,9,0,-4259.83447266,-973.393127441,305.76965332,0x0,0,0,0,
848,17,10,0,-4411.20947266,-961.517456055,499.641601563,0x0,0,0,0,
849,17,11,0,-4566.70556641,-900.117797852,663.554504395,0x0,0,0,0,
850,17,12,0,-4660.21826172,-934.176025391,778.860168457,0x0,0,0,0,
851,17,13,0,-4732.16259766,-915.474609375,832.187805176,0x0,0,0,0,
852,17,14,0,-4827.93505859,-838.647705078,812.703918457,0x0,0,0,0,
853,17,15,0,-4893.29492188,-765.938049316,752.817321777,0x0,0,0,0,
854,17,16,0,-5002.80908203,-631.139831543,614.52911377,0x0,0,0,0,
855,17,17,0,-5060.42041016,-706.882629395,548.684082031,0x0,0,0,0,
856,17,18,0,-5046.45703125,-786.472839355,511.117584229,0x0,0,0,0,
857,17,19,0,-5019.80322266,-834.073669434,506.173461914,0x0,0,0,0,
858,17,20,0,-4986.88525391,-874.942382813,527.127502441,0x0,0,0,0,
859,17,21,0,-4965.81152344,-901.885803223,543.127502441,0x0,0,0,0,
860,17,22,0,-4946.49316406,-917.497192383,543.127502441,0x0,0,0,0,
861,17,23,0,-4893.08837891,-926.392578125,538.797973633,0x0,0,0,0,
862,17,24,0,-4870.44335938,-967.233520508,544.723327637,0x0,0,0,0,
863,17,25,0,-4856.77978516,-998.803833008,548.140991211,0x0,0,0,0,
