id;displayid;value
1656;27;Plaguelands
1657;27;Monastery
1658;27;Brill
1659;27;Plaguelands
1660;27;Silverpine
1661;27;The Undercity
1663;27;The Undercity
1664;27;The Undercity
1665;27;The Undercity
1666;27;The Undercity
1668;22;Dun Algaz
1669;22;Dun Algaz
1673;425;Fel Cone
1674;26;Gnomeregan
1675;150;The Sepulcher
1676;150;Pyrewood Village
1677;150;Tirisfal
1678;150;Ambermill
1679;150;Pyrewood Village
1680;150;Shadowfang Keep
1681;150;Tirisfal
1685;209;Forge
1686;150;The Sepulcher
1690;150;Pyrewood
1692;150;Deep Elem Mine
1698;150;Gilneas
1699;150;Hillsbrad Plains
1710;150;Hillsbrad Foothills
1720;154;Stanley's Dish
1721;181;Locked ball and chain
1722;181;Locked ball and chain
1723;389;Mudsnout Blossom
1726;156;Missing: Corporal Keeshan
1727;32;Keg of Shindigger Stout
1728;159;Dusty Rug
1729;32;Tainted Keg
1730;431;Tainted Keg Smoke
1731;310;Copper Vein
1732;315;Tin Vein
1733;314;Silver Vein
1734;311;Gold Vein
1735;312;Iron Deposit
1736;31;Shipment of Iron
1738;163;Syndicate Documents
1739;164;Syndicate Documents
1740;163;Syndicate Documents
1743;197;Forge
1744;166;Anvil
1745;233;Forge
1748;273;Anvil
1749;197;Forge
1752;166;Anvil
1759;185;Hillsbrad Town Registry
1760;189;Weathered Bookcase
1761;210;Hillsbrad Proclamation
1763;15;WANTED
1764;181;Locked ball and chain
1765;1;Worn Wooden Chest
1766;192;Fire
1767;193;Helcular's Grave
1768;194;Flame of Azel
1769;194;Flame of Veraz
1770;194;Flame of Uzel
1771;195;Southshore
1772;195;Tarren Mill
1773;195;Hillsbrad
1774;195;Silverpine Forest
1775;195;Tarren Mill
1776;195;Durnholde Keep
1777;195;Silverpine Forest
1778;195;Hillsbrad
1779;195;Southshore
1780;195;Tarren Mill
1781;195;Alterac Mountains
1782;195;Hillsbrad
1783;195;Southshore
1784;195;Dun Garok
1785;195;Durnholde Keep
1786;195;Dun Garok
1787;195;Arathi Highlands
1788;195;Southshore
1789;195;Tarren Mill
1790;195;Durnholde Keep
1791;195;Arathi Highlands
1792;195;Durnholde Keep
1793;195;Dun Garok
1794;195;Tarren Mill
1795;195;Southshore
1796;273;Anvil
1797;197;Forge
1798;192;Campfire
1799;192;Campfire
1809;192;Campfire
1810;192;Campfire
1811;192;Campfire
1814;192;Campfire
1815;192;Campfire
1816;192;Campfire
1822;192;Campfire
1824;192;Campfire
1825;192;Campfire
1827;192;Campfire
1828;192;Campfire
1829;199;Campfire
1830;199;Campfire
1831;200;Bonfire
1832;200;Bonfire
1833;192;Campfire
1835;192;Campfire
1836;192;Campfire
1837;192;Campfire
1838;192;Campfire
1840;192;Campfire
1843;192;Campfire
1844;192;Campfire
1849;192;Campfire
1850;192;Campfire
1851;192;Campfire
1852;192;Campfire
1857;192;Campfire
1868;192;Campfire
1870;192;Campfire
1873;192;Campfire
1874;192;Campfire
1875;192;Campfire
1885;200;Bonfire
1886;200;Bonfire
1887;200;Bonfire
1888;192;Campfire
1889;192;Campfire
1890;192;Campfire
1896;197;Forge
1897;273;Anvil
1898;192;Campfire
1908;192;Campfire
1912;192;Campfire
1914;192;Campfire
1915;192;Cooking Fire
1926;192;Campfire
1928;199;Bonfire
1936;199;Campfire
1937;199;Campfire
1938;192;Campfire
1939;199;Campfire
1940;192;Campfire
1941;192;Campfire
1943;192;Campfire
1944;192;Campfire
1945;192;Campfire
1946;192;Campfire
1947;192;Campfire
1948;192;Campfire
1949;192;Campfire
1950;192;Campfire
1951;192;Campfire
1952;192;Campfire
1953;192;Campfire
1954;192;Campfire
1959;192;Campfire
1960;192;Campfire
1961;192;Campfire
1962;192;Campfire
1964;192;Campfire
1967;201;Firepit
1969;192;Campfire
1970;192;Campfire
1973;192;Campfire
1977;200;Campfire
1981;192;Campfire
1985;192;Campfire
1986;192;Campfire
1987;192;Campfire
1988;192;Campfire
1989;192;Campfire
1990;192;Campfire
1991;192;Campfire
1992;192;Campfire
1993;192;Campfire
1994;192;Campfire
1995;192;Campfire
1996;192;Campfire
1997;192;Campfire
1998;192;Campfire
1999;192;Campfire
2000;192;Campfire
2004;192;Smoldering Fire
2005;192;Campfire
2006;192;Campfire
2007;199;Campfire
2008;202;Dangerous!
2010;273;Anvil
2014;273;Anvil
2015;233;Forge
2016;195;Tarren Mill
2017;195;Alterac Mountains
2018;195;Alterac City
2019;195;Strahnbrad
2020;195;Durnholde Keep
2021;195;Hillsbrad
2022;195;Southshore
2023;203;Strahnbrad
2024;203;Andorhal
2025;203;Alterac City
2026;203;Hillsbrad Foothills
2030;203;Alterac City
2031;203;Andorhal
2032;22;Warning!!!! Plaguelands
2039;10;Hidden Strongbox
2040;313;Mithril Deposit
2041;677;Liferoot
2042;697;Fadeleaf
2043;701;Khadgar's Whisker
2044;699;Wintersbite
2045;700;Stranglekelp
2046;698;Goldthorn
2047;314;Truesilver Deposit
2057;192;Campfire
2059;211;A Dwarven Corpse
2061;299;Campfire
2062;192;Campfire
2066;0;Bonfire Damage
2068;225;Pupellyverbos Port
2076;216;Bubbling Cauldron
2082;218;Uther the Lightbringer
2083;183;Bloodsail Correspondence
2084;47;Musquash Root
2086;222;Bloodsail Charts
2087;220;Bloodsail Orders
2096;27;Trade District
2098;27;Cathedral Square
2099;27;Cathedral Square
2100;27;Old Town
2101;27;Mage Quarter
2102;27;Cathedral Square
2105;27;Cathedral Square
2106;27;Cathedral Square
2108;27;Trade District
2109;169;Fragrant Flowers
2110;26;Cathedral Square
2111;26;Trade District
2112;26;Old Town
2113;26;Old Town
2115;26;Trade District
2116;26;Cathedral Square
2117;26;Stormwind Keep
2119;26;Old Town
2120;26;Stormwind Keep
2122;26;Trade District
2123;26;Old Town
2124;26;Mage Quarter
2125;26;Trade District
2127;26;Mage Quarter
2128;26;Trade District
2129;26;Cathedral Square
2130;170;The Wine Cask
2131;26;Cathedral Square
2133;26;Trade District
2134;26;Cathedral Square
2136;26;Old Town
2138;724;The Empty Quiver
2139;725;Weller's Arsenal
2140;26;Cathedral Square
2141;26;Mage Quarter
2142;26;Goldshire
2143;26;Old Town
2145;7719;Stormwind Counting House
2146;726;Everyday Merchandise
2148;178;The Cheese Cutters
2149;174;The Seven Deadly Venoms
2150;718;The Silver Shield
2151;179;Thane's Boots and Shoulderpads
2152;538;Pig and Whistle Tavern
2153;725;Heavy Handed Weapons
2154;718;The Protective Hide
2155;725;Honest Blades
2156;718;Limited Immunity
2157;725;Just Maces
2158;718;Righteous Plates
2159;681;City Hall
2160;681;The Argent Dawn
2161;719;Duncan's Textiles
2162;725;Stormwind Staves
2163;751;Essential Components
2164;538;The Slaughtered Lamb
2165;751;Pyrotechnics
2166;751;Alchemy Needs
2167;726;Ancient Curios
2169;538;The Blue Recluse
2171;26;Mage Quarter
2173;26;Cathedral Square
2175;26;Cathedral Square
2176;26;Trade District
2177;719;The Finest Thread
2178;26;Mage Quarter
2179;26;Cathedral Square
2181;26;Mage Quarter
2182;26;Trade District
2186;26;Cathedral Square
2187;26;Trade District
2188;26;Mage Quarters
2189;26;Old Town
2190;26;Cathedral Square
2191;26;Trade District
2289;223;Ruined Lifeboat
2332;224;Barbequed Buzzard Wings
2333;225;Stranglevine Wine
2335;200;Bonfire
2371;226;Headhunter Skull
2413;39;Wooden Chair
2489;91;High Back Chair
2551;226;Boiled Skull
2552;431;Cauldron Steam
2553;164;A Soggy Scroll
2554;164;Cortello's Riddle
2555;164;Musty Scroll
2556;10;Cortello's Treasure
2558;197;Test
2560;228;Half-Buried Bottle
2561;3071;Freezing Trap
2562;229;Baked Bread
2563;230;Altar of the Tides - Focused
2572;273;Anvil
2573;233;Forge
2574;273;Anvil
2575;233;Forge
2576;227;Altar of the Tides
2652;211;Ebenezer Rustlocke's Corpse
2653;48;Lesser Bloodstone Deposit
2656;164;Waterlogged Letter
2657;184;Legends of the Earth
2658;200;Bonfire
2664;192;Campfire
2667;192;Campfire
2670;195;Wetlands
2672;195;Stromgarde
2673;195;Thandol Span
2674;195;Wetlands
2675;195;Stromgarde
2676;195;Thandol Span
2677;195;Wetlands
2678;195;Hillsbrad Plains
2679;195;Stromgarde
2680;195;Hammerfall
2681;195;Hammerfall
2682;195;Stromgarde
2683;195;Hammerfall
2684;195;Stromgarde
2685;22;Refuge Pointe
2687;225;Bottle
2688;235;Keystone
2689;236;Stone of West Binding
2690;236;Stone of Outer Binding
2691;236;Stone of East Binding
2695;107;Book
2701;1687;Iridescent Shards
2702;236;Stone of Inner Binding
2703;11;Trollbane's Tomb
2704;243;Cache of Explosives
2707;222;Maiden's Folly Charts
2708;222;Spirit of Silverpine Charts
2709;184;Maiden's Folly Log
2710;254;Spirit of Silverpine Log
2711;236;Charging Stone
2712;247;Calcified Elven Gem
2713;202;Wanted Board
2714;248;Alterac Granite
2715;249;Runed Pedestal
2716;10;Trelane's Chest
2717;1;Trelane's Footlocker
2718;41;Trelane's Lockbox
2719;216;Bubbling Cauldron
2722;250;Floating Sparkles
2724;252;Sack of Oats
2726;273;Anvil
2727;233;Forge
2728;233;Forge
2729;273;Anvil
2732;192;Campfire
2734;1;Waterlogged Chest
2739;10;Chest of the Black Feather
2740;10;Chest of the Raven Claw
2741;10;Chest of the Sky
2742;10;Chest of Nesting
2743;52;Carved Stone Urn
2744;261;Giant Clam
2842;235;Pillar of Diamond
2843;259;Battered Chest
2844;259;Tattered Chest
2845;259;Tattered Chest
2846;259;Tattered Chest
2847;259;Tattered Chest
2848;235;Pillar of Opal
2849;259;Battered Chest
2850;259;Solid Chest
2852;259;Solid Chest
2855;259;Solid Chest
2857;259;Solid Chest
2858;235;Pillar of Amethyst
2866;2312;Firebloom
2867;31;Excavation Supply Crate
2868;222;Crumpled Map
2870;266;Yellow aura, very tall column
2871;402;Seaworn Altar
2872;267;Enchanted Sea Kelp
2875;211;Battered Dwarven Skeleton
2883;60;Ripe Pumpkin
2891;293;Balia'mah Trophy Skulls
2892;293;Ziata'jai Trophy Skulls
2893;293;Zul'Mamwe Trophy Skulls
2904;298;Water Well Cleansing Aura
2908;287;Sealed Supply Crate
2909;299;Wildmane Water Pump
2910;362;Well Stone
2911;299;Stormbull Water Well
2912;424;Ambercorn
2913;299;Winterhoof Water Well
2914;200;Tribal Fire
2933;302;Seal of the Earth
2968;308;Bloodhoof Village
2969;308;Thunder Bluff
2971;308;The Barrens
2972;308;Camp Narache
2973;308;Camp Narache
2974;308;Thunder Bluff
2975;308;Bloodhoof Village
2976;308;The Barrens
3076;222;Dirt-stained Map
3084;307;Fire
3085;199;Campfire
3089;307;Campfire
3187;273;Anvil
3189;210;Attack Plan: Valley of Trials
3190;210;Attack Plan: Sen'jin Village
3192;210;Attack Plan: Orgrimmar
3194;308;Bloodhoof Village
3195;308;Thunder Bluff
3198;308;Bloodhoof Village
3199;308;The Barrens
3200;192;Campfire
3201;199;Campfire
3202;309;Grom'gol
3203;309;Arena
3204;309;Booty Bay
3205;22;Arena
3206;22;Booty Bay
3207;22;Duskwood
3208;309;Booty Bay
3209;309;Grom'Gol
3210;309;Arena
3211;22;Duskwood
3212;22;Booty Bay
3213;22;Arena
3214;309;Arena
3215;309;Grom'Gol
3216;22;Arena
3217;22;Duskwood
3224;309;Razor Hill
3226;309;Orgrimmar
3227;309;The Den
3228;309;The Barrens
3229;309;The Den
3230;309;Razor Hill
3231;309;Razor Hill
3232;309;Razor Hill
3233;309;The Den
3235;309;Orgrimmar
3236;318;Gnomish Toolbox
3237;226;Imprisoned Darkspear
3238;319;Chen's Empty Keg
3239;41;Benedict's Chest
3240;412;Taillasher Eggs
3249;199;Campfire
3251;192;Campfire
3252;192;Campfire
3253;192;Campfire
3260;199;Campfire
3264;199;Campfire
3265;322;
3270;192;Campfire
3276;309;Sen'jin Village
3286;192;Roaring Fire
3290;323;Stolen Supply Sack
3296;192;Scorching Fire
3298;192;Blazing Fire
3301;192;Burning Embers
3303;192;Warm Fire
3308;324;Bonfire
3315;216;Boiling Cauldron
3523;410;TEST Circle of Flame
3524;327;The Demon Seed
3525;328;The Altar of Fire
3640;359;Laden Mushroom
3642;1;Kolkars' Booty
3643;8;Old Footlocker
3644;330;Bael Modan Flying Machine
3646;10;General Twinbraid's Strongbox
3656;200;Bonfire
3658;334;Water Barrel
3659;334;Barrel of Melon Juice
3660;335;Armor Crate
3661;335;Weapon Crate
3662;336;Food Crate
3685;346;Silithid Mound
3689;335;Weapon Crate
3690;336;Food Crate
3691;336;Food Crate
186880;7510;Dark Iron Mole Machine
3693;336;Food Crate
3694;336;Food Crate
3695;336;Food Crate
180653;6481;Treasure Marker
3702;335;Armor Crate
3703;335;Armor Crate
3704;335;Weapon Crate
3705;334;Barrel of Milk
3706;334;Barrel of Sweet Nectar
3707;336;Food Crate
3710;336;Food Crate
3714;259;Alliance Strongbox
3715;259;Tattered Chest
3719;336;Food Crate
3722;192;Campfire
3724;269;Peacebloom
3725;270;Silverleaf
3726;414;Earthroot
3727;268;Mageroyal
3729;271;Briarthorn
3730;358;Bruiseweed
3737;344;Bubbling Fissure
3740;344;Bubbling Fissure
3743;267;Fissure Plant
3760;192;Campfire
3761;192;Campfire
3763;310;Copper Vein
3764;315;Tin Vein
3767;31;Drizzlik's Emporium
3768;347;Fragile - Do Not Drop
3769;348;Potbelly Stove
3771;348;Potbelly Stove
3772;348;Potbelly Stove
3797;199;Cozy Fire
3798;199;Cozy Fire
3799;199;Cozy Fire
3800;199;Cozy Fire
3801;199;Cozy Fire
3802;199;Cozy Fire
3803;199;Cozy Fire
3804;199;Cozy Fire
3815;199;Warm Fire
3816;199;Warm Fire
3817;199;Blazing Fire
3818;199;Blazing Fire
3819;199;Blazing Fire
3839;349;Burning Embers
3840;349;Burning Embers
3841;349;Burning Embers
3842;349;Burning Embers
3843;349;Burning Embers
3844;349;Burning Embers
3845;349;Burning Embers
3847;408;Fierce Blaze
3848;408;Fierce Blaze
3849;408;Fierce Blaze
3850;408;Fierce Blaze
3851;408;Fierce Blaze
3888;408;Mighty Blaze
3890;201;Blazing Fire
3892;201;Mighty Blaze
3893;654;Mighty Blaze
3899;201;Blazing Fire
3901;408;Blazing Fire
3909;654;Blazing Fire
3911;201;Burning Embers
3912;350;Blazing Fire
3913;351;Blazing Fire
3914;349;Burning Embers
3915;351;Blazing Fire
3916;349;Burning Embers
3917;349;Burning Embers
3918;349;Burning Embers
3919;349;Burning Embers
3920;349;Burning Embers
3921;349;Burning Embers
3922;351;Blazing Fire
3923;351;Blazing Fire
3924;351;Blazing Fire
3925;351;Blazing Fire
3926;351;Blazing Fire
3927;351;Blazing Fire
3928;351;Blazing Fire
3929;350;Blazing Fire
3930;351;Blazing Fire
3931;351;Blazing Fire
3932;351;Blazing Fire
3933;351;Blazing Fire
3934;351;Blazing Fire
3936;351;Fierce Blaze
3937;350;Mighty Blaze
3938;351;Fierce Blaze
3939;351;Fierce Blaze
3940;351;Fierce Blaze
3941;351;Fierce Blaze
3942;351;Fierce Blaze
3943;350;Mighty Blaze
3944;351;Fierce Blaze
3945;350;Mighty Blaze
3946;351;Fierce Blaze
3947;351;Fierce Blaze
3948;351;Fierce Blaze
3949;351;Fierce Blaze
3950;351;Fierce Blaze
3951;350;Mighty Blaze
3960;349;Burning Embers
3962;349;Burning Embers
3967;408;Fierce Blaze
3968;408;Fierce Blaze
3972;15;WANTED
4004;622;Fire Plume Ridge Lava Lake
4005;622;Bank
4072;353;Main Control Valve
4087;166;Anvil
4088;166;Anvil
4089;166;Anvil
4090;355;Forge
4095;259;Alliance Strongbox
4096;259;Tattered Chest
4097;308;Ratchet
4098;308;Durotar
4099;308;Mulgore
4100;308;Stonetalon Mountains
4101;308;Crossroads
4102;308;The Crossroads
4103;308;Stonetalon Mountains
4104;308;Ashenvale
4105;308;Dustwallow Marsh
4106;308;Thousand Needles
4120;308;Mulgore
4121;308;Dustwallow Marsh
4122;308;Thousand Needles
4123;308;The Crossroads
4132;308;Ashenvale
4133;308;The Crossroads
4134;308;Durotar
4138;308;Mulgore
4141;356;Control Console
4149;259;Solid Chest
4166;345;Alchemical Implements
4170;360;Mesa Elevator
4171;360;Mesa Elevator
4406;378;Webwood Eggs
4608;391;Timberling Sprout
5619;362;Flawed Power Stone
5620;362;Flawed Power Stones
5621;362;Flawed Power Stones
5622;363;Purple aura, short column, 0.6 scale
6289;366;Smoldering Blaze
6290;366;Smoldering Blaze
6291;366;Smoldering Brazier
6292;366;Smoldering Brazier
6751;369;Strange Fruited Plant
6752;370;Strange Fronded Plant
6906;372;Red Raptor Nest
6907;372;Blue Raptor Nest
6908;372;Yellow Raptor Nest
7510;267;Sprouted Frond
7923;377;Denalan's Planter
9630;379;Flagongut's Fossil
9847;199;Cooking Fire
10076;445;Scrying Bowl
10082;26;Stormwind
10083;26;Goldshire
10192;39;Wooden Chair
10193;39;Wooden Chair
10194;39;Wooden Chair
10195;39;Wooden Chair
10196;39;Wooden Chair
10197;39;Wooden Chair
10198;39;Wooden Chair
10199;39;Wooden Chair
10200;39;Wooden Chair
10201;39;Wooden Chair
10202;39;Wooden Chair
10203;39;Wooden Chair
10204;39;Wooden Chair
10205;39;Wooden Chair
10206;39;Wooden Chair
10207;39;Wooden Chair
10208;39;Wooden Chair
10209;39;Wooden Chair
10210;39;Wooden Chair
10211;39;Wooden Chair
10212;39;Wooden Chair
10213;39;Wooden Chair
10214;39;Wooden Chair
10215;39;Wooden Chair
10216;39;Wooden Chair
10217;39;Wooden Chair
10218;39;Wooden Chair
10219;39;Wooden Chair
10220;39;Wooden Chair
10221;39;Wooden Chair
10222;39;Wooden Chair
10223;39;Wooden Chair
10224;39;Wooden Chair
10388;199;Cooking Fire
11713;385;Death Cap
11714;359;Scaber Stalk
11898;360;Mesa Elevator
11899;360;Mesa Elevator
12144;338;Twilight Tome
12351;386;Dolanaar
12352;386;Starbreeze Village
12353;386;Shadowglen
12354;386;Aldrassil
12355;386;Starbreeze Village
12356;386;Dolanaar
12357;386;Darnassus
12358;386;Starbreeze Village
12359;386;Shadowglen
12360;386;The Oracle Glade
12361;386;Dolanaar
12362;386;Aldrassil
12363;386;Darnassus
12364;386;Dolanaar
12365;386;The Oracle Glade
12366;386;Darnassus
12654;406;Mathystra Relic
12665;331;Cooking Table
12666;387;Twilight Tome
12893;388;Grove of the Ancients
12894;388;Ameth'Aran
12895;388;Ashenvale
12896;388;Auberdine
12900;388;Bashal'Aran
12903;388;Mathystra
13348;386;Darkshore
13349;386;Astranaar
13350;386;Astranaar
13351;386;Darkshore
13352;386;The Shrine of Aessina
13353;386;The Shrine of Aessina
13354;386;The Shrine of Aessina
13355;386;Darkshore
13356;386;The Barrens
13357;386;Felwood
13358;386;Azshara
13359;407;Cat Figurine
13360;405;Mathystra Relic
13405;386;Felwood
13406;386;Astranaar
13407;386;The Barrens
13408;386;Azshara
13409;386;Azshara
13410;386;The Barrens
13411;386;Felwood
13412;386;Astranaar
13756;5772;Graveyard Banner
13872;404;Mathystra Relic
13873;407;Cat Figurine
13891;390;Serpentbloom
13949;10;Pitted Iron Chest
13952;395;Target
13965;394;Factory Door
15001;5772;Mine Banner
15002;5772;Lumber Mill Banner
15003;5772;Farm Banner
15004;5772;Blacksmith Banner
15005;5772;Stable Banner
15068;192;Campfire
15069;200;Bonfire
16393;249;Ancient Flame
16394;397;Ancient Flame
16396;22;Moonbrook
16397;394;Iron Clad Door
16398;245;Defias Cannon
16399;394;Foundry Door
16400;394;Mast Room Door
16431;6486;Cracked Necrotic Crystal
17153;400;Heavy Door
17154;400;Heavy Door
17155;33;Defias Gunpowder
17156;295;Door Lever
17157;295;Door Lever
17182;356;Buzzbox 827
17183;356;Buzzbox 411
17184;356;Buzzbox 323
17185;356;Buzzbox 525
17188;403;The Lay of Ameth'Aran
17189;403;The Fall of Ameth'Aran
17249;39;Wooden Chair
17250;39;Wooden Chair
17251;39;Wooden Chair
17252;39;Wooden Chair
17253;39;Wooden Chair
17254;39;Wooden Chair
17255;39;Wooden Chair
17256;39;Wooden Chair
17257;39;Wooden Chair
17258;39;Wooden Chair
17259;39;Wooden Chair
17260;39;Wooden Chair
17261;39;Wooden Chair
17262;39;Wooden Chair
17263;39;Wooden Chair
17264;39;Wooden Chair
17265;39;Wooden Chair
17266;39;Wooden Chair
17267;39;Wooden Chair
17268;39;Wooden Chair
17269;39;Wooden Chair
17270;39;Wooden Chair
17271;39;Wooden Chair
17272;39;Wooden Chair
17273;39;Wooden Chair
17274;39;Wooden Chair
17275;39;Wooden Chair
17276;39;Wooden Chair
17277;39;Wooden Chair
17278;39;Wooden Chair
17279;39;Wooden Chair
17280;39;Wooden Chair
17281;39;Wooden Chair
17282;418;Plant Bundle
17783;406;Ancient Statuette
18033;308;Mulgore
18034;308;The Crossroads
18035;200;Tribal Fire
18036;228;Bottle of Disease
18045;192;Campfire
18046;192;Campfire
18047;373;
18048;373;
18049;373;
18050;373;
18051;373;
18052;373;
18053;373;
18054;373;
18055;373;
18056;373;
18057;373;
18058;373;
18059;373;
18060;373;
18061;373;
18062;373;
18076;408;Campfire
18077;409;Smoking Rack
18083;216;Bubbling Cauldron
18087;192;Campfire
18089;192;Campfire
18090;192;Campfire
18342;216;Boiling Cauldron
18343;192;Cooking Fire
18596;192;Crackling Campfire
18603;406;Ancient Statuette
18895;413;Courtyard Door
18899;295;Lever
18934;411;Cell Door
18971;415;Arugal's Lair
18972;411;Sorcerer's Gate
18973;416;Arugal's Focus
19000;9001;Altar Of Storms
19001;9002;Chapel
19002;9003;Barn
19003;9004;Barracks
19004;9005;Blacksmith
19005;9006;Farm
19006;9007;House
19007;9008;Inn
19008;9009;Lumbermill
19009;9010;Mage Tower
19010;9011;Stable
19011;9012;Townhall
19012;9013;Townhall without Wall
19013;9014;Hut
19014;9015;Hut 2
19015;429;Elune's Tear
19016;419;Stardust Covered Bush
183421;4572;Bonfire
181288;6754;Midsummer Bonfire
19019;335;Box of Assorted Parts
19020;335;Box of Assorted Parts
19021;10;Rusty Chest
19022;10;Worn Chest
19023;1287;House 2
19024;236;Hidden Shrine
19025;403;Ancient Inscription
19026;9027;Gate 1
19027;430;Tome of Mel'Thandris
19028;22;Scarlet Watch Post
19029;9030;Wall Piece
19030;20;Mound of Dirt
19031;9032;Wall Piece 2
19032;9033;Wall Piece 3
19033;308;The Barrens
19034;9035;Wall Piece with Stairs
19035;9036;WallPost
19036;9037;WallPost
19037;9038;Lumbermill
19038;9039;Mage Tower
19039;9040;Abbey
19040;9041;Oil Plataform
19041;9042;Prison Headquarters
19042;9043;Prison House
19043;9044;Prison Cage 1
19044;9045;Prison Cage 2 (with tunnel)
19045;9046;Prison Cage 3 (with tunnel)
19046;9047;Prison Cage 4 (with tunnel)
19047;9048;Townhall 3
19048;9049;Human PvP Barracks City
19049;9050;Stormwind City
19050;9051;Booty Bay
19051;9052;Duskwood World Tree
19052;9053;Troll Ziggurat
19053;9054;Zul'Gurub Piece
19054;9055;Aliancce Shrine
19055;9056;Abbey Gate
19056;9057;Bridge 2
19057;9058;Bridge
19058;9059;Bridge 3
19059;9060;Stormwind Valley of Heroes Bridge
19060;9061;Stormwind Valley of Heroes Gate
19061;9062;Horde Shrine
