long,str,long,long,long,long,float,float,float,float,long,float,bool,bool,long,str,str,str,str,str,str,None,None,float,float,float,float,None,None,None,None,float,float,None,float,float,float,float,float,float,float,bool,flags,flags,flags,
19,"WMO Magma",120,2,3072,0,0.0,0.0,0.0,0.0,7,4.0,1,1,2,"XTextures\lava\lava.%d.blp","","","","","",,,0.0,0.10000000149,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
20,"WMO Slime",322,3,3880,0,0.0,0.0,0.0,0.0,6,0.0,0,0,2,"XTextures\slime\slime.%d.blp","","","","","",,,0.0,0.10000000149,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
21,"Naxxramas - Slime",322,3,3880,28801,0.0,0.0,0.0,0.0,6,0.0,0,0,2,"XTextures\slime\slime.%d.blp","","","","","",,,0.0250000003725,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
41,"Coilfang Raid - Water",15,0,1111,37025,0.0,0.0,0.0,0.0,0,1.0,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x4E2,0x0,0x0,
61,"Hyjal Past - Water",15,0,1111,42201,0.0,0.0,0.0,0.0,0,1.0,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x4E2,0x0,0x0,
81,"Lake Wintergrasp - Water",15,0,1112,36444,0.0,0.0,0.0,0.0,0,1.0,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x4E2,0x0,0x0,
100,"Basic Procedural Water",15,1,1114,0,30.0,0.5,0.5,0.0,0,1.0,0,0,3,"XTextures\procWater\basicReflectionMap.blp","XTextures\procWater\basicReflectionMap.blp","XTextures\procWater\basicWaterHeightTex_%d.blp","XTextures\procWater\basicWaterHeightTex_%d.blp","proceduralOceanDepthTex","XTextures\ocean\ocean_h.%d.blp",,,0.10000000149,0.5,1.5,2.0,,,,,1.0,1.0,,300.0,0.333000004292,0.20000000298,0.10000000149,0.20000000298,0.800000011921,0.20000000298,1,0x4E2,0x4E2,0x4E2,
121,"CoA Black - Magma",120,2,3052,57634,0.0,0.0,0.0,0.0,7,4.0,1,1,2,"XTextures\lava\lava.%d.blp","","","","","",,,0.0,0.10000000149,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
141,"Chamber Magma",120,2,3072,57634,0.0,0.0,0.0,0.0,7,4.0,1,1,2,"XTextures\lava\lava.%d.blp","","","","","",,,0.0,0.10000000149,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x0,0x0,0x0,
181,"Orange Slime",15,0,1111,0,0.0,0.0,0.0,0.0,0,1.0,0,0,1,"XTEXTURES\LavaOrange\LavaOrange.%d.blp","proceduralRiverDepthTex","","","","",,,2.0,0.0,8.5,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0x4E2,0x0,0x0,
