long,long,float,float,float,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
149,0,-732.799377441,-592.501953125,22.6630458832,"Hillsbrad Foothills, Southshore",,,,,,,,,,,,,,,,0xFF01FE,
169,30,-157.409194946,31.2062721252,77.0505981445,"Alterac Valley, Snowfall Graveyard (Mid)",,,,,,,,,,,,,,,,0xFF01FE,
189,1,-3525.70605469,-4315.45507813,6.99560689926,"Dustwallow Marsh, Theramore Isle",,,,,,,,,,,,,,,,0xFF01FE,
209,1,-7190.94921875,-3944.65234375,9.22739124298,"Tanaris, Gadgetzan",,,,,,,,,,,,,,,,0xFF01FE,
229,1,-2517.75,-1972.64001465,91.7837982178,"The Barrens, Camp Taurajo",,,,,,,,,,,,,,,,0xFF01FE,
249,1,-1081.40002441,-3478.67993164,63.6066017151,"The Barrens, Ratchet",,,,,,,,,,,,,,,,0xFF01FE,
269,37,-448.188598633,-1027.86303711,430.724334717,"Plains of Snow - Alliance Start",,,,,,,,,,,,,,,,0xFF01FE,
289,0,2348.66992188,492.027008057,33.3665008545,"Tirisfal Glades, Brill",,,,,,,,,,,,,,,,0xFF01FE,
309,1,-4596.40429688,3229.43432617,8.99376392365,"Feralas, Feathermoon Stronghold",,,,,,,,,,,,,,,,0xFF01FE,
310,1,-4439.96679688,370.153442383,51.356552124,"Feralas, Camp Mojache",,,,,,,,,,,,,,,,0xFF01FE,
329,1,-5530.28271484,-3459.2800293,-45.7443695068,"Thousand Needles, Shimmering Flats",,,,,,,,,,,,,,,,0xFF01FE,
349,0,323.512634277,-2227.19580078,137.617462158,"The Hinterlands, Aerie Peak",,,,,,,,,,,,,,,,0xFF01FE,
369,1,2681.05786133,-4009.75390625,107.848632813,"Azshara, Talrendis Point",,,,,,,,,,,,,,,,0xFF01FE,
370,0,-10846.5742188,-2949.48779297,13.2272319794,"Blasted Lands, Dreadmaul Hold",,,,,,,,,,,,,,,,0xFF01FE,
389,0,-11542.5595703,-228.636505127,27.8427429199,"Stranglethorn Vale, Northern Stranglethorn",,,,,,,,,,,,,,,,0xFF01FE,
409,1,898.260986328,434.529998779,65.727897644,"Stonetalon Mountains, Webwinder Path",,,,,,,,,,,,,,,,0xFF01FE,
429,0,2604.52001953,-543.390014648,88.9996032715,"Tirisfal Glades, Faol's Rest",,,,,,,,,,,,,,,,0xFF01FE,
449,1,3806.53955078,-1600.29138184,218.831237793,"Felwood, Morlos'Aran",,,,,,,,,,,,,,,,0xFF01FE,
450,1,-7205.56494141,-2436.67431641,-218.160964966,"Un'Goro Crater, The Marshlands",,,,,,,,,,,,,,,,0xFF01FE,
469,1,4291.28271484,96.9557266235,43.0752563477,"Darkshore, Twilight Vale",,,,,,,,,,,,,,,,0xFF01FE,
489,0,-3347.7199707,-856.713012695,1.05955004692,"Wetlands, Baradin Bay",,,,,,,,,,,,,,,,0xFF01FE,
509,0,908.323303223,-1520.28613281,55.0371780396,"Western Plaguelands, Chillwind Camp",,,,,,,,,,,,,,,,0xFF01FE,
510,0,2055.7355957,-5020.94873047,74.8656082153,"Eastern Plaguelands, Pestilent Scar",,,,,,,,,,,,,,,,0xFF01FE,
511,1,6875.75976563,-4661.54003906,701.093994141,"Winterspring, Everlook",,,,,,,,,,,,,,,,0xFF01FE,
512,1,2421.72363281,-2953.61889648,123.473457336,"Ashenvale, Kargathia",,,,,,,,,,,,,,,,0xFF01FE,
529,451,16310.3251953,16268.9394531,69.444442749,"Programmer Isle",,,,,,,,,,,,,,,,0xFF01FE,
549,451,16223.8232422,16278.5732422,20.8912754059,"Programmer Isle",,,,,,,,,,,,,,,,0xFF01FE,
569,0,1750.34350586,-669.789855957,44.5698432922,"Western Plaguelands, Bulwark",,,,,,,,,,,,,,,,0xFF01FE,
589,1,16310.3251953,16268.9394531,69.444442749,"GM Island",,,,,,,,,,,,,,,,0xFF01FE,
609,1,2942.76000977,-6037.12988281,5.16996002197,"Azshara, Southridge Beach",,,,,,,,,,,,,,,,0xFF01FE,
610,30,-1437.67004395,-610.088989258,51.1618995667,"Alterac Valley, Horde Safe",,,,,,,,,,,,,,,,0xFF01FE,
611,30,873.00177002,-491.283630371,96.5419311523,"Alterac Valley, Alliance Safe",,,,,,,,,,,,,,,,0xFF01FE,
629,0,908.323303223,-1520.28613281,55.0371780396,"TEST for GM Client Only - Do Not Bug",,,,,,,,,,,,,,,,0xFF01FE,
630,1,4788.77978516,-6845.0,89.7901000977,"Azshara, Legash Encampment",,,,,,,,,,,,,,,,0xFF01FE,
631,1,-3127.68994141,-3046.93994141,33.8312988281,"Dustwallow Marsh, Brackenwall Village",,,,,,,,,,,,,,,,0xFF01FE,
633,1,7426.0,-2809.0,464.0,"Moonglade",,,,,,,,,,,,,,,,0xFF01FE,
634,0,1392.0,-3701.0,77.0,"Eastern Plaguelands, Darrowshire",,,,,,,,,,,,,,,,0xFF01FE,
635,1,5935.47021484,-1217.75,383.20199585,"Felwood, Irontree Woods",,,,,,,,,,,,,,,,0xFF01FE,
636,0,-6450.60986328,-1113.51000977,308.022003174,"Searing Gorge, Thorium Point",,,,,,,,,,,,,,,,0xFF01FE,
649,1,-778.0,-4985.0,19.0,"Durotar, Sen'jin Village",,,,,,,,,,,,,,,,0xFF01FE,
669,451,16614.8105469,16662.9785156,21.34217453,"Programmer Isle, Bucklers Cemetery 2",,,,,,,,,,,,,,,,0xFF01FE,
670,451,16620.7402344,16622.7011719,21.3382472992,"Programmer Isle, Bucklers Cemetery 1",,,,,,,,,,,,,,,,0xFF01FE,
671,451,16619.5195313,16577.4550781,43.9017753601,"Programmer Isle, Bucklers Cemetery 3",,,,,,,,,,,,,,,,0xFF01FE,
689,30,676.0,-374.0,30.0,"Alterac Valley, Stormpike Graveyard (Hi)",,,,,,,,,,,,,,,,0xFF01FE,
690,30,-1090.47680664,-253.308670044,57.6723709106,"Alterac Valley, Frostwolf Graveyard (Lo)",,,,,,,,,,,,,,,,0xFF01FE,
709,1,-634.634887695,-4296.03369141,40.525428772,"Durotar, Valley of Trials",,,,,,,,,,,,,,,,0xFF01FE,
729,30,73.417755127,-496.433105469,48.731918335,"Alterac Valley, PvP Alliance Choke Graveyard (A-choke)",,,,,,,,,,,,,,,,0xFF01FE,
749,30,-531.217834473,-405.231384277,49.5513763428,"Alterac Valley, PvP Horde Choke Graveyard (H-choke)",,,,,,,,,,,,,,,,0xFF01FE,
750,30,-1496.06506348,-333.338409424,101.134803772,"Alterac Valley, Frostwolf Relief Hut (H-base)",,,,,,,,,,,,,,,,0xFF01FE,
751,30,643.0,44.0,69.740196228,"Alterac Valley, Stormpike Aid Station (A-base)",,,,,,,,,,,,,,,,0xFF01FE,
769,489,1523.81152344,1481.75756836,352.007598877,"Warsong Gulch - Alliance Enter Loc",,,,,,,,,,,,,,,,0xFF01FE,
770,489,933.331481934,1433.72399902,345.535675049,"Warsong Gulch - Horde Enter Loc",,,,,,,,,,,,,,,,0xFF01FE,
771,489,1415.32995605,1554.79003906,343.156005859,"Warsong Gulch - Alliance Rez Loc",,,,,,,,,,,,,,,,0xFF01FE,
772,489,1029.14001465,1387.48999023,340.835998535,"Warsong Gulch - Horde Rez Loc",,,,,,,,,,,,,,,,0xFF01FE,
789,0,-291.0,-4374.0,107.0,"The Hinterlands, The Overlook Cliffs",,,,,,,,,,,,,,,,0xFF01FE,
809,1,1035.27001953,-2104.2800293,122.944999695,"Warsong Gulch - Horde Exit Loc",,,,,,,,,,,,,,,,0xFF01FE,
810,1,1459.17004395,-1858.67004395,124.762001038,"Warsong Gulch - Alliance Exit Loc",,,,,,,,,,,,,,,,0xFF01FE,
829,0,101.143997192,-184.934005737,127.34400177,"Alterac Valley, Alliance Exit",,,,,,,,,,,,,,,,0xFF01FE,
830,0,536.494995117,-1085.7199707,106.269996643,"Alterac Valley, Horde Exit",,,,,,,,,,,,,,,,0xFF01FE,
849,1,-4590.40869141,1632.08068848,93.9738311768,"Feralas, Dire Maul",,,,,,,,,,,,,,,,0xFF01FE,
850,1,1177.7800293,-4464.24023438,21.3539009094,"Durotar, Northern Durotar",,,,,,,,,,,,,,,,0xFF01FE,
851,1,-981.916992188,-74.6464996338,20.126499176,"Mulgore, Thunder Bluff",,,,,,,,,,,,,,,,0xFF01FE,
852,0,-5165.52001953,-874.664001465,507.177001953,"Dun Morogh, Gates of Ironforge",,,,,,,,,,,,,,,,0xFF01FE,
853,0,1780.10998535,221.761001587,59.6169013977,"Tirisfal Glades, Ruins of Lordaeron",,,,,,,,,,,,,,,,0xFF01FE,
854,0,-9552.45996094,-1374.05004883,51.2332000732,"Elwynn Forest, Eastvale Logging Camp",,,,,,,,,,,,,,,,0xFF01FE,
869,0,1236.89001465,-2411.98999023,60.6800003052,"Western Plaguelands, Caer Darrow",,,,,,,,,,,,,,,,0xFF01FE,
889,529,684.013977051,681.219970703,-12.9159002304,"Arathi Basin - Horde Entrance",,,,,,,,,,,,,,,,0xFF01FE,
890,529,1313.90002441,1310.73999023,-9.010430336,"Arathi Basin - Alliance Entrance",,,,,,,,,,,,,,,,0xFF01FE,
891,0,-831.880981445,-3518.52001953,72.4831008911,"Arathi Basin - Horde Exit",,,,,,,,,,,,,,,,0xFF01FE,
892,0,-1215.58996582,-2531.75,21.6734008789,"Arathi Basin - Alliance Exit",,,,,,,,,,,,,,,,0xFF01FE,
893,529,834.726379395,784.97869873,-57.081943512,"Arathi Basin - Graveyard, H-Mid (Farm)",,,,,,,,,,,,,,,,0xFF01FE,
894,529,1016.58831787,955.184692383,-42.8286933899,"Arathi Basin - Graveyard, Mid (Blacksmith)",,,,,,,,,,,,,,,,0xFF01FE,
895,529,1201.86950684,1163.13061523,-56.2859687805,"Arathi Basin - Graveyard, A-Mid (Stables)",,,,,,,,,,,,,,,,0xFF01FE,
896,529,1211.52368164,781.556945801,-82.7095108032,"Arathi Basin - Graveyard, ALT-N (Gold Mine)",,,,,,,,,,,,,,,,0xFF01FE,
897,529,772.75567627,1213.11376953,15.7973918915,"Arathi Basin - Graveyard, ALT-S (Lumber Mill)",,,,,,,,,,,,,,,,0xFF01FE,
898,529,1354.69995117,1270.27001953,-11.1290998459,"Arathi Basin - Graveyard, A-Base (Trollbane Hall)",,,,,,,,,,,,,,,,0xFF01FE,
899,529,713.710021973,638.364013672,-10.5999002457,"Arathi Basin - Graveyard, H-Base (Defiler's Den)",,,,,,,,,,,,,,,,0xFF01FE,
909,0,2647.55004883,-4014.38989258,105.93800354,"Eastern Plaguelands, Blackwood Lake",,,,,,,,,,,,,,,,0xFF01FE,
910,1,-6831.31738281,891.437316895,33.866268158,"Silithus, Cenarion Hold",,,,,,,,,,,,,,,,0xFF01FE,
911,0,-10606.7998047,294.04800415,31.800699234,"Duskwood, Ravenhill",,,,,,,,,,,,,,,,0xFF01FE,
912,530,10458.5478516,-6364.61425781,39.7907142639,"Eversong Woods, Sunstrider Isle",,,,,,,,,,,,,,,,0xFF01FE,
913,1,-7991.57373047,1557.80395508,4.9741859436,"Silithus, Scarab Wall (AQ Only)",,,,,,,,,,,,,,,,0xFF01FE,
914,530,8936.56445313,-7439.90283203,82.085609436,"Eversong Woods, Farstrider Lodge GY",,,,,,,,,,,,,,,,0xFF01FE,
915,530,7694.17724609,-6730.10986328,48.2906570435,"Ghostlands, Tranquillien",,,,,,,,,,,,,,,,0xFF01FE,
916,530,7015.22558594,-7299.99902344,45.4246711731,"Ghostlands, Sanctum",,,,,,,,,,,,,,,,0xFF01FE,
917,530,6730.49414063,-7936.89257813,170.098876953,"Ghostlands, Amani Pass",,,,,,,,,,,,,,,,0xFF01FE,
918,530,-4123.13916016,-13660.0722656,74.5999984741,"Azuremyst Isle, Ammen Vale",,,,,,,,,,,,,,,,0xFF01FE,
919,530,158.060165405,2562.72973633,75.7812423706,"Hellfire Peninsula, Thrallmar",,,,,,,,,,,,,,,,0xFF01FE,
920,530,-803.01171875,2702.59204102,106.758232117,"Hellfire Peninsula, Honor Hold",,,,,,,,,,,,,,,,0xFF01FE,
921,530,9407.0,-6847.66992188,16.0,"Eversong Woods, Silvermoon City",,,,,,,,,,,,,,,,0xFF01FE,
922,530,8709.45898438,-6671.76074219,70.335975647,"Eversong Woods, Fairbreeze GY",,,,,,,,,,,,,,,,0xFF01FE,
923,530,-4312.77539063,-12441.0439453,17.1903343201,"Azuremyst, Azure Watch GY",,,,,,,,,,,,,,,,0xFF01FE,
924,530,-3324.3059082,-12089.9111328,28.2748355865,"Azuremyst, Stillpine GY",,,,,,,,,,,,,,,,0xFF01FE,
925,530,-2020.59008789,-11983.5048828,33.2479667664,"Bloodmyst, Blood Watch GY",,,,,,,,,,,,,,,,0xFF01FE,
926,530,-1754.20703125,-11067.3154297,76.342338562,"Bloodmyst, Wilderness GY",,,,,,,,,,,,,,,,0xFF01FE,
927,0,1978.46850586,-3655.88500977,119.794662476,"Eastern Plaguelands, Graveyard CG Tower",,,,,,,,,,,,,,,,0xFF01FE,
928,530,335.885864258,7625.1171875,22.7485713959,"Zangarmarsh, Zabra'jin GY",,,,,,,,,,,,,,,,0xFF01FE,
929,559,4027.6015625,2972.78442383,12.0723161697,"Nagrand Arena, Team 1 Start",,,,,,,,,,,,,,,,0xFF01FE,
930,530,-2495.86645508,6802.25830078,21.3714084625,"Nagrand, SE Graveyard",,,,,,,,,,,,,,,,0xFF01FE,
931,451,16423.0,16237.0,71.0,"Programmer Isle",,,,,,,,,,,,,,,,0xFF01FE,
932,451,16223.8232422,16278.5732422,20.8912754059,"Programmer Isle",,,,,,,,,,,,,,,,0xFF01FE,
933,530,181.47505188,4361.57617188,116.884902954,"Hellfire Peninsula, Temple",,,,,,,,,,,,,,,,0xFF01FE,
934,530,-695.875244141,4118.20947266,64.486541748,"Hellfire Peninsula, Falcon Watch",,,,,,,,,,,,,,,,0xFF01FE,
935,530,742.628295898,2887.70874023,8.90098285675,"Hellfire Peninsula, Corpse Location 004",,,,,,,,,,,,,,,,0xFF01FE,
936,559,4085.44970703,2866.82861328,12.4004793167,"Nagrand Arena, Team 2 Start",,,,,,,,,,,,,,,,0xFF01FE,
937,559,4055.84814453,2921.78198242,50.3394012451,"Reuse",,,,,,,,,,,,,,,,0xFF01FE,
938,0,101.143997192,-184.934005737,127.34400177,"Alterac Valley, Alliance Exit",,,,,,,,,,,,,,,,0xFF01FE,
939,562,6292.65869141,288.579498291,4.95929002762,"Blade's Edge Arena, Team 1",,,,,,,,,,,,,,,,0xFF01FE,
940,562,6184.98242188,236.011444092,4.97687387466,"Blade's Edge Arena, Team 2",,,,,,,,,,,,,,,,0xFF01FE,
941,530,540.309875488,3932.87988281,188.931777954,"Hellfire Peninsula, Test Corpse Location",,,,,,,,,,,,,,,,0xFF01FE,
942,530,540.979919434,3144.22558594,8.45675086975,"Hellfire Peninsula, Corpse Location 001",,,,,,,,,,,,,,,,0xFF01FE,
943,530,582.863952637,2954.06396484,4.56392002106,"Hellfire Peninsula, Corpse Location 002",,,,,,,,,,,,,,,,0xFF01FE,
944,530,742.628295898,2887.70874023,8.90098285675,"Hellfire Peninsula, Corpse Location 003",,,,,,,,,,,,,,,,0xFF01FE,
945,530,1148.44226074,1798.13757324,116.295547485,"Hellfire Peninsula, Corpse Location 005",,,,,,,,,,,,,,,,0xFF01FE,
946,530,851.693603516,1688.06164551,89.7566375732,"Hellfire Peninsula, Corpse Location 006",,,,,,,,,,,,,,,,0xFF01FE,
947,530,608.096801758,1778.63439941,104.435562134,"Hellfire Peninsula, Corpse Location 007",,,,,,,,,,,,,,,,0xFF01FE,
948,530,354.617950439,1952.75,23.7654380798,"Hellfire Peninsula, Corpse Location 008",,,,,,,,,,,,,,,,0xFF01FE,
949,530,107.711593628,1841.2310791,21.8837985992,"Hellfire Peninsula, Corpse Location 009",,,,,,,,,,,,,,,,0xFF01FE,
950,530,274.598846436,1674.62585449,-5.77610492706,"Hellfire Peninsula, Corpse Location 010",,,,,,,,,,,,,,,,0xFF01FE,
951,530,60.8809700012,1542.6875,17.0833148956,"Hellfire Peninsula, Corpse Location 011",,,,,,,,,,,,,,,,0xFF01FE,
952,530,-92.831703186,1350.90979004,-12.2025432587,"Hellfire Peninsula, Corpse Location 012",,,,,,,,,,,,,,,,0xFF01FE,
953,530,134.527999878,1230.39416504,2.39735603333,"Hellfire Peninsula, Corpse Location 013",,,,,,,,,,,,,,,,0xFF01FE,
954,530,298.666137695,1225.22705078,-1.17947697639,"Hellfire Peninsula, Corpse Location 014",,,,,,,,,,,,,,,,0xFF01FE,
955,530,386.682067871,1044.77648926,26.8733654022,"Hellfire Peninsula, Corpse Location 015",,,,,,,,,,,,,,,,0xFF01FE,
956,530,337.840057373,853.218322754,13.885134697,"Hellfire Peninsula, Corpse Location 016",,,,,,,,,,,,,,,,0xFF01FE,
957,530,60.3844413757,725.154968262,14.5849323273,"Hellfire Peninsula, Corpse Location 017",,,,,,,,,,,,,,,,0xFF01FE,
958,530,-213.511505127,730.684448242,-0.830687999725,"Hellfire Peninsula, Corpse Location 018",,,,,,,,,,,,,,,,0xFF01FE,
959,530,-570.326843262,675.784729004,-0.703823983669,"Hellfire Peninsula, Corpse Location 019",,,,,,,,,,,,,,,,0xFF01FE,
960,530,-958.584228516,803.907104492,2.53477692604,"Hellfire Peninsula, Corpse Location 020",,,,,,,,,,,,,,,,0xFF01FE,
961,530,-827.569030762,1194.33947754,16.2846469879,"Hellfire Peninsula, Corpse Location 021",,,,,,,,,,,,,,,,0xFF01FE,
962,530,-465.074829102,1272.10461426,12.3894958496,"Hellfire Peninsula, Corpse Location 022",,,,,,,,,,,,,,,,0xFF01FE,
963,530,-668.975036621,1516.19189453,17.995923996,"Hellfire Peninsula, Corpse Location 023",,,,,,,,,,,,,,,,0xFF01FE,
964,530,-1278.3671875,1381.71179199,9.1048784256,"Hellfire Peninsula, Corpse Location 024",,,,,,,,,,,,,,,,0xFF01FE,
965,530,-1306.27844238,2478.3984375,56.8094444275,"Hellfire Peninsula, Corpse Location 025",,,,,,,,,,,,,,,,0xFF01FE,
966,530,-1497.3984375,2657.16918945,-53.1745986938,"Hellfire Peninsula, Corpse Location 026",,,,,,,,,,,,,,,,0xFF01FE,
967,530,-1445.69775391,3050.23486328,-16.8278617859,"Hellfire Peninsula, Corpse Location 027",,,,,,,,,,,,,,,,0xFF01FE,
968,530,-1510.359375,3281.80688477,-16.8644351959,"Hellfire Peninsula, Corpse Location 028",,,,,,,,,,,,,,,,0xFF01FE,
969,530,248.338928223,7084.92822266,36.4931259155,"Zangarmarsh, PvP GY",,,,,,,,,,,,,,,,0xFF01FE,
970,530,211.31489563,6200.03320313,22.298784256,"Zangarmarsh, Telredor GY",,,,,,,,,,,,,,,,0xFF01FE,
971,562,6238.93017578,262.963470459,0.889518976212,"Blades Edge - PvP - Arena Graveyard",,,,,,,,,,,,,,,,0xFF01FE,
972,530,1286.72546387,7883.12255859,10.2221956253,"Zangarmarsh, Corpse Location 006",,,,,,,,,,,,,,,,0xFF01FE,
973,530,-212.452255249,5579.671875,22.1779727936,"Zangarmarsh, Cenarion GY",,,,,,,,,,,,,,,,0xFF01FE,
974,530,1011.1605835,5039.57275391,-26.8250236511,"Zangarmarsh, Corpse Location 001",,,,,,,,,,,,,,,,0xFF01FE,
975,530,781.712768555,4987.82470703,-12.3655595779,"Zangarmarsh, Corpse Location 002",,,,,,,,,,,,,,,,0xFF01FE,
976,530,1001.89508057,5714.5703125,-9.30326271057,"Zangarmarsh, Corpse Location 003",,,,,,,,,,,,,,,,0xFF01FE,
977,530,1394.98217773,7756.50341797,12.2896823883,"Zangarmarsh, Corpse Location 004",,,,,,,,,,,,,,,,0xFF01FE,
978,530,1412.40881348,8430.12109375,-4.67992115021,"Zangarmarsh, Corpse Location 008",,,,,,,,,,,,,,,,0xFF01FE,
979,530,1398.57751465,7763.02880859,8.54554367065,"Zangarmarsh, Corpse Location 005",,,,,,,,,,,,,,,,0xFF01FE,
980,530,1317.49523926,8135.39160156,-2.85691595078,"Zangarmarsh, Corpse Location 007",,,,,,,,,,,,,,,,0xFF01FE,
981,530,1706.28015137,8407.8125,-24.7730979919,"Zangarmarsh, Corpse Location 009",,,,,,,,,,,,,,,,0xFF01FE,
982,530,1348.11999512,8677.56640625,6.86939001083,"Zangarmarsh, Corpse Location 011",,,,,,,,,,,,,,,,0xFF01FE,
983,530,1838.92834473,8496.51367188,-19.025062561,"Zangarmarsh, Corpse Location 010",,,,,,,,,,,,,,,,0xFF01FE,
984,530,1347.02111816,8679.2265625,6.67158508301,"Zangarmarsh, Corpse Location 012",,,,,,,,,,,,,,,,0xFF01FE,
985,530,1104.39538574,8781.98242188,-10.8889408112,"Zangarmarsh, Corpse Location 013",,,,,,,,,,,,,,,,0xFF01FE,
986,530,747.447143555,8702.8984375,6.10944318771,"Zangarmarsh, Corpse Location 014",,,,,,,,,,,,,,,,0xFF01FE,
987,530,381.309570313,9113.73828125,-4.27206420898,"Zangarmarsh, Corpse Location 016",,,,,,,,,,,,,,,,0xFF01FE,
988,530,702.7578125,8927.52734375,-2.82060909271,"Zangarmarsh, Corpse Location 015",,,,,,,,,,,,,,,,0xFF01FE,
989,530,223.549911499,9132.74414063,-11.7460489273,"Zangarmarsh, Corpse Location 017",,,,,,,,,,,,,,,,0xFF01FE,
990,530,32.1570091248,9120.39648438,-17.2552452087,"Zangarmarsh, Corpse Location 018",,,,,,,,,,,,,,,,0xFF01FE,
991,530,-160.425247192,9053.54394531,5.14202690125,"Zangarmarsh, Corpse Location 019",,,,,,,,,,,,,,,,0xFF01FE,
992,530,-1066.97302246,8066.54443359,-39.2593269348,"Nagrand, Northwind Cleft",,,,,,,,,,,,,,,,0xFF01FE,
993,530,-1654.37304688,7938.99414062,-46.2350120544,"Nagrand, Halaa GY",,,,,,,,,,,,,,,,0xFF01FE,
994,530,-1793.41564941,4931.60742188,-22.209482193,"Terokkar Forest, Shattrath GY",,,,,,,,,,,,,,,,0xFF01FE,
995,530,-2540.15161133,3866.64794922,10.0768651962,"Terokkar Forest, Wilderness GY",,,,,,,,,,,,,,,,0xFF01FE,
996,451,1463.21875,16470.0800781,66.4858093262,"Test - Programmer",,,,,,,,,,,,,,,,0xFF01FE,
997,451,66.296875,60.125,6.44391584396,"Test - Programmer 001",,,,,,,,,,,,,,,,0xFF01FE,
998,559,4055.50439453,2919.66064453,13.6112413406,"Nagrand - PvP - Arena Graveyard",,,,,,,,,,,,,,,,0xFF01FE,
999,530,-697.572570801,8881.73144531,185.450332642,"Nagrand, Corpse Location 001",,,,,,,,,,,,,,,,0xFF01FE,
1000,530,-999.506286621,9045.61621094,91.5906295776,"Nagrand, Corpse Location 002",,,,,,,,,,,,,,,,0xFF01FE,
