long,float,bool,float,long,long,flags,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,
15,0.699999988079,1,0.699999988079,60,189,0x0,0,-1,-1,"Felhunter",,,,,,,,,,,,,,,,0xFF01FE,"",
16,0.800000011921,1,0.800000011921,60,204,0x0,0,-1,-1,"Voidwalker",,,,,,,,,,,,,,,,0xFF01FE,"",
17,1.0,1,1.0,60,205,0x0,0,-1,-1,"Succubus",,,,,,,,,,,,,,,,0xFF01FE,"",
19,1.0,1,1.0,60,207,0x0,0,-1,-1,"Doomguard",,,,,,,,,,,,,,,,0xFF01FE,"",
20,0.699999988079,1,1.0,60,236,0x10E,1,1,15,"Scorpid",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Scorpid",
21,0.5,1,0.72000002861,60,251,0x10E,58,1,21,"Turtle",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Turtle",
23,0.5,1,0.5,60,188,0x0,0,-1,-1,"Imp",,,,,,,,,,,,,,,,0xFF01FE,"",
24,0.40000000596,1,0.629999995232,60,653,0x10E,49,2,0,"Bat",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Bat",
25,0.699999988079,1,0.899999976158,60,654,0x10E,1,0,10,"Hyena",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Hyena",
26,0.5,1,0.800000011921,60,655,0x10E,3,2,2,"Bird of Prey",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Owl",
27,0.5,1,0.699999988079,60,656,0x10E,14,2,22,"Wind Serpent",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_WindSerpent",
28,0.0,0,0.0,0,758,0x0,0,-1,-1,"Remote Control",,,,,,,,,,,,,,,,0xFF01FE,"",
29,0.899999976158,1,0.899999976158,60,761,0x0,0,-1,-1,"Felguard",,,,,,,,,,,,,,,,0xFF01FE,"",
30,0.34999999404,1,0.649999976158,60,763,0x10E,35,2,8,"Dragonhawk",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_DragonHawk",
31,0.649999976158,1,0.899999976158,60,767,0x10E,1,2,14,"Ravager",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Ravager",
32,0.449999988079,1,0.600000023842,60,766,0x10E,34,1,21,"Warp Stalker",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_WarpStalker",
33,0.600000023842,1,0.899999976158,60,765,0x10E,60,2,18,"Sporebat",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Sporebat",
34,0.34999999404,1,0.550000011921,60,764,0x10E,17,2,12,"Nether Ray",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_NetherRay",
35,0.600000023842,1,0.800000011921,60,768,0x10E,1,2,16,"Serpent",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Spell_Nature_GuardianWard",
37,0.34999999404,1,0.649999976158,60,775,0x10E,60,0,11,"Moth",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Moth",
38,0.5,1,0.629999995232,60,780,0x10E,1,2,24,"Chimaera",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Chimera",
39,0.300000011921,1,0.5,60,781,0x10E,1,0,25,"Devilsaur",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Devilsaur",
40,1.0,1,1.0,80,782,0x0,0,-1,26,"Ghoul",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Creature_Cursed_05",
41,0.699999988079,1,1.0,60,783,0x10E,17,2,63,"Silithid",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Silithid",
42,0.699999988079,1,1.0,60,784,0x10E,28,1,62,"Worm",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Worm",
43,0.34999999404,1,0.560000002384,60,786,0x10E,60,1,61,"Rhino",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Rhino",
44,0.40000000596,1,0.600000023842,60,785,0x10E,60,0,60,"Wasp",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_Wasp",
45,0.300000011921,1,0.5,60,787,0x10E,1,0,59,"Core Hound",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Hunter_Pet_CoreHound",
46,0.699999988079,1,1.10000002384,60,788,0x10E,3,0,58,"Spirit Beast",,,,,,,,,,,,,,,,0xFF01FE,"Interface\Icons\Ability_Druid_PrimalPrecision",
