id;modelid1;value
295;1291;Innkeeper Farley
297;1756;Caretaker Folsom
299;31049;Diseased Young Wolf
300;655;Zzarc' Vul
302;915;Blind Mary
304;2346;Felsteed
305;2410;White Stallion
306;2408;Palomino
307;2409;Pinto
308;2402;Black Stallion
311;4327;Sven Yorgen
313;3348;Theocritus
314;10487;Eliza
315;1562;Stalvan Mistmantle
325;4320;Hogan Ference
327;2299;Goldtooth
328;1294;Zaldimar Wefhellt
329;453;Earth Elemental
330;8871;Princess
331;1484;Maginor Dumas
332;1736;Master Mathias Shaw
334;6050;Gath'Ilzogg
335;497;Singe
338;5080;Mazen Mac'Nadir
340;5728;Kendor Kabonka
341;1748;Foreman Oslow
342;1743;Martie Jainrose
343;3377;Chef Breanna
344;1753;Magistrate Solomon
345;703;Bellygrub
346;3370;Barkeep Daniels
347;15099;Grizzle Halfmane
348;3359;Zem Leeward
349;1826;Corporal Keeshan
352;5128;Dungar Longdrink
353;14944;Antonia Dart
356;207;Black Wolf
358;247;Timber Wolf
359;1166;Winter Wolf
372;8089;Karm Ironquill
374;4287;Cog Glitzspinner
375;3344;Priestess Anetta
376;1495;High Priestess Laurena
377;1295;Priestess Josetta
379;3367;Darcy
381;3360;Dockmaster Baren
382;3454;Marshal Marris
383;3273;Jason Mathers
384;3270;Katie Hunter
385;229;Horse
390;377;Porcine Entourage
391;5243;Old Murk-Eye
392;1279;Captain Grayson
395;262;Markus
397;3383;Morganth
412;1693;Stitches
415;3358;Verner Osgood
416;4449;Imp
417;850;Felhunter
422;506;Murloc Flesheater
423;487;Redridge Mongrel
424;551;Redridge Poacher
426;500;Redridge Brute
428;490;Dire Condor
429;491;Shadowhide Darkweaver
430;10789;Redridge Mystic
431;493;Shadowhide Slayer
432;1887;Shadowhide Brute
433;275;Shadowhide Gnoll
434;275;Rabid Shadowhide Gnoll
435;6044;Blackrock Champion
436;6039;Blackrock Shadowcaster
437;6037;Blackrock Renegade
440;6033;Blackrock Grunt
441;387;Black Dragon Whelp
442;366;Tarantula
445;609;Redridge Alpha
446;609;Redridge Basher
448;384;Hogger
449;2344;Defias Knuckleduster
450;4420;Defias Renegade Mage
452;383;Riverpaw Bandit
453;502;Riverpaw Mystic
454;8871;Young Goretusk
456;486;Murloc Minor Oracle
458;757;Murloc Hunter
459;3345;Drusilla La Salle
460;1930;Alamar Grimm
461;1469;Demisette Cloyce
462;507;Vultros
464;2150;Guard Parker
465;3266;Barkeep Dobbins
466;1688;General Marcus Jonathan
467;2311;The Defias Traitor
468;4310;Town Crier
469;2593;Lieutenant Doren
471;2541;Mother Fang
472;175;Fedfennel
473;2074;Morgan the Collector
474;2359;Defias Rogue Wizard
475;139;Kobold Tunneler
476;163;Kobold Geomancer
478;512;Riverpaw Outrunner
480;514;Rusty Harvest Golem
481;2333;Defias Footpad
482;3246;Elling Trias
483;5546;Elaine Trias
485;6034;Blackrock Outrunner
486;6043;Tharil'zun
487;2368;Protector Bialon
488;2371;Protector Weaver
489;2364;Protector Dutfield
490;2367;Protector Gariel
491;3342;Quartermaster Lewis
494;2379;Watcher Bukouris
495;2391;Watcher Keefer
499;2396;Watcher Paige
500;374;Riverpaw Scout
501;413;Riverpaw Herbalist
502;4422;Benny Blaanco
503;10626;Lord Malathrom
504;2331;Defias Trapper
505;520;Greater Tarantula
506;383;Sergeant Brashclaw
507;11179;Fenros
510;525;Water Elemental
511;828;Insane Ghoul
513;1994;Murloc Netter
514;1288;Smith Argus
515;441;Murloc Raider
517;1079;Murloc Oracle
518;488;Yowler
519;540;Slark
520;652;Brack
521;11412;Lupos
522;21691;Mor'Ladim
523;3263;Thor
524;389;Rockhide Boar
525;903;Mangy Wolf
531;7550;Skeletal Fiend
533;203;Nightbane Shadow Weaver
534;11181;Nefaru
539;958;Pygmy Venom Web Spider
541;6852;Riding Gryphon
543;12749;Nalesette Wildbringer
544;5243;Murloc Nightcrawler
545;5293;Murloc Tidecaller
547;3035;Great Goretusk
548;1079;Murloc Minor Tidecaller
550;2312;Defias Messenger
565;802;Rabid Dire Wolf
568;662;Shadowhide Warrior
569;2541;Green Recluse
570;569;Brain Eater
572;1065;Leprithus
573;548;Foe Reaper 4000
574;963;Naraxis
575;1405;Fire Elemental
576;2375;Watcher Ladimore
578;391;Murloc Scout
579;550;Shadowhide Assassin
580;551;Redridge Drudger
582;236;Old Blanchy
583;184;Defias Ambusher
584;6041;Kazon
587;4570;Bloodscalp Warrior
588;4575;Bloodscalp Scout
589;2338;Defias Pillager
590;2340;Defias Looter
594;2323;Defias Henchman
595;4574;Bloodscalp Hunter
596;3267;Brainwashed Noble
597;4579;Bloodscalp Berserker
598;308;Defias Miner
599;2355;Marisa du'Paige
603;10792;Grimtooth
604;519;Plague Spreader
615;6040;Blackrock Tracker
616;821;Chatter
619;2329;Defias Conjurer
620;304;Chicken
621;304;Chicken
622;7109;Goblin Engineer
623;11402;Skeletal Miner
624;10630;Undead Excavator
625;829;Undead Dynamiter
626;10628;Foreman Thistlenettle
628;741;Black Ravager
633;1571;Elaine Carevin
634;2316;Defias Overseer
636;2314;Defias Blackguard
639;2029;Edwin VanCleef
641;7111;Goblin Woodcarver
642;1269;Sneed's Shredder
643;7125;Sneed
644;14403;Rhahk'Zor
645;1305;Cookie
646;2026;Mr. Smite
647;7113;Captain Greenskin
648;5003;Bridge Worker Trent
649;5004;Bridge Worker Dmitri
650;5005;Bridge Worker Jess
651;5006;Bridge Worker Daniel
652;5007;Bridge Worker Matthew
653;5008;Bridge Worker Alex
656;2363;Wilder Thistlenettle
657;2347;Defias Pirate
658;1362;Sten Stoutarm
659;589;El Pollo Grande
660;4581;Bloodscalp Witch Doctor
661;4338;Jonathan Carevin
663;2027;Calor
664;221;Benjamin Carevin
667;4632;Skullsplitter Warrior
669;4628;Skullsplitter Hunter
670;4627;Skullsplitter Witch Doctor
671;4580;Bloodscalp Headhunter
672;4621;Skullsplitter Spiritchaser
674;7202;Venture Co. Strip Miner
675;7196;Venture Co. Foreman
676;7203;Venture Co. Surveyor
677;7204;Venture Co. Tinkerer
678;416;Mosh'Ogg Mauler
679;536;Mosh'Ogg Shaman
680;11569;Mosh'Ogg Lord
681;598;Young Stranglethorn Tiger
682;320;Stranglethorn Tiger
683;2437;Young Panther
684;633;Shadowmaw Panther
685;788;Stranglethorn Raptor
686;788;Lashtail Raptor
687;11317;Jungle Stalker
688;12344;Stone Maw Basilisk
689;601;Crystal Spine Basilisk
690;8797;Cold Eye Basilisk
691;5561;Lesser Water Elemental
694;4572;Bloodscalp Axe Thrower
696;4622;Skullsplitter Axe Thrower
697;4573;Bloodscalp Shaman
698;320;Bloodscalp Tiger
699;4576;Bloodscalp Beastmaster
701;4577;Bloodscalp Mystic
702;4571;Bloodscalp Scavenger
703;492;Lieutenant Fangore
704;11416;Ragged Timber Wolf
705;855;Ragged Young Wolf
706;27502;Frostmane Troll Whelp
707;606;Rockjaw Trogg
708;607;Small Crag Boar
709;655;Mosh'Ogg Warmonger
710;6704;Mosh'Ogg Spellcrafter
711;603;Ardo Dirtpaw
712;489;Redridge Thrasher
713;1355;Balir Frosthammer
714;1363;Talin Keeneye
715;1410;Hemet Nesingwary Jr.
716;1413;Barnil Stonepot
717;1658;Ajeck Rouack
718;1659;Sir S. J. Erlgadin
721;328;Rabbit
723;11568;Mosh'Ogg Butcher
724;160;Burly Rockjaw Trogg
727;1598;Ironforge Mountaineer
728;613;Bhag'thera
729;471;Sin'Dall
730;8472;Tethis
731;616;King Bangalash
732;983;Murloc Lurker
733;4393;Sergeant Yohwa
734;4398;Corporal Bluth
735;527;Murloc Streamrunner
736;599;Panther
737;7163;Kebok
738;4664;Private Thorsen
739;4392;Brother Nimetz
740;9582;Adolescent Whelp
741;621;Dreaming Whelp
742;7863;Green Wyrmkin
743;7974;Wyrmkin Dreamwalker
744;7903;Green Scalebane
745;7976;Scalebane Captain
746;625;Elder Dragonkin
747;506;Marsh Murloc
750;1995;Marsh Inkspewer
751;391;Marsh Flesheater
752;386;Marsh Oracle
754;4660;Rebel Watchman
755;628;Lost One Mudlurker
756;633;Skullsplitter Panther
757;152;Lost One Fisherman
758;614;Skullsplitter Tiger
759;152;Lost One Hunter
760;628;Lost One Muckdweller
761;4688;Lost One Seer
762;4688;Lost One Riftseeker
763;10921;Lost One Chieftain
764;2024;Swampwalker
765;9012;Swampwalker Elder
766;697;Tangled Horror
767;632;Swamp Jaguar
768;633;Shadow Panther
769;336;Deathstrike Tarantula
770;4396;Corporal Kaleb
771;7848;Commander Felstrom
772;614;Stranglethorn Tigress
773;7164;Krazek
775;4460;Kurzen's Agent
777;3366;Amy Davenport
780;4616;Skullsplitter Mystic
781;4635;Skullsplitter Headhunter
782;4625;Skullsplitter Scout
783;4623;Skullsplitter Berserker
784;4624;Skullsplitter Beastmaster
785;612;Skeletal Warder
786;1354;Grelin Whitebeard
787;7555;Skeletal Healer
789;3369;Kimberly Hiett
790;3363;Karen Taylor
791;3368;Lindsay Ashlock
793;3356;Kara Adams
794;338;Matt
795;338;Mark
796;221;Joshua
797;338;Bo
798;221;Solomon
799;338;Kevin
800;338;Kyle
801;262;Eric
802;221;Jay
804;257;Dana
805;262;Cameron
806;338;John
807;252;Lisa
808;27505;Grik'nir the Cold
810;338;Aaron
811;221;Jose
812;1745;Alma Jainrose
813;637;Colonel Kurzen
814;4455;Sergeant Malthus
815;4451;Bookie Herod
818;11546;Mai'Zoth
819;3916;Servant of Ilgalar
820;2374;Scout Riell
821;2372;Captain Danuvin
822;1006;Young Forest Bear
823;2072;Deputy Willem
824;2441;Defias Digger
826;2389;Watcher Jan
827;2395;Watcher Mocarski
828;2397;Watcher Petras
829;3388;Adlin Pridedrift
830;342;Sand Crawler
831;979;Sea Crawler
832;5327;Dust Devil
833;161;Coyote Packleader
834;643;Coyote
836;3406;Durnan Furcutter
837;3401;Branstock Khalder
840;2380;Watcher Backus
842;308;Lumberjack
843;3260;Gina MacGregor
844;4416;Antonio Perelli
846;646;Rotten Ghoul
847;338;Nathan
848;257;Madison
849;252;Rachel
850;257;Erin
851;344;Hannah
853;1598;Coldridge Mountaineer
854;615;Young Jungle Stalker
855;180;Young Stranglethorn Raptor
856;2571;Young Lashtail Raptor
857;15114;Donal Osgood
858;2543;Sorrow Spinner
859;3453;Guard Berton
861;4497;Stonard Scout
862;4495;Stonard Explorer
863;4499;Stonard Hunter
864;4501;Stonard Orc
865;4506;Stonard Wayfinder
866;4503;Stonard Grunt
867;4508;Stonard Cartographer
868;4551;Stonard Shaman
869;2366;Protector Dorana
870;2365;Protector Deni
871;506;Saltscale Warrior
873;11293;Saltscale Oracle
874;2369;Protector Korelor
875;391;Saltscale Tide Lord
876;2370;Protector Leick
877;4920;Saltscale Forager
878;2373;Scout Galiaan
879;1079;Saltscale Hunter
880;3322;Erlan Drudgemoor
881;3321;Surena Caledon
883;347;Deer
885;2392;Watcher Keller
886;2387;Watcher Hartin
887;2390;Watcher Jordan
888;2384;Watcher Dodds
889;415;Splinter Fist Ogre
890;654;Fawn
891;326;Splinter Fist Fire Weaver
892;11567;Splinter Fist Taskmaster
893;4329;Lars
894;3332;Homer Stonefield
895;3395;Thorgas Grimson
896;3339;Veldan Lightfoot
898;657;Nightbane Worgen
900;5009;Bailiff Conacher
903;3446;Guard Howe
905;705;Sharptooth Frenzy
906;3271;Maximillian Crowe
907;15115;Keras Wolfheart
908;4488;Flora Silverwind
909;4279;Defias Night Blade
910;4281;Defias Enchanter
911;3343;Llane Beshere
912;3399;Thran Khorman
913;1300;Lyria Du Lac
914;1504;Ander Germaine
915;3351;Jorik Kerridan
916;3407;Solm Hargrin
917;1297;Keryn Sylvius
918;1507;Osborne the Night Man
920;1098;Nightbane Tainted One
921;7198;Venture Co. Lumberjack
922;9571;Silt Crawler
923;246;Young Black Ravager
925;3346;Brother Sammuel
926;3393;Bromos Grummner
927;1299;Brother Wilhelm
928;1499;Lord Grayson Shadowbreaker
930;368;Black Widow Hatchling
931;3364;Ariena Stormfeather
932;3384;Guard Ashlock
933;3450;Guard Hiett
934;3455;Guard Clarke
935;3447;Guard Pearce
936;3641;Guard Adams
937;4443;Kurzen Jungle Fighter
938;4439;Kurzen Commando
939;4446;Kurzen Elite
940;4436;Kurzen Medicine Man
941;4444;Kurzen Headshrinker
942;4450;Kurzen Witch Doctor
943;4438;Kurzen Wrangler
944;10216;Marryk Nurribit
945;3391;Rybrad Coldbank
946;27492;Frostmane Novice
947;10792;Rohh the Silent
948;137;Rotted One
949;545;Carrion Recluse
950;5243;Swamp Talker
951;3253;Brother Paxton
952;3317;Brother Neals
954;1842;Kat Sampson
955;3338;Sergeant De Vries
956;3353;Dorin Songblade
957;3354;Dane Lindgren
958;3347;Dawn Brightstar
959;5012;Morley Eberlein
960;4336;Gunder Thornbush
963;3279;Deputy Rainer
976;320;Kurzen War Tiger
977;599;Kurzen War Panther
978;4459;Kurzen Subchief
979;4454;Kurzen Shadow Hunter
980;4562;Grimnal
981;4561;Hartash
982;4563;Thultash
983;4564;Thultazor
984;4565;Thralosh
985;4556;Malosh
986;4552;Haromm
987;4560;Ogromm
988;4567;Kartosh
989;4559;Banalash
999;2398;Watcher Royce
1000;2381;Unkillable Test Dummy
1001;2388;Watcher Hutchins
1007;3199;Mosshide Gnoll
1008;355;Mosshide Mongrel
1009;3197;Mosshide Mistweaver
1010;714;Mosshide Fenrunner
1011;8598;Mosshide Trapper
1012;3196;Mosshide Brute
1013;714;Mosshide Mystic
1014;543;Mosshide Alpha
1015;670;Highland Raptor
1016;673;Highland Lashtail
1017;649;Highland Scytheclaw
1018;180;Highland Razormaw
1019;788;Elder Razormaw
1020;960;Mottled Raptor
1021;677;Mottled Screecher
1022;648;Mottled Scytheclaw
1023;949;Mottled Razormaw
1024;486;Bluegill Murloc
1025;983;Bluegill Puddlejumper
1026;1305;Bluegill Forager
1027;506;Bluegill Warrior
1028;1079;Bluegill Muckdweller
1029;486;Bluegill Oracle
1030;360;Black Slime
1031;11138;Crimson Ooze
1032;767;Black Ooze
1033;11139;Monstrous Ooze
1034;4916;Dragonmaw Raider
1035;4917;Dragonmaw Swamprunner
1036;4919;Dragonmaw Centurion
1037;4912;Dragonmaw Battlemaster
1038;4924;Dragonmaw Shadowwarder
1039;713;Fen Dweller
1040;2023;Fen Creeper
1041;2024;Fen Lord
1042;9583;Red Whelp
1043;956;Lost Whelp
1044;8712;Flamesnorting Whelp
1045;363;Red Dragonspawn
1046;8312;Red Wyrmkin
1047;8313;Red Scalebane
1048;716;Scalebane Lieutenant
1049;8314;Wyrmkin Firebrand
1050;8315;Scalebane Royal Guard
1051;825;Dark Iron Dwarf
1052;3490;Dark Iron Saboteur
1053;3488;Dark Iron Tunneler
1054;3487;Dark Iron Demolitionist
1057;4918;Dragonmaw Bonewarder
1059;4634;Ana'thek the Cruel
1060;4633;Mogh the Undying
1061;4582;Gan'zulah
1062;4584;Nezzliok the Dire
1063;7975;Jade
1064;4368;Grom'gol Grunt
1065;204;Riverpaw Shaman
1066;695;Mottled Riptooth
1068;2740;Gorn
1069;505;Crimson Whelp
1070;2151;Deputy Feldon
1071;1671;Longbraid the Grim
1072;1673;Roggo Harlbarrow
1073;1672;Ashlan Stonesmirk
1074;1675;Motley Garmason
1075;1676;Rhag Garmason
1076;1401;Merrin Rockweaver
1077;1399;Prospector Whelgar
1078;1402;Ormer Ironbraid
1081;9010;Mire Lord
1082;807;Sawtooth Crocolisk
1083;1305;Murloc Shorestriker
1084;814;Young Sawtooth Crocolisk
1085;698;Elder Stranglethorn Tiger
1087;815;Sawtooth Snapper
1088;699;Monstrous Crawler
1089;1628;Mountaineer Cobbleflint
1090;1629;Mountaineer Wallbang
1091;1625;Mountaineer Gravelgaw
1092;1630;Captain Rugelfuss
1093;1685;Chief Engineer Hinderweir VII
1094;7201;Venture Co. Miner
1095;7205;Venture Co. Workboss
1096;7197;Venture Co. Geologist
1097;7200;Venture Co. Mechanic
1098;2394;Watcher Merant
1099;2386;Watcher Gelwin
1100;2400;Watcher Selkin
1101;2401;Watcher Thayer
1103;1290;Eldrin
1104;3397;Grundel Harkin
1105;1572;Jern Hornhelm
1106;152;Lost One Cook
1108;843;Mistvale Gorilla
1109;2305;Fleshripper
1110;734;Skeletal Raider
1111;711;Leech Stalker
1112;955;Leech Widow
1114;845;Jungle Thunderer
1115;726;Rockjaw Skullthumper
1116;726;Rockjaw Ambusher
1117;726;Rockjaw Bonesnapper
1118;723;Rockjaw Backbreaker
1119;830;Hammerspine
1120;27500;Frostmane Troll
1121;27498;Frostmane Snowstrider
1122;27490;Frostmane Hideskinner
1123;27464;Frostmane Headhunter
1124;27496;Frostmane Shadowcaster
1125;607;Crag Boar
1126;381;Large Crag Boar
1127;744;Elder Crag Boar
1128;8843;Young Black Bear
1129;719;Black Bear
1130;913;Bjarn
1131;785;Winter Wolf
1132;11422;Timber
1133;11416;Starving Winter Wolf
1134;929;Young Wendigo
1135;950;Wendigo
1137;931;Edan the Howler
1138;604;Snow Tracker Wolf
1139;1597;Magistrate Bluntnose
1140;11316;Razormaw Matriarch
1141;5073;Angus Stern
1142;11567;Mosh'Ogg Brute
1144;610;Mosh'Ogg Witch Doctor
1146;4389;Vharr
1147;4371;Hragran
1148;4377;Nerrist
1149;4388;Uthok
1150;1039;River Crocolisk
1151;2548;Saltwater Crocolisk
1152;833;Snapjaw Crocolisk
1153;1656;Torren Squarejaw
1154;1596;Marek Ironheart
1155;1618;Kelt Thomasin
1156;19826;Vyrin Swiftwind
1157;3505;Cursed Sailor
1158;11372;Cursed Marine
1159;3512;First Mate Snellig
1160;3494;Captain Halyndor
1161;763;Stonesplinter Trogg
1162;764;Stonesplinter Scout
1163;160;Stonesplinter Skullthumper
1164;722;Stonesplinter Bonesnapper
1165;160;Stonesplinter Geomancer
1166;764;Stonesplinter Seer
1167;722;Stonesplinter Digger
1169;3456;Dark Iron Insurgent
1172;10913;Tunnel Rat Vermin
1173;365;Tunnel Rat Scout
1174;163;Tunnel Rat Geomancer
1175;373;Tunnel Rat Digger
1176;10912;Tunnel Rat Forager
1177;2299;Tunnel Rat Surveyor
1178;1122;Mo'grosh Ogre
1179;6692;Mo'grosh Enforcer
1180;14403;Mo'grosh Brute
1181;1045;Mo'grosh Shaman
1182;2070;Brother Anton
1183;1052;Mo'grosh Mystic
1184;827;Cliff Lurker
1185;520;Wood Lurker
1186;707;Elder Black Bear
1187;1356;Daryl the Youngling
1188;762;Grizzled Black Bear
1189;762;Black Bear Patriarch
1190;704;Mountain Boar
1191;3027;Mangy Mountain Boar
1192;1208;Elder Mountain Boar
1193;1004;Loch Frenzy
1194;410;Mountain Buzzard
1195;827;Forest Lurker
1196;8840;Ice Claw Bear
1197;763;Stonesplinter Shaman
1198;5014;Rallic Finn
1199;748;Juvenile Snow Leopard
1200;4272;Morbent Fel
1201;954;Snow Leopard
1202;26;Tunnel Rat Kobold
1203;2399;Watcher Sarys
1204;2382;Watcher Corwin
1205;1194;Grawmug
1206;721;Gnasher
1207;721;Brawler
1210;1054;Chok'sul
1211;6921;Leper Gnome
1212;5548;Bishop Farthing
1213;3278;Godric Rothgar
1214;1821;Aldren Cordon
1215;3237;Alchemist Mallory
1216;9570;Shore Crawler
1217;3460;Glorin Steelbrow
1218;3269;Herbalist Pomeroy
1222;870;Dark Iron Sapper
1224;867;Young Threshadon
1225;706;Ol' Sooty
1226;3429;Maxan Anvol
1228;10215;Magis Sparkmantle
1229;3431;Granis Swiftaxe
1231;3558;Grif Wildheart
1232;1622;Azar Stronghammer
1233;14310;[UNUSED] Shaethis Darkoak
1234;3436;Hogral Bakkan
1236;373;Kobold Digger
1237;3418;Kazan Mogosh
1238;3420;Gamili Frosthide
1239;1699;First Mate Fitzsimmons
1240;3425;Boran Ironclink
1241;3422;Tognus Flintfire
1242;3461;Karl Boran
1243;3412;Hegnar Rumbleshot
1244;480;Rethiel the Greenwarden
1245;3513;Kogan Forgestone
1246;10635;Vosur Brakthel
1247;3434;Innkeeper Belm
1249;3337;Quartermaster Hudson
1250;3326;Drake Lindgren
1251;3190;Splinter Fist Firemonger
1252;1376;Senir Whitebeard
1253;1616;Father Gavin
1254;1569;Foreman Stonebrow
1255;1623;Prospector Gehn
1256;3423;Quarrymaster Thesten
1257;1431;Keldric Boucher
1258;9562;Black Ravager Mastiff
1259;652;Gobbler
1260;27504;Great Father Arctikus
1261;2790;Veron Amberstill
1262;10003;White Ram X
1263;1981;Yarlyn Amberstill
1265;1651;Rudra Amberstill
1266;1683;Tundra MacGrann
1267;1684;Ragnar Thunderbrew
1268;3441;Ozzie Togglevolt
1269;3440;Razzle Sprysprocket
1270;559;Fetid Corpse
1271;1050;Old Icebeard
1273;3417;Grawn Thromwyn
1274;1655;Senator Barin Redstone
1275;1444;Kyra Boucher
1276;1777;Mountaineer Brokk
1277;1784;Mountaineer Ganin
1278;1804;Mountaineer Stenn
1279;1783;Mountaineer Flint
1280;1781;Mountaineer Droken
1281;1812;Mountaineer Zaren
1282;1809;Mountaineer Veek
1283;1793;Mountaineer Kalmir
1284;5072;Archbishop Benedictus
1285;1434;Thurman Mullby
1286;1440;Edna Mullby
1287;1448;Marda Weller
1289;1429;Gunther Weller
1291;1439;Carla Granger
1292;1449;Maris Granger
1294;1423;Aldric Moore
1295;1445;Lara Moore
1296;1426;Felder Stover
1297;1446;Lina Stover
1298;1427;Frederick Stover
1299;1447;Lisbeth Schneider
1300;1432;Lawrence Schneider
1301;1443;Julia Gallina
1302;1425;Bernard Gump
1303;1441;Felicia Gump
1304;1487;Darian Singh
1305;1490;Jarel Moor
1307;1480;Charys Yserian
1308;1494;Owen Vaughn
1309;1483;Wynne Larson
1310;1489;Evan Larson
1311;1491;Joachim Brenlow
1312;1477;Ardwyn Cailen
1313;1482;Maria Lumere
1314;1488;Duncan Cullen
1315;1486;Allan Hafgan
1316;1485;Adair Gilroy
1317;1492;Lucan Cordell
1318;1481;Jessara Cordell
1319;1510;Bryan Cross
1320;1517;Seoman Griffith
1321;1520;Alyssa Griffith
1322;1514;Maxton Strang
1323;1515;Osric Strang
1324;1512;Heinrich Stone
1325;1513;Jasper Fel
1326;1523;Sloan McCoy
1327;1516;Reese Langston
1328;1521;Elly Langston
1329;1800;Mountaineer Naarh
1330;1807;Mountaineer Tyraw
1331;1796;Mountaineer Luxst
1332;1799;Mountaineer Morran
1333;1511;Gerik Koen
1334;1789;Mountaineer Hammerfall
1335;1811;Mountaineer Yuttha
1336;1813;Mountaineer Zwarn
1337;1786;Mountaineer Gwarth
1338;1779;Mountaineer Dalk
1339;1522;Mayda Thane
1340;1892;Mountaineer Kadrell
1341;1518;Wilhelm Strang
1342;1893;Mountaineer Rockgar
1343;1894;Mountaineer Stormpike
1344;3437;Prospector Ironband
1345;3432;Magmar Fellhew
1346;1502;Georgio Bolero
1347;1497;Alexandra Bolero
1348;1503;Gregory Ardus
1349;1500;Agustus Moulaine
1350;1498;Theresa Moulaine
1351;1501;Brother Cassius
1352;328;Fluffy
1353;755;Sarltooth
1354;1396;Apprentice Soren
1355;3416;Cook Ghilm
1356;3594;Prospector Stormpike
1358;3419;Miner Grothor
1360;3421;Miner Grumnal
1362;1835;Gothor Brumn
1364;1398;Balgaras the Foul
1365;14092;Goli Krumn
1366;338;Adam
1367;221;Billy
1368;221;Justin
1370;338;Brandon
1371;262;Roman
1373;3438;Jarven Thunderbrew
1374;3398;Rejold Barleybrew
1375;3405;Marleth Barleybrew
1376;3389;Beldin Steelgrill
1377;5106;Pilot Stonegear
1378;5105;Pilot Bellowfiz
1379;1417;Miran
1380;1657;Saean
1381;4373;Krakk
1382;4376;Mudduk
1383;4382;Snarl
1385;4365;Brawn
1386;4380;Rogvar
1387;1868;Thysta
1388;1050;Vagash
1393;721;Berserk Trogg
1395;1508;Ol' Beasley
1397;27494;Frostmane Seer
1398;1194;Boss Galgosh
1399;160;Magosh
1400;1036;Wetlands Crocolisk
1402;1438;Topper McNabb
1404;4372;Kragg
1405;1524;Morris Lawry
1407;4385;Sranda
1410;18200;Firewing Bloodwarder
1411;5146;Ian Strom
1412;134;Squirrel
1413;1472;Janey Anship
1414;1473;Lisan Pierce
1415;2038;Suzanne
1416;4998;Grimand Elmore
1417;1035;Young Wetlands Crocolisk
1418;391;Bluegill Raider
1419;328;Fizzles
1420;901;Toad
1421;4437;Private Merle
1422;4395;Corporal Sethman
1423;3258;Stormwind Guard
1424;774;Master Digger
1425;774;Grizlak
