long,long,long,long,flags,long,long,long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,flags,long,None,None,long,float,float,None,
24,0,12,135,0x40300000,73,11,35,1,67,0,"Northshire Abbey",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
25,0,0,136,0x40,0,11,46,10,0,0,"Blackrock Mountain",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
26,0,40,602,0x40000040,0,11,0,7,0,0,"Lighthouse",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
28,0,0,137,0x40,0,11,37,205,0,0,"Western Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
30,0,0,138,0x40,0,11,0,0,0,0,"Nine",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
32,0,10,139,0x40000040,0,11,0,2,0,0,"The Cemetary",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
33,0,0,140,0x40,0,11,32,3,0,0,"Stranglethorn Vale",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
34,0,12,141,0x40000000,0,11,35,1,0,0,"Echo Ridge Mine",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
35,0,33,142,0x40200040,0,11,0,3,0,42,"Booty Bay",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
36,0,0,143,0x40,0,11,31,1,0,0,"Alterac Mountains",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.5,,
37,0,33,144,0x40000040,0,11,0,3,0,36,"Lake Nazferiti",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
38,0,0,145,0x40,0,11,31,1,0,0,"Loch Modan",,,,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.10000000149,,
40,0,0,146,0x40,0,11,47,9,0,0,"Westfall",,,,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.10000000149,,
41,0,0,556,0x40,0,11,49,2,0,0,"Deadwind Pass",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
42,0,10,147,0x40200040,0,11,0,2,0,25,"Darkshire",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
43,0,33,148,0x40000040,0,11,0,3,0,42,"Wild Shore",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
44,0,0,149,0x40,0,11,31,1,0,0,"Redridge Mountains",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.20000000298,,
45,0,0,150,0x40,0,11,30,8,0,0,"Arathi Highlands",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.20000000298,,
46,0,0,151,0x40,0,11,46,10,0,0,"Burning Steppes",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.10000000149,,
47,0,0,152,0x40,0,11,31,1,0,0,"The Hinterlands",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.40000000596,,
49,451,22,153,0x40000040,0,11,0,0,0,0,"Dead Man's Hole",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
51,0,0,154,0x40,0,11,46,10,0,0,"Searing Gorge",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.10000000149,,
53,0,12,155,0x40000040,0,11,35,1,0,0,"Thieves Camp",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
54,0,12,550,0x40000040,0,11,35,1,0,8,"Jasperlode Mine",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
55,0,12,156,0x40000040,0,11,35,13,61,0,"Valley of Heroes UNUSED",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
56,0,12,157,0x40000040,0,11,35,1,303,0,"Heroes' Vigil",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
57,0,12,158,0x40000040,0,11,35,1,0,5,"Fargodeep Mine",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
59,0,12,159,0x40100000,0,11,35,1,0,0,"Northshire Vineyards",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
60,0,12,606,0x40000040,0,11,35,1,0,8,"Forest's Edge",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
61,0,12,160,0x40000040,0,11,35,1,0,0,"Thunder Falls",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
62,0,12,161,0x40000040,0,11,35,1,0,8,"Brackwell Pumpkin Patch",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
63,0,12,162,0x40000040,0,11,35,1,0,6,"The Stonefield Farm",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
64,0,12,163,0x40000040,0,11,35,1,0,6,"The Maclure Vineyards",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
65,571,0,164,0x4444,0,11,439,412,545,0,"Dragonblight",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
66,571,0,165,0x4444,0,11,441,423,544,76,"Zul'Drak",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
67,571,0,166,0x4441,0,11,465,420,0,77,"The Storm Peaks",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.600000023842,,
68,0,44,557,0x40000040,0,11,0,1,0,16,"Lake Everstill",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
69,0,44,167,0x40200040,0,11,0,1,0,15,"Lakeshire",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
70,0,44,168,0x40000040,0,11,0,1,0,24,"Stonewatch",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
71,0,44,627,0x40000040,0,11,0,1,0,20,"Stonewatch Falls",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
72,0,4,169,0x40000040,0,11,210,7,0,63,"The Dark Portal",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
73,0,4,170,0x40000040,0,11,0,7,0,50,"The Tainted Scar",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
74,0,8,171,0x40000040,0,11,0,0,0,43,"Pool of Tears",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
75,0,8,172,0x40200040,0,11,0,0,0,37,"Stonard",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
76,0,8,173,0x40000040,0,11,0,0,0,37,"Fallow Sanctuary",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
77,0,1,174,0x40300000,0,11,0,8,0,0,"Anvilmar",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
80,0,12,175,0x40000040,0,11,35,17,0,10,"Stormwind Mountains",,,,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
81,451,22,575,0x40000040,0,11,0,0,0,0,"Jeff NE Quadrant Changed",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
82,451,22,176,0x40000040,0,11,0,0,0,0,"Jeff NW Quadrant",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
83,451,22,177,0x40000040,0,11,0,0,0,0,"Jeff SE Quadrant",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
84,451,22,178,0x40000040,0,11,0,0,0,0,"Jeff SW Quadrant",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
85,0,0,179,0x40,0,11,40,2,0,0,"Tirisfal Glades",,,,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.300000011921,,
86,0,12,180,0x40000040,0,11,35,1,0,8,"Stone Cairn Lake",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
87,0,12,548,0x40300040,0,11,35,1,0,5,"Goldshire",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
88,0,12,181,0x40000040,0,11,35,1,0,6,"Eastvale Logging Camp",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
89,0,12,182,0x40000040,0,11,35,1,0,0,"Mirror Lake Orchard",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
91,0,12,183,0x40000040,0,11,35,1,0,8,"Tower of Azora",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
92,0,12,558,0x40000040,0,11,35,1,0,0,"Mirror Lake",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
93,0,10,628,0x40000040,0,11,0,214,0,28,"Vul'Gol Ogre Mound",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
94,0,10,184,0x40000040,0,11,0,2,0,24,"Raven Hill",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
95,0,44,185,0x40000040,0,11,0,1,0,20,"Redridge Canyons",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
96,0,44,186,0x40000040,0,11,0,1,0,25,"Tower of Ilgalar",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
97,0,44,187,0x40000040,0,11,0,1,0,19,"Alther's Mill",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
98,0,44,188,0x40000040,0,11,0,1,0,17,"Rethban Caverns",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
99,0,33,189,0x40200040,0,11,0,3,0,30,"Rebel Camp",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
100,0,33,585,0x40000040,0,11,0,3,0,31,"Nesingwary's Expedition",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
101,0,33,190,0x40000040,0,11,0,3,0,32,"Kurzen's Compound",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
102,0,33,586,0x40000040,0,11,0,3,0,41,"Ruins of Zul'Kunda",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
103,0,33,191,0x40000040,0,11,0,3,0,40,"Ruins of Zul'Mamwe",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
104,0,33,192,0x40000040,0,11,0,3,0,37,"The Vile Reef",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
105,0,33,193,0x40000040,0,11,0,3,0,42,"Mosh'Ogg Ogre Mound",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
106,0,33,194,0x40000040,0,11,0,3,0,0,"The Stockpile",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
107,0,40,195,0x40000040,0,11,0,9,0,14,"Saldean's Farm",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
108,0,40,196,0x40300040,0,11,0,9,0,15,"Sentinel Hill",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
109,0,40,197,0x40000040,0,11,0,9,0,15,"Furlbrow's Pumpkin Farm",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
111,0,40,198,0x40000040,0,11,0,9,0,12,"Jangolode Mine",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
113,0,40,576,0x40000040,0,11,0,9,0,15,"Gold Coast Quarry",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
115,0,40,199,0x40000040,0,11,24,9,0,17,"Westfall Lighthouse",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
116,0,8,200,0x40000040,0,11,0,0,0,39,"Misty Valley",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
117,0,33,629,0x40200040,0,11,0,228,0,35,"Grom'gol Base Camp",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
118,0,11,201,0x40000040,0,11,0,191,0,22,"Whelgar's Excavation Site",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
120,0,12,559,0x40200040,0,11,35,0,0,8,"Westbrook Garrison",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
121,0,10,202,0x40000040,0,11,0,15,0,28,"Tranquil Gardens Cemetery",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
122,0,33,203,0x40000040,0,11,0,3,0,37,"Zuuldaia Ruins",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
123,0,33,204,0x40000040,0,11,0,3,0,34,"Bal'lal Ruins",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
125,0,33,205,0x40000040,0,11,0,3,0,35,"Kal'ai Ruins",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
126,0,33,206,0x40000040,0,11,0,3,0,0,"Tkashi Ruins",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
127,0,33,207,0x40000040,0,11,0,3,0,40,"Balia'mah Ruins",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
128,0,33,208,0x40000040,0,11,0,3,0,36,"Ziata'jai Ruins",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
129,0,33,209,0x40000040,0,11,0,3,0,37,"Mizjah Ruins",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
130,0,0,210,0x40,0,11,28,2,0,0,"Silverpine Forest",,,,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.40000000596,,
131,0,1,211,0x40300040,0,11,0,0,0,5,"Kharanos",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
132,0,1,212,0x40100000,0,11,0,0,0,0,"Coldridge Valley",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
133,0,1,213,0x40000040,0,11,42,8,0,10,"Gnomeregan",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
134,0,1,214,0x40000040,0,11,0,8,0,10,"Gol'Bolar Quarry",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
135,0,1,215,0x40000040,0,11,0,0,121,7,"Frostmane Hold",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
136,0,1,216,0x40000040,0,11,0,0,0,5,"The Grizzled Den",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
137,0,1,217,0x40200040,0,11,0,0,0,7,"Brewnall Village",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
138,0,1,218,0x40000040,0,11,0,8,0,7,"Misty Pine Refuge",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
139,0,0,219,0x40,0,11,37,205,0,0,"Eastern Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.5,,
141,1,0,220,0x40,0,11,48,11,0,0,"Teldrassil",,,,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.40000000596,,
142,0,38,221,0x40000040,0,11,0,1,0,15,"Ironband's Excavation Site",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
143,0,38,222,0x40000040,0,11,0,14,0,18,"Mo'grosh Stronghold",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
144,0,38,223,0x40300040,0,11,0,1,0,10,"Thelsamar",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
145,0,38,224,0x40000040,0,11,0,1,0,18,"Algaz Gate",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
146,0,38,225,0x40200040,0,11,230,1,0,15,"Stonewrought Dam",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
147,0,38,226,0x40000040,0,11,0,1,0,15,"The Farstrider Lodge",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
148,1,0,227,0x40,0,11,28,191,0,0,"Darkshore",,,,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.600000023842,,
149,0,38,228,0x40000040,0,11,0,1,0,12,"Silver Stream Mine",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
150,0,11,229,0x40200040,0,11,0,191,0,20,"Menethil Harbor",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
151,451,0,560,0x4440,0,11,47,226,0,0,"Designer Island",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
152,0,85,230,0x40200040,0,11,0,2,0,9,"The Bulwark",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
153,0,85,607,0x40000040,0,11,0,2,0,10,"Ruins of Lordaeron",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
154,0,85,231,0x40300000,0,11,0,15,0,0,"Deathknell",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
155,0,85,232,0x40000000,0,11,0,2,0,0,"Night Web's Hollow",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
156,0,85,233,0x40000040,0,11,0,2,0,6,"Solliden Farmstead",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
157,0,85,234,0x40000040,0,11,0,15,0,8,"Agamand Mills",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
158,0,85,235,0x40000040,0,11,0,15,0,0,"Agamand Family Crypt",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
159,0,85,236,0x40300040,0,11,0,15,0,5,"Brill",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
160,0,85,237,0x40000040,0,11,0,2,0,12,"Whispering Gardens",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
161,0,85,238,0x40000040,0,11,0,2,0,10,"Terrace of Repose",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
162,0,85,239,0x40000040,0,11,0,2,0,7,"Brightwater Lake",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
163,0,85,240,0x40000040,0,11,0,2,0,0,"Gunther's Retreat",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
164,0,85,241,0x40000040,0,11,0,2,0,7,"Garren's Haunt",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
165,0,85,242,0x40000040,0,11,0,15,0,5,"Balnir Farmstead",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
166,0,85,243,0x40000040,0,11,0,2,0,5,"Cold Hearth Manor",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
167,0,85,244,0x40000040,0,11,0,2,0,8,"Crusader Outpost",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
168,0,85,245,0x40000040,0,11,0,2,0,0,"The North Coast",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
169,0,85,577,0x40000040,0,11,0,0,0,0,"Whispering Shore",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
170,0,0,246,0x40,0,11,31,2,0,0,"Lordamere Lake",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
172,0,130,247,0x40000040,0,11,0,2,0,18,"Fenris Isle",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
173,0,85,620,0x40000040,0,11,0,2,0,0,"Faol's Rest",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
186,1,141,622,0x40300040,0,11,0,11,0,5,"Dolanaar",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
187,1,141,248,0x40000040,0,11,48,76,63,7,"Darnassus UNUSED",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
188,1,141,561,0x40300000,0,11,0,11,0,0,"Shadowglen",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
189,0,1,249,0x40000040,0,11,0,8,0,5,"Steelgrill's Depot",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
190,0,28,250,0x40000040,0,11,0,0,0,56,"Hearthglen",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
192,0,28,251,0x40000040,0,11,0,0,0,55,"Northridge Lumber Camp",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
193,0,28,252,0x40000040,0,11,0,15,0,55,"Ruins of Andorhal",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
195,0,28,253,0x40000040,0,11,0,0,0,0,"School of Necromancy",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
196,0,28,578,0x40000040,0,11,0,15,0,0,"Uther's Tomb",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
197,0,28,254,0x40000040,0,11,0,0,0,50,"Sorrow Hill",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
198,0,28,255,0x40000040,0,11,0,0,0,55,"The Weeping Cave",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
199,0,28,256,0x40000040,0,11,0,10,0,50,"Felstone Field",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
200,0,28,257,0x40000040,0,11,0,10,0,54,"Dalson's Tears",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
201,0,28,258,0x40000040,0,11,0,10,0,57,"Gahrron's Withering",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
202,0,28,259,0x40000040,0,11,0,10,0,46,"The Writhing Haunt",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
203,0,28,260,0x40000040,0,11,37,193,0,0,"Mardenholde Keep",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
204,0,130,261,0x40000040,0,11,0,191,301,15,"Pyrewood Village",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
205,0,11,262,0x40000040,0,11,0,191,0,28,"Dun Modr",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
206,574,0,263,0x0,0,11,429,0,0,0,"Utgarde Keep",,,,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.699999988079,,
