long,long,long,long,long,flags,
1502,0,0,0,2,0x0,
1503,0,0,0,3,0x0,
1504,0,0,0,4,0x0,
1541,4,35,10,0,0x800,
1561,2,0,1,0,0x4000,
1562,2,0,1,0,0x4000,
1581,1,0,2,0,0x802,
1641,4,0,0,0,0x108,
1701,1,0,0,6,0x848,
1721,2,0,1,0,0x202,
1761,1,0,0,0,0xA,
1781,1,0,0,0,0x808,
1841,1,0,5,5,0x100,
1881,0,0,0,0,0x8000,
1961,0,0,0,0,0x800,
1981,0,0,0,0,0x0,
2001,0,0,0,0,0x800,
2002,2,0,7,6,0x0,
2041,1,0,3,0,0x0,
2061,1,0,0,0,0x8,
2062,1,0,7,0,0x1800,
2081,1,0,7,0,0x80A,
2141,1,0,2,0,0x2,
2181,0,0,12,0,0x1000,
2221,1,0,0,0,0x2,
2301,1,0,0,0,0x202,
2381,1,0,2,0,0x802,
2441,0,14,0,0,0x1,
2481,0,0,0,0,0x1000,
2581,0,0,0,0,0x800,
2601,4,0,0,0,0x1000,
2621,1,0,0,0,0x8,
2641,1,0,0,0,0x0,
2661,1,0,7,0,0x2,
2742,4,0,0,0,0x1108,
2761,5,14,0,0,0x1,
2821,0,0,0,0,0x0,
2904,1,0,0,0,0x212,
2905,0,0,0,0,0x849,
2908,5,14,0,0,0x9,
2909,1,0,2,0,0xB0A,
2913,0,0,7,0,0x1000,
2915,1,0,0,0,0x808,
2926,0,14,0,0,0x5,
2932,4,35,0,0,0x808,
2933,4,0,0,0,0x100,
2935,1,0,0,0,0xA00,
