long,long,flags,None,None,None,None,None,None,None,None,long,flags,flags,flags,flags,flags,flags,flags,flags,flags,flags,flags,flags,None,None,None,None,None,None,None,None,None,None,None,None,None,bool,bool,long,long,None,None,None,None,None,None,None,None,long,long,str,long,long,bool,
372,168,0x180,,,,,,,,,528693248,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,7,8,"Calendar_Brewfest",2,-1,1,
374,48,0xA8,,,,,,,,,128415744,0x821B800,0x8517800,0x8813800,0x8B13800,0x9217800,0x9513800,0x980F800,0x9B0F800,0xA167800,0xA50F800,0xA80B800,0xAB0B800,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,1,1,"Calendar_DarkmoonFaireElwynn",1,1,0,
375,48,0xA8,,,,,,,,,126957568,0x800F800,0x830F800,0x860F800,0x890B800,0x9007800,0x930B800,0x960B800,0x9907800,0xA003800,0xA307800,0xA607800,0xA903800,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,1,26,"Calendar_DarkmoonFaireMulgore",1,1,0,
376,48,0xA8,,,,,,,,,127956993,0x8103800,0x8407800,0x8703800,0x8A1B800,0x9077800,0x9403800,0x967B800,0x9977800,0xA073800,0xA377800,0xA677800,0xA973800,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,1,27,"Calendar_DarkmoonFaireTerokkar",1,1,0,
398,24,0x0,,,,,,,,,528791552,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,21,21,"Calendar_PiratesDay",0,-1,1,
400,96,0x390,,,,,,,,,128071680,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,1,3,0,,,,,,,,,41,41,"",0,2,1,
404,167,0x0,,,,,,,,,161824832,0xAA50040,0xBA4C040,0xCA44040,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,101,101,"Calendar_HarvestFestival",2,-1,1,
406,0,0x0,,,,,,,,,144914432,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,61,61,"Calendar_WotLKLaunch",0,-1,0,
409,47,0x0,,,,,,,,,530593856,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,81,81,"Calendar_DayOfTheDead",2,-1,1,
420,96,0x390,,,,,,,,,128186368,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,1,3,0,,,,,,,,,121,121,"",0,2,1,
423,336,0x0,,,,,,,,,168919040,0xB114000,0xC110000,0xD108000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,9,9,"Calendar_LoveInTheAir",2,-1,1,
424,1,0x0,,,,,,,,,536867712,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,0,0,3,0,,,,,,,,,161,161,"Calendar_FishingExtravaganza",0,0,0,
