long,long,long,float,float,float,long,
230,4172,6933,4.99999987369e-006,-4.99999987369e-006,-5.17665576935,0,
231,4172,12867,1.99999999495e-006,-1.99999999495e-006,-56.8112945557,0,
232,4172,13833,1.99999999495e-006,-1.99999999495e-006,-59.8460006714,0,
233,4172,15000,1.99999999495e-006,-1.99999999495e-006,-61.2443161011,0,
234,4172,20000,1.99999999495e-006,-1.99999999495e-006,-61.2443161011,0,
235,4172,21333,0.0,0.0,-59.8332061768,0,
236,4172,22233,0.0,0.0,-56.7352294922,0,
237,4172,28133,0.0,0.0,-5.2474899292,0,
238,4172,28800,0.0,0.0,-1.5850379467,0,
239,4172,30033,0.0,0.0,0.0,0,
240,4173,0,0.0,0.0,0.0,0,
241,4173,5000,0.0,0.0,0.0,0,
242,4173,5900,0.0,0.0,1.20113801956,0,
243,4173,6667,0.0,0.0,4.69025278091,0,
244,4173,10567,-3.00000010611e-006,1.99999999495e-006,32.5509223938,0,
245,4173,13100,-3.00000010611e-006,1.99999999495e-006,53.4675178528,0,
246,4173,14067,-3.00000010611e-006,1.99999999495e-006,59.5848121643,0,
247,4173,15000,-3.00000010611e-006,1.99999999495e-006,61.4981269836,0,
248,4173,20000,-3.00000010611e-006,1.99999999495e-006,61.4981269836,0,
249,4173,21000,-3.00000010611e-006,1.99999999495e-006,59.5492973328,0,
250,4173,21800,-3.00000010611e-006,1.99999999495e-006,54.2732315063,0,
251,4173,25267,-3.00000010611e-006,1.99999999495e-006,29.1091098785,0,
252,4173,27933,0.0,0.0,8.59119319916,0,
253,4173,28967,0.0,0.0,1.96855294704,0,
254,4173,30000,0.0,0.0,0.0,0,
92607,11898,0,0.0,0.0,0.0,164,
92608,11898,5000,0.0,0.0,0.0,162,
92609,11898,6100,-3.00000010611e-006,9.99999997475e-007,-1.75478804111,162,
92610,11898,6867,-6.00000021223e-006,3.00000010611e-006,-5.17665576935,162,
92611,11898,12867,-7.00000009601e-006,1.99999999495e-006,-124.866851807,162,
92612,11898,13833,-7.00000009601e-006,1.99999999495e-006,-127.901557922,162,
92613,11898,15000,-7.00000009601e-006,1.99999999495e-006,-129.299880981,164,
92614,11898,20000,-7.00000009601e-006,1.99999999495e-006,-129.299880981,162,
92615,11898,21333,-3.9999999899e-006,0.0,-127.888763428,162,
92616,11898,22233,-3.9999999899e-006,0.0,-124.790786743,162,
92617,11898,28133,0.0,0.0,-5.24749088287,162,
92618,11898,28800,0.0,0.0,-1.58503603935,162,
92619,11898,29900,-3.9999999899e-006,0.0,-0.108608998358,162,
92620,11898,30000,0.0,0.0,0.0,162,
92621,11899,0,0.0,0.0,0.0,164,
92622,11899,5000,0.0,0.0,0.0,162,
92623,11899,5900,0.0,0.0,1.20113801956,162,
92624,11899,6667,0.0,0.0,4.69025278091,162,
92625,11899,13100,4.99999987369e-006,0.0,121.523071289,162,
92626,11899,14067,4.99999987369e-006,0.0,127.640357971,162,
92627,11899,15000,4.99999987369e-006,0.0,129.55368042,164,
92628,11899,20000,4.99999987369e-006,0.0,129.55368042,162,
92629,11899,21000,4.99999987369e-006,0.0,127.60484314,162,
92630,11899,21800,4.99999987369e-006,0.0,122.328788757,162,
92631,11899,27933,0.0,0.0,8.59119319916,162,
92632,11899,28967,0.0,0.0,1.96855294704,162,
92633,11899,30000,0.0,0.0,0.0,162,
177968,20649,0,0.0,0.0,0.0,0,
177969,20649,1833,0.0,0.0,-55.4657707214,164,
177970,20649,6833,0.0,0.0,-55.4657707214,162,
177971,20649,10333,0.0,0.0,41.0356140137,164,
177972,20649,15167,0.0,0.0,41.0356140137,162,
177973,20649,16667,0.0,0.0,0.0,162,
177974,20650,0,0.0,0.0,0.0,0,
177975,20650,10333,0.0,0.0,-9.99999974738e-006,0,
177976,20650,10500,0.0,0.0,4.65001821518,0,
177977,20650,14833,0.0,0.0,4.65001821518,0,
177978,20650,15000,0.0,0.0,0.0,0,
177979,20650,16667,0.0,0.0,0.0,0,
177980,20651,0,0.0,0.0,0.0,0,
177981,20651,1833,0.0,0.0,0.0,0,
177982,20651,2000,0.0,0.0,8.13033771515,0,
177983,20651,6667,0.0,0.0,8.13033771515,0,
177984,20651,6833,0.0,0.0,0.0,0,
177985,20651,16667,0.0,0.0,0.0,0,
177986,20652,0,0.0,0.0,0.0,0,
177987,20652,167,0.0,0.0,0.0,162,
177988,20652,3667,0.0,0.0,96.5013809204,164,
177989,20652,8500,0.0,0.0,96.5013809204,162,
177990,20652,11833,0.0,0.0,0.0,164,
177991,20652,16667,0.0,0.0,0.0,164,
177992,20653,0,0.0,0.0,0.0,0,
177993,20653,3667,0.0,0.0,-9.99999974738e-006,0,
177994,20653,3833,0.0,0.0,4.65001821518,0,
177995,20653,8167,0.0,0.0,4.65001821518,0,
177996,20653,8333,0.0,0.0,0.0,0,
177997,20653,16667,0.0,0.0,0.0,0,
177998,20654,0,0.0,0.0,0.0,0,
177999,20654,11667,0.0,0.0,0.0,0,
178000,20654,11833,0.0,0.0,8.13033771515,0,
178001,20654,16500,0.0,0.0,8.13033771515,0,
178002,20654,16667,0.0,0.0,0.0,0,
178003,20655,0,0.0,0.0,0.0,0,
178004,20655,167,0.0,0.0,0.0,0,
178005,20655,3500,0.0,0.0,0.0,162,
178006,20655,7000,0.0,0.0,96.5013809204,164,
178007,20655,11833,0.0,0.0,96.5013809204,162,
178008,20655,15167,0.0,0.0,0.0,164,
178009,20655,16667,0.0,0.0,0.0,164,
178010,20656,0,0.0,0.0,0.0,0,
178011,20656,7000,0.0,0.0,-9.99999974738e-006,0,
178012,20656,7167,0.0,0.0,4.65001821518,0,
178013,20656,11500,0.0,0.0,4.65001821518,0,
178014,20656,11667,0.0,0.0,0.0,0,
178015,20656,16667,0.0,0.0,0.0,0,
178016,20657,0,0.0,0.0,0.0,0,
178017,20657,3333,0.0,0.0,0.0,0,
178018,20657,3500,0.0,0.0,-8.13033771515,0,
178019,20657,14833,0.0,0.0,-8.13033771515,0,
178020,20657,15000,0.0,0.0,0.0,0,
178021,20657,16667,0.0,0.0,0.0,0,
92592,47296,0,0.0,0.0,0.0,164,
92593,47296,5000,0.0,0.0,0.0,162,
92594,47296,5900,0.0,0.0,1.20113801956,162,
92595,47296,6667,0.0,0.0,4.69025278091,162,
92596,47296,10567,7.00000009601e-006,9.99999997475e-007,37.6738471985,162,
92597,47296,13100,7.00000009601e-006,9.99999997475e-007,63.4455986023,162,
92598,47296,14067,7.00000009601e-006,9.99999997475e-007,69.5628890991,162,
92599,47296,15000,7.00000009601e-006,9.99999997475e-007,71.4762115479,164,
92600,47296,20000,7.00000009601e-006,9.99999997475e-007,71.4762115479,162,
92601,47296,21000,7.00000009601e-006,9.99999997475e-007,69.527381897,162,
92602,47296,21800,7.00000009601e-006,9.99999997475e-007,64.2513198853,162,
92603,47296,25267,7.00000009601e-006,9.99999997475e-007,34.2320365906,162,
92604,47296,27933,0.0,0.0,8.59119319916,162,
92605,47296,28967,0.0,0.0,1.96855294704,162,
92606,47296,30000,0.0,0.0,0.0,162,
92579,47297,0,0.0,0.0,0.0,164,
92580,47297,5000,0.0,0.0,0.0,162,
92581,47297,6100,-6.00000021223e-006,0.0,-1.75478100777,162,
92582,47297,6933,-1.49999996211e-005,-9.99999997475e-007,-5.17665576935,162,
92583,47297,12867,-7.00000009601e-006,9.99999997475e-007,-66.7893753052,162,
92584,47297,13833,-7.00000009601e-006,9.99999997475e-007,-69.8240814209,162,
92585,47297,15000,-7.00000009601e-006,9.99999997475e-007,-71.2223968506,164,
92586,47297,20000,-7.00000009601e-006,9.99999997475e-007,-71.2223968506,162,
92587,47297,21333,0.0,0.0,-69.8112869263,162,
92588,47297,22233,0.0,0.0,-66.7133102417,162,
92589,47297,28133,0.0,0.0,-5.24748420715,162,
92590,47297,28800,0.0,0.0,-1.58503603935,162,
92591,47297,30033,0.0,0.0,0.0,162,
43487,80022,0,0.0,0.0,0.0,0,
43488,80022,6600,0.0,0.0,0.0,0,
43489,80022,6833,-0.0040690000169,0.00355400005355,-0.79714602232,0,
43490,80022,7000,0.0,0.0,-3.62975001335,0,
43491,80022,7233,0.0,0.0,-12.0796613693,0,
43492,80022,7333,0.0,0.0,-11.7315568924,0,
43493,80022,7433,0.0,0.0,-12.0796613693,0,
43494,80022,7500,0.0,0.0,-11.9186906815,0,
43495,80022,7600,0.0,0.0,-12.0796613693,0,
43496,80022,25667,0.0,0.0,-12.0796613693,0,
43497,80022,25867,0.0,0.0,-12.0245943069,0,
43498,80022,26000,0.0,0.0,-11.7674531937,0,
43499,80022,26567,0.0,0.0,-0.282819986343,0,
43500,80022,26633,0.0,0.0,-0.0413069985807,0,
43501,80022,26667,0.0,0.0,0.0,0,
43472,80023,0,0.0,0.0,0.0,164,
43473,80023,6667,0.0,0.0,0.0,162,
43474,80023,11000,-3.00000010611e-006,0.0,-98.7478561401,162,
43475,80023,11233,0.00651000021026,0.0,-99.6716079712,162,
43476,80023,11400,0.00444199983031,0.0,-99.9719543457,162,
43477,80023,11600,0.0028919999022,0.0,-100.079940796,164,
43478,80023,11667,-3.00000010611e-006,0.0,-100.061088562,164,
43479,80023,11700,-3.00000010611e-006,0.0,-100.082061768,164,
43480,80023,21667,-3.00000010611e-006,0.0,-100.082061768,164,
43481,80023,21767,-3.00000010611e-006,0.0,-100.089683533,162,
43482,80023,21900,-3.00000010611e-006,0.0,-99.6677017212,162,
43483,80023,26333,0.0,0.0,-1.18016195297,162,
43484,80023,26467,1.70000002981e-005,3.00000010611e-006,-0.32815900445,162,
43485,80023,26600,0.0,0.0,-0.0435930006206,162,
43486,80023,26667,0.0,0.0,0.0,162,
42747,85556,0,0.0,0.0,0.0,0,
42748,85556,1700,0.0,0.0,0.0,162,
42749,85556,3000,0.0,0.0,-43.1633300781,162,
42750,85556,3167,0.0,0.0,-44.0152168274,162,
42751,85556,3300,0.0,0.0,-44.48985672,164,
42752,85556,8300,0.0,0.0,-44.5465774536,162,
42753,85556,8600,0.0,0.0,-43.889213562,162,
42754,85556,9733,0.0,0.0,-0.564805984497,162,
42755,85556,9867,0.0,0.0,-0.180555999279,162,
42756,85556,10000,0.0,0.0,-0.00575099978596,164,
42757,85556,13333,0.0,0.0,0.0,164,
21641,128970,0,0.0,0.0,0.0,0,
21642,128970,1333,0.0,0.0,0.0,0,
21643,128970,3333,0.443127989769,0.53655898571,-11.7492256165,0,
21644,128970,4667,0.443127989769,0.53655898571,-11.7492256165,0,
21645,128970,6667,0.0,0.0,0.0,0,
162089,149045,0,0.0,0.0,0.0,164,
162090,149045,3233,0.0,0.0,0.0,164,
162091,149045,3400,0.0,0.0,-0.0905390009284,162,
162092,149045,6633,0.0,0.0,14.9303483963,164,
162093,149045,6733,0.0,0.0,14.6960487366,164,
162094,149045,6867,0.0,0.0,14.9303483963,164,
162095,149045,10100,0.0,0.0,14.9303483963,164,
162096,149045,10267,0.0,0.0,14.7436113358,162,
162097,149045,14100,0.0,0.0,34.6374969482,164,
162098,149045,14267,0.0,0.0,34.5551338196,164,
162099,149045,14433,0.0,0.0,34.6374969482,164,
162100,149045,17667,0.0,0.0,34.6374969482,164,
162101,149045,17867,0.0,0.0,34.3588485718,164,
162102,149045,18000,0.0,0.0,34.7522735596,164,
162103,149045,19733,0.0,0.0,33.6609306335,164,
162104,149045,19933,0.0,0.0,35.6586456299,162,
162105,149045,23200,0.0,0.0,61.3923606873,162,
162106,149045,23367,0.0,0.0,61.2320976257,164,
162107,149045,23533,0.0,0.0,61.3923606873,164,
162108,149045,26800,0.0,0.0,61.3923606873,164,
162109,149045,27100,0.0,0.0,59.9966850281,164,
162110,149045,27233,0.0,0.0,60.039478302,164,
162111,149045,27400,0.0,0.0,59.8386116028,164,
162112,149045,27667,0.0,0.0,59.9966850281,164,
162113,149045,28200,0.0,0.0,59.9966850281,164,
162114,149045,28400,0.0,0.0,59.8178443909,164,
162115,149045,28533,0.0,0.0,59.9424324036,162,
162116,149045,28633,0.0,0.0,59.5172309875,162,
162117,149045,33100,0.0,0.0,34.7038955688,162,
162118,149045,33233,0.0,0.0,34.5911178589,162,
162119,149045,33333,0.0,0.0,34.7038955688,162,
162120,149045,33433,0.0,0.0,34.5911178589,162,
162121,149045,33567,0.0,0.0,34.7038955688,162,
162122,149045,36800,0.0,0.0,34.7038955688,162,
162123,149045,41033,-0.00198099995032,0.0202329996973,14.9472551346,164,
162124,149045,41133,-0.00198099995032,0.0202329996973,14.8543920517,164,
162125,149045,41300,-0.00198099995032,0.0202329996973,14.9472551346,164,
162126,149045,41500,-0.00198099995032,0.0202329996973,14.8543920517,164,
162127,149045,41767,-0.00198099995032,0.0202329996973,14.9562416077,164,
162128,149045,44933,-0.00198099995032,0.0202329996973,14.9562416077,164,
162129,149045,45200,-0.00198099995032,0.0202329996973,15.2226610184,162,
162130,149045,49467,0.0,0.0,0.0,162,
162131,149045,49767,0.0,0.0,0.119144000113,162,
162132,149045,49933,0.0,0.0,0.0,162,
162133,149046,0,0.0,0.0,0.0,164,
162134,149046,4667,0.0,0.0,0.0,164,
162135,149046,4867,0.0,0.0,-0.465548992157,164,
162136,149046,5733,0.0,0.0,-0.744283020496,164,
162137,149046,5933,0.0,0.0,-0.744283020496,162,
162138,149046,11700,0.0,0.0,-27.2069549561,164,
162139,149046,12067,0.0,0.0,-27.0184555054,164,
162140,149046,12433,0.0,0.0,-27.2069549561,164,
162141,149046,17433,0.0,0.0,-27.2155723572,164,
162142,149046,17667,0.0,0.0,-27.5994949341,162,
162143,149046,24367,0.0,0.0,-0.00507899979129,164,
162144,149046,24533,0.0,0.0,-0.0598450005054,164,
162145,149046,24767,0.0,0.0,-0.00507899979129,164,
162146,149046,24967,0.0,0.0,-0.0598450005054,164,
162147,149046,25233,0.0,0.0,0.0,164,
162148,149046,29500,0.0,0.0,0.0,164,
162149,149046,29667,0.0,0.0,-0.465548992157,164,
162150,149046,29900,0.0,0.0,0.0,164,
162151,149046,30500,0.0,0.0,-0.744283020496,162,
162152,149046,36533,0.0,0.0,-27.2069549561,164,
162153,149046,36900,0.0,0.0,-27.0184555054,164,
162154,149046,37267,0.0,0.0,-27.2069549561,164,
162155,149046,42133,0.0,0.0,-27.2155723572,164,
162156,149046,42367,0.0,0.0,-27.5994949341,162,
162157,149046,49067,0.0,0.0,-0.00507899979129,162,
162158,149046,49233,0.0,0.0,-0.0598450005054,162,
162159,149046,49467,0.0,0.0,-0.00507899979129,162,
162160,149046,49667,0.0,0.0,-0.0598450005054,162,
162161,149046,49933,0.0,0.0,0.0,162,
139266,152614,0,0.0,0.0,0.0,164,
139267,152614,1333,0.0,0.0,0.0,162,
139268,152614,3333,0.443127989769,0.536557972431,-12.8272676468,164,
139269,152614,4667,0.443127989769,0.536557972431,-12.8272676468,162,
139270,152614,6667,0.0,0.0,0.0,162,
130662,176080,0,0.0,0.0,0.0,162,
130663,176080,4039,0.0,-170.81439209,-0.107302002609,162,
130664,176080,4213,0.0,-178.161239624,-1.0148819685,162,
130665,176080,7297,-1.99999999495e-006,-308.567932129,-40.172077179,162,
130666,176080,7427,-1.99999999495e-006,-314.078063965,-40.6212539673,162,
130667,176080,12900,-1.99999999495e-006,-545.50402832,-40.678768158,162,
130668,176080,13074,-1.99999999495e-006,-552.850891113,-41.5043449402,162,
130669,176080,16158,-3.9999999899e-006,-683.257568359,-80.8189163208,162,
130670,176080,16331,-3.9999999899e-006,-690.604370117,-81.2348098755,162,
130671,176080,21804,-3.9999999899e-006,-922.030273438,-81.3229827881,162,
130672,176080,21934,-3.9999999899e-006,-927.540466309,-82.1531448364,162,
130673,176080,25018,-6.00000021223e-006,-1057.94702148,-121.324012756,162,
130674,176080,25192,-6.00000021223e-006,-1065.29394531,-121.96434021,162,
130675,176080,32663,-4.99999987369e-006,-1381.20874023,-121.810516357,162,
130676,176080,32793,-4.99999987369e-006,-1386.71887207,-121.371536255,162,
130677,176080,35877,-3.00000010611e-006,-1517.12561035,-81.9697952271,162,
130678,176080,36050,-3.00000010611e-006,-1524.47241211,-81.2521820068,162,
130679,176080,41567,-3.00000010611e-006,-1757.73510742,-81.0154342651,162,
130680,176080,41697,-3.00000010611e-006,-1763.24536133,-80.228477478,162,
130681,176080,44737,-1.99999999495e-006,-1891.81530762,-41.5884628296,162,
130682,176080,44911,-1.99999999495e-006,-1899.16210937,-40.678401947,162,
130683,176080,50384,-1.99999999495e-006,-2130.58813477,-40.6960334778,162,
130684,176080,50558,-1.99999999495e-006,-2137.93481445,-39.7825431824,162,
130685,176080,53598,0.0,-2266.50512695,-1.02344894409,162,
130686,176080,53772,0.0,-2273.85180664,-0.115364000201,162,
130687,176080,58633,0.0,-2482.28100586,0.186535999179,164,
130688,176080,71667,0.0,-2482.28100586,0.186535999179,162,
130689,176080,76531,0.0,-2273.85180664,-0.115364000201,162,
130690,176080,76705,0.0,-2266.50512695,-1.02344894409,162,
130691,176080,79745,-1.99999999495e-006,-2137.93481445,-39.7825431824,162,
130692,176080,79919,-1.99999999495e-006,-2130.58813477,-40.6960334778,162,
130693,176080,85392,-1.99999999495e-006,-1899.16210937,-40.678401947,162,
130694,176080,85566,-1.99999999495e-006,-1891.81530762,-41.5884628296,162,
130695,176080,88606,-3.00000010611e-006,-1763.24536133,-80.228477478,162,
130696,176080,88736,-3.00000010611e-006,-1757.73510742,-81.0154342651,162,
130697,176080,94253,-3.00000010611e-006,-1524.47241211,-81.2521820068,162,
130698,176080,94426,-3.00000010611e-006,-1517.12561035,-81.9697952271,162,
130699,176080,97510,-4.99999987369e-006,-1386.71887207,-121.371536255,162,
130700,176080,97640,-4.99999987369e-006,-1381.20874023,-121.810516357,162,
130701,176080,105111,-6.00000021223e-006,-1065.29394531,-121.96434021,162,
130702,176080,105285,-6.00000021223e-006,-1057.94702148,-121.324012756,162,
130703,176080,108369,-3.9999999899e-006,-927.540466309,-82.1531448364,162,
130704,176080,108499,-3.9999999899e-006,-922.030273438,-81.3229827881,162,
130705,176080,113972,-3.9999999899e-006,-690.604370117,-81.2348098755,162,
130706,176080,114145,-3.9999999899e-006,-683.257568359,-80.8189163208,162,
130707,176080,117229,-1.99999999495e-006,-552.850891113,-41.5043449402,162,
130708,176080,117403,-1.99999999495e-006,-545.50402832,-40.678768158,162,
130709,176080,122876,-1.99999999495e-006,-314.078063965,-40.6212539673,162,
130710,176080,123006,-1.99999999495e-006,-308.567932129,-40.172077179,162,
130711,176080,126090,0.0,-178.161239624,-1.0148819685,162,
130712,176080,126264,0.0,-170.81439209,-0.107302002609,162,
130713,176080,130300,0.0,0.0,0.0,164,
130714,176080,143333,0.0,0.0,0.0,164,
130715,176081,0,0.0,0.0,0.0,0,
130716,176081,433,0.0,0.0,0.0,162,
130717,176081,4495,0.0,-190.588760376,-0.107302002609,162,
130718,176081,4669,0.0,-197.935623169,-1.0148819685,162,
130719,176081,7753,-3.00000010611e-006,-328.342285156,-40.172077179,162,
130720,176081,7883,-3.00000010611e-006,-333.85244751,-40.6212539673,162,
130721,176081,13356,-3.00000010611e-006,-565.278381348,-40.678768158,162,
130722,176081,13530,-3.00000010611e-006,-572.625305176,-41.5043449402,162,
130723,176081,16614,-3.9999999899e-006,-703.031921387,-80.8189163208,162,
130724,176081,16787,-3.9999999899e-006,-710.378723145,-81.2348098755,162,
130725,176081,22260,-3.9999999899e-006,-941.80456543,-81.3229827881,162,
130726,176081,22390,-3.9999999899e-006,-947.314758301,-82.1531448364,162,
130727,176081,25474,-6.00000021223e-006,-1077.72131348,-121.324012756,162,
130728,176081,25648,-6.00000021223e-006,-1085.0682373,-121.96434021,162,
130729,176081,33119,-4.99999987369e-006,-1400.98303223,-121.810516357,162,
130730,176081,33249,-4.99999987369e-006,-1406.49316406,-121.371536255,162,
130731,176081,36333,-3.00000010611e-006,-1536.89990234,-81.9697952271,162,
130732,176081,36506,-3.00000010611e-006,-1544.2467041,-81.2521820068,162,
130733,176081,42023,-3.00000010611e-006,-1777.50939941,-81.0154342651,162,
130734,176081,42153,-3.00000010611e-006,-1783.01965332,-80.228477478,162,
130735,176081,45193,-3.00000010611e-006,-1911.58959961,-41.5884628296,162,
130736,176081,45367,-3.00000010611e-006,-1918.93640137,-40.678401947,162,
130737,176081,50840,-3.00000010611e-006,-2150.36254883,-40.6960334778,162,
130738,176081,51014,-1.99999999495e-006,-2157.70922852,-39.7825431824,162,
130739,176081,54054,0.0,-2286.27929688,-1.02344894409,162,
130740,176081,54228,0.0,-2293.6262207,-0.115364000201,162,
130741,176081,59067,0.0,-2482.30004883,0.186535999179,164,
130742,176081,71167,0.0,-2482.30004883,0.186535999179,162,
130743,176081,76053,0.0,-2293.6262207,-0.115364000201,162,
130744,176081,76227,0.0,-2286.27929688,-1.02344894409,162,
130745,176081,79268,-1.99999999495e-006,-2157.70922852,-39.7825431824,162,
130746,176081,79441,-3.00000010611e-006,-2150.36254883,-40.6960334778,162,
130747,176081,84914,-3.00000010611e-006,-1918.93640137,-40.678401947,162,
130748,176081,85088,-3.00000010611e-006,-1911.58959961,-41.5884628296,162,
130749,176081,88128,-3.00000010611e-006,-1783.01965332,-80.228477478,162,
130750,176081,88259,-3.00000010611e-006,-1777.50939941,-81.0154342651,162,
130751,176081,93775,-3.00000010611e-006,-1544.2467041,-81.2521820068,162,
130752,176081,93948,-3.00000010611e-006,-1536.89990234,-81.9697952271,162,
130753,176081,97032,-4.99999987369e-006,-1406.49316406,-121.371536255,162,
130754,176081,97163,-4.99999987369e-006,-1400.98303223,-121.810516357,162,
130755,176081,104633,-6.00000021223e-006,-1085.0682373,-121.96434021,162,
130756,176081,104807,-6.00000021223e-006,-1077.72131348,-121.324012756,162,
130757,176081,107891,-3.9999999899e-006,-947.314758301,-82.1531448364,162,
130758,176081,108021,-3.9999999899e-006,-941.80456543,-81.3229827881,162,
130759,176081,113494,-3.9999999899e-006,-710.378723145,-81.2348098755,162,
130760,176081,113668,-3.9999999899e-006,-703.031921387,-80.8189163208,162,
130761,176081,116751,-3.00000010611e-006,-572.625305176,-41.5043449402,162,
130762,176081,116925,-3.00000010611e-006,-565.278381348,-40.678768158,162,
130763,176081,122398,-3.00000010611e-006,-333.85244751,-40.6212539673,162,
130764,176081,122528,-3.00000010611e-006,-328.342285156,-40.172077179,162,
130765,176081,125612,0.0,-197.935623169,-1.0148819685,162,
130766,176081,125786,0.0,-190.588760376,-0.107302002609,162,
130767,176081,129800,0.0,0.0,0.0,164,
130768,176081,142899,0.0,0.0,0.0,164,
130769,176081,143333,0.0,0.0,0.0,164,
130770,176082,0,0.0,0.0,0.0,0,
130771,176082,433,0.0,0.0,0.0,162,
130772,176082,4495,-1.70000002981e-005,190.222000122,-0.107302002609,162,
130773,176082,4669,-1.70000002981e-005,197.56880188,-1.0148819685,162,
130774,176082,7753,-2.40000008489e-005,327.975494385,-40.1720733643,162,
130775,176082,7883,-2.70000000455e-005,333.485687256,-40.6212501526,162,
130776,176082,13356,-4.70000013593e-005,564.911437988,-40.6787643433,162,
130777,176082,13530,-4.70000013593e-005,572.258483887,-41.5043411255,162,
130778,176082,16614,-5.80000014452e-005,702.664916992,-80.8189239502,162,
130779,176082,16787,-5.80000014452e-005,710.011962891,-81.2348098755,162,
130780,176082,22260,-7.7999997302e-005,941.437805176,-81.3229827881,162,
130781,176082,22390,-7.7999997302e-005,946.948059082,-82.1531448364,162,
130782,176082,25474,-8.80000006873e-005,1077.35461426,-121.324012756,162,
130783,176082,25648,-8.80000006873e-005,1084.70153809,-121.96434021,162,
130784,176082,33119,-0.00011899999663,1400.61633301,-121.810516357,162,
130785,176082,33249,-0.00011899999663,1406.12646484,-121.371536255,162,
130786,176082,36333,-0.000132000001031,1536.53308105,-81.9697952271,162,
130787,176082,36506,-0.000132000001031,1543.88000488,-81.2521820068,162,
130788,176082,42023,-0.000153000000864,1777.1427002,-81.0154342651,162,
130789,176082,42153,-0.000153000000864,1782.6529541,-80.228477478,162,
130790,176082,45193,-0.000165999997989,1911.22290039,-41.5884666443,162,
130791,176082,45367,-0.000165999997989,1918.56970215,-40.6784057617,162,
130792,176082,50840,-0.00018600000476,2149.99560547,-40.6960334778,162,
130793,176082,51014,-0.00018600000476,2157.3425293,-39.7825393677,162,
130794,176082,54054,-0.000199999994948,2285.91259766,-1.02344894409,162,
130795,176082,54228,-0.000199999994948,2293.25927734,-0.115364000201,162,
130796,176082,59067,-0.000216999993427,2483.00146484,0.186535999179,164,
130797,176082,71167,-0.000216999993427,2483.00146484,0.186535999179,162,
130798,176082,76053,-0.000199999994948,2293.25927734,-0.115364000201,162,
130799,176082,76227,-0.000199999994948,2285.91259766,-1.02344894409,162,
130800,176082,79268,-0.00018600000476,2157.3425293,-39.7825393677,162,
130801,176082,79441,-0.00018600000476,2149.99560547,-40.6960334778,162,
130802,176082,84914,-0.000165999997989,1918.56970215,-40.6784057617,162,
130803,176082,85088,-0.000165999997989,1911.22290039,-41.5884666443,162,
130804,176082,88128,-0.000153000000864,1782.6529541,-80.228477478,162,
130805,176082,88259,-0.000153000000864,1777.1427002,-81.0154342651,162,
