long,byte,byte,byte,byte,byte,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,
11,133,235,49,64,0,171868160,3941335,-398458880,-939524093,1493172224,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,50331647,0,0,1073741824,0,
12,133,235,49,64,0,4096000,0,-398458880,-939524093,-2130706432,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
13,133,235,49,64,0,171868160,3941335,-398417920,-939524093,-1459617792,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
16,0,0,128,63,10,3908567,0,-1539342336,0,16777216,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
17,133,235,49,64,0,171966464,3941335,-390070272,-939524093,-2080374784,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
18,0,0,200,66,0,1866465280,3834642,-398352384,3,-1409286144,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
19,133,235,49,64,0,171868160,3941335,-398458880,-939524093,-704643072,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
20,0,0,160,64,0,-851443712,3984588,-398491648,3,16777216,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
21,0,0,160,65,0,171933696,3941335,-398458880,3,-1409286144,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
22,133,235,49,64,0,171868160,3941335,-398417920,-939524093,16777216,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
23,133,235,49,64,0,171868160,-516152361,-801123206,-939524089,-16777216,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
24,0,0,0,64,0,-1405157376,3614661,-398458880,3,771751936,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
25,133,235,49,64,0,-1405075456,3614661,-398458880,3,771751936,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
26,133,235,49,64,0,4096000,0,-1337982976,-939524092,-2080374784,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
27,133,235,49,64,0,4096000,0,-1337982976,-939524092,-2130706432,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
28,133,235,49,64,0,4096000,0,-1337982976,-939524092,771751936,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
29,133,235,49,64,0,171868160,3941335,-398458880,-939524093,1375731712,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
30,0,0,32,65,0,171966464,3941335,-398458880,-939524093,-1409286144,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
31,0,0,160,64,0,-851492864,3984588,-1337982976,-939524092,-2130706432,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
32,133,235,49,64,0,171982848,3941335,-398458880,-939524093,-2080374784,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
40,195,245,200,62,35,4090698,0,-415285248,738197507,771751937,369098753,469762048,-1711276032,54335897,50331648,0,859832320,1212203827,4152033,-1895825408,-516065854,-1707174790,-2093049447,4159825,0,-2030043136,4213014,0,1711276032,4122214,0,-385875968,-197076698,12630269,-1711276032,524163481,-1891701883,1715336642,4138598,0,0,-16777216,67108612,552,0,1073741824,0,
41,225,122,212,63,51,171881267,-516152361,524276858,721420366,-16777215,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,-855638016,4115660,0,0,0,0,0,0,0,0,0,0,0,-16777216,52174079,557,0,1073741824,0,
43,225,122,212,63,51,171881267,-516152361,524276858,721420366,-16777215,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,-855638016,1614728396,1614782693,4169957,0,0,0,0,0,0,0,0,0,-16777216,52230911,0,2,1073741824,0,
44,225,122,212,63,51,171881267,-516152361,524276858,721420366,-16777215,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,-855638016,-29438772,-29351724,4202708,0,0,0,0,0,0,0,0,0,-16777216,52559644,0,0,1073741824,0,
45,225,122,212,63,51,171881267,-516152361,524276858,721420366,-16777215,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,-855638016,-29438772,-20963116,12591316,0,0,0,0,0,0,0,0,0,-16777216,67050541,0,0,1073741824,0,
46,225,122,212,63,51,171881267,-516152361,524276858,721420366,-16777215,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,-855638016,1614728396,1623171301,12558565,0,0,0,0,0,0,0,0,0,-16777216,67050712,0,0,1073741824,0,
48,111,18,131,62,133,4084203,-1711276032,1665096089,738197505,1375731713,0,452984832,0,0,0,0,0,0,0,4145152,0,-1711276032,-29419111,4171988,-2092908544,968849745,4163764,0,0,0,0,-1207959552,-1195292386,4278558,0,0,0,0,0,0,0,-16777216,50266182,574,0,1073741824,0,
49,72,225,250,62,175,4109716,-1711276032,-1539303015,738197504,-16777215,1174405121,0,167772160,54338519,50331648,0,4194304,4268032,-553648128,-2059461664,-1203826197,4171038,-29458432,-851470124,625044684,-742539002,12460254,0,0,0,0,-1207959552,-1195292386,4278558,0,0,0,0,-855638016,4213964,0,-16777216,55081336,587,0,1073741824,0,
50,12,2,171,62,0,4071057,0,2101346304,721420288,771751937,369098753,0,167772160,54338519,50331648,0,4194304,171986944,4146135,-1711276032,-1891755623,4126146,-956301312,859769018,4301619,0,0,0,-855638016,-2025927476,-2017441514,272648470,-1371506344,12644679,-1711276032,524163481,-1371608187,4088135,4145152,0,0,-16777216,67108863,0,0,1073741824,0,
52,0,0,128,63,233,4129062,0,-2000707584,738197523,1375731713,671088640,452984832,0,50331648,50331648,0,4194304,4227072,0,4145152,0,855638016,4199219,0,0,0,0,0,0,71294976,-742555475,4071646,0,0,167772160,2067751895,-1891635692,-1891830334,3995074,1187115008,1715499958,-12589466,67108863,600,0,1073741824,0,
56,102,102,22,63,111,4132336,-855638016,499092684,738197505,1375731713,1744830464,452984832,0,117440512,67108864,0,4268032,4268032,0,4145152,0,-855638016,-750785332,4071646,0,0,0,0,0,4186112,0,0,0,0,-1895825408,-1019284030,-1203820299,-851540706,4132044,314699776,-851419005,-12538676,67108863,0,0,1073741824,0,
59,127,106,12,63,64,4022547,1711276032,390047334,738197505,-16777215,1073741825,0,0,50331648,50331648,0,4194304,4268032,0,-2063597568,-1203826197,-1707104994,457087385,4185391,625090560,-742539002,-1195499298,-1203680994,4247838,0,0,-1207959552,-1195292386,4278558,-1207959552,171902238,-331389993,171849809,4105175,4300800,4227072,-12615680,67108863,625,0,1073741824,0,
60,127,106,12,63,53,4112990,0,-901775360,721420288,771751937,503316481,0,167772160,54305751,50331648,1711276032,-1707063706,4229529,0,-1711276032,-1891755623,1715402178,-834738586,859787545,4297523,0,0,0,-855638016,-2025927476,-2017441514,272648470,-1371506344,12644679,1711276032,-1371593114,4170055,-855638016,4082892,0,0,-16777216,67108863,0,0,1073741824,0,
61,160,26,135,63,175,4109716,-1711276032,-876652135,738197504,16777217,1073741824,452984832,0,0,0,0,0,0,0,4145152,0,0,1346273280,1715419388,-2092931482,968849745,-1673557836,1707053252,4096170,-2025799680,-2017441514,4213014,0,0,-515760128,-1203825542,524272926,-1203868795,4097310,12732416,1715503104,-12519834,49873151,634,0,1073741824,0,
62,16,88,57,63,23,171856311,3843031,-893411328,738197504,16777217,167772160,452984832,-335544320,54343761,67108864,-1711276032,859863449,4261683,1526726656,-1203815213,1212056862,1715403489,1698653798,859734186,-2084498637,968849745,-1858107212,633384173,4243718,-2025873408,-2017441514,4213014,0,0,-1891433984,-1707248190,171841945,-851598377,4082892,0,0,-16777216,33573388,643,0,1073741824,0,
63,133,235,49,64,0,171868160,3941335,2101366784,-939524096,16777216,67108864,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
65,0,0,128,64,18,4161667,0,-885030912,738197504,1375731713,1073741824,452984832,0,50331648,50331648,0,4194304,4227072,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4161536,-851443712,-1707193140,4102553,4300800,4227072,-12615680,67108863,656,0,1073741824,0,
66,199,75,87,63,29,4099896,855638016,-1539329229,738197504,16777217,1509949440,452984832,-335544320,104675409,100663296,0,4235264,4263936,0,4145152,0,-855638016,-2025911092,4184342,4333568,0,0,0,0,0,0,0,0,0,0,4128768,4161536,0,0,4300800,4227072,-12615680,50397183,0,0,1073741824,0,
67,211,77,34,62,0,4096000,855638016,-415255757,738197504,1,1912602625,452984832,1023410176,54433546,50331648,0,-851443712,4244684,687865856,524127725,859728773,4109107,-33554432,-1707108140,4250009,0,0,0,0,-2025832448,-2017441514,4213014,0,0,-851304448,-1707193140,4102553,4096000,4128768,306333696,-851419005,-12612404,67108863,0,0,1073741824,0,
70,12,2,171,62,154,-1237411431,-1707344397,-1539335783,738197504,-1459617791,1073741825,452984832,0,50331648,50331648,0,4194304,4227072,0,4145152,0,-1711276032,457136537,1715461423,4269670,0,0,0,855638016,-29379789,4167892,0,0,0,0,0,0,0,0,4300800,4227072,-12615680,67108863,0,0,1073741824,0,
71,211,77,34,62,0,4096000,855638016,-415255757,738197504,1,1375731713,452984832,1023410176,54433546,50331648,0,4194304,4243456,687865856,524127725,859728773,4109107,-33554432,-1707108140,4250009,0,0,0,0,-2030043136,-2017441514,4213014,0,0,-1891491840,-851610174,4017356,4128768,4161536,172115968,3941335,-16777216,67108863,0,0,1073741824,0,
72,211,77,34,62,154,4102553,0,-893411328,738197504,1,1744830465,452984832,1543503872,54395535,50331648,0,4194304,4227072,0,4145152,0,0,-29356032,1715448020,12666470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1983860736,1715503169,-12589466,67108863,673,0,1073741824,0,
73,133,235,49,64,0,-1891696640,3995074,-390103040,-939524093,0,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
74,0,0,32,64,0,4128768,1711276032,725628518,738197505,771751937,1107296257,452984832,-520093696,37622906,33554432,0,4194304,4227072,0,-1895825408,171767234,4162519,1279164416,1715495223,4220518,0,0,0,0,-2030043136,-2017474282,4180246,0,0,0,0,0,0,0,4300800,4227072,-12615680,50331647,678,0,1073741824,0,
75,0,0,128,64,0,4177920,-855638016,725552332,738197505,771751937,1073741825,452984832,-855638016,37637324,33554432,0,4194304,4227072,0,0,0,0,0,855638016,12628787,0,0,0,0,-2030043136,-2017441514,4213014,0,0,0,0,0,0,0,4300800,4227072,1279229952,67108863,0,2,1073741824,0,
76,0,0,128,63,35,4090698,-1711276032,2101320089,738197504,-16777215,1140850689,452984832,0,50331648,50331648,0,4194304,4227072,0,4145152,0,0,-117440512,4147471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300800,4227072,-12615680,50348160,683,0,1073741824,0,
77,0,0,128,63,64,4022547,-1711276032,-901801575,738197504,704643073,1426063360,452984832,1543503872,54395535,50331648,0,4194304,-1707048960,1228839321,4145309,0,-855638016,4132044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300800,4227072,-12615680,50364416,0,0,1073741824,0,
78,0,0,128,64,0,4230144,-855638016,-1522504500,-2013265920,-738197503,-1073741824,452984832,0,50331648,50331648,0,4194304,4227072,0,4145152,0,0,0,0,-2017320960,624970006,12468486,-2030043136,4215062,4235264,0,0,0,0,4458560,0,0,0,0,4300800,4227072,-12615680,54460690,0,0,1073741824,0,
79,8,172,20,64,199,4122810,855638016,1463784243,-2013265920,1375731713,-973078528,452984832,0,167772160,167772160,0,-1711276032,-1707012711,-1539368551,-1203798672,-2059467490,-851504661,-784364340,859853602,4297523,0,620756992,4145414,0,4235264,0,0,0,0,4458560,0,0,0,0,-951970816,4260683,1816215552,50331647,692,0,1073741824,0,
80,104,145,85,64,65,4119537,1711276032,2101360230,-2013265920,1375731713,-939524096,452984832,0,50331648,50331648,0,4194304,4227072,0,0,0,-855638016,1446956236,-1707030258,-2025719399,239094038,-1010921282,-1010812683,4208885,4235264,0,0,0,0,4458560,0,0,0,0,4300800,4227072,2084536320,50331647,705,0,1073741824,0,
81,133,235,49,64,154,4069785,-520093696,-801123206,-939524089,-16777216,67108865,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,33554687,0,0,1073741824,0,
82,205,204,204,61,23,4084151,-520093696,1463800954,721420288,-16777215,201326593,0,-1543503872,71155056,50331648,-1711276032,4200857,4227072,0,-851492864,4115660,-1711276032,-1673569895,1715409092,12641894,0,0,0,855638016,71250739,2000519341,-381755091,-1220550362,4120418,0,0,0,0,0,0,0,-16777216,52220415,0,0,1073741824,0,
83,12,2,171,62,154,-1203856999,-1707309794,-901801575,738197504,1375731713,1174405120,452984832,-1711276032,54417817,50331648,-1711276032,-851461735,4222156,0,-1371586560,171827527,4105175,553648128,4194992,0,-956301312,-1371600710,4190535,0,0,0,0,0,0,0,0,0,0,0,4300800,4227072,-12615680,67043328,722,0,1073741824,0,
84,139,108,7,63,154,-482436711,-1707271259,2101320089,738197504,1375731713,1140850688,452984832,-1543503872,54435184,50331648,1711276032,4195942,4227072,0,-1371586560,1379787079,1715379896,-29432218,4167892,0,-956301312,-1371600710,4190535,0,0,0,0,0,0,0,0,0,0,0,4300800,4227072,-12615680,67043328,0,0,1073741824,0,
85,139,108,7,63,154,1748933017,-1707348591,1463785881,738197504,1375731713,1073741824,452984832,0,50331648,50331648,1711276032,4195942,4227072,0,-1371586560,171827527,4105175,-29458432,4167892,0,-956301312,-1371600710,4190535,0,0,0,0,0,0,0,0,0,0,0,4300800,4227072,-12615680,67043328,0,0,1073741824,0,
88,209,34,43,64,147,4151977,-1711276032,-1522542183,738197504,-687865855,1207959554,83886080,0,50331648,50331648,0,4194304,4227072,0,4145152,0,-855638016,4132044,-1711276032,4200857,0,0,0,0,-2030043136,-2025830122,12601622,0,0,0,0,0,0,0,4251648,4300800,-12476416,50331647,770,0,1073741824,0,
92,113,61,74,62,0,4096000,855638016,390050611,-553648127,0,1979711489,452984833,687865856,54366044,83886080,-855638016,859860172,1900087091,4098621,520093696,-331453563,4143185,-33554432,-1707108140,4250009,0,0,0,1711276032,4154982,0,0,0,0,-1203625984,-1539406562,4111728,1715372032,4122214,4396544,4481280,-16777216,67108863,0,0,1073741824,0,
95,12,2,171,62,0,4096000,855638016,-398478541,3,0,1174405121,452984832,687865856,54366044,67108864,-855638016,859860172,1900087091,4098621,520093696,-331453563,4143185,-33554432,-1707108140,4250009,0,0,0,1711276032,4154982,0,0,0,0,-1207959552,-1539406562,4111728,1715372032,4122214,4396544,4481280,-16777216,67108863,0,0,1073741824,0,
96,205,204,204,61,23,4084151,0,2046820352,738197519,16777217,1744830464,436207616,0,50331648,50331648,0,4194304,4227072,117440512,4139470,167772160,-1707170857,-197129831,859880701,4297523,0,0,0,1711276032,4179558,67108864,4030637,0,0,4447872,0,0,0,0,-2092949504,-851453248,-12542772,67108863,0,0,1073741824,0,
97,102,102,22,63,111,4132336,-1711276032,1463769497,738197504,1375731713,1744830464,452984832,0,117440512,67108864,0,4268032,4268032,0,4145152,0,-1711276032,-750798439,4071646,0,0,0,0,855638016,4166451,0,0,0,0,-1895825408,-1019284030,-1203820299,-851540706,4132044,591546368,-851408421,-12522292,58720320,0,0,1073741824,0,
98,37,6,185,63,0,4071057,-855638016,2101316812,738197504,771751937,1442840577,452984832,0,67108864,16777216,-855638016,-851395380,4228300,4190208,687865856,2067664732,4107796,0,-1124073472,11896375,0,0,0,0,0,0,0,0,0,1895825408,-1371600323,-1203805881,4130078,0,4300800,4227072,-12615680,57305706,0,0,1073741824,0,
99,236,81,72,63,244,457049341,-1707287249,-1539335783,738197504,704643073,1375731712,452984832,1375731712,54369976,50331648,0,4186112,4206592,0,4145152,0,0,0,0,0,0,0,0,-1711276032,4184473,0,0,0,0,-1895825408,-331549246,-1371654063,524247367,4164485,4300800,4227072,-12615680,55604853,0,0,1073741824,0,
100,0,0,128,64,184,-197189346,3921149,1455464448,738197504,771751937,1979711489,452984832,0,171900928,167772160,0,0,0,0,167772160,-1371692073,4055367,4145152,-855638016,12692684,0,0,0,0,0,0,0,0,0,335544320,4171694,-1543503872,4144496,0,625153536,1715526918,-12622234,57305706,0,0,1073741824,0,
101,0,0,128,64,29,2134806328,3947626,-1539268608,738197504,16777217,1140850688,452984832,0,54460416,50331648,0,4194304,4227072,0,-851492864,171789516,3974103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300800,4227072,-12615680,67108863,795,0,1073741824,0,
102,104,145,157,63,1,457126989,-1707287249,-1539335783,738197504,704643073,1174405120,452984832,1375731712,54369976,50331648,0,4186112,4206592,0,-1891680256,1547564482,4129423,0,0,0,0,0,0,-1711276032,4229529,0,0,0,0,0,687865856,691933020,-163704996,4168744,4300800,4227072,-12615680,55604842,0,0,1073741824,0,
103,133,235,249,63,244,-1237449475,-1707311629,-1522558567,738197504,704643073,1409286144,452984832,1711276032,54388326,50331648,0,4186112,4206592,1224736768,1379877021,-163635528,4168744,0,0,0,0,0,0,0,0,0,0,0,0,167772160,524067799,-1539380347,1715387760,4163174,4300800,4227072,-12615680,55604853,0,0,1073741824,0,
105,72,225,250,62,175,4109716,-1711276032,390076825,738197505,-16777215,1174405121,0,167772160,54338519,50331648,0,4194304,4268032,-553648128,-2059461664,-1203826197,4171038,-29458432,-851470124,625044684,-742539002,12460254,0,0,0,0,-1207959552,-1195292386,4278558,0,0,0,0,-855638016,4213964,0,-16777216,67108863,832,0,1073741824,0,
106,133,235,49,64,0,171868160,3941335,-402653184,-939524093,1291845632,67108867,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,33619840,0,0,1073741824,0,
107,133,235,49,64,0,171868160,859579351,-398511309,-939524093,-2130706432,67108867,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013265920,83886079,0,0,1073741824,0,
108,133,235,49,64,0,171868160,-851696681,-398521140,-939524093,-1308622848,67108867,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,65607322,0,0,1073741824,0,
109,133,235,49,64,0,171868160,-851696681,-398521140,-939524093,-268435456,67108867,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,83886079,0,0,1073741824,0,
110,133,235,49,64,0,1866366976,-516259054,-801123206,-939524089,721420288,67108868,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
111,133,235,49,64,0,1866366976,-516259054,-801123206,-939524089,1593835520,67108868,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,83886079,0,0,1073741824,0,
112,133,235,49,64,0,171900928,4006871,-398491648,738197507,-1879048191,67108868,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
113,133,235,49,64,0,171900928,4006871,-398491648,738197507,-989855743,67108868,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,83886079,0,0,1073741824,0,
114,133,235,49,64,53,171885150,3941335,-398557184,-939524093,-150994944,67108868,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
115,133,235,49,64,53,171885150,3941335,-398557184,-939524093,721420288,67108869,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,83886079,0,0,1073741824,0,
116,133,235,49,64,0,-331448320,4012113,-398458880,-939524093,1543503872,5,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,83886079,0,0,1073741824,0,
117,133,235,49,64,0,-331448320,4012113,-398458880,-939524093,-1862270976,5,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
118,133,235,49,64,0,-1891696640,859633090,-398486733,-939524093,-922746880,67108869,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
119,133,235,49,64,0,-1891696640,859633090,-398486733,-939524093,50331648,67108870,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,83886079,0,0,1073741824,0,
120,133,235,49,64,0,171868160,3941335,-390078464,-939524093,973078528,67108870,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,67108863,0,0,1073741824,0,
121,133,235,49,64,0,171868160,3941335,-390078464,-939524093,1845493760,67108870,0,0,0,0,0,0,0,0,4145152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,83886079,0,0,1073741824,0,
122,102,102,22,63,23,4084151,-1711276032,1463769497,738197504,-1627389951,1744830470,452984832,0,117440512,67108864,0,4268032,4268032,0,4145152,0,-1711276032,-750798439,4071646,0,0,0,0,855638016,4166451,0,0,0,0,-1895825408,-1019284030,-1203820299,-851540706,4132044,591546368,-851408421,-12522292,58720320,0,0,1073741824,0,
123,102,102,22,63,23,4084151,-1711276032,-264283751,738197504,-1090519039,1744830470,452984832,0,117440512,67108864,0,4268032,4268032,0,4145152,0,-1711276032,-750798439,4071646,0,0,0,0,855638016,4166451,0,0,0,0,-1895825408,-1019284030,-1203820299,-851540706,4132044,591546368,859867611,-12516557,58720320,0,0,1073741824,0,
125,102,102,22,63,111,4132336,-855638016,-406876980,738197507,-1308622847,536870915,452984832,0,117440512,67108864,0,4268032,4268032,0,4145152,0,-855638016,4189388,0,0,0,0,0,1711276032,4208230,0,0,0,0,-1895825408,-1019284030,-1203820299,-851540706,4132044,-230547456,-1707034158,-801064551,50749915,0,0,1073741824,0,
126,225,122,212,63,1,4142157,-855638016,524258508,738197582,-268435455,67108867,0,0,0,0,0,0,0,0,4145152,0,-1711276032,540973465,-1707151039,1447090585,1447021838,4181262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16777216,83886079,0,1,1073741824,0,
