long,str,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
47,"of Proficiency",174,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
48,"of Defense",110,0,0,,,"of Defense",,,,,,,,,,,,,,,,0xFF01FE,
49,"of Beast Slaying",188,0,0,,,"of Beast Slaying",,,,,,,,,,,,,,,,0xFF01FE,
50,"of Retaliation",199,0,0,,,"of Retaliation",,,,,,,,,,,,,,,,0xFF01FE,
51,"of Critical Strike",195,0,0,,,"of Critical Strike",,,,,,,,,,,,,,,,0xFF01FE,
52,"of Proficiency",154,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
53,"of Proficiency",140,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
54,"of Proficiency",126,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
56,"of Proficiency",161,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
57,"of Proficiency",147,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
58,"of Proficiency",133,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
59,"of Proficiency",182,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
60,"of Proficiency",168,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
62,"of Defense",111,0,0,,,"of Defense",,,,,,,,,,,,,,,,0xFF01FE,
63,"of Proficiency",175,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
64,"of Beast Slaying",189,0,0,,,"of Beast Slaying",,,,,,,,,,,,,,,,0xFF01FE,
65,"of Retaliation",200,0,0,,,"of Retaliation",,,,,,,,,,,,,,,,0xFF01FE,
66,"of Proficiency",155,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
67,"of Proficiency",141,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
68,"of Proficiency",127,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
69,"of Proficiency",162,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
70,"of Proficiency",148,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
71,"of Proficiency",134,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
72,"of Proficiency",183,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
73,"of Proficiency",169,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
74,"of Defense",112,0,0,,,"of Defense",,,,,,,,,,,,,,,,0xFF01FE,
75,"of Proficiency",176,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
76,"of Beast Slaying",190,0,0,,,"of Beast Slaying",,,,,,,,,,,,,,,,0xFF01FE,
77,"of Retaliation",201,0,0,,,"of Retaliation",,,,,,,,,,,,,,,,0xFF01FE,
78,"of Critical Strike",196,0,0,,,"of Critical Strike",,,,,,,,,,,,,,,,0xFF01FE,
79,"of Toughness",89,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFF01FE,
80,"of Quality",117,0,0,,,"of Quality",,,,,,,,,,,,,,,,0xFF01FE,
81,"of Proficiency",156,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
82,"of Proficiency",142,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
83,"of Proficiency",128,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
84,"of Proficiency",163,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
85,"of Proficiency",149,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
86,"of Proficiency",135,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
87,"of Proficiency",184,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
88,"of Proficiency",170,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
89,"of Defense",113,0,0,,,"of Defense",,,,,,,,,,,,,,,,0xFF01FE,
90,"of Proficiency",177,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
91,"of Beast Slaying",191,0,0,,,"of Beast Slaying",,,,,,,,,,,,,,,,0xFF01FE,
92,"of Retaliation",202,0,0,,,"of Retaliation",,,,,,,,,,,,,,,,0xFF01FE,
93,"of Agility",90,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
94,"of Intellect",94,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
95,"of Spirit",98,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
96,"of Stamina",102,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
97,"of Strength",106,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
98,"of Toughness",121,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFF01FE,
99,"of Quality",118,0,0,,,"of Quality",,,,,,,,,,,,,,,,0xFF01FE,
100,"of Proficiency",157,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
101,"of Proficiency",143,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
102,"of Proficiency",129,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
103,"of Proficiency",164,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
104,"of Proficiency",150,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
105,"of Proficiency",136,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
106,"of Proficiency",185,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
107,"of Proficiency",171,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
108,"of Defense",114,0,0,,,"of Defense",,,,,,,,,,,,,,,,0xFF01FE,
109,"of Proficiency",178,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
110,"of Beast Slaying",192,0,0,,,"of Beast Slaying",,,,,,,,,,,,,,,,0xFF01FE,
111,"of Agility",91,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
112,"of Intellect",95,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
113,"of Spirit",99,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
114,"of Stamina",103,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
115,"of Strength",107,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
116,"of Critical Strike",197,0,0,,,"of Critical Strike",,,,,,,,,,,,,,,,0xFF01FE,
117,"of Twain",200,188,110,,,"of Twain",,,,,,,,,,,,,,,,0xFF01FE,
118,"of Toughness",122,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFF01FE,
119,"of Quality",119,0,0,,,"of Quality",,,,,,,,,,,,,,,,0xFF01FE,
120,"of Proficiency",158,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
121,"of Proficiency",144,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
122,"of Proficiency",130,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
123,"of Proficiency",165,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
124,"of Proficiency",151,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
125,"of Proficiency",137,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
126,"of Proficiency",186,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
127,"of Proficiency",172,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
128,"of Defense",115,0,0,,,"of Defense",,,,,,,,,,,,,,,,0xFF01FE,
129,"of Proficiency",179,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
130,"of Beast Slaying",193,0,0,,,"of Beast Slaying",,,,,,,,,,,,,,,,0xFF01FE,
131,"of Retaliation",204,0,0,,,"of Retaliation",,,,,,,,,,,,,,,,0xFF01FE,
132,"of Agility",92,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
133,"of Intellect",96,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
134,"of Spirit",100,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
135,"of Stamina",104,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
136,"of Strength",108,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
137,"of Toughness",123,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFF01FE,
138,"of Quality",120,0,0,,,"of Quality",,,,,,,,,,,,,,,,0xFF01FE,
139,"of Proficiency",159,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
140,"of Proficiency",145,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
141,"of Proficiency",131,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
142,"of Proficiency",166,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
143,"of Proficiency",152,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
144,"of Proficiency",138,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
145,"of Proficiency",187,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
146,"of Proficiency",173,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
147,"of Proficiency",116,0,0,,,"of Defense",,,,,,,,,,,,,,,,0xFF01FE,
148,"of Proficiency",180,0,0,,,"of Proficiency",,,,,,,,,,,,,,,,0xFF01FE,
149,"of Beast Slaying",194,0,0,,,"of Beast Slaying",,,,,,,,,,,,,,,,0xFF01FE,
150,"of Retaliation",205,0,0,,,"of Retaliation",,,,,,,,,,,,,,,,0xFF01FE,
151,"of Agility",93,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
152,"of Intellect",97,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
153,"of Spirit",101,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
154,"of Stamina",105,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
155,"of Strength",109,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
156,"of Critical Strike",198,0,0,,,"of Critical Strike",,,,,,,,,,,,,,,,0xFF01FE,
167,"",343,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
168,"",349,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
171,"",358,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
172,"",363,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
173,"",368,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
174,"",350,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
175,"",354,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
176,"",359,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
177,"",364,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
178,"",369,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
179,"",351,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
180,"",355,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
181,"",360,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
182,"",365,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
183,"",370,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
184,"",353,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
185,"",356,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
186,"",361,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
187,"",366,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
188,"",371,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
189,"",352,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
190,"",357,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
191,"",362,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
192,"",367,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
193,"",372,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
194,"",344,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFFBDFF,
195,"",346,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFFBDFF,
196,"",345,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFFBDFF,
197,"",347,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFFBDFF,
198,"",348,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFFBDFF,
207,"",383,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFF01FE,
210,"",384,0,0,,,"of Toughness",,,,,,,,,,,,,,,,0xFF01FE,
211,"",403,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
212,"",404,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
213,"",405,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
214,"",406,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFFBDFF,
215,"",407,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
216,"",408,0,0,,,"of Spirit",,,,,,,,,,,,,,,,0xFFBDFF,
217,"",409,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
218,"",411,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
219,"",410,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
220,"",412,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFFBDFF,
227,"",74,79,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
228,"",74,82,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFFBDFF,
229,"",75,79,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
231,"",74,80,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
232,"",75,81,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
233,"",76,80,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
234,"",76,81,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
235,"",90,81,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
236,"",76,94,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
237,"",90,95,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
238,"",75,80,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
247,"",91,95,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
248,"",90,94,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
249,"",91,94,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
250,"",91,96,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
251,"",92,96,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
252,"",92,95,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
253,"",92,97,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
254,"",93,97,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
255,"",93,96,0,,,"of the Falcon",,,,,,,,,,,,,,,,0xFFBDFF,
256,"",74,83,0,,,"of the Wolf",,,,,,,,,,,,,,,,0xFFBDFF,
267,"",883,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFFBDFF,
287,"of Stamina",1068,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFFBDFF,
307,"of Strength",684,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
308,"of Strength",1043,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
309,"of Strength",1044,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
310,"of Strength",1045,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
311,"of Strength",1046,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
312,"of Strength",1047,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
313,"of Strength",1048,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
314,"of Strength",1049,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
315,"of Strength",1050,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
316,"of Strength",1051,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
317,"of Strength",1052,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
318,"of Strength",1053,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
319,"of Strength",1054,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
320,"of Strength",1055,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
321,"of Strength",1056,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
322,"of Strength",1057,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
323,"of Strength",1058,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
324,"of Strength",1059,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
325,"of Strength",1060,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
326,"of Strength",1061,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
327,"of Strength",1062,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
328,"of Strength",1063,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
329,"of Strength",1064,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
330,"of Strength",1065,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
331,"of Strength",1066,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
332,"of Strength",1067,0,0,,,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,
333,"of Stamina",1069,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
334,"of Stamina",1070,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
335,"of Stamina",1071,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
336,"of Stamina",1072,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
337,"of Stamina",1073,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
338,"of Stamina",1074,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
339,"of Stamina",1075,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
340,"of Stamina",1076,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
341,"of Stamina",1077,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
342,"of Stamina",1078,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
343,"of Stamina",1079,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
344,"of Stamina",1080,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
345,"of Stamina",1081,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
346,"of Stamina",1082,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
347,"of Stamina",1083,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
348,"of Stamina",1084,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
349,"of Stamina",1085,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
350,"of Stamina",1086,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
351,"of Stamina",1087,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
352,"of Stamina",1088,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
353,"of Stamina",1089,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
354,"of Stamina",1090,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
355,"of Stamina",1091,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
356,"of Stamina",1092,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
357,"of Stamina",1093,0,0,,,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,
358,"of Agility",983,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
359,"of Agility",1094,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
360,"of Agility",1095,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
361,"of Agility",1096,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
362,"of Agility",1097,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
363,"of Agility",1098,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
364,"of Agility",1099,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
365,"of Agility",1100,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
366,"of Agility",1101,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
367,"of Agility",1102,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
368,"of Agility",1103,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
369,"of Agility",1104,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
370,"of Agility",1105,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
371,"of Agility",1106,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
372,"of Agility",1107,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
373,"of Agility",1108,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
374,"of Agility",1109,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
375,"of Agility",1110,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
376,"of Agility",1111,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
377,"of Agility",1112,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
378,"of Agility",1113,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
379,"of Agility",1114,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
380,"of Agility",1115,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
381,"of Agility",1116,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
382,"of Agility",1117,0,0,,,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,
383,"of Intellect",1118,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
384,"of Intellect",1119,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
385,"of Intellect",1120,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
386,"of Intellect",1121,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
387,"of Intellect",1122,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
388,"of Intellect",1123,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
389,"of Intellect",1124,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
390,"of Intellect",1125,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
391,"of Intellect",1126,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
392,"of Intellect",1127,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
393,"of Intellect",1128,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
394,"of Intellect",1129,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
395,"of Intellect",1130,0,0,,,"of Intellect",,,,,,,,,,,,,,,,0xFF01FE,
