long,long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,
222,48,0,3000,3,"Lorgus Jett",,,,,,,,,,,,,,,,0xFF01FE,,
224,48,0,5000,5,"Old Serra'kis",,,,,,,,,,,,,,,,0xFF01FE,,
225,48,0,6000,6,"Twilight Lord Kelris",,,,,,,,,,,,,,,,0xFF01FE,,
226,48,0,7000,7,"Aku'mai",,,,,,,,,,,,,,,,0xFF01FE,,
547,70,0,0,0,"Revelosh",,,,,,,,,,,,,,,,0xFF01FE,,
548,70,0,1000,1,"The Lost Dwarves",,,,,,,,,,,,,,,,0xFF01FE,,
549,70,0,2000,2,"Ironaya",,,,,,,,,,,,,,,,0xFF01FE,,
551,70,0,4000,4,"Ancient Stone Keeper",,,,,,,,,,,,,,,,0xFF01FE,,
552,70,0,5000,5,"Galgann Firehammer",,,,,,,,,,,,,,,,0xFF01FE,,
553,70,0,6000,6,"Grimlok",,,,,,,,,,,,,,,,0xFF01FE,,
554,70,0,7000,7,"Archaedas",,,,,,,,,,,,,,,,0xFF01FE,,
379,90,0,2000,2,"Grubbis",,,,,,,,,,,,,,,,0xFF01FE,,
378,90,0,2500,1,"Viscous Fallout",,,,,,,,,,,,,,,,0xFF01FE,,
380,90,0,3000,3,"Electrocutioner 6000",,,,,,,,,,,,,,,,0xFF01FE,,
381,90,0,4000,4,"Crowd Pummeler 9-60",,,,,,,,,,,,,,,,0xFF01FE,,
382,90,0,5000,5,"Mekgineer Thermaplugg",,,,,,,,,,,,,,,,0xFF01FE,,
485,109,0,0,0,"Atal'alarion",,,,,,,,,,,,,,,,0xFF01FE,,
488,109,0,500,3,"Jammal'an the Prophet",,,,,,,,,,,,,,,,0xFF01FE,,
486,109,0,1000,1,"Dreamscythe",,,,,,,,,,,,,,,,0xFF01FE,,
487,109,0,2000,2,"Weaver",,,,,,,,,,,,,,,,0xFF01FE,,
490,109,0,5000,5,"Morphaz",,,,,,,,,,,,,,,,0xFF01FE,,
491,109,0,6000,6,"Hazzas",,,,,,,,,,,,,,,,0xFF01FE,,
492,109,0,7000,7,"Avatar of Hakkar",,,,,,,,,,,,,,,,0xFF01FE,,
493,109,0,8000,8,"Shade of Eranikus",,,,,,,,,,,,,,,,0xFF01FE,,
434,129,0,0,0,"Tuten'kash",,,,,,,,,,,,,,,,0xFF01FE,,
435,129,0,1000,1,"Mordresh Fire Eye",,,,,,,,,,,,,,,,0xFF01FE,,
436,129,0,2000,2,"Glutton",,,,,,,,,,,,,,,,0xFF01FE,,
437,129,0,3000,3,"Amnennar the Coldbringer",,,,,,,,,,,,,,,,0xFF01FE,,
444,189,0,0,0,"Interrogator Vishas",,,,,,,,,,,,,,,,0xFF01FE,,
445,189,0,1000,1,"Bloodmage Thalnos",,,,,,,,,,,,,,,,0xFF01FE,,
446,189,0,2000,2,"Houndmaster Loksey",,,,,,,,,,,,,,,,0xFF01FE,,
447,189,0,3000,3,"Arcanist Doan",,,,,,,,,,,,,,,,0xFF01FE,,
448,189,0,4000,4,"Herod",,,,,,,,,,,,,,,,0xFF01FE,,
449,189,0,5000,5,"High Inquisitor Fairbanks",,,,,,,,,,,,,,,,0xFF01FE,,
450,189,0,6000,6,"High Inquisitor Whitemane",,,,,,,,,,,,,,,,0xFF01FE,,
593,209,0,0,0,"Hydromancer Velratha",,,,,,,,,,,,,,,,0xFF01FE,,
594,209,0,1000,1,"Ghaz'rilla",,,,,,,,,,,,,,,,0xFF01FE,,
595,209,0,2000,2,"Antu'sul",,,,,,,,,,,,,,,,0xFF01FE,,
596,209,0,3000,3,"Theka the Martyr",,,,,,,,,,,,,,,,0xFF01FE,,
597,209,0,4000,4,"Witch Doctor Zum'rah",,,,,,,,,,,,,,,,0xFF01FE,,
598,209,0,5000,5,"Nekrum Gutchewer",,,,,,,,,,,,,,,,0xFF01FE,,
599,209,0,6000,6,"Shadowpriest Sezz'ziz",,,,,,,,,,,,,,,,0xFF01FE,,
600,209,0,7000,7,"Chief Ukorz Sandscalp",,,,,,,,,,,,,,,,0xFF01FE,,
267,229,0,0,0,"Highlord Omokk",,,,,,,,,,,,,,,,0xFF01FE,,
268,229,0,1000,1,"Shadow Hunter Vosh'gajin",,,,,,,,,,,,,,,,0xFF01FE,,
269,229,0,2000,2,"War Master Voone",,,,,,,,,,,,,,,,0xFF01FE,,
270,229,0,3000,3,"Mother Smolderweb",,,,,,,,,,,,,,,,0xFF01FE,,
271,229,0,4000,4,"Urok Doomhowl",,,,,,,,,,,,,,,,0xFF01FE,,
272,229,0,5000,5,"Quartermaster Zigris",,,,,,,,,,,,,,,,0xFF01FE,,
274,229,0,5500,7,"Halycon",,,,,,,,,,,,,,,,0xFF01FE,,
273,229,0,6000,6,"Gizrul the Slavener",,,,,,,,,,,,,,,,0xFF01FE,,
275,229,0,8000,8,"Overlord Wyrmthalak",,,,,,,,,,,,,,,,0xFF01FE,,
276,229,0,9000,9,"Pyroguard Emberseer",,,,,,,,,,,,,,,,0xFF01FE,,
277,229,0,10000,10,"Solakar Flamewreath",,,,,,,,,,,,,,,,0xFF01FE,,
278,229,0,11000,11,"Warchief Rend Blackhand",,,,,,,,,,,,,,,,0xFF01FE,,
279,229,0,12000,12,"The Beast",,,,,,,,,,,,,,,,0xFF01FE,,
280,229,0,13000,13,"General Drakkisath",,,,,,,,,,,,,,,,0xFF01FE,,
227,230,0,0,0,"High Interrogator Gerstahn",,,,,,,,,,,,,,,,0xFF01FE,,
228,230,0,1000,1,"Lord Roccor",,,,,,,,,,,,,,,,0xFF01FE,,
229,230,0,2000,2,"Houndmaster Grebmar",,,,,,,,,,,,,,,,0xFF01FE,,
230,230,0,3000,3,"Ring of Law",,,,,,,,,,,,,,,,0xFF01FE,,
231,230,0,4000,4,"Pyromancer Loregrain",,,,,,,,,,,,,,,,0xFF01FE,,
232,230,0,5000,5,"Lord Incendius",,,,,,,,,,,,,,,,0xFF01FE,,
233,230,0,6000,6,"Warder Stilgiss",,,,,,,,,,,,,,,,0xFF01FE,,
234,230,0,7000,7,"Fineous Darkvire",,,,,,,,,,,,,,,,0xFF01FE,,
235,230,0,8000,8,"Bael'Gar",,,,,,,,,,,,,,,,0xFF01FE,,
236,230,0,9000,9,"General Angerforge",,,,,,,,,,,,,,,,0xFF01FE,,
237,230,0,10000,10,"Golem Lord Argelmach",,,,,,,,,,,,,,,,0xFF01FE,,
238,230,0,11000,11,"Hurley Blackbreath",,,,,,,,,,,,,,,,0xFF01FE,,
239,230,0,12000,12,"Phalanx",,,,,,,,,,,,,,,,0xFF01FE,,
240,230,0,13000,13,"Ribbly Screwspigot",,,,,,,,,,,,,,,,0xFF01FE,,
241,230,0,14000,14,"Plugger Spazzring",,,,,,,,,,,,,,,,0xFF01FE,,
242,230,0,15000,15,"Ambassador Flamelash",,,,,,,,,,,,,,,,0xFF01FE,,
243,230,0,16000,16,"The Seven",,,,,,,,,,,,,,,,0xFF01FE,,
244,230,0,17000,17,"Magmus",,,,,,,,,,,,,,,,0xFF01FE,,
245,230,0,18000,18,"Emperor Dagran Thaurissan",,,,,,,,,,,,,,,,0xFF01FE,,
707,249,0,0,0,"Onyxia",,,,,,,,,,,,,,,,0xFF01FE,,
708,249,1,1000,0,"Onyxia",,,,,,,,,,,,,,,,0xFF01FE,,
287,269,0,0,0,"Chrono Lord Deja",,,,,,,,,,,,,,,,0xFF01FE,,
288,269,1,0,0,"Chrono Lord Deja",,,,,,,,,,,,,,,,0xFF01FE,,
289,269,0,1000,1,"Temporus",,,,,,,,,,,,,,,,0xFF01FE,,
290,269,1,2000,1,"Temporus",,,,,,,,,,,,,,,,0xFF01FE,,
291,269,0,2000,2,"Aeonus",,,,,,,,,,,,,,,,0xFF01FE,,
292,269,1,3000,2,"Aeonus",,,,,,,,,,,,,,,,0xFF01FE,,
451,289,0,0,0,"Kirtonos the Herald",,,,,,,,,,,,,,,,0xFF01FE,,
452,289,0,1000,1,"Jandice Barov",,,,,,,,,,,,,,,,0xFF01FE,,
453,289,0,2000,2,"Rattlegore",,,,,,,,,,,,,,,,0xFF01FE,,
454,289,0,3000,3,"Marduk Blackpool",,,,,,,,,,,,,,,,0xFF01FE,,
455,289,0,4000,4,"Vectus",,,,,,,,,,,,,,,,0xFF01FE,,
456,289,0,5000,5,"Ras Frostwhisper",,,,,,,,,,,,,,,,0xFF01FE,,
457,289,0,6000,6,"Instructor Malicia",,,,,,,,,,,,,,,,0xFF01FE,,
458,289,0,7000,7,"Doctor Theolen Krastinov",,,,,,,,,,,,,,,,0xFF01FE,,
459,289,0,8000,8,"Lorekeeper Polkelt",,,,,,,,,,,,,,,,0xFF01FE,,
460,289,0,9000,9,"The Ravenian",,,,,,,,,,,,,,,,0xFF01FE,,
461,289,0,10000,10,"Lord Alexei Barov",,,,,,,,,,,,,,,,0xFF01FE,,
462,289,0,11000,11,"Lady Illucia Barov",,,,,,,,,,,,,,,,0xFF01FE,,
463,289,0,12000,12,"Darkmaster Gandling",,,,,,,,,,,,,,,,0xFF01FE,,
785,309,0,-1000,1,"High Priestess Jeklik",,,,,,,,,,,,,,,,0xFF01FE,,
784,309,0,0,0,"High Priest Venoxis",,,,,,,,,,,,,,,,0xFF01FE,,
786,309,0,2000,2,"High Priestess Mar'li",,,,,,,,,,,,,,,,0xFF01FE,,
787,309,0,3000,3,"Bloodlord Mandokir",,,,,,,,,,,,,,,,0xFF01FE,,
788,309,0,4000,4,"Edge of Madness",,,,,,,,,,,,,,,,0xFF01FE,,
789,309,0,5000,5,"High Priest Thekal",,,,,,,,,,,,,,,,0xFF01FE,,
790,309,0,6000,6,"Gahz'ranka",,,,,,,,,,,,,,,,0xFF01FE,,
791,309,0,7000,7,"High Priestess Arlokk",,,,,,,,,,,,,,,,0xFF01FE,,
792,309,0,8000,8,"Jin'do the Hexxer",,,,,,,,,,,,,,,,0xFF01FE,,
793,309,0,9000,9,"Hakkar",,,,,,,,,,,,,,,,0xFF01FE,,
473,329,0,1000,1,"Hearthsinger Forresten",,,,,,,,,,,,,,,,0xFF01FE,,
474,329,0,2000,2,"Timmy the Cruel",,,,,,,,,,,,,,,,0xFF01FE,,
475,329,0,3000,3,"Cannon Master Willey",,,,,,,,,,,,,,,,0xFF01FE,,
476,329,0,4000,4,"Malor the Zealous",,,,,,,,,,,,,,,,0xFF01FE,,
477,329,0,5000,5,"Archivist Galford",,,,,,,,,,,,,,,,0xFF01FE,,
478,329,0,6000,6,"Balnazzar",,,,,,,,,,,,,,,,0xFF01FE,,
472,329,0,6500,0,"The Unforgiven",,,,,,,,,,,,,,,,0xFF01FE,,
479,329,0,7000,7,"Baroness Anastari",,,,,,,,,,,,,,,,0xFF01FE,,
480,329,0,8000,8,"Nerub'enkan",,,,,,,,,,,,,,,,0xFF01FE,,
481,329,0,9000,9,"Maleki the Pallid",,,,,,,,,,,,,,,,0xFF01FE,,
482,329,0,10000,10,"Magistrate Barthilas",,,,,,,,,,,,,,,,0xFF01FE,,
483,329,0,11000,11,"Ramnstein the Gorger",,,,,,,,,,,,,,,,0xFF01FE,,
484,329,0,12000,12,"Baron Rivendare",,,,,,,,,,,,,,,,0xFF01FE,,
422,349,0,0,0,"Noxxion",,,,,,,,,,,,,,,,0xFF01FE,,
423,349,0,1000,1,"Razorlash",,,,,,,,,,,,,,,,0xFF01FE,,
424,349,0,2000,2,"Lord Vyletongue",,,,,,,,,,,,,,,,0xFF01FE,,
425,349,0,3000,3,"Celebras the Cursed",,,,,,,,,,,,,,,,0xFF01FE,,
426,349,0,4000,4,"Landslide",,,,,,,,,,,,,,,,0xFF01FE,,
427,349,0,5000,5,"Tinkerer Gizlock",,,,,,,,,,,,,,,,0xFF01FE,,
428,349,0,6000,6,"Rotgrip",,,,,,,,,,,,,,,,0xFF01FE,,
429,349,0,7000,7,"Princess Theradras",,,,,,,,,,,,,,,,0xFF01FE,,
430,389,0,0,0,"Oggleflint",,,,,,,,,,,,,,,,0xFF01FE,,
432,389,0,2000,2,"Jergosh the Invoker",,,,,,,,,,,,,,,,0xFF01FE,,
433,389,0,3000,3,"Bazzalan",,,,,,,,,,,,,,,,0xFF01FE,,
431,389,0,4000,1,"Taragaman the Hungerer",,,,,,,,,,,,,,,,0xFF01FE,,
663,409,0,0,0,"Lucifron",,,,,,,,,,,,,,,,0xFF01FE,,
664,409,0,1000,1,"Magmadar",,,,,,,,,,,,,,,,0xFF01FE,,
665,409,0,2000,2,"Gehennas",,,,,,,,,,,,,,,,0xFF01FE,,
666,409,0,3000,3,"Garr",,,,,,,,,,,,,,,,0xFF01FE,,
667,409,0,4000,4,"Shazzrah",,,,,,,,,,,,,,,,0xFF01FE,,
668,409,0,5000,5,"Baron Geddon",,,,,,,,,,,,,,,,0xFF01FE,,
669,409,0,6000,6,"Sulfuron Harbinger",,,,,,,,,,,,,,,,0xFF01FE,,
670,409,0,7000,7,"Golemagg the Incinerator",,,,,,,,,,,,,,,,0xFF01FE,,
671,409,0,8000,8,"Majordomo Executus",,,,,,,,,,,,,,,,0xFF01FE,,
672,409,0,9000,9,"Ragnaros",,,,,,,,,,,,,,,,0xFF01FE,,
343,429,0,0,0,"Zevrim Thornhoof",,,,,,,,,,,,,,,,0xFF01FE,,
344,429,0,1000,1,"Hydrospawn",,,,,,,,,,,,,,,,0xFF01FE,,
345,429,0,2000,2,"Lethtendris",,,,,,,,,,,,,,,,0xFF01FE,,
346,429,0,3000,3,"Alzzin the Wildshaper",,,,,,,,,,,,,,,,0xFF01FE,,
350,429,0,3500,7,"Tendris Warpwood",,,,,,,,,,,,,,,,0xFF01FE,,
347,429,0,4000,4,"Illyanna Ravenoak",,,,,,,,,,,,,,,,0xFF01FE,,
348,429,0,5000,5,"Magister Kalendris",,,,,,,,,,,,,,,,0xFF01FE,,
349,429,0,6000,6,"Immol'thar",,,,,,,,,,,,,,,,0xFF01FE,,
361,429,0,7000,8,"Prince Tortheldrin",,,,,,,,,,,,,,,,0xFF01FE,,
362,429,0,8000,9,"Guard Mol'dar",,,,,,,,,,,,,,,,0xFF01FE,,
363,429,0,9000,10,"Stomper Kreeg",,,,,,,,,,,,,,,,0xFF01FE,,
364,429,0,10000,11,"Guard Fengus",,,,,,,,,,,,,,,,0xFF01FE,,
365,429,0,11000,12,"Guard Slip'kik",,,,,,,,,,,,,,,,0xFF01FE,,
366,429,0,12000,13,"Captain Kromcrush",,,,,,,,,,,,,,,,0xFF01FE,,
367,429,0,13000,14,"Cho'Rush the Observer",,,,,,,,,,,,,,,,0xFF01FE,,
368,429,0,14000,15,"King Gordok",,,,,,,,,,,,,,,,0xFF01FE,,
610,469,0,0,0,"Razorgore the Untamed",,,,,,,,,,,,,,,,0xFF01FE,,
611,469,0,1000,1,"Vaelastrasz the Corrupt",,,,,,,,,,,,,,,,0xFF01FE,,
612,469,0,2000,2,"Broodlord Lashlayer",,,,,,,,,,,,,,,,0xFF01FE,,
613,469,0,3000,3,"Firemaw",,,,,,,,,,,,,,,,0xFF01FE,,
614,469,0,4000,4,"Ebonroc",,,,,,,,,,,,,,,,0xFF01FE,,
615,469,0,5000,5,"Flamegor",,,,,,,,,,,,,,,,0xFF01FE,,
616,469,0,6000,6,"Chromaggus",,,,,,,,,,,,,,,,0xFF01FE,,
617,469,0,7000,7,"Nefarian",,,,,,,,,,,,,,,,0xFF01FE,,
718,509,0,0,0,"Kurinnaxx",,,,,,,,,,,,,,,,0xFF01FE,,
719,509,0,1000,1,"General Rajaxx",,,,,,,,,,,,,,,,0xFF01FE,,
720,509,0,2000,2,"Moam",,,,,,,,,,,,,,,,0xFF01FE,,
721,509,0,3000,3,"Buru the Gorger",,,,,,,,,,,,,,,,0xFF01FE,,
722,509,0,4000,4,"Ayamiss the Hunter",,,,,,,,,,,,,,,,0xFF01FE,,
723,509,0,5000,5,"Ossirian the Unscarred",,,,,,,,,,,,,,,,0xFF01FE,,
709,531,0,0,0,"The Prophet Skeram",,,,,,,,,,,,,,,,0xFF01FE,,
710,531,0,1000,1,"Silithid Royalty",,,,,,,,,,,,,,,,0xFF01FE,,
711,531,0,2000,2,"Battleguard Sartura",,,,,,,,,,,,,,,,0xFF01FE,,
712,531,0,3000,3,"Fankriss the Unyielding",,,,,,,,,,,,,,,,0xFF01FE,,
713,531,0,4000,4,"Viscidus",,,,,,,,,,,,,,,,0xFF01FE,,
714,531,0,5000,5,"Princess Huhuran",,,,,,,,,,,,,,,,0xFF01FE,,
715,531,0,6000,6,"Twin Emperors",,,,,,,,,,,,,,,,0xFF01FE,,
716,531,0,7000,7,"Ouro",,,,,,,,,,,,,,,,0xFF01FE,,
717,531,0,8000,8,"C'thun",,,,,,,,,,,,,,,,0xFF01FE,,
652,532,0,0,0,"Attumen the Huntsman",,,,,,,,,,,,,,,,0xFF01FE,,
653,532,0,1000,1,"Moroes",,,,,,,,,,,,,,,,0xFF01FE,,
654,532,0,2000,2,"Maiden of the Virtue",,,,,,,,,,,,,,,,0xFF01FE,,
655,532,0,3000,3,"Opera Event",,,,,,,,,,,,,,,,0xFF01FE,,
656,532,0,4000,4,"The Curator",,,,,,,,,,,,,,,,0xFF01FE,,
657,532,0,5000,5,"Terestian Illhoof",,,,,,,,,,,,,,,,0xFF01FE,,
658,532,0,6000,6,"Shade of Aran",,,,,,,,,,,,,,,,0xFF01FE,,
659,532,0,7000,7,"Netherspite",,,,,,,,,,,,,,,,0xFF01FE,,
660,532,0,8000,8,"Chess Event",,,,,,,,,,,,,,,,0xFF01FE,,
661,532,0,9000,9,"Prince Malchezaar",,,,,,,,,,,,,,,,0xFF01FE,,
662,532,0,10000,10,"Nightbane",,,,,,,,,,,,,,,,0xFF01FE,,
673,533,0,0,0,"Anub'Rekhan",,,,,,,,,,,,,,,,0xFF01FE,,
674,533,1,1000,0,"Anub'Rekhan",,,,,,,,,,,,,,,,0xFF01FE,,
677,533,0,1000,1,"Grand Widow Faerlina",,,,,,,,,,,,,,,,0xFF01FE,,
678,533,1,2000,1,"Grand Widow Faerlina",,,,,,,,,,,,,,,,0xFF01FE,,
679,533,0,2000,2,"Maexxna",,,,,,,,,,,,,,,,0xFF01FE,,
680,533,1,3000,2,"Maexxna",,,,,,,,,,,,,,,,0xFF01FE,,
681,533,0,3000,3,"Noth the Plaguebringer",,,,,,,,,,,,,,,,0xFF01FE,,
682,533,1,4000,3,"Noth the Plaguebringer",,,,,,,,,,,,,,,,0xFF01FE,,
683,533,0,4000,4,"Heigan the Unclean",,,,,,,,,,,,,,,,0xFF01FE,,
684,533,1,5000,4,"Heigan the Unclean ",,,,,,,,,,,,,,,,0xFF01FE,,
685,533,0,5000,5,"Loatheb",,,,,,,,,,,,,,,,0xFF01FE,,
686,533,1,6000,5,"Loatheb",,,,,,,,,,,,,,,,0xFF01FE,,
687,533,0,6000,6,"Instructor Razuvious",,,,,,,,,,,,,,,,0xFF01FE,,
689,533,1,7000,6,"Instructor Razuvious",,,,,,,,,,,,,,,,0xFF01FE,,
690,533,0,7000,7,"Gothik the Harvester",,,,,,,,,,,,,,,,0xFF01FE,,
691,533,1,8000,7,"Gothik the Harvester",,,,,,,,,,,,,,,,0xFF01FE,,
692,533,0,8000,8,"The Four Horsemen",,,,,,,,,,,,,,,,0xFF01FE,,
693,533,1,9000,8,"The Four Horsemen",,,,,,,,,,,,,,,,0xFF01FE,,
694,533,0,9000,9,"Patchwerk",,,,,,,,,,,,,,,,0xFF01FE,,
695,533,1,10000,9,"Patchwerk ",,,,,,,,,,,,,,,,0xFF01FE,,
696,533,0,10000,10,"Grobbulus",,,,,,,,,,,,,,,,0xFF01FE,,
697,533,1,11000,10,"Grobbulus",,,,,,,,,,,,,,,,0xFF01FE,,
698,533,0,11000,11,"Gluth",,,,,,,,,,,,,,,,0xFF01FE,,
699,533,1,12000,11,"Gluth",,,,,,,,,,,,,,,,0xFF01FE,,
700,533,0,12000,12,"Thaddius",,,,,,,,,,,,,,,,0xFF01FE,,
701,533,1,13000,12,"Thaddius",,,,,,,,,,,,,,,,0xFF01FE,,
702,533,0,13000,13,"Sapphiron",,,,,,,,,,,,,,,,0xFF01FE,,
703,533,1,14000,13,"Sapphiron",,,,,,,,,,,,,,,,0xFF01FE,,
704,533,0,14000,14,"Kel'Thuzad",,,,,,,,,,,,,,,,0xFF01FE,,
706,533,1,15000,14,"Kel'Thuzad",,,,,,,,,,,,,,,,0xFF01FE,,
618,534,0,0,0,"Rage Winterchill",,,,,,,,,,,,,,,,0xFF01FE,,
619,534,0,1000,1,"Anetheron",,,,,,,,,,,,,,,,0xFF01FE,,
620,534,0,2000,2,"Kaz'rogal",,,,,,,,,,,,,,,,0xFF01FE,,
621,534,0,3000,3,"Azgalor",,,,,,,,,,,,,,,,0xFF01FE,,
622,534,0,4000,4,"Archimonde",,,,,,,,,,,,,,,,0xFF01FE,,
407,540,0,0,0,"Grand Warlock Nethekurse",,,,,,,,,,,,,,,,0xFF01FE,,
408,540,1,1000,0,"Grand Warlock Nethekurse",,,,,,,,,,,,,,,,0xFF01FE,,
410,540,0,1000,1,"Warbringer O'mrogg",,,,,,,,,,,,,,,,0xFF01FE,,
409,540,1,2000,1,"Blood Guard Porung",,,,,,,,,,,,,,,,0xFF01FE,,
412,540,0,2000,2,"Warchief Kargath Bladefist",,,,,,,,,,,,,,,,0xFF01FE,,
411,540,1,3000,2,"Warbringer O'mrogg",,,,,,,,,,,,,,,,0xFF01FE,,
413,540,1,4000,3,"Warchief Kargath Bladefist",,,,,,,,,,,,,,,,0xFF01FE,,
401,542,0,0,0,"The Maker",,,,,,,,,,,,,,,,0xFF01FE,,
402,542,1,1000,0,"The Maker",,,,,,,,,,,,,,,,0xFF01FE,,
403,542,0,1000,1,"Broggok",,,,,,,,,,,,,,,,0xFF01FE,,
404,542,1,2000,1,"Broggok",,,,,,,,,,,,,,,,0xFF01FE,,
405,542,0,2000,2,"Keli'dan the Breaker",,,,,,,,,,,,,,,,0xFF01FE,,
406,542,1,3000,2,"Keli'dan the Breaker",,,,,,,,,,,,,,,,0xFF01FE,,
392,543,0,0,0,"Watchkeeper Gargolmar",,,,,,,,,,,,,,,,0xFF01FE,,
393,543,1,1000,0,"Watchkeeper Gargolmar",,,,,,,,,,,,,,,,0xFF01FE,,
394,543,0,1000,1,"Omor the Unscarred",,,,,,,,,,,,,,,,0xFF01FE,,
395,543,1,2000,1,"Omor the Unscarred",,,,,,,,,,,,,,,,0xFF01FE,,
396,543,0,2000,2,"Vazruden the Herald",,,,,,,,,,,,,,,,0xFF01FE,,
397,543,1,3000,2,"Vazruden the Herald",,,,,,,,,,,,,,,,0xFF01FE,,
651,544,0,0,0,"Magtheridon",,,,,,,,,,,,,,,,0xFF01FE,,
314,545,0,0,0,"Hydromancer Thespia",,,,,,,,,,,,,,,,0xFF01FE,,
315,545,1,1000,0,"Hydromancer Thespia",,,,,,,,,,,,,,,,0xFF01FE,,
316,545,0,1000,1,"Mekgineer Steamrigger",,,,,,,,,,,,,,,,0xFF01FE,,
317,545,1,2000,1,"Mekgineer Steamrigger",,,,,,,,,,,,,,,,0xFF01FE,,
318,545,0,2000,2,"Warlord Kalithresh",,,,,,,,,,,,,,,,0xFF01FE,,
319,545,1,3000,2,"Warlord Kalithresh",,,,,,,,,,,,,,,,0xFF01FE,,
320,546,0,0,0,"Hungarfen",,,,,,,,,,,,,,,,0xFF01FE,,
321,546,1,1000,0,"Hungarfen",,,,,,,,,,,,,,,,0xFF01FE,,
322,546,0,1000,1,"Ghaz'an",,,,,,,,,,,,,,,,0xFF01FE,,
323,546,1,2000,1,"Ghaz'an",,,,,,,,,,,,,,,,0xFF01FE,,
329,546,0,2000,2,"Swamplord Musel'ek",,,,,,,,,,,,,,,,0xFF01FE,,
330,546,1,3000,2,"Swamplord Musel'ek",,,,,,,,,,,,,,,,0xFF01FE,,
331,546,0,3000,3,"The Black Stalker",,,,,,,,,,,,,,,,0xFF01FE,,
332,546,1,4000,3,"The Black Stalker",,,,,,,,,,,,,,,,0xFF01FE,,
301,547,0,0,0,"Mennu the Betrayer",,,,,,,,,,,,,,,,0xFF01FE,,
304,547,1,0,0,"Mennu the Betrayer",,,,,,,,,,,,,,,,0xFF01FE,,
302,547,0,1000,1,"Rokmar the Crackler",,,,,,,,,,,,,,,,0xFF01FE,,
