long,long,long,long,flags,flags,long,flags,
60,78,-1,16,0x410,0x0,0,0x0,
4,95,2147483647,262111,0x280,0x0,0,0x0,
916,95,524287,32,0x280,0x0,0,0x0,
59,96,2047,1024,0x490,0x0,0,0x0,
40,98,1101,1535,0x80,0x0,0,0x0,
41,98,674,1503,0xA0,0x0,21,0x0,
68,101,4,1535,0x492,0x0,0,0x0,
48,109,690,1535,0x80,0x0,0,0x0,
49,109,1101,1503,0xA0,0x0,21,0x0,
44,111,4,1535,0x80,0x0,0,0x0,
45,111,2043,1503,0xA0,0x0,21,0x0,
42,113,8,1535,0x80,0x0,0,0x0,
43,113,2039,1503,0xA0,0x0,21,0x0,
50,115,32,1535,0x80,0x0,0,0x0,
51,115,2015,1503,0xA0,0x0,21,0x0,
131,118,32767,8,0x92,0x1,0,0x0,
132,118,32767,5,0x92,0x14,0,0x0,
883,118,32767,64,0x192,0x0,0,0x0,
913,118,262143,32,0x92,0x0,0,0x0,
105,120,2047,256,0x492,0x0,0,0x0,
71,124,32,1535,0x492,0x0,0,0x0,
70,125,2,1535,0x92,0x0,0,0x0,
69,126,8,1535,0x492,0x0,0,0x0,
86,129,-1,262111,0x80,0x0,63,0x0,
925,129,-1,32,0x80,0x0,63,0x0,
54,130,2047,128,0x490,0x4,0,0x0,
25,134,-1,1024,0x410,0xA,0,0x0,
138,136,32767,1488,0x80,0x0,0,0x0,
139,136,32767,5,0x80,0x0,0,0x0,
91,137,1535,1503,0xA0,0x0,21,0x0,
882,137,512,1535,0x80,0x0,0,0x0,
85,138,2047,1535,0x80,0x0,0,0x0,
84,139,2047,1535,0xA0,0x0,21,0x0,
93,140,2047,1535,0x80,0x0,0,0x0,
88,141,2047,1535,0xA0,0x0,21,0x0,
865,142,2047,1535,0x0,0x0,0,0x0,
87,148,1,1503,0x492,0x0,181,0x0,
441,148,222,1535,0x492,0x0,182,0x0,
94,149,2,1503,0x492,0x0,181,0x0,
443,149,509,1535,0x492,0x0,182,0x0,
92,150,8,1503,0x492,0x0,181,0x0,
481,150,215,1535,0x492,0x0,182,0x0,
89,152,4,1503,0x492,0x0,181,0x0,
442,152,219,1535,0x492,0x0,182,0x0,
123,160,262143,2,0x80,0x0,0,0x0,
124,160,-1,1024,0x80,0x0,0,0x0,
624,160,32,1,0x80,0x0,0,0x0,
625,160,262111,1,0x80,0x0,0,0x0,
702,160,-1,64,0x80,0x0,0,0x0,
908,160,262143,32,0x80,0x0,0,0x0,
6,162,2147483647,1503,0x80,0x0,0,0x0,
922,162,262143,32,0x80,0x0,0,0x0,
33,163,-1,4,0x410,0x0,0,0x0,
243,164,2047,1535,0xA0,0x0,41,0x0,
899,165,2047,1535,0xA0,0x0,41,0x0,
241,171,2047,1535,0xA0,0x0,41,0x0,
122,172,163839,2,0x80,0x0,0,0x0,
621,172,6,1,0x80,0x0,0,0x0,
622,172,1529,1,0x80,0x0,0,0x0,
701,172,163839,64,0x80,0x0,0,0x0,
907,172,524287,32,0x80,0x0,0,0x0,
970,172,163839,4,0x80,0x0,0,0x0,
129,173,32767,264,0x80,0x0,0,0x0,
323,173,32767,208,0x80,0x0,0,0x0,
631,173,520,4,0x80,0x0,0,0x0,
632,173,1190,4,0x80,0x0,0,0x0,
633,173,216,1,0x80,0x0,0,0x0,
634,173,1063,1,0x80,0x0,0,0x0,
641,173,32,1024,0x80,0x0,0,0x0,
642,173,8,1024,0x80,0x0,0,0x0,
142,176,-1,8,0x80,0x0,0,0x0,
143,176,-1,4,0x80,0x0,0,0x0,
639,176,128,1,0x80,0x0,0,0x0,
640,176,262015,1,0x80,0x0,0,0x0,
28,182,2047,1535,0xA0,0x0,2,0x0,
5,183,-1,262143,0x492,0x0,0,0x0,
63,184,-1,2,0x410,0x0,0,0x0,
282,185,2047,1535,0x80,0x0,61,0x0,
29,186,2047,1535,0xA0,0x0,2,0x0,
284,197,2047,1535,0xA0,0x0,62,0x0,
65,198,2047,2,0x490,0x0,0,0x0,
97,199,2047,64,0x490,0x0,0,0x0,
244,202,2047,1535,0xA0,0x0,41,0x0,
940,205,524287,128,0x800,0x0,0,0x0,
72,220,16,1535,0x492,0x0,0,0x0,
128,226,32767,9,0x80,0x0,0,0x0,
878,226,1024,4,0x80,0x0,0,0x0,
879,226,31743,4,0x80,0x0,0,0x0,
137,227,2047,1029,0x80,0x0,0,0x0,
144,228,-1,400,0x80,0x0,0,0x0,
136,229,32767,1031,0x80,0x14,0,0x0,
915,229,262143,32,0x80,0x0,0,0x0,
55,237,-1,128,0x410,0x0,0,0x0,
79,238,2047,8,0x490,0x4,0,0x0,
81,239,2047,8,0x490,0x0,0,0x0,
76,241,2047,8,0x80,0x28,0,0x0,
149,242,2047,8,0x490,0x10,0,0x0,
112,243,2047,1,0x492,0x0,0,0x0,
111,244,2047,1,0x490,0x0,0,0x0,
106,245,2047,1,0x490,0x0,0,0x0,
66,246,2047,2,0x490,0x0,0,0x0,
26,247,2047,1024,0x490,0x14,0,0x0,
83,252,2047,9,0x80,0x0,0,0x0,
74,253,-1,8,0x410,0x0,0,0x0,
73,254,2047,8,0x490,0xA,0,0x0,
108,255,2047,1,0x490,0x0,0,0x0,
109,256,-1,1,0x410,0x0,0,0x0,
110,257,-1,1,0x410,0x0,0,0x0,
113,258,2047,1,0x490,0xA,0,0x0,
38,260,2047,4,0x80,0x0,0,0x0,
35,262,2047,4,0x80,0x0,0,0x0,
36,263,2047,4,0x80,0x0,0,0x0,
37,264,2047,4,0x80,0x0,0,0x0,
61,267,-1,2,0x410,0x0,0,0x0,
62,268,2047,2,0x492,0x0,0,0x0,
64,269,2047,2,0x490,0x0,0,0x0,
24,272,2047,1024,0x490,0xA,0,0x0,
34,273,2047,4,0x80,0x0,0,0x0,
21,293,2047,3,0x80,0x28,0,0x0,
906,293,262143,32,0x80,0x0,0,0x0,
46,313,64,1535,0x80,0x0,0,0x0,
47,313,1983,1503,0xA0,0x0,21,0x0,
52,315,128,1535,0x80,0x0,0,0x0,
53,315,1919,1503,0xA0,0x0,21,0x0,
281,333,2047,1535,0xA0,0x0,62,0x0,
104,353,2047,256,0x492,0x0,0,0x0,
102,354,-1,256,0x410,0x0,0,0x0,
101,355,-1,256,0x410,0x0,0,0x0,
27,356,2047,1535,0x80,0x0,23,0x0,
95,373,-1,64,0x410,0x0,0,0x0,
98,374,262143,64,0x410,0x0,0,0x0,
96,375,262143,64,0x410,0x0,0,0x0,
30,393,2047,1535,0xA0,0x0,161,0x0,
145,413,2047,68,0x80,0x28,0,0x0,
146,413,2047,35,0x80,0x0,0,0x0,
147,414,2047,1135,0x80,0x0,0,0x0,
148,415,2047,1535,0x80,0x0,0,0x0,
151,416,2047,1,0xC0,0x0,0,0x0,
155,416,2047,2,0xC0,0x0,0,0x1,
158,416,2047,1088,0xC0,0x0,0,0x1,
159,416,2047,12,0xC0,0x0,0,0x1,
271,416,2047,400,0xC0,0x0,0,0x2,
175,418,2047,1,0x180,0x0,0,0x0,
178,418,2047,2,0x180,0x0,0,0x0,
183,418,2047,1284,0x180,0x0,0,0x1,
186,418,2047,144,0x180,0x0,0,0x1,
270,418,2047,72,0x180,0x0,0,0x1,
189,419,2047,12,0x280,0x0,0,0x2,
191,419,2047,1024,0x280,0x0,0,0x1,
193,419,2047,144,0x280,0x0,0,0x0,
198,419,2047,2,0x280,0x0,0,0x1,
200,419,2047,1,0x280,0x0,0,0x2,
265,419,2047,256,0x280,0x0,0,0x0,
266,419,2047,64,0x280,0x0,0,0x1,
203,420,2047,13,0x480,0x0,0,0x2,
204,420,2047,1026,0x480,0x0,0,0x1,
205,420,2047,272,0x480,0x0,0,0x0,
268,420,2047,128,0x480,0x0,0,0x0,
269,420,2047,64,0x480,0x0,0,0x1,
246,433,2047,67,0x80,0x0,0,0x0,
272,453,2047,3,0x80,0x0,0,0x0,
330,473,4095,1101,0x82,0x0,0,0x0,
381,493,8,1535,0xA4,0x0,0,0x0,
403,515,2047,1503,0x80,0x0,0,0x0,
445,533,128,1535,0x492,0x0,181,0x0,
446,533,95,1503,0x492,0x0,182,0x0,
461,553,64,1503,0x492,0x0,181,0x0,
501,553,4,1535,0x492,0x0,182,0x0,
463,554,16,1503,0x492,0x0,181,0x0,
464,554,207,1535,0x492,0x0,182,0x0,
521,573,-1,1024,0x410,0x0,0,0x0,
522,574,-1,1024,0x410,0x0,0,0x0,
541,593,-1,256,0x410,0x0,0,0x0,
544,594,-1,2,0x410,0x0,0,0x0,
581,613,-1,16,0x410,0x0,0,0x0,
601,633,-1,8,0x80,0x0,0,0x0,
741,673,16,1535,0x80,0x0,0,0x0,
742,673,2031,1503,0xA0,0x0,21,0x0,
781,713,255,1535,0x492,0x0,181,0x0,
841,733,128,1535,0x492,0x0,0,0x0,
861,753,64,1535,0x492,0x0,0,0x0,
862,754,1,1535,0x492,0x0,0,0x0,
866,755,2047,1535,0xA0,0x0,41,0x0,
867,756,512,1535,0x92,0x0,0,0x0,
875,759,1024,262143,0x80,0x0,0,0x0,
876,759,1023,-1,0x0,0x0,21,0x0,
877,760,1024,1535,0x92,0x0,0,0x0,
890,762,2147483647,262111,0x90,0x0,223,0x0,
934,762,524287,32,0x90,0x0,223,0x0,
892,769,32767,1535,0x410,0x0,0,0x0,
896,770,-1,32,0x410,0x0,0,0x0,
897,771,262143,32,0x410,0x0,0,0x0,
951,771,2097151,1535,0x0,0x0,0,0x0,
895,772,-1,32,0x410,0x0,0,0x0,
900,773,262143,1535,0xA0,0x0,41,0x0,
936,776,262143,32,0x80,0x0,0,0x0,
938,777,524287,1535,0x2,0x0,0,0x0,
939,778,524287,1535,0x2,0x0,0,0x0,
947,778,2097151,1535,0x0,0x0,0,0x0,
