long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,long,long,long,long,long,long,long,long,flags,flags,
39,"of the Invoker",,,,,,,,,,,,,,,,0xFF01FE,"Invoker",2804,2824,2822,0,0,5259,6153,5259,0x0,0x0,
40,"of the Bandit",,,,,,,,,,,,,,,,0xFF01FE,"Bandit",2802,2803,2825,0,0,5259,7889,10518,0x0,0x0,
41,"of the Beast",,,,,,,,,,,,,,,,0xFF01FE,"Beast",2805,2802,2803,0,0,5259,5259,7889,0x0,0x0,
42,"of the Hierophant",,,,,,,,,,,,,,,,0xFF01FE,"Hierophant",2803,2806,2824,0,0,7889,5259,6153,0x0,0x0,
43,"of the Soldier",,,,,,,,,,,,,,,,0xFF01FE,"Soldier",2805,2803,2823,0,0,5259,7889,5259,0x0,0x0,
44,"of the Elder",,,,,,,,,,,,,,,,0xFF01FE,"Elder",2803,2804,2816,0,0,7889,5259,2104,0x0,0x0,
45,"of the Champion",,,,,,,,,,,,,,,,0xFF01FE,"Champion",2805,2803,2813,0,0,5259,7889,5259,0x0,0x0,
46,"of the Test",,,,,,,,,,,,,,,,0xFF01FE,"Test",2798,2799,2800,2802,2806,20,20,20,0x5,0x5,
47,"of Blocking",,,,,,,,,,,,,,,,0xFF01FE,"Blocking",2826,2805,0,0,0,6666,6666,0,0x0,0x0,
48,"of Paladin Testing",,,,,,,,,,,,,,,,0xFF01FE,"Paladin Testing",2805,2906,2824,0,0,3506,5234,4102,0x0,0x0,
49,"of the Grove",,,,,,,,,,,,,,,,0xFF01FE,"Grove",2805,2802,2803,0,0,7266,4106,4790,0x0,0x0,
50,"of the Hunt",,,,,,,,,,,,,,,,0xFF01FE,"Hunt",2825,2802,2804,0,0,14532,4106,3193,0x0,0x0,
51,"of the Mind",,,,,,,,,,,,,,,,0xFF01FE,"Mind",2824,2822,2804,0,0,8501,4106,3193,0x0,0x0,
52,"of the Crusade",,,,,,,,,,,,,,,,0xFF01FE,"Crusade",2824,2804,2813,0,0,8501,4106,3193,0x0,0x0,
53,"of the Vision",,,,,,,,,,,,,,,,0xFF01FE,"Vision",2824,2804,2803,0,0,8501,4106,3193,0x0,0x0,
54,"of the Ancestor",,,,,,,,,,,,,,,,0xFF01FE,"Ancestor",2805,2823,2803,0,0,7266,4106,4790,0x0,0x0,
55,"of the Nightmare",,,,,,,,,,,,,,,,0xFF01FE,"Nightmare",2811,2803,2804,0,0,8501,6159,3193,0x0,0x0,
56,"of the Battle",,,,,,,,,,,,,,,,0xFF01FE,"Battle",2805,2803,2823,0,0,7266,6159,3193,0x0,0x0,
57,"of the Shadow",,,,,,,,,,,,,,,,0xFF01FE,"Shadow",2825,2802,2803,0,0,14532,4106,4790,0x0,0x0,
58,"of the Sun",,,,,,,,,,,,,,,,0xFF01FE,"Sun",2824,2803,2804,0,0,6153,5259,5259,0x0,0x0,
59,"of the Moon",,,,,,,,,,,,,,,,0xFF01FE,"Moon",2804,2803,2806,0,0,5259,5259,5259,0x0,0x0,
60,"of the Wild",,,,,,,,,,,,,,,,0xFF01FE,"Wild",2825,2803,2802,0,0,10518,5259,5259,0x0,0x0,
61,"of Spell Power",,,,,,,,,,,,,,,,0xFF01FE,"Spell Power (Resistance)",2824,0,0,0,0,2659,0,0,0x0,0x0,
62,"of Strength",,,,,,,,,,,,,,,,0xFF01FE,"Strength (resistance)",2805,0,0,0,0,5000,0,0,0x0,0x0,
63,"of Agility",,,,,,,,,,,,,,,,0xFF01FE,"Agility (resistance)",2802,0,0,0,0,5000,0,0,0x0,0x0,
64,"of Power",,,,,,,,,,,,,,,,0xFF01FE,"Power (resistance)",2825,0,0,0,0,10000,0,0,0x0,0x0,
65,"of Magic",,,,,,,,,,,,,,,,0xFF01FE,"Magic (resistance)",2824,0,0,0,0,5850,0,0,0x0,0x0,
66,"of the Knight",,,,,,,,,,,,,,,,0xFF01FE,"Knight",2803,2813,2824,0,0,7889,5259,6153,0x0,0x0,
67,"of the Seer",,,,,,,,,,,,,,,,0xFF01FE,"Seer",2803,2822,2824,0,0,7889,5259,6153,0x0,0x0,
68,"of the Bear",,,,,,,,,,,,,,,,0xFF01FE,"Bear (<60)",2805,2803,0,0,0,6666,6666,0,0x0,0x0,
69,"of the Eagle",,,,,,,,,,,,,,,,0xFF01FE,"Eagle (<60)",2803,2804,0,0,0,6666,6666,0,0x0,0x0,
70,"of the Ancestor",,,,,,,,,,,,,,,,0xFF01FE,"Ancestor (<60)",2805,2822,2803,0,0,7266,4106,3193,0x0,0x0,
71,"of the Bandit",,,,,,,,,,,,,,,,0xFF01FE,"Bandit (<60)",2802,2803,2825,0,0,5259,5259,10518,0x0,0x0,
72,"of the Battle",,,,,,,,,,,,,,,,0xFF01FE,"Battle (<60)",2805,2803,2822,0,0,7266,4106,3193,0x0,0x0,
73,"of the Elder",,,,,,,,,,,,,,,,0xFF01FE,"Elder (<60)",2803,2804,2816,0,0,5259,5259,2104,0x0,0x0,
74,"of the Beast",,,,,,,,,,,,,,,,0xFF01FE,"Beast (<60)",2805,2802,2803,0,0,5259,5259,5259,0x0,0x0,
75,"of the Champion",,,,,,,,,,,,,,,,0xFF01FE,"Champion (<60)",2805,2803,2813,0,0,5259,5259,5259,0x0,0x0,
76,"of the Grove",,,,,,,,,,,,,,,,0xFF01FE,"Grove (<60)",2805,2802,2803,0,0,7266,4106,3193,0x0,0x0,
77,"of the Knight",,,,,,,,,,,,,,,,0xFF01FE,"Knight (<60)",2803,2813,2824,0,0,5259,5259,6153,0x0,0x0,
78,"of the Monkey",,,,,,,,,,,,,,,,0xFF01FE,"Monkey (<60)",2802,2803,0,0,0,6666,6666,0,0x0,0x0,
79,"of the Moon",,,,,,,,,,,,,,,,0xFF01FE,"Moon (<60)",2804,2803,2806,0,0,5259,3506,5259,0x0,0x0,
80,"of the Wild",,,,,,,,,,,,,,,,0xFF01FE,"Wild (<60)",2825,2803,2802,0,0,10518,3506,5259,0x0,0x0,
81,"of the Whale",,,,,,,,,,,,,,,,0xFF01FE,"Whale (<60)",2803,2806,0,0,0,6666,6666,0,0x0,0x0,
82,"of the Vision",,,,,,,,,,,,,,,,0xFF01FE,"Vision (<60)",2824,2804,2803,0,0,8501,4106,2129,0x0,0x0,
83,"of the Sun",,,,,,,,,,,,,,,,0xFF01FE,"Sun (<60)",2824,2803,2804,0,0,6153,3506,5259,0x0,0x0,
84,"of Stamina",,,,,,,,,,,,,,,,0xFF01FE,"Stamina (<60)",2803,0,0,0,0,10000,0,0,0x0,0x0,
85,"of the Sorcerer",,,,,,,,,,,,,,,,0xFF01FE,"Sorcerer (<60)",2803,2804,2824,0,0,5259,5259,6153,0x0,0x0,
86,"of the Soldier",,,,,,,,,,,,,,,,0xFF01FE,"Soldier (<60)",2805,2803,2822,0,0,5259,5259,5259,0x0,0x0,
87,"of the Shadow",,,,,,,,,,,,,,,,0xFF01FE,"Shadow (<60)",2825,2802,2803,0,0,14532,4106,3193,0x0,0x0,
88,"of the Foreseer",,,,,,,,,,,,,,,,0xFF01FE,"Foreseer",2804,3726,2824,0,0,5259,5259,6153,0x0,0x0,
89,"of the Thief",,,,,,,,,,,,,,,,0xFF01FE,"Thief",2803,2825,3726,0,0,7889,10518,5259,0x0,0x0,
90,"of the Necromancer",,,,,,,,,,,,,,,,0xFF01FE,"Necromancer",2803,3727,2824,0,0,7889,5259,6153,0x0,0x0,
91,"of the Marksman",,,,,,,,,,,,,,,,0xFF01FE,"Marksman",2803,2802,3727,0,0,7889,5259,5259,0x0,0x0,
92,"of the Squire",,,,,,,,,,,,,,,,0xFF01FE,"Squire",2803,3727,2805,0,0,7889,5259,5259,0x0,0x0,
93,"of Restoration",,,,,,,,,,,,,,,,0xFF01FE,"Restoration",2803,2824,2816,0,0,7889,6153,2103,0x0,0x0,
94,"",,,,,,,,,,,,,,,,0xFF01EE,"Agility (Darkmoon Card)",2802,0,0,0,0,9000,0,0,0x0,0x0,
95,"",,,,,,,,,,,,,,,,0xFF01EE,"Strength (Darkmoon Card)",2805,0,0,0,0,9000,0,0,0x0,0x0,
96,"",,,,,,,,,,,,,,,,0xFF01EE,"Stamina (Darkmoon Card)",2803,0,0,0,0,13500,0,0,0x0,0x0,
97,"",,,,,,,,,,,,,,,,0xFF01EE,"Intellect (Darkmoon Card)",2804,0,0,0,0,9000,0,0,0x0,0x0,
98,"",,,,,,,,,,,,,,,,0xFF01EE,"Spirit (Darkmoon Card)",2806,0,0,0,0,9000,0,0,0x0,0x0,
99,"of Speed",,,,,,,,,,,,,,,,0xFF01FE,"Haste",3726,0,0,0,0,10000,0,0,0x0,0x0,
