id;value;displayid;
849;Chainmail Boots;6869;
850;Chainmail Gloves;6871;
851;Cutlass;22077;
852;Mace;8287;
853;Hatchet;22102;
854;Quarter Staff;22147;
856;Blue Leather Bag;1025;
857;Large Red Sack;4056;
858;Lesser Healing Potion;15711;
859;Fine Cloth Shirt;9880;
860;Cavalier's Boots;3443;
862;Runed Ring;18397;
863;Gloom Reaper;19213;
864;Knightly Longsword;26579;
865;Leaden Mace;5212;
866;Monk's Staff;20357;
867;Gloves of Holy Might;17180;
868;Ardent Custodian;19713;
869;Dazzling Longsword;5163;
870;Fiery War Axe;33458;
871;Flurry Axe;19235;
872;Rockslicer;19242;
873;Staff of Jordan;20298;
878;Fist-sized Spinneret;9200;
880;Staff of Horrors;20382;
884;Ghoul Rib;6368;
885;Black Metal Axe;8494;
886;Black Metal Shortsword;20093;
887;Pound of Flesh;6680;
888;Naga Battle Gloves;17182;
889;A Dusty Unsent Letter;3022;
890;Twisted Chanter's Staff;20386;
892;Gnoll Casting Gloves;16950;
893;Dire Wolf Fang;959;
895;Worgen Skull;7103;
896;Worgen Fang;959;
897;Madwolf Bracers;17011;
899;Venom Web Fang;6459;
910;An Undelivered Letter;3024;
911;Ironwood Treebranch;28628;
914;Large Ogre Chain Armor;2829;
915;Red Silk Bandana;1272;
916;A Torn Journal Page;7589;
918;Deviate Hide Pack;1283;
920;Wicked Spiked Mace;19703;
921;A Faded Journal Page;7588;
922;Dacian Falx;22097;
923;Longsword;22080;
924;Maul;22131;
925;Flail;4351;
926;Battle Axe;22108;
927;Double Axe;22106;
928;Long Staff;22151;
929;Healing Potion;15712;
932;Fel Steed Saddlebags;6430;
933;Large Rucksack;1282;
934;Stalvan's Reaper;19405;
935;Night Watch Shortsword;8274;
936;Midnight Mace;5215;
937;Black Duskwood Staff;20329;
938;Muddy Journal Pages;7601;
939;A Bloodstained Journal Page;7588;
940;Robes of Insight;16676;
942;Freezing Band;9835;
943;Warden Staff;20256;
944;Elemental Mage Staff;20253;
954;Scroll of Strength;3331;
955;Scroll of Intellect;2616;
957;William's Shipment;7286;
961;Healing Herb;6387;
962;Pork Belly Pie;6385;
981;Bernice's Necklace;1399;
983;Red Linen Sash;4878;
1006;Brass Collar;224;
1008;Well-used Sword;1550;
1009;Compact Hammer;8583;
1010;Gnarled Short Staff;20440;
1011;Sharp Axe;19273;
1013;Iron Rivet;1236;
1015;Lean Wolf Flank;6348;
1017;Seasoned Wolf Kabob;1116;
1019;Red Linen Bandana;1272;
1074;Hard Spider Leg Tip;6619;
1075;Shadowhide Pendant;7236;
1076;Defias Renegade Ring;6012;
1077;Defias Mage Ring;9836;
1080;Tough Condor Meat;25475;
1081;Crisp Spider Meat;7345;
1082;Redridge Goulash;6406;
1083;Glyph of Azora;7133;
1113;Conjured Bread;6413;
1114;Conjured Rye;6343;
1116;Ring of Pure Silver;6011;
1121;Feet of the Lynx;703;
1127;Flash Bundle;1816;
1129;Ghoul Fang;7129;
1130;Vial of Spider Venom;1288;
1131;Totem of Infliction;9557;
1132;Horn of the Timber Wolf;16208;
1154;Belt of the People's Militia;6833;
1155;Rod of the Sleepwalker;20327;
1156;Lavishly Jeweled Ring;9839;
1158;Solid Metal Club;19643;
1159;Militia Quarterstaff;4994;
1161;Militia Shortsword;1544;
1168;Skullflame Shield;30993;
1169;Blackskull Shield;18816;
1171;Well-stitched Robe;12707;
1172;Grayson's Torch;12313;
1173;Weather-worn Boots;6777;
1175;A Gold Tooth;6659;
1177;Oil of Olaf;6400;
1178;Explosive Rocket;6336;
1179;Ice Cold Milk;18090;
1180;Scroll of Stamina;1093;
1181;Scroll of Spirit;2616;
1182;Brass-studded Bracers;6852;
1183;Elastic Wristguards;16927;
1187;Spiked Collar;6415;
1190;Overseer's Cloak;15120;
1191;Bag of Marbles;1816;
1194;Bastard Sword;22093;
1195;Kobold Mining Shovel;7495;
1196;Tabar;22114;
1197;Giant Mace;5226;
1198;Claymore;22095;
1200;Large Wooden Shield;18663;
1201;Dull Heater Shield;2161;
1202;Wall Shield;2329;
1203;Aegis of Stormwind;2594;
1204;The Green Tower;1644;
1205;Melon Juice;18078;
1206;Moss Agate;7393;
1207;Murphstar;5223;
1208;Maybell's Love Letter;2616;
1210;Shadowgem;7401;
1211;Gnoll War Harness;14260;
1212;Gnoll Spittle;2637;
1213;Gnoll Kindred Bracers;3613;
1214;Gnoll Punisher;19625;
1215;Support Girdle;16942;
1217;Unknown Reward;7280;
1218;Heavy Gnoll War Club;5527;
1219;Redridge Machete;20122;
1220;Lupine Axe;19232;
1221;Underbelly Whelp Scale;568;
1251;Linen Bandage;11907;
1252;Gramma Stonefield's Note;2616;
1254;Lesser Firestone (DEPRECATED);24380;
1256;Crystal Kelp Frond;7078;
1257;Invisibility Liquor;1656;
1260;Tharil'zun's Head;1310;
1261;Midnight Orb;6009;
1262;Keg of Thunderbrew Lager;7923;
1263;Brain Hacker;22215;
1264;Headbasher;5530;
1265;Scorpion Sting;20156;
1270;Finely Woven Cloak;23113;
1273;Forest Chain;12723;
1274;Hops;6661;
1275;Deputy Chain Coat;1019;
1276;Fire Hardened Buckler;2210;
1280;Cloaked Hood;15298;
1282;Sparkmetal Coif;15324;
1283;Verner's Note;811;
1284;Crate of Horseshoes;7914;
1287;Giant Tarantula Fang;6447;
1288;Large Venom Sac;4826;
1292;Butcher's Cleaver;8466;
1293;The State of Lakeshire;3034;
1294;The General's Response;3035;
1296;Blackrock Mace;5195;
1297;Robes of the Shadowcaster;19035;
1299;Lesser Belt of the Spire;16717;
1300;Lesser Staff of the Spire;20391;
1302;Black Whelp Gloves;17174;
1303;Bridgeworker's Gloves;6871;
1304;Riding Gloves;16818;
1306;Wolfmane Wristguards;11387;
1307;Gold Pickup Schedule;811;
1309;Oslow's Toolbox;12334;
1310;Smith's Trousers;16971;
1314;Ghoul Fingers;17179;
1315;Lei of Lilies;6524;
1317;Hardened Root Staff;20377;
1318;Night Reaver;19290;
1319;Ring of Iron Will;14437;
1322;Fishliver Oil;6373;
1325;Daffodil Bouquet;6524;
1326;Sauteed Sunfish;2661;
1327;Wiley's Note;3093;
1349;Abercrombie's Crate;7918;
1351;Fingerbone Bracers;16897;
1353;Shaw's Report;3031;
1355;Buckskin Cape;23014;
1357;Captain Sanders' Treasure Map;1322;
1358;A Clue to Sanders' Treasure;7593;
1359;Lion-stamped Gloves;6751;
1360;Stormwind Chain Gloves;7000;
1361;Another Clue to Sanders' Treasure;7594;
1362;Final Clue to Sanders' Treasure;7595;
1364;Ragged Leather Vest;14339;
1366;Ragged Leather Pants;14338;
1367;Ragged Leather Boots;14354;
1368;Ragged Leather Gloves;17184;
1369;Ragged Leather Belt;14335;
1370;Ragged Leather Bracers;14336;
1372;Ragged Cloak;23054;
1374;Frayed Shoes;16659;
1376;Frayed Cloak;23090;
1377;Frayed Gloves;16657;
1378;Frayed Pants;16656;
1380;Frayed Robe;12426;
1381;A Mysterious Message;3023;
1382;Rock Mace;19636;
1383;Stone Tomahawk;8495;
1384;Dull Blade;1546;
1387;Ghoulfang;20087;
1388;Crooked Staff;20450;
1389;Kobold Mining Mallet;8575;
1391;Riverpaw Mystic Staff;20410;
1394;Driftwood Club;5203;
1395;Apprentice's Pants;9924;
1396;Acolyte's Pants;3260;
1399;Magic Candle;6395;
1401;Green Tea Leaf;18088;
1404;Tidal Charm;6499;
1405;Foamspittle Staff;5540;
1406;Pearl-encrusted Spear;5638;
1407;Solomon's Plea to Westfall;3032;
1408;Stoutmantle's Response to Solomon;3033;
1409;Solomon's Plea to Darkshire;3032;
1410;Ebonlocke's Response to Solomon;3032;
1411;Withered Staff;20442;
1412;Crude Bastard Sword;20074;
1413;Feeble Sword;1547;
1414;Cracked Sledge;19525;
1415;Carpenter's Mallet;19613;
1416;Rusty Hatchet;8495;
1417;Beaten Battle Axe;8501;
1418;Worn Leather Belt;14344;
1419;Worn Leather Boots;14353;
1420;Worn Leather Bracers;4471;
1421;Worn Hide Cloak;23083;
1422;Worn Leather Gloves;14345;
1423;Worn Leather Pants;14346;
1425;Worn Leather Vest;14190;
1427;Patchwork Shoes;16798;
1429;Patchwork Cloak;23130;
1430;Patchwork Gloves;16797;
1431;Patchwork Pants;16796;
1433;Patchwork Armor;16795;
1434;Glowing Wax Stick;6383;
1436;Frontier Britches;17144;
1438;Warrior's Shield;25943;
1440;Gnoll Skull Basher;8570;
1443;Jeweled Amulet of Cainwyn;6522;
1445;Blackrock Pauldrons;10167;
1446;Blackrock Boots;6841;
1447;Ring of Saviors;14438;
1448;Blackrock Gauntlets;6842;
1449;Minor Channeling Ring;9823;
1451;Bottle of Zombie Juice;1249;
1453;Spectral Comb;9825;
1454;Axe of the Enforcer;8457;
1455;Blackrock Champion's Axe;22214;
1457;Shadowhide Mace;19683;
1458;Shadowhide Maul;8601;
1459;Shadowhide Scalper;19136;
1460;Shadowhide Two-handed Sword;20109;
1461;Slayer's Battle Axe;19375;
1462;Ring of the Shadow;9846;
1464;Buzzard Talon;6627;
1465;Tigerbane;20594;
1467;Spotted Sunfish;1361;
1468;Murloc Fin;6697;
1469;Scimitar of Atun;20154;
1470;Murloc Skin Bag;1025;
1473;Riverside Staff;20402;
1475;Small Venom Sac;6693;
1476;Snapped Spider Limb;6619;
1477;Scroll of Agility II;3331;
1478;Scroll of Protection II;1093;
1479;Salma's Oven Mitts;16710;
1480;Fist of the People's Militia;9381;
1481;Grimclaw;25595;
1482;Shadowfang;20089;
1483;Face Smasher;9117;
1484;Witching Stave;9122;
1485;Pitchfork;7464;
1486;Tree Bark Jacket;9889;
1487;Conjured Pumpernickel;6344;
1488;Avenger's Armor;12960;
1489;Gloomshroud Armor;8676;
1490;Guardian Talisman;6502;
1491;Ring of Precision;9836;
1493;Heavy Marauder Scimitar;5165;
1495;Calico Shoes;16553;
1497;Calico Cloak;23094;
1498;Calico Gloves;14348;
1499;Calico Pants;16552;
1501;Calico Tunic;16551;
1502;Warped Leather Belt;16947;
1503;Warped Leather Boots;14846;
1504;Warped Leather Bracers;17024;
1505;Warped Cloak;23076;
1506;Warped Leather Gloves;17077;
1507;Warped Leather Pants;17156;
1509;Warped Leather Vest;18466;
1510;Heavy Hammer;19775;
1511;Commoner's Sword;20173;
1512;Crude Battle Axe;19226;
1513;Old Greatsword;20092;
1514;Rusty Warhammer;19533;
1515;Rough Wooden Staff;20421;
1516;Worn Hatchet;8498;
1518;Ghost Hair Comb;9825;
1519;Bloodscalp Ear;1438;
1520;Troll Sweat;1656;
1521;Lumbering Ogre Axe;19306;
1522;Headhunting Spear;22239;
1523;Huge Stone Club;5534;
1524;Skullsplitter Tusk;959;
1528;Handful of Oats;1443;
1529;Jade;1262;
1532;Shrunken Head;7104;
1537;Old Blanchy's Feed Pouch;1183;
1539;Gnarled Hermit's Staff;20395;
1547;Shield of the Faith;21551;
1557;Buckler of the Seas;18456;
1560;Bluegill Sandals;16856;
1561;Harvester's Robe;12671;
1566;Edge of the People's Militia;20078;
1596;Ghost Hair Thread;18096;
1598;Rot Blossom;1464;
1602;Sickle Axe;8489;
1604;Chromatic Sword;63370;
1607;Soulkeeper;20272;
1608;Skullcrusher Mace;19743;
1613;Spiritchaser Staff;28470;
1624;Skullsplitter Helm;15340;
1625;Exquisite Flamberge;26586;
1630;Broken Electro-lantern;6552;
1637;Letter to Ello;1102;
1639;Grinning Axe;5128;
1640;Monstrous War Axe;8526;
1645;Moonberry Juice;18060;
1652;Sturdy Lunchbox;12642;
1656;Translated Letter;1102;
1659;Engineering Gloves;1795;
1664;Spellforce Rod;18289;
1677;Drake-scale Vest;8678;
1678;Black Ogre Kickers;11269;
1679;Korg Bat;5137;
1680;Headchopper;19304;
1685;Troll-hide Bag;1285;
1686;Bristly Whisker;18096;
1687;Retractable Claw;1496;
1688;Long Soft Tail;18092;
1696;Curved Raptor Talon;1498;
1697;Keen Raptor Tooth;6630;
1701;Curved Basilisk Claw;1498;
1702;Intact Basilisk Spine;6349;
1703;Crystal Basilisk Spine;6349;
1705;Lesser Moonstone;7380;
1706;Azuredeep Shards;6614;
1707;Stormwind Brie;21905;
1708;Sweet Nectar;18114;
1710;Greater Healing Potion;15713;
1711;Scroll of Stamina II;1093;
1712;Scroll of Spirit II;2616;
1713;Ankh of Life;23949;
1714;Necklace of Calisea;9858;
1715;Polished Jazeraint Armor;8683;
1716;Robe of the Magi;16667;
1717;Double Link Tunic;12960;
1718;Basilisk Hide Pants;17137;
1720;Tanglewood Staff;21460;
1721;Viking Warhammer;8581;
1722;Thornstone Sledgehammer;15467;
1725;Large Knapsack;2592;
1726;Poison-tipped Bone Spear;20749;
1727;Sword of Decay;5166;
1728;Teebu's Blazing Longsword;19997;
1729;Gunnysack of the Night Watch;2588;
1730;Worn Mail Belt;6902;
1731;Worn Mail Boots;6903;
1732;Worn Mail Bracers;6904;
1733;Worn Cloak;15272;
1734;Worn Mail Gloves;6905;
1735;Worn Mail Pants;687;
1737;Worn Mail Vest;977;
1738;Laced Mail Belt;6902;
1739;Laced Mail Boots;6903;
1740;Laced Mail Bracers;6904;
1741;Laced Cloak;15065;
1742;Laced Mail Gloves;6905;
1743;Laced Mail Pants;687;
1744;Laced Mail Shoulderpads;6914;
1745;Laced Mail Vest;977;
1746;Linked Chain Belt;6902;
1747;Linked Chain Boots;6903;
1748;Linked Chain Bracers;6904;
1749;Linked Chain Cloak;15074;
1750;Linked Chain Gloves;6905;
1751;Linked Chain Pants;687;
1752;Linked Chain Shoulderpads;6914;
1753;Linked Chain Vest;977;
1754;Reinforced Chain Belt;6902;
1755;Reinforced Chain Boots;6903;
1756;Reinforced Chain Bracers;6904;
1757;Reinforced Chain Cloak;15181;
1758;Reinforced Chain Gloves;6905;
1759;Reinforced Chain Pants;687;
1760;Reinforced Chain Shoulderpads;6914;
1761;Reinforced Chain Vest;977;
1764;Canvas Shoes;7578;
1766;Canvas Cloak;23095;
1767;Canvas Gloves;14065;
1768;Canvas Pants;14064;
1769;Canvas Shoulderpads;16786;
1770;Canvas Vest;14378;
1772;Brocade Shoes;3757;
1774;Brocade Cloak;23093;
1775;Brocade Gloves;14370;
1776;Brocade Pants;12930;
1777;Brocade Shoulderpads;14371;
1778;Brocade Vest;14377;
1780;Cross-stitched Sandals;16820;
1782;Cross-stitched Cloak;23102;
1783;Cross-stitched Gloves;14373;
1784;Cross-stitched Pants;14374;
1785;Cross-stitched Shoulderpads;14121;
1786;Cross-stitched Vest;14376;
1787;Patched Leather Belt;14360;
1788;Patched Leather Boots;16990;
1789;Patched Leather Bracers;3653;
1790;Patched Cloak;23050;
1791;Patched Leather Gloves;972;
1792;Patched Leather Pants;6731;
1793;Patched Leather Shoulderpads;14361;
1794;Patched Leather Jerkin;14272;
1795;Rawhide Belt;16935;
1796;Rawhide Boots;16992;
1797;Rawhide Bracers;17015;
1798;Rawhide Cloak;23058;
1799;Rawhide Gloves;17066;
1800;Rawhide Pants;16967;
1801;Rawhide Shoulderpads;15002;
1802;Rawhide Tunic;16895;
1803;Tough Leather Belt;16945;
1804;Tough Leather Boots;16998;
1805;Tough Leather Bracers;17022;
1806;Tough Cloak;23072;
1807;Tough Leather Gloves;17072;
1808;Tough Leather Pants;16977;
1809;Tough Leather Shoulderpads;14205;
1810;Tough Leather Armor;14418;
1811;Blunt Claymore;20037;
1812;Short-handled Battle Axe;19245;
1813;Chipped Quarterstaff;20413;
1814;Battered Mallet;19534;
1815;Ornamental Mace;5217;
1816;Unbalanced Axe;8495;
1817;Stock Shortsword;20164;
1818;Standard Claymore;20183;
1819;Gouging Pick;14039;
1820;Wooden Maul;19535;
1821;Warped Blade;5151;
1822;Cedar Walking Stick;20385;
1823;Bludgeoning Cudgel;6794;
1824;Shiny War Axe;19292;
1825;Bulky Bludgeon;19784;
1826;Rock Maul;8587;
1827;Meat Cleaver;8482;
1828;Stone War Axe;19369;
1829;Short Cutlass;15591;
1830;Long Bastard Sword;4129;
1831;Oaken War Staff;20361;
1832;Lucky Trousers;16845;
1835;Dirty Leather Belt;14443;
1836;Dirty Leather Bracers;14249;
1839;Rough Leather Belt;17126;
1840;Rough Leather Bracers;17170;
1843;Tanned Leather Belt;14469;
1844;Tanned Leather Bracers;14471;
1845;Chainmail Belt;6864;
1846;Chainmail Bracers;13617;
1849;Cured Leather Belt;16914;
1850;Cured Leather Bracers;14282;
1852;Scalemail Bracers;6985;
1853;Scalemail Belt;10410;
1875;Thistlenettle's Badge;8604;
1893;Miner's Revenge;19234;
1894;Miners' Union Card;3029;
1913;Studded Blackjack;5009;
1917;Jeweled Dagger;20435;
1922;Supplies for Sven;1283;
1923;Ambassador's Satchel;1625;
1925;Defias Rapier;20114;
1926;Weighted Sap;5218;
1927;Deadmines Cleaver;19276;
1928;Defias Mage Staff;20415;
1929;Silk-threaded Trousers;16848;
1930;Stonemason Cloak;23067;
1931;Huge Gnoll Claw;1645;
1933;Staff of Conjuring;20418;
1934;Stonemason Trousers;6774;
1935;Assassin's Blade;20471;
1936;Goblin Screwdriver;20399;
1937;Buzz Saw;5040;
1938;Block Mallet;8565;
1939;Skin of Sweet Rum;18084;
1941;Cask of Merlot;8383;
1942;Bottle of Moonshine;18080;
1943;Goblin Mail Leggings;697;
1944;Metalworking Gloves;17062;
1945;Woodworking Gloves;17189;
1946;Mary's Looking Glass;20919;
1951;Blackwater Cutlass;8279;
1955;Dragonmaw Chain Boots;6907;
1956;Faded Shadowhide Pendant;7236;
1958;Petrified Shinbone;1759;
1959;Cold Iron Pick;14038;
1962;Glowing Shadowhide Pendant;6565;
1965;White Wolf Gloves;3846;
1968;Ogre's Monocle;1695;
1970;Restoring Balm;1805;
1971;Furlbrow's Deed;7128;
1972;Westfall Deed;924;
1973;Orb of Deception;6506;
1974;Mindthrust Bracers;16901;
1975;Pysan's Old Greatsword;20179;
1976;Slaghammer;8590;
1978;Wolfclaw Gloves;12813;
1979;Wall of the Dead;18793;
1980;Underworld Band;9840;
1981;Icemail Jerkin;8668;
1982;Nightblade;20191;
1986;Gutrender;20638;
1987;Krazek's Fixed Pot;7155;
1988;Chief Brigadier Gauntlets;25892;
1990;Ballast Maul;5533;
1991;Goblin Power Shovel;18269;
1992;Swampchill Fetish;21612;
1993;Ogremind Ring;14436;
1994;Ebonclaw Reaver;19129;
1996;Voodoo Band;9840;
1997;Pressed Felt Robe;16670;
1998;Bloodscalp Channeling Staff;20356;
2000;Archeus;20251;
2004;Grelin Whitebeard's Journal;7138;
2005;The First Troll Legend;7270;
2006;The Second Troll Legend;7270;
2007;The Third Troll Legend;7270;
2008;The Fourth Troll Legend;7270;
2011;Twisted Sabre;20120;
2013;Cryptbone Staff;20373;
2014;Black Metal Greatsword;5176;
2015;Black Metal War Axe;19255;
2017;Glowing Leather Bracers;6738;
2018;Skeletal Longsword;20088;
2020;Hollowfang Blade;20492;
2021;Green Carapace Shield;18650;
2024;Espadon;22096;
2025;Bearded Axe;22115;
2026;Rock Hammer;8593;
2027;Scimitar;22079;
2028;Hammer;22119;
2029;Cleaver;19281;
2030;Gnarled Staff;22146;
2032;Gallan Cuffs;16887;
2033;Ambassador's Boots;10711;
2034;Scholarly Robes;12699;
2035;Sword of the Night Sky;5161;
2036;Dusty Mining Gloves;17054;
2037;Tunneler's Boots;11447;
2039;Plains Ring;6012;
2040;Troll Protector;18399;
2041;Tunic of Westfall;8703;
2042;Staff of Westfall;20379;
2043;Ring of Forlorn Spirits;6011;
2044;Crescent of Forlorn Spirits;19220;
2046;Bluegill Kukri;22226;
2047;Anvilmar Hand Axe;8473;
2048;Anvilmar Hammer;19770;
2054;Trogg Hand Axe;19299;
2055;Small Wooden Hammer;8579;
2057;Pitted Defias Shortsword;20175;
2058;Kazon's Maul;19611;
2059;Sentry Cloak;22991;
2064;Trogg Club;19650;
2065;Rockjaw Blade;20212;
2066;Skull Hatchet;19203;
2067;Frostbit Staff;20431;
2069;Black Bear Hide Vest;16868;
2070;Darnassian Bleu;6353;
2072;Dwarven Magestaff;20363;
2073;Dwarven Hatchet;19134;
2074;Solid Shortblade;20168;
2075;Priest's Mace;5218;
2077;Magician Staff;28578;
2078;Northern Shortsword;20157;
2079;Sergeant's Warhammer;19637;
2080;Hillborne Axe;19400;
2082;Wizbang's Gunnysack;2588;
2084;Darksteel Bastard Sword;20152;
2085;Chunk of Flesh;1116;
2087;Hard Crawler Carapace;17095;
2088;Long Crawler Limb;6455;
2089;Scrimshaw Dagger;20407;
2091;Magic Dust;6396;
2092;Worn Dagger;6442;
2098;Double-barreled Shotgun;28718;
2099;Dwarven Hand Cannon;28636;
2100;Precisely Calibrated Boomstick;8258;
2101;Light Quiver;21328;
2102;Small Ammo Pouch;1816;
2105;Thug Shirt;10005;
2108;Frostmane Leather Vest;8662;
2109;Frostmane Chain Vest;977;
2110;Light Magesmith Robe;12674;
2112;Lumberjack Jerkin;14279;
2113;Calor's Note;924;
2114;Snowy Robe;16654;
2117;Thin Cloth Shoes;16576;
2119;Thin Cloth Gloves;16969;
2120;Thin Cloth Pants;8969;
2121;Thin Cloth Armor;16575;
2122;Cracked Leather Belt;14425;
2123;Cracked Leather Boots;14426;
2124;Cracked Leather Bracers;14427;
2125;Cracked Leather Gloves;17176;
2126;Cracked Leather Pants;14429;
2127;Cracked Leather Vest;14430;
2129;Large Round Shield;18662;
2130;Club;22118;
2131;Shortsword;22075;
2132;Short Staff;22149;
2134;Hand Axe;22101;
2136;Conjured Purified Water;18085;
2137;Whittling Knife;6437;
2138;Sharpened Letter Opener;6460;
2139;Dirk;22135;
2140;Carving Knife;6440;
2141;Cuirboulli Vest;8655;
2142;Cuirboulli Belt;17117;
2143;Cuirboulli Boots;2355;
2144;Cuirboulli Bracers;3602;
2145;Cuirboulli Gloves;14480;
2146;Cuirboulli Pants;14481;
2148;Polished Scale Belt;6926;
2149;Polished Scale Boots;6972;
2150;Polished Scale Bracers;6973;
2151;Polished Scale Gloves;6975;
2152;Polished Scale Leggings;2989;
2153;Polished Scale Vest;8683;
2154;The Story of Morgan Ladimore;1143;
2156;Padded Boots;16858;
2158;Padded Gloves;14478;
2159;Padded Pants;14479;
2160;Padded Armor;14477;
2161;Book from Sven's Farm;1143;
2162;Sarah's Ring;963;
2163;Shadowblade;20291;
2164;Gut Ripper;20312;
2165;Old Blanchy's Blanket;23054;
2166;Foreman's Leggings;685;
2167;Foreman's Gloves;17178;
2168;Foreman's Boots;16713;
2169;Buzzer Blade;20347;
2172;Rustic Belt;9895;
2173;Old Leather Belt;28227;
2175;Shadowhide Battle Axe;8534;
2186;Outfitter Belt;4545;
2187;A Stack of Letters;3019;
2188;A Letter to Grelin Whitebeard;3020;
2194;Diamond Hammer;8567;
2195;Anvilmar Knife;6432;
2203;Brashclaw's Chopper;8506;
2204;Brashclaw's Skewer;20038;
2205;Duskbringer;20153;
2207;Jambiya;22137;
