long,long,long,str,float,float,float,float,long,long,long,
37,0,33,"Stranglethorn",2220.83325195,-4160.41650391,-11168.75,-15422.9160156,-1,0,0,
38,0,8,"SwampOfSorrows",-2222.91650391,-4516.66650391,-9620.83300781,-11150.0,-1,0,0,
39,0,40,"Westfall",3016.66650391,-483.333312988,-9400.0,-11733.3330078,-1,0,0,
40,0,11,"Wetlands",-389.583312988,-4525.0,-2147.91650391,-4904.16650391,-1,0,0,
41,1,141,"Teldrassil",3814.58325195,-1277.08325195,11831.25,8437.5,-1,0,0,
42,1,148,"Darkshore",2941.66650391,-3608.33325195,8333.33300781,3966.66650391,-1,0,0,
43,1,331,"Ashenvale",1699.99987793,-4066.66650391,4672.91650391,829.166625977,-1,0,0,
61,1,400,"ThousandNeedles",-433.333312988,-4833.33300781,-3966.66650391,-6899.99951172,-1,0,0,
81,1,406,"StonetalonMountains",3245.83325195,-1637.49987793,2916.66650391,-339.583312988,-1,0,0,
101,1,405,"Desolace",4233.33300781,-262.5,452.083312988,-2545.83325195,-1,0,0,
121,1,357,"Feralas",5441.66650391,-1508.33325195,-2366.66650391,-6999.99951172,-1,0,0,
141,1,15,"Dustwallow",-974.999938965,-6225.0,-2033.33325195,-5533.33300781,-1,0,0,
161,1,440,"Tanaris",-218.749984741,-7118.74951172,-5875.0,-10475.0,-1,0,0,
181,1,16,"Aszhara",-3277.08325195,-8347.91601563,5341.66650391,1960.41662598,-1,0,0,
182,1,361,"Felwood",1641.66662598,-4108.33300781,7133.33300781,3299.99975586,-1,0,0,
201,1,490,"UngoroCrater",533.333312988,-3166.66650391,-5966.66650391,-8433.33300781,-1,0,0,
241,1,493,"Moonglade",-1381.25,-3689.58325195,8491.66601563,6952.08300781,-1,0,0,
261,1,1377,"Silithus",2537.5,-945.833984375,-5958.33398438,-8281.25,-1,0,0,
281,1,618,"Winterspring",-316.666656494,-7416.66650391,8533.33300781,3799.99975586,-1,0,0,
301,0,1519,"Stormwind",1722.91662598,-14.5833330154,-7995.83300781,-9154.16601563,-1,0,0,
321,1,1637,"Ogrimmar",-3680.60107422,-5083.20556641,2273.87719727,1338.46057129,-1,0,0,
341,0,1537,"Ironforge",-713.591369629,-1504.21643066,-4569.24121094,-5096.84570313,-1,0,0,
362,1,1638,"ThunderBluff",516.666625977,-527.083312988,-849.999938965,-1545.83325195,-1,0,0,
381,1,1657,"Darnassis",2938.36279297,1880.02954102,10238.3164063,9532.58691406,-1,0,0,
382,0,1497,"Undercity",873.192626953,-86.1824035645,1877.9453125,1237.84118652,-1,0,0,
401,30,2597,"AlteracValley",1781.24987793,-2456.25,1085.41662598,-1739.58325195,-1,0,0,
443,489,3277,"WarsongGulch",2041.66662598,895.833312988,1627.08325195,862.499938965,-1,0,0,
461,529,3358,"ArathiBasin",1858.33325195,102.083328247,1508.33325195,337.5,-1,0,0,
462,530,3430,"EversongWoods",-4487.5,-9412.5,11041.6660156,7758.33300781,0,0,0,
463,530,3433,"Ghostlands",-5283.33300781,-8583.33300781,8266.66601563,6066.66650391,0,0,0,
464,530,3524,"AzuremystIsle",-10500.0,-14570.8330078,-2793.75,-5508.33300781,1,0,0,
465,530,3483,"Hellfire",5539.58300781,375.0,1481.25,-1962.49987793,-1,0,0,
466,530,0,"Expansion01",12996.0390625,-4468.0390625,5821.359375,-5821.359375,-1,0,0,
467,530,3521,"Zangarmarsh",9475.0,4447.91650391,1935.41662598,-1416.66662598,-1,0,0,
471,530,3557,"TheExodar",-11066.3671875,-12123.1376953,-3609.68334961,-4314.37109375,1,0,0,
473,530,3520,"ShadowmoonValley",4225.0,-1275.0,-1947.91662598,-5614.58300781,-1,0,0,
475,530,3522,"BladesEdgeMountains",8845.83300781,3420.83325195,4408.33300781,791.666625977,-1,0,0,
476,530,3525,"BloodmystIsle",-10075.0,-13337.4990234,-758.333312988,-2933.33325195,1,0,0,
477,530,3518,"Nagrand",10295.8330078,4770.83300781,41.6666641235,-3641.66650391,-1,0,0,
478,530,3519,"TerokkarForest",7083.33300781,1683.33325195,-999.999938965,-4600.0,-1,0,0,
479,530,3523,"Netherstorm",5483.33300781,-91.6666641235,5456.25,1739.58325195,-1,0,0,
480,530,3487,"SilvermoonCity",-6400.75,-7612.20849609,10153.7089844,9346.93847656,0,0,0,
481,530,3703,"ShattrathCity",6135.25878906,4829.00878906,-1473.95446777,-2344.7878418,-1,0,0,
482,566,3820,"NetherstormArena",2660.41650391,389.583312988,2918.75,1404.16662598,-1,0,0,
485,571,0,"Northrend",9217.15234375,-8534.24609375,10593.375,-1240.89001465,-1,0,0,
486,571,3537,"BoreanTundra",8570.83300781,2806.25,4897.91650391,1054.16662598,-1,0,0,
488,571,65,"Dragonblight",3627.08325195,-1981.24987793,5575.0,1835.41662598,-1,0,0,
490,571,394,"GrizzlyHills",-1110.41662598,-6360.41650391,5516.66650391,2016.66662598,-1,0,0,
491,571,495,"HowlingFjord",-1397.91662598,-7443.74951172,3116.66650391,-914.583312988,-1,0,0,
492,571,210,"IcecrownGlacier",5443.75,-827.083312988,9427.08300781,5245.83300781,-1,0,0,
493,571,3711,"SholazarBasin",6929.16650391,2572.91650391,7287.49951172,4383.33300781,-1,0,0,
495,571,67,"TheStormPeaks",1841.66662598,-5270.83300781,10197.9160156,5456.25,-1,0,0,
496,571,66,"ZulDrak",-600.0,-5593.75,7668.74951172,4339.58300781,-1,0,0,
499,530,4080,"Sunwell",-5302.08300781,-8629.16601563,13568.7490234,11350.0,0,0,0,
501,571,4197,"LakeWintergrasp",4329.16650391,1354.16662598,5716.66650391,3733.33325195,-1,0,0,
502,609,4298,"ScarletEnclave",-4047.91650391,-7210.41650391,3087.5,979.166625977,-1,0,0,
504,571,4395,"Dalaran",0.0,0.0,0.0,0.0,-1,27,510,
510,571,2817,"CrystalsongForest",1443.75,-1279.16662598,6502.08300781,4687.5,-1,0,0,
512,607,4384,"StrandoftheAncients",787.5,-956.249938965,1883.33325195,720.833312988,-1,0,0,
520,576,4265,"TheNexus",0.0,0.0,0.0,0.0,-1,0,0,
521,595,4100,"CoTStratholme",2152.08325195,327.083312988,2297.91650391,1081.25,-1,-1,0,
522,619,4494,"Ahnkahet",-233.333328247,-1206.25,849.999938965,202.083328247,-1,0,0,
523,574,206,"UtgardeKeep",0.0,0.0,0.0,0.0,-1,0,0,
524,575,1196,"UtgardePinnacle",3274.99975586,-3274.99975586,2166.66650391,-2200.0,-1,0,0,
525,602,4272,"HallsofLightning",2500.0,-899.999938965,2200.0,-66.6666641235,-1,0,0,
526,599,4264,"Ulduar77",2766.66650391,-633.333312988,2200.0,-66.6666641235,-1,0,0,
527,616,4500,"TheEyeofEternity",2766.66650391,-633.333312988,2200.0,-66.6666641235,-1,0,0,
528,578,4228,"Nexus80",2337.5,-262.5,1956.24987793,222.916656494,-1,0,0,
529,603,4273,"Ulduar",1583.33325195,-1704.16662598,1168.75,-1022.91662598,-1,-1,0,
530,604,4416,"Gundrak",1310.41662598,166.666656494,2122.91650391,1360.41662598,-1,0,0,
531,615,4493,"TheObsidianSanctum",1133.33325195,-29.1666660309,3616.66650391,2841.66650391,-1,0,488,
532,624,4603,"VaultofArchavon",1033.33325195,-1566.66662598,600.0,-1133.33325195,-1,0,0,
533,601,4277,"AzjolNerub",1020.83331299,-52.0833320618,872.916625977,158.333328247,-1,0,0,
534,600,4196,"DrakTharonKeep",-377.083312988,-1004.16662598,-168.75,-587.5,-1,0,0,
535,533,3456,"Naxxramas",-2520.83325195,-4377.08300781,3597.91650391,2360.41650391,-1,0,0,
536,608,4415,"VioletHold",983.333312988,600.0,2006.24987793,1749.99987793,-1,0,0,
540,628,4710,"IsleofConquest",525.0,-2125.0,1708.33325195,-58.3333320618,-1,0,0,
541,571,4742,"HrothgarsLanding",2797.91650391,-879.166625977,10781.25,8329.16601563,-1,0,0,
542,650,4723,"TheArgentColiseum",2100.0,-499.999969482,2200.0,466.666656494,-1,0,0,
543,649,4722,"TheArgentColiseum",2100.0,-499.999969482,2200.0,466.666656494,-1,0,0,
601,632,4809,"TheForgeofSouls",7033.33300781,-4366.66650391,6466.66650391,-1133.33325195,-1,0,0,
602,658,4813,"PitofSaron",839.583312988,-693.75,1256.25,233.333328247,-1,0,492,
603,668,4820,"HallsofReflection",7033.33300781,-5966.66650391,6466.66650391,-2200.0,-1,0,0,
604,631,4812,"IcecrownCitadel",6366.66650391,-5833.33300781,5933.33300781,-2200.0,-1,0,0,
609,724,4987,"TheRubySanctum",902.083312988,150.0,3429.16650391,2927.08325195,-1,0,0,
