long,long,float,float,float,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
18,0,-14444.2900391,509.619995117,26.2000007629,"Booty Bay, Stranglethorn",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
19,0,-14473.0498047,464.149993896,36.4300003052,"Booty Bay, Stranglethorn",,,,,,,,,,,,,,,,0xFF01FE,0,541,
20,0,-12414.1796875,146.289993286,3.27999997139,"Grom'gol, Stranglethorn",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
21,0,-6633.99023438,-2180.05004883,244.13999939,"Kargath, Badlands",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
22,1,-1197.20996094,29.7099990845,176.949996948,"Thunder Bluff, Mulgore",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
23,1,1677.58996582,-4315.70996094,61.1699981689,"Orgrimmar, Durotar",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
24,0,-6666.0,-2222.30004883,278.600006104,"Generic, World Target 002",,,,,,,,,,,,,,,,0xFF01FE,0,0,
25,1,-441.799987793,-2596.08007813,96.0599975586,"Crossroads, The Barrens",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
26,1,6341.37988281,557.679992676,16.2900009155,"Auberdine, Darkshore",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
27,1,8643.58984375,841.049987793,23.2999992371,"Rut'theran Village, Teldrassil",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
28,1,2827.34008789,-289.239990234,107.160003662,"Astranaar, Ashenvale",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
29,1,966.570007324,1040.31994629,104.269996643,"Sun Rock Retreat, Stonetalon Mountains",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
30,1,-5407.70996094,-2414.30004883,90.3199996948,"Freewind Post, Thousand Needles",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
31,1,-4491.87988281,-775.890014648,-39.5200004578,"Thalanaar, Feralas",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
32,1,-3825.37011719,-4516.58007813,10.4399995804,"Theramore, Dustwallow Marsh",,,,,,,,,,,,,,,,0xFF01FE,0,541,
33,1,2681.12988281,1461.68005371,232.880004883,"Stonetalon Peak, Stonetalon Mountains",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
34,1,-1965.17004395,-5824.29003906,-1.05999994278,"Transport, Booty Bay",,,,,,,,,,,,,,,,0xFF01FE,0,0,
35,1,1320.06994629,-4649.20019531,21.5699996948,"Transport, Orgrimmar",,,,,,,,,,,,,,,,0xFF01FE,0,0,
36,0,-8644.62011719,433.279998779,59.4599990845,"Generic, World Target 001",,,,,,,,,,,,,,,,0xFF01FE,15665,0,
37,1,139.240005493,1325.81994629,193.5,"Nijel's Point, Desolace",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
38,1,-1767.64001465,3263.88989258,4.94000005722,"Shadowprey Village, Desolace",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
39,1,-7223.97021484,-3734.59008789,8.39000034332,"Gadgetzan, Tanaris",,,,,,,,,,,,,,,,0xFF01FE,0,541,
40,1,-7048.89013672,-3780.36010742,10.1899995804,"Gadgetzan, Tanaris",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
41,1,-4373.79980469,3338.64990234,12.2700004578,"Feathermoon, Feralas",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
42,1,-4419.85986328,199.309997559,25.0599994659,"Camp Mojache, Feralas",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
43,0,283.739990234,-2002.76000977,194.740005493,"Aerie Peak, The Hinterlands",,,,,,,,,,,,,,,,0xFF01FE,0,541,
44,1,3661.52001953,-4390.37988281,113.050003052,"Valormok, Azshara",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
45,0,-11112.25,-3435.73999023,79.0899963379,"Nethergarde Keep, Blasted Lands",,,,,,,,,,,,,,,,0xFF01FE,0,541,
46,0,-986.429992676,-547.859985352,-3.8599998951,"Transport, Southshore",,,,,,,,,,,,,,,,0xFF01FE,0,0,
47,0,-12418.7695313,235.429992676,1.12000000477,"Transport, Grom'gol",,,,,,,,,,,,,,,,0xFF01FE,0,0,
48,1,5068.39990234,-337.220001221,367.410003662,"Bloodvenom Post, Felwood",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
49,1,7458.45019531,-2487.20996094,462.329986572,"Moonglade",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
50,0,0.0,0.0,0.0,"Transport, Menethil Harbor",,,,,,,,,,,,,,,,0xFF01FE,0,0,
51,0,0.0,0.0,0.0,"Transport, Auberdine",,,,,,,,,,,,,,,,0xFF01FE,0,0,
52,1,6796.79980469,-4742.39013672,701.5,"Everlook, Winterspring",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
53,1,6813.06005859,-4611.12011719,710.66998291,"Everlook, Winterspring",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
54,1,-4203.87011719,3284.0,-12.8599996567,"Transport, Feathermoon",,,,,,,,,,,,,,,,0xFF01FE,0,0,
55,1,-3147.38989258,-2842.17993164,34.6100006104,"Brackenwall Village, Dustwallow Marsh",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
56,0,-10456.9697266,-3279.25,21.3500003815,"Stonard, Swamp of Sorrows",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
57,1,8701.50976563,991.369995117,14.2100000381,"Fishing Village, Teldrassil",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
58,1,3374.70996094,996.969970703,5.19000005722,"Zoram'gar Outpost, Ashenvale",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
59,30,574.210021973,-46.6500015259,37.6100006104,"Dun Baldar, Alterac Valley",,,,,,,,,,,,,,,,0xFF01FE,0,541,
60,30,-1335.43994141,-319.690002441,90.6600036621,"Frostwolf Keep, Alterac Valley",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
61,1,2302.38989258,-2524.55004883,104.400001526,"Splintertree Post, Ashenvale",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
62,1,7793.60986328,-2403.4699707,489.320007324,"Nighthaven, Moonglade",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
63,1,7787.72021484,-2404.10009766,489.559997559,"Nighthaven, Moonglade",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
64,1,2721.98999023,-3880.63989258,100.870002747,"Talrendis Point, Azshara",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
65,1,6205.87988281,-1949.63000488,571.289978027,"Talonbranch Glade, Felwood",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
66,0,931.320007324,-1430.10998535,64.6699981689,"Chillwind Camp, Western Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,0,541,
67,0,2271.09008789,-5340.79980469,87.1100006104,"Light's Hope Chapel, Eastern Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,0,541,
68,0,2327.40991211,-5286.89013672,81.7799987793,"Light's Hope Chapel, Eastern Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
69,1,7470.39013672,-2123.37988281,492.339996338,"Moonglade",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
70,0,-7504.02978516,-2187.54003906,165.529998779,"Flame Crest, Burning Steppes",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
71,0,-8364.61035156,-2738.35009766,185.460006714,"Morgan's Vigil, Burning Steppes",,,,,,,,,,,,,,,,0xFF01FE,0,541,
72,1,-6811.39013672,836.739990234,49.8100013733,"Cenarion Hold, Silithus",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
73,1,-6761.83007813,772.030029297,88.9100036621,"Cenarion Hold, Silithus",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
74,0,-6552.58984375,-1168.27001953,309.309997559,"Thorium Point, Searing Gorge",,,,,,,,,,,,,,,,0xFF01FE,0,541,
75,0,-6554.93017578,-1100.05004883,309.570007324,"Thorium Point, Searing Gorge",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
76,0,-635.260009766,-4720.5,5.38000011444,"Revantusk Village, The Hinterlands",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
77,1,-2380.66992188,-1882.67004395,95.8499984741,"Camp Taurajo, The Barrens",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
78,0,3133.31005859,-3399.92993164,139.529998779,"Naxxramas",,,,,,,,,,,,,,,,0xFF01FE,0,0,
79,1,-6113.81982422,-1142.69995117,-187.630004883,"Marshal's Refuge, Un'Goro Crater",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
80,1,-894.590026855,-3773.01000977,11.4799995422,"Ratchet, The Barrens",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
81,131074,0.0,0.0,0.0,"Filming",,,,,,,,,,,,,,,,0xFF01FE,0,0,
82,530,9375.24023438,-7165.89013672,9.02999973297,"Silvermoon City",,,,,,,,,,,,,,,,0xFF01FE,19917,0,
83,530,7594.47021484,-6784.29003906,86.4599990845,"Tranquillien, Ghostlands",,,,,,,,,,,,,,,,0xFF01FE,19917,0,
84,0,2998.70996094,-3050.10009766,117.190002441,"Plaguewood Tower, Eastern Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,32942,32942,
85,0,3109.31005859,-4285.12988281,109.449996948,"Northpass Tower, Eastern Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,3574,541,
86,0,2499.22998047,-4742.85009766,93.5,"Eastwall Tower, Eastern Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,3574,541,
87,0,1857.56005859,-3658.4699707,143.729995728,"Crown Guard Tower, Eastern Plaguelands",,,,,,,,,,,,,,,,0xFF01FE,3574,541,
88,530,-4284.00976563,-11194.7402344,13.0100002289,"Transport, Exodar",,,,,,,,,,,,,,,,0xFF01FE,0,0,
89,0,0.0,0.0,0.0,"Transport, Theramore",,,,,,,,,,,,,,,,0xFF01FE,0,0,
90,9770568,0.0,0.0,0.0,"Transport, Undercity",,,,,,,,,,,,,,,,0xFF01FE,0,0,
91,530,-3996.01000977,-11892.9697266,0.219999998808,"Quest - Azuremyst Shaman Target",,,,,,,,,,,,,,,,0xFF01FE,0,0,
92,530,-3679.31005859,-11413.0400391,310.570007324,"Quest - Azuremyst Shaman Start",,,,,,,,,,,,,,,,0xFF01FE,0,0,
93,530,-1933.27001953,-11954.6103516,57.1899986267,"Blood Watch, Bloodmyst Isle",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
94,530,-4054.88989258,-11793.3496094,9.05000019073,"The Exodar",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
95,530,-146.289993286,5532.56005859,30.8899993896,"Zangarmarsh - Quest - As the Crow Flies",,,,,,,,,,,,,,,,0xFF01FE,17972,0,
96,530,-145.229995728,5533.02978516,30.9500007629,"Zangarmarsh - Quest - As the Crow Flies - End",,,,,,,,,,,,,,,,0xFF01FE,0,0,
97,530,-3968.37011719,-11929.1503906,-1.22000002861,"Quest - Elekk Path to Kessel",,,,,,,,,,,,,,,,0xFF01FE,0,18167,
98,530,-2662.30004883,-12144.5996094,16.9099998474,"Quest - Elekk to Kessel Target",,,,,,,,,,,,,,,,0xFF01FE,0,0,
99,530,228.5,2633.57006836,87.6699981689,"Thrallmar, Hellfire Peninsula",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
100,530,-673.41998291,2717.27001953,94.1800003052,"Honor Hold, Hellfire Peninsula",,,,,,,,,,,,,,,,0xFF01FE,0,541,
101,530,199.160003662,4241.56005859,121.75,"Temple of Telhamat, Hellfire Peninsula",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
102,530,-587.409973145,4101.00976563,91.3700027466,"Falcon Watch, Hellfire Peninsula",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
103,530,-1810.16003418,8032.10986328,-25.9500007629,"Nagrand - PvP - Attack Run Start 1 ",,,,,,,,,,,,,,,,0xFF01FE,18345,18345,
104,530,-1824.18005371,8049.29003906,-26.8500003815,"Nagrand - PvP - Attack Run End 1",,,,,,,,,,,,,,,,0xFF01FE,13161,13161,
105,530,-1513.40002441,8140.93017578,-19.6000003815,"Nagrand - PvP - Attack Run Start 2",,,,,,,,,,,,,,,,0xFF01FE,18345,18345,
106,530,-1511.26000977,8149.70996094,-18.5799999237,"Nagrand - PvP - Attack Run End 2",,,,,,,,,,,,,,,,0xFF01FE,541,541,
107,530,-1387.06994629,7782.41015625,-11.470000267,"Nagrand - PvP - Attack Run Start 3",,,,,,,,,,,,,,,,0xFF01FE,18345,18345,
108,530,-1376.7199707,7771.16992187,-10.0799999237,"Nagrand - PvP - Attack Run End 3",,,,,,,,,,,,,,,,0xFF01FE,541,541,
109,530,-1656.59997559,7724.91015625,-15.5900001526,"Nagrand - PvP - Attack Run Start 4",,,,,,,,,,,,,,,,0xFF01FE,18345,18345,
110,530,-1658.90002441,7724.70996094,-15.7899999619,"Nagrand - PvP - Attack Run End 4",,,,,,,,,,,,,,,,0xFF01FE,541,541,
111,530,9335.83007813,-7883.06982422,74.9100036621,"Eversong - Duskwither Teleport",,,,,,,,,,,,,,,,0xFF01FE,18392,18392,
112,530,9335.66992188,-7809.70996094,136.570007324,"Eversong - Duskwither Teleport End",,,,,,,,,,,,,,,,0xFF01FE,17972,17972,
113,530,-1544.35998535,8792.0703125,35.2200012207,"Quest - Nethrandamus Start",,,,,,,,,,,,,,,,0xFF01FE,18543,18543,
114,530,-1544.35998535,8792.08984375,35.2200012207,"Quest - Nethrandamus End Target",,,,,,,,,,,,,,,,0xFF01FE,0,0,
115,560,2384.72998047,1169.38000488,66.8600006104,"Quest - Caverns of Time OH - Begin",,,,,,,,,,,,,,,,0xFF01FE,18768,18768,
116,560,2014.65002441,239.649993896,68.5199966431,"Quest - Caverns of Time OH - End",,,,,,,,,,,,,,,,0xFF01FE,0,0,
117,530,213.75,6063.75,148.309997559,"Telredor, Zangarmarsh",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
118,530,219.449996948,7816.0,22.7199993134,"Zabra'jin, Zangarmarsh",,,,,,,,,,,,,,,,0xFF01FE,2224,2224,
119,530,-2729.0,7305.29980469,88.6399993896,"Telaar, Nagrand",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
120,530,-1261.08996582,7133.39013672,57.3400001526,"Garadar, Nagrand",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
121,530,-2987.23999023,3872.7800293,9.13000011444,"Allerian Stronghold, Terokkar Forest",,,,,,,,,,,,,,,,0xFF01FE,0,541,
122,530,3082.31005859,3596.11010742,144.020004272,"Area 52, Netherstorm",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
123,530,-3018.62011719,2557.09008789,79.0899963379,"Shadowmoon Village, Shadowmoon Valley",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
124,530,-3982.07006836,2156.4699707,105.150001526,"Wildhammer Stronghold, Shadowmoon Valley",,,,,,,,,,,,,,,,0xFF01FE,0,541,
125,530,2183.64990234,6794.45996094,183.279998779,"Sylvanaar, Blade's Edge Mountains",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
126,530,2446.37011719,6020.93017578,154.339996338,"Thunderlord Stronghold, Blade's Edge Mountains",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
127,530,-2567.33007813,4423.83007813,39.3300018311,"Stonebreaker Hold, Terokkar Forest",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
128,530,-1837.22998047,5301.89990234,-12.4300003052,"Shattrath, Terokkar Forest",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
129,530,-327.350006104,1020.48999023,54.25,"Hellfire Peninsula, The Dark Portal, Alliance",,,,,,,,,,,,,,,,0xFF01FE,0,541,
130,530,-178.089996338,1026.7199707,54.1899986267,"Hellfire Peninsula, The Dark Portal, Horde",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
131,530,-25.5100002289,2133.44995117,112.599998474,"Quest - Horde Hellfire Start",,,,,,,,,,,,,,,,0xFF01FE,19275,18376,
132,530,-25.6000003815,2133.39990234,112.580001831,"Quest - Horde Hellfire End",,,,,,,,,,,,,,,,0xFF01FE,19275,0,
133,530,-673.729980469,1855.29003906,68.9700012207,"Quest - Hellfire Peninsula (Alliance Path) Start",,,,,,,,,,,,,,,,0xFF01FE,19324,19324,
134,530,-673.75,1855.31994629,68.9599990845,"Quest - Hellfire Peninsula (Alliance) End",,,,,,,,,,,,,,,,0xFF01FE,19324,19324,
135,530,-27.6499996185,2126.57006836,111.849998474,"Quest - Hellfire, Aerial Mission (Horde) Start",,,,,,,,,,,,,,,,0xFF01FE,19275,19324,
136,530,-27.5200004578,2126.5,111.879997253,"Quest - Hellfire, Aerial Mission (Horde) End",,,,,,,,,,,,,,,,0xFF01FE,19275,19324,
137,530,298.5,1501.26000977,-14.279999733,"Quest - Hellfire, Aerial Mission (Alliance) Start",,,,,,,,,,,,,,,,0xFF01FE,19275,19324,
138,530,298.589996338,1501.13000488,-14.25,"Quest - Hellfire, Aerial Mission (Alliance) End",,,,,,,,,,,,,,,,0xFF01FE,19275,19324,
139,530,4157.58007813,2959.68994141,352.079986572,"The Stormspire, Netherstorm",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
140,530,-3065.60009766,749.41998291,-10.1000003815,"Altar of Sha'tar, Shadowmoon Valley",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
141,530,-1316.83996582,2358.62011719,88.9599990845,"Spinebreaker Ridge, Hellfire Peninsula",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
142,530,-29.1599998474,2125.7199707,111.470001221,"Hellfire Peninsula - Reaver's Fall",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
143,1,-8360.73046875,-4327.72998047,-208.330001831,"Quest - Caverns of Time (Intro Flight Path) (End)",,,,,,,,,,,,,,,,0xFF01FE,16081,16081,
144,1,-8162.00976562,-4796.22998047,35.7799987793,"Quest - Caverns of Time (Intro Flight Path) (Start)",,,,,,,,,,,,,,,,0xFF01FE,18768,18768,
145,530,3079.01000977,3599.08007813,144.070007324,"Quest - Netherstorm - Stealth Flight - Begin",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
146,530,2235.34008789,2793.77001953,128.029998779,"Quest - Netherstorm - Stealth Flight - End",,,,,,,,,,,,,,,,0xFF01FE,0,0,
147,530,509.170013428,1988.68994141,109.620002747,"Hellfire Peninsula - Force Camp Beach Head",,,,,,,,,,,,,,,,0xFF01FE,0,19324,
148,530,298.459991455,1501.18005371,-14.279999733,"Shatter Point, Hellfire Peninsula (Beach Assault)",,,,,,,,,,,,,,,,0xFF01FE,0,19324,
149,530,276.200012207,1486.91003418,-15.1000003815,"Shatter Point, Hellfire Peninsula",,,,,,,,,,,,,,,,0xFF01FE,0,541,
150,530,2974.94995117,1848.23999023,141.279998779,"Cosmowrench, Netherstorm",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
151,530,91.6699981689,5214.91992188,23.1000003815,"Swamprat Post, Zangarmarsh",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
152,530,4262.39013672,2136.91992188,139.440002441,"Quest - Netherstorm - Manaforge Ultris (Start)",,,,,,,,,,,,,,,,0xFF01FE,20903,20903,
153,530,4266.70019531,2133.37988281,138.820007324,"Quest - Netherstorm - Manaforge Ultris (End)",,,,,,,,,,,,,,,,0xFF01FE,20903,20903,
154,0,20047.8808594,5200.68994141,19742.7792969,"Quest - Netherstorm - Manaforge Ultris (Second Pass) Start",,,,,,,,,,,,,,,,0xFF01FE,20903,20903,
155,530,4267.14013672,2133.0300293,138.770004272,"Quest - Netherstorm - Manaforge Ultris (Second Pass) End",,,,,,,,,,,,,,,,0xFF01FE,0,0,
156,530,1857.34997559,5531.87011719,277.010009766,"Toshley's Station, Blade's Edge Mountains",,,,,,,,,,,,,,,,0xFF01FE,0,541,
157,530,2277.73999023,5983.35009766,142.600006104,"Quest - Blade's Edge - Vision Guide - Start",,,,,,,,,,,,,,,,0xFF01FE,21396,0,
158,530,2278.56005859,5983.70996094,142.570007324,"Quest - Blade's Edge - Vision Guide - End",,,,,,,,,,,,,,,,0xFF01FE,0,0,
159,530,-4073.16992188,1123.60998535,42.4700012207,"Sanctum of the Stars, Shadowmoon Valley",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
160,530,2976.01000977,5501.12988281,143.669998169,"Evergrove, Blade's Edge Mountains",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
161,654135852,0.0,0.0,0.0,"Quest - Nether Dragon Ally - Start",,,,,,,,,,,,,,,,0xFF01FE,22360,22360,
162,530,-4100.27001953,950.380004883,22.1100006104,"Quest - Nether Dragon Ally - End",,,,,,,,,,,,,,,,0xFF01FE,0,0,
163,530,2028.79003906,4705.27001953,150.509994507,"Mok'Nathal Village, Blade's Edge Mountains",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
164,530,966.66998291,7399.16015625,29.1399993896,"Orebor Harborage, Zangarmarsh",,,,,,,,,,,,,,,,0xFF01FE,3837,3837,
165,3,0.0,0.0,0.0,"Transport, Northrend 2",,,,,,,,,,,,,,,,0xFF01FE,0,0,
166,1,3978.73999023,-1316.42004395,250.11000061,"Emerald Sanctuary, Felwood",,,,,,,,,,,,,,,,0xFF01FE,2224,3837,
167,1,3000.25,-3202.40991211,189.770004272,"Forest Song, Ashenvale",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
168,0,-9441.1796875,65.0500030518,56.1800003052,"Filming",,,,,,,,,,,,,,,,0xFF01FE,0,3837,
169,530,-5224.52978516,631.849975586,48.3600006104,"Quest - Netherwing Ledge - Mine Cart Ride - South - Start",,,,,,,,,,,,,,,,0xFF01FE,23372,23372,
170,530,-5185.70996094,172.949996948,-11.5699996948,"Quest - Netherwing Ledge - Mine Cart Ride - South - End",,,,,,,,,,,,,,,,0xFF01FE,23289,23289,
171,530,-3364.67993164,3650.17993164,284.779998779,"Skettis",,,,,,,,,,,,,,,,0xFF01FE,23422,23422,
172,530,2531.10009766,7322.08984375,373.640014648,"Ogri'La",,,,,,,,,,,,,,,,0xFF01FE,23422,23422,
173,530,-5141.35986328,620.109985352,82.6999969482,"Quest - Yarzill Flight Start",,,,,,,,,,,,,,,,0xFF01FE,23468,23468,
174,530,-1636.08996582,5275.87011719,-41.0999984741,"Quest - Yarzill Flight Start End",,,,,,,,,,,,,,,,0xFF01FE,0,0,
175,571,784.890014648,-5066.18017578,-7.88000011444,"Transport, Howling Fjord",,,,,,,,,,,,,,,,0xFF01FE,0,0,
176,571,245.36000061,-3309.19995117,0.910000026226,"Quest - Howling Fjord Tauren Canoe (Start)",,,,,,,,,,,,,,,,0xFF01FE,23518,23518,
177,571,-147.470001221,-3587.36010742,0.340000003576,"Quest - Howling Fjord Tauren Canoe (End)",,,,,,,,,,,,,,,,0xFF01FE,23518,23518,
178,3,0.0,0.0,0.0,"Transport, Borean Tundra",,,,,,,,,,,,,,,,0xFF01FE,0,0,
179,1,-4566.22998047,-3226.05004883,34.7000007629,"Mudsprocket, Dustwallow Marsh",,,,,,,,,,,,,,,,0xFF01FE,2224,541,
180,1,-3822.65991211,-4511.33007813,10.8400001526,"Quest - Dustwallow - Alcaz Survey Start",,,,,,,,,,,,,,,,0xFF01FE,0,541,
181,1,-3822.70996094,-4509.64990234,10.9799995422,"Quest - Dustwallow - Alcaz Survey End",,,,,,,,,,,,,,,,0xFF01FE,0,541,
182,571,1415.89001465,-3082.48999023,121.910003662,"Quest - Howling Fjord - Break the Blockade Zeppelin",,,,,,,,,,,,,,,,0xFF01FE,0,0,
183,571,567.409973145,-5010.97021484,11.5,"Valgarde Port, Howling Fjord",,,,,,,,,,,,,,,,0xFF01FE,0,541,
184,571,2468.77001953,-5029.81982422,283.489990234,"Fort Wildervar, Howling Fjord",,,,,,,,,,,,,,,,0xFF01FE,0,541,
185,571,1342.83996582,-3287.89990234,174.449996948,"Westguard Keep, Howling Fjord",,,,,,,,,,,,,,,,0xFF01FE,0,541,
186,571,1911.81994629,-6179.06982422,24.6100006104,"Quest - Howling Fjord - Flight to the Windrunner - Start",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
187,571,1652.82995605,-6512.10986328,18.4799995422,"Quest - Howling Fjord - Flight to the Windrunner - End",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
188,571,1912.7800293,-6178.81005859,24.6399993896,"Quest - Howling Fjord - Test at Sea - Start",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
189,571,1913.90002441,-6177.87011719,24.6200008392,"Quest - Howling Fjord - Test at Sea - End",,,,,,,,,,,,,,,,0xFF01FE,0,0,
190,571,401.119995117,-4544.29980469,244.539993286,"New Agamand, Howling Fjord",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
191,571,1918.59997559,-6175.89013672,24.4099998474,"Vengeance Landing, Howling Fjord",,,,,,,,,,,,,,,,0xFF01FE,3574,0,
192,571,2652.88989258,-4392.70996094,283.320007324,"Camp Winterhoof, Howling Fjord",,,,,,,,,,,,,,,,0xFF01FE,2224,0,
193,571,1341.43994141,-3288.57006836,174.449996948,"Quest - Howling Fjord - Mission: Plague This! - End",,,,,,,,,,,,,,,,0xFF01FE,0,541,
194,571,1341.07995605,-3288.37011719,174.449996948,"Quest - Howling Fjord - Mission: Plague This! - Start",,,,,,,,,,,,,,,,0xFF01FE,0,541,
