long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
123,"Mirror Lake Waterfall",,,,,,,,,,,,,,,,0xFF01FE,
143,"Talon Den",,,,,,,,,,,,,,,,0xFF01FE,
163,"Xavian Waterfall",,,,,,,,,,,,,,,,0xFF01FE,
164,"Stone of Outer Binding",,,,,,,,,,,,,,,,0xFF01FE,
183,"Mana Rift Disturbance",,,,,,,,,,,,,,,,0xFF01FE,
203,"Orgrimmar Summoning Circle",,,,,,,,,,,,,,,,0xFF01FE,
223,"Wrathscale Fountain",,,,,,,,,,,,,,,,0xFF01FE,
224,"Quilboar Watering Hole",,,,,,,,,,,,,,,,0xFF01FE,
225,"Water Purity - Silverpine",,,,,,,,,,,,,,,,0xFF01FE,
226,"Spring Well",,,,,,,,,,,,,,,,0xFF01FE,
243,"Temple of the Moon Fountain",,,,,,,,,,,,,,,,0xFF01FE,
263,"Jintha'Alor Altar",,,,,,,,,,,,,,,,0xFF01FE,
264,"Pirate Ship Bilge",,,,,,,,,,,,,,,,0xFF01FE,
283,"Equinex Monolith",,,,,,,,,,,,,,,,0xFF01FE,
303,"Witherbark Village",,,,,,,,,,,,,,,,0xFF01FE,
304,"Shadra'Alor Altar",,,,,,,,,,,,,,,,0xFF01FE,
323,"Sandsorrow Watch Water Hole",,,,,,,,,,,,,,,,0xFF01FE,
343,"Hatetalon Stones",,,,,,,,,,,,,,,,0xFF01FE,
363,"Echeyakee's Lair",,,,,,,,,,,,,,,,0xFF01FE,
383,"The Dead Tree",,,,,,,,,,,,,,,,0xFF01FE,
403,"Makeshift Helipad",,,,,,,,,,,,,,,,0xFF01FE,
423,"Circle of Aquementas",,,,,,,,,,,,,,,,0xFF01FE,
424,"Sanctum of the Fallen God",,,,,,,,,,,,,,,,0xFF01FE,
443,"the First Tide Pool",,,,,,,,,,,,,,,,0xFF01FE,
444,"the Second Tide Pool",,,,,,,,,,,,,,,,0xFF01FE,
445,"the Third Tide Pool",,,,,,,,,,,,,,,,0xFF01FE,
446,"the Fourth Tide Pool",,,,,,,,,,,,,,,,0xFF01FE,
463,"Gorishi Hive Hatchery",,,,,,,,,,,,,,,,0xFF01FE,
483,"Miblon Snarltooth",,,,,,,,,,,,,,,,0xFF01FE,
503,"Gadgetzan Graveyard",,,,,,,,,,,,,,,,0xFF01FE,
523,"the ruins of Irontree Woods",,,,,,,,,,,,,,,,0xFF01FE,
543,"Black Forge",,,,,,,,,,,,,,,,0xFF01FE,
563,"Golakka Crater",,,,,,,,,,,,,,,,0xFF01FE,
583,"Tomb of the Seven",,,,,,,,,,,,,,,,0xFF01FE,
603,"Flat Un'Goro Rock",,,,,,,,,,,,,,,,0xFF01FE,
604,"Preserved Threshadon Carcass",,,,,,,,,,,,,,,,0xFF01FE,
623,"Black Anvil",,,,,,,,,,,,,,,,0xFF01FE,
643,"Gorishi Silithid Crystal",,,,,,,,,,,,,,,,0xFF01FE,
644,"Corrupted Moonwell",,,,,,,,,,,,,,,,0xFF01FE,
663,"Alchemy Lab",,,,,,,,,,,,,,,,0xFF01FE,
683,"Unforged Seal of Ascension",,,,,,,,,,,,,,,,0xFF01FE,
703,"Auberdine Moonwell",,,,,,,,,,,,,,,,0xFF01FE,
704,"Blackwood Furbolg North Bonfire",,,,,,,,,,,,,,,,0xFF01FE,
705,"Cliffspring River Waterfall",,,,,,,,,,,,,,,,0xFF01FE,
723,"Fire Plume Ridge Hot Spot",,,,,,,,,,,,,,,,0xFF01FE,
743,"Urok's Tribute Pile",,,,,,,,,,,,,,,,0xFF01FE,
763,"Andorhal Silo Temporal Rift",,,,,,,,,,,,,,,,0xFF01FE,
783,"Stone of Shy-Rotam",,,,,,,,,,,,,,,,0xFF01FE,
803,"Sacred Fire of Life",,,,,,,,,,,,,,,,0xFF01FE,
804,"Scarlet Crusade Forward Camp",,,,,,,,,,,,,,,,0xFF01FE,
805,"Andorhal Tower",,,,,,,,,,,,,,,,0xFF01FE,
823,"Scholomance Viewing Room",,,,,,,,,,,,,,,,0xFF01FE,
843,"the Jaedenar Corrupt Moon Well",,,,,,,,,,,,,,,,0xFF01FE,
863,"Umi's Friend",,,,,,,,,,,,,,,,0xFF01FE,
883,"Moonwell",,,,,,,,,,,,,,,,0xFF01FE,
903,"Fire Plume Ridge Lava Lake",,,,,,,,,,,,,,,,0xFF01FE,
923,"the crate in the center of the Northridge Lumber Mill",,,,,,,,,,,,,,,,0xFF01FE,
943,"Moonkin Stone",,,,,,,,,,,,,,,,0xFF01FE,
944,"Darrowshire Town Square",,,,,,,,,,,,,,,,0xFF01FE,
963,"Bright Light Beam",,,,,,,,,,,,,,,,0xFF01FE,
983,"Mark of Detonation",,,,,,,,,,,,,,,,0xFF01FE,
1003,"Cliffspring Falls Cave Mouth",,,,,,,,,,,,,,,,0xFF01FE,
1004,"Dreadmist Peak Pool",,,,,,,,,,,,,,,,0xFF01FE,
1023,"The Dead Goliaths",,,,,,,,,,,,,,,,0xFF01FE,
1043,"Shrine of Remulos",,,,,,,,,,,,,,,,0xFF01FE,
1063,"Foulweald Totem Mound",,,,,,,,,,,,,,,,0xFF01FE,
1083,"Dire Pool",,,,,,,,,,,,,,,,0xFF01FE,
1103,"Maraudon Portal",,,,,,,,,,,,,,,,0xFF01FE,
1123,"Horde Globe of Scrying",,,,,,,,,,,,,,,,0xFF01FE,
1143,"Eastern Crater",,,,,,,,,,,,,,,,0xFF01FE,
1144,"Western Crater",,,,,,,,,,,,,,,,0xFF01FE,
1145,"Snowfall Graveyard",,,,,,,,,,,,,,,,0xFF01FE,
1163,"Alliance Globe of Scrying",,,,,,,,,,,,,,,,0xFF01FE,
1164,"Dun Baldar Courtyard",,,,,,,,,,,,,,,,0xFF01FE,
1165,"Frostwolf Keep Courtyard",,,,,,,,,,,,,,,,0xFF01FE,
1183,"Snowfall Graveyard",,,,,,,,,,,,,,,,0xFF01FE,
1184,"East Crater",,,,,,,,,,,,,,,,0xFF01FE,
1185,"West Crater",,,,,,,,,,,,,,,,0xFF01FE,
1203,"Orange Crystal Pool",,,,,,,,,,,,,,,,0xFF01FE,
1223,"Onyxia's Flame Breath",,,,,,,,,,,,,,,,0xFF01FE,
1243,"Kroshius' Remains",,,,,,,,,,,,,,,,0xFF01FE,
1263,"Pedestal of Immol'thar",,,,,,,,,,,,,,,,0xFF01FE,
1264,"Circle of Dark Summoning",,,,,,,,,,,,,,,,0xFF01FE,
1283,"The Great Ossuary",,,,,,,,,,,,,,,,0xFF01FE,
1284,"Terrordale Haunting Spirit",,,,,,,,,,,,,,,,0xFF01FE,
1303,"Aerie Peak Town Center",,,,,,,,,,,,,,,,0xFF01FE,
1323,"Uther's Tomb Statue",,,,,,,,,,,,,,,,0xFF01FE,
1324,"Grom's Monument",,,,,,,,,,,,,,,,0xFF01FE,
1343,"Pagle's Pointe",,,,,,,,,,,,,,,,0xFF01FE,
1344,"Altar of Zanza",,,,,,,,,,,,,,,,0xFF01FE,
1345,"Southshore",,,,,,,,,,,,,,,,0xFF01FE,
1346,"Bones of Grakkarond",,,,,,,,,,,,,,,,0xFF01FE,
1347,"Forsaken Stink Bomb",,,,,,,,,,,,,,,,0xFF01FE,
1348,"Drop-Off Point",,,,,,,,,,,,,,,,0xFF01FE,
1349,"Swirling Maelstrom",,,,,,,,,,,,,,,,0xFF01FE,
1350,"High Chief Winterfall's Cave",,,,,,,,,,,,,,,,0xFF01FE,
1351,"Firework Launcher",,,,,,,,,,,,,,,,0xFF01FE,
1352,"Cluster Launcher",,,,,,,,,,,,,,,,0xFF01FE,
1353,"Greater Moonlight",,,,,,,,,,,,,,,,0xFF01FE,
1354,"Voone's Chamber",,,,,,,,,,,,,,,,0xFF01FE,
1355,"Alzzin's Chamber",,,,,,,,,,,,,,,,0xFF01FE,
1356,"The Crimson Throne",,,,,,,,,,,,,,,,0xFF01FE,
1357,"Ras Frostwhisper's Chamber",,,,,,,,,,,,,,,,0xFF01FE,
1358,"The Beast's Chamber",,,,,,,,,,,,,,,,0xFF01FE,
1359,"Haunted Locus",,,,,,,,,,,,,,,,0xFF01FE,
1360,"Blackrock Depths Arena",,,,,,,,,,,,,,,,0xFF01FE,
1361,"[PH] Crystal Corpse",,,,,,,,,,,,,,,,0xFF01FE,
1362,"Icebellow Anvil",,,,,,,,,,,,,,,,0xFF01FE,
1363,"Eversong Runestone",,,,,,,,,,,,,,,,0xFF01FE,
1364,"Consecrated Earth",,,,,,,,,,,,,,,,0xFF01FE,
1365,"Midsummer Bonfire",,,,,,,,,,,,,,,,0xFF01FE,
1366,"Maypole",,,,,,,,,,,,,,,,0xFF01FE,
1367,"Altar of Aggonar",,,,,,,,,,,,,,,,0xFF01FE,
1368,"Bones of Aggonar",,,,,,,,,,,,,,,,0xFF01FE,
1369,"School of Red Snapper",,,,,,,,,,,,,,,,0xFF01FE,
1370,"Krun Spinebreaker's Corpse",,,,,,,,,,,,,,,,0xFF01FE,
1371,"Thalanaar Moonwell",,,,,,,,,,,,,,,,0xFF01FE,
1372,"Concealed Control Panel",,,,,,,,,,,,,,,,0xFF01FE,
1373,"Altar of Naias",,,,,,,,,,,,,,,,0xFF01FE,
1374,"Discreet Location",,,,,,,,,,,,,,,,0xFF01FE,
1375,"Rune of Summoning",,,,,,,,,,,,,,,,0xFF01FE,
1376,"Fel Brazier",,,,,,,,,,,,,,,,0xFF01FE,
1377,"you to be in Traitor's Cove while the Naga Flag is up.",,,,,,,,,,,,,,,,0xFF01FE,
1378,"Sedai's Corpse",,,,,,,,,,,,,,,,0xFF01FE,
1379,"Nazzivus Monument",,,,,,,,,,,,,,,,0xFF01FE,
1380,"Impact Site Crystal",,,,,,,,,,,,,,,,0xFF01FE,
1381,"Altered Bloodmyst Crystal",,,,,,,,,,,,,,,,0xFF01FE,
1382,"Axxarien Crystal",,,,,,,,,,,,,,,,0xFF01FE,
1383,"the southern end of the Master's Terrace",,,,,,,,,,,,,,,,0xFF01FE,
1384,"Medivh's Telescope",,,,,,,,,,,,,,,,0xFF01FE,
1385,"Alonsus Chapel Eternal Flame",,,,,,,,,,,,,,,,0xFF01FE,
1386,"Bloodmyst Waterfall",,,,,,,,,,,,,,,,0xFF01FE,
1387,"Steam Pump Controls",,,,,,,,,,,,,,,,0xFF01FE,
1388,"Windyreed Hut",,,,,,,,,,,,,,,,0xFF01FE,
1389,"Earthen Brand",,,,,,,,,,,,,,,,0xFF01FE,
1390,"Underground Water Source",,,,,,,,,,,,,,,,0xFF01FE,
1391,"Boha'mu Ruins Stairs",,,,,,,,,,,,,,,,0xFF01FE,
1392,"Daggerfen Rock",,,,,,,,,,,,,,,,0xFF01FE,
1393,"Burning Blade pyre in the Burning Blade Ruins.",,,,,,,,,,,,,,,,0xFF01FE,
1394,"Ysiel's Balcony",,,,,,,,,,,,,,,,0xFF01FE,
1395,"Blazing Warmaul Pyre",,,,,,,,,,,,,,,,0xFF01FE,
1396,"Veil Shalas Totem",,,,,,,,,,,,,,,,0xFF01FE,
1397,"Trampled Skeleton",,,,,,,,,,,,,,,,0xFF01FE,
1398,"Alliance Cannon",,,,,,,,,,,,,,,,0xFF01FE,
1399,"Horde Blade Thrower",,,,,,,,,,,,,,,,0xFF01FE,
1400,"Legion Antenna",,,,,,,,,,,,,,,,0xFF01FE,
1401,"Scorched Grove Runestone",,,,,,,,,,,,,,,,0xFF01FE,
1402,"Bookcase",,,,,,,,,,,,,,,,0xFF01FE,
1403,"Weapon Rack",,,,,,,,,,,,,,,,0xFF01FE,
1404,"Dresser",,,,,,,,,,,,,,,,0xFF01FE,
1405,"Footlocker",,,,,,,,,,,,,,,,0xFF01FE,
1406,"Ruined Alliance Siege Tower",,,,,,,,,,,,,,,,0xFF01FE,
1407,"Uncontrolled Scrap Reaver X6000",,,,,,,,,,,,,,,,0xFF01FE,
1408,"Kirin'Var Rune",,,,,,,,,,,,,,,,0xFF01FE,
1409,"Archmage Vargoth's Orb",,,,,,,,,,,,,,,,0xFF01FE,
1410,"Elrendar Falls",,,,,,,,,,,,,,,,0xFF01FE,
1411,"Dragon Skeleton",,,,,,,,,,,,,,,,0xFF01FE,
1412,"Ethereal Teleport Pad",,,,,,,,,,,,,,,,0xFF01FE,
1413,"Arklon Brazier",,,,,,,,,,,,,,,,0xFF01FE,
1414,"Void Stone",,,,,,,,,,,,,,,,0xFF01FE,
1415,"Manaforge B'naar Pipe",,,,,,,,,,,,,,,,0xFF01FE,
1416,"Draenei Banner",,,,,,,,,,,,,,,,0xFF01FE,
1417,"Earthbinder's Circle",,,,,,,,,,,,,,,,0xFF01FE,
1418,"Salhadaar's Power Conduit",,,,,,,,,,,,,,,,0xFF01FE,
1419,"Socrethar's Teleporter",,,,,,,,,,,,,,,,0xFF01FE,
1420,"Eco-Dome Sutheron Generator",,,,,,,,,,,,,,,,0xFF01FE,
1421,"you to be closer to Manaforge Ultris",,,,,,,,,,,,,,,,0xFF01FE,
1422,"Northmaul Tower",,,,,,,,,,,,,,,,0xFF01FE,
1423,"Altar of Shadows",,,,,,,,,,,,,,,,0xFF01FE,
1424,"Shadowmoon Tuber Mound",,,,,,,,,,,,,,,,0xFF01FE,
1425,"Rokgah Bloodgrip",,,,,,,,,,,,,,,,0xFF01FE,
1426,"Mana Loom",,,,,,,,,,,,,,,,0xFF01FE,
1427,"Ancient Draenei Altar",,,,,,,,,,,,,,,,0xFF01FE,
1428,"Ogre Building Entrance",,,,,,,,,,,,,,,,0xFF01FE,
1429,"Blade's Edge Arakkoa Circle",,,,,,,,,,,,,,,,0xFF01FE,
1430,"Lashh'an Spell Circle",,,,,,,,,,,,,,,,0xFF01FE,
1431,"Vekh'nir Circle of Power",,,,,,,,,,,,,,,,0xFF01FE,
1432,"you to be at the end of the bridge.",,,,,,,,,,,,,,,,0xFF01FE,
1433,"Torgos's Bane",,,,,,,,,,,,,,,,0xFF01FE,
1434,"Vekh'nir Spell Circle",,,,,,,,,,,,,,,,0xFF01FE,
1435,"you to be standing next to Gul'dan at the Altar of Damnation.",,,,,,,,,,,,,,,,0xFF01FE,
1436,"Legion Hold Teleporter",,,,,,,,,,,,,,,,0xFF01FE,
1437,"Ruuan'ok Oracle Circle",,,,,,,,,,,,,,,,0xFF01FE,
1438,"Legion Communication Device",,,,,,,,,,,,,,,,0xFF01FE,
1439,"Foreman Razelcraz",,,,,,,,,,,,,,,,0xFF01FE,
1440,"Portal at Marshlight Lake",,,,,,,,,,,,,,,,0xFF01FE,
1441,"Blade's Edge - Quest - Bird Spying",,,,,,,,,,,,,,,,0xFF01FE,
1442,"Malukaz's Candles",,,,,,,,,,,,,,,,0xFF01FE,
1443,"Bleeding Hollow Forge",,,,,,,,,,,,,,,,0xFF01FE,
1444,"Marmot Den",,,,,,,,,,,,,,,,0xFF01FE,
1445,"Gehenna Teleporter",,,,,,,,,,,,,,,,0xFF01FE,
1446,"Force Commander Gorax's Corpse",,,,,,,,,,,,,,,,0xFF01FE,
1447,"Zeth'Gor Tower",,,,,,,,,,,,,,,,0xFF01FE,
1448,"Unguarded Summoning Site",,,,,,,,,,,,,,,,0xFF01FE,
1449,"Locked Wyvern Cage",,,,,,,,,,,,,,,,0xFF01FE,
1450,"Gorgrom's Corpse",,,,,,,,,,,,,,,,0xFF01FE,
1451,"Death's Door Fel Cannon",,,,,,,,,,,,,,,,0xFF01FE,
1452,"Writhing Mound Summoning Circle",,,,,,,,,,,,,,,,0xFF01FE,
1453,"Altar of Goc and that Goc has not been summoned",,,,,,,,,,,,,,,,0xFF01FE,
1454,"The Raven's Claw",,,,,,,,,,,,,,,,0xFF01FE,
1455,"Arakkoa Shrine",,,,,,,,,,,,,,,,0xFF01FE,
1456,"Soulgrinder's Altar",,,,,,,,,,,,,,,,0xFF01FE,
1457,"Shartuul's Transporter Platform",,,,,,,,,,,,,,,,0xFF01FE,
1458,"Shipwreck Debris",,,,,,,,,,,,,,,,0xFF01FE,
1459,"Blackhoof Village Windmill",,,,,,,,,,,,,,,,0xFF01FE,
1460,"Grimtotem Tent",,,,,,,,,,,,,,,,0xFF01FE,
1461,"Hyal Family Monument",,,,,,,,,,,,,,,,0xFF01FE,
1462,"Burning Troll Hut",,,,,,,,,,,,,,,,0xFF01FE,
1463,"Entrance to Onyxia's Lair",,,,,,,,,,,,,,,,0xFF01FE,
1464,"Swamplight Manor Dock",,,,,,,,,,,,,,,,0xFF01FE,
1465,"The Wyrmcaller's Platform",,,,,,,,,,,,,,,,0xFF01FE,
1466,"Shattered Strand Cannon",,,,,,,,,,,,,,,,0xFF01FE,
1467,"cannon on northern Alliance wall.",,,,,,,,,,,,,,,,0xFF01FE,
1468,"The Thane's Pyre",,,,,,,,,,,,,,,,0xFF01FE,
1469,"Frozen Waterfall",,,,,,,,,,,,,,,,0xFF01FE,
1470,"proximity to plaguehound cages at Vengeance Landing.",,,,,,,,,,,,,,,,0xFF01FE,
1471,"Standing at the Booth Counter",,,,,,,,,,,,,,,,0xFF01FE,
1472,"Cauldron of Vrykul Blood.",,,,,,,,,,,,,,,,0xFF01FE,
1473,"Harris's Plague Samples.",,,,,,,,,,,,,,,,0xFF01FE,
1474,"you to be closer to plaguehound cages.",,,,,,,,,,,,,,,,0xFF01FE,
1475,"Broken Tablet",,,,,,,,,,,,,,,,0xFF01FE,
1476,"Sunken Boat",,,,,,,,,,,,,,,,0xFF01FE,
1477,"Center of Baleheim",,,,,,,,,,,,,,,,0xFF01FE,
1478,"Brewfest - Mug Request",,,,,,,,,,,,,,,,0xFF01FE,
1479,"Walt's Transport Rune",,,,,,,,,,,,,,,,0xFF01FE,
1480,"Iron Dwarf Transport Rune",,,,,,,,,,,,,,,,0xFF01FE,
1481,"Ley Lines of Quel'Danas",,,,,,,,,,,,,,,,0xFF01FE,
1482,"Razorthorn Dirt Mound",,,,,,,,,,,,,,,,0xFF01FE,
1483,"Crystal Ward",,,,,,,,,,,,,,,,0xFF01FE,
1484,"Legion Teleporter",,,,,,,,,,,,,,,,0xFF01FE,
1485,"Hauthaa's Anvil",,,,,,,,,,,,,,,,0xFF01FE,
1486,"Vrykul Burial Mound",,,,,,,,,,,,,,,,0xFF01FE,
1487,"Westrift Seismic Anomaly",,,,,,,,,,,,,,,,0xFF01FE,
1488,"JSB - Reuse post 2.4.0",,,,,,,,,,,,,,,,0xFF01FE,
1489,"Nerub'ar Sinkhole",,,,,,,,,,,,,,,,0xFF01FE,
1490,"Snarlfang's Totem",,,,,,,,,,,,,,,,0xFF01FE,
1491,"En'kilah Cauldron",,,,,,,,,,,,,,,,0xFF01FE,
1492,"you to be at or near the front of a Kvaldir ship.",,,,,,,,,,,,,,,,0xFF01FE,
1493,"you to be standing at the end of Warsong Jetty.",,,,,,,,,,,,,,,,0xFF01FE,
1494,"Imprisoned Beryl Sorcerer",,,,,,,,,,,,,,,,0xFF01FE,
1495,"Beryl Force Shield",,,,,,,,,,,,,,,,0xFF01FE,
1496,"Den of Dying Plague Cauldron",,,,,,,,,,,,,,,,0xFF01FE,
1497,"South Sinkhole",,,,,,,,,,,,,,,,0xFF01FE,
1498,"you to be at the crossroads, east of Warsong Hold with an Alliance Deserter in tow.",,,,,,,,,,,,,,,,0xFF01FE,
1499,"you to be standing next to Bloodmage Laurith at the Bloodspore Plains.",,,,,,,,,,,,,,,,0xFF01FE,
1500,"Shattered Sun Portal",,,,,,,,,,,,,,,,0xFF01FE,
1501,"Shattered Sun Portal",,,,,,,,,,,,,,,,0xFF01FE,
1502,"Crashed Flying Machine",,,,,,,,,,,,,,,,0xFF01FE,
1503,"Geyser Fields Steam Vent",,,,,,,,,,,,,,,,0xFF01FE,
1504,"Nexus Dimensional Rift",,,,,,,,,,,,,,,,0xFF01FE,
1505,"Farshire Grain",,,,,,,,,,,,,,,,0xFF01FE,
1506,"Saragosa's Landing",,,,,,,,,,,,,,,,0xFF01FE,
1507,"proximity to a Scourge sinkhole.",,,,,,,,,,,,,,,,0xFF01FE,
1508,"Northwest Nexus Entrance",,,,,,,,,,,,,,,,0xFF01FE,
1509,"Drakuru's Brazier",,,,,,,,,,,,,,,,0xFF01FE,
1510,"East End of Thor Modan Tunnel",,,,,,,,,,,,,,,,0xFF01FE,
1511,"Tua'kea's Fishing Hook",,,,,,,,,,,,,,,,0xFF01FE,
1512,"Toalu'u's Brazier",,,,,,,,,,,,,,,,0xFF01FE,
1513,"Fizzcrank Practice Parachute Zone",,,,,,,,,,,,,,,,0xFF01FE,
1514,"Fizzcrank Paratrooper Teleporter",,,,,,,,,,,,,,,,0xFF01FE,
1515,"Ley Line Focus on the Beach",,,,,,,,,,,,,,,,0xFF01FE,
1516,"Ley Line Focus in the Lothalor Woodlands",,,,,,,,,,,,,,,,0xFF01FE,
1517,"Ley Line Focus Under the Lake",,,,,,,,,,,,,,,,0xFF01FE,
1518,"Drakil'jin Gongs",,,,,,,,,,,,,,,,0xFF01FE,
1519,"Marked Coldwind Tree",,,,,,,,,,,,,,,,0xFF01FE,
1520,"Center of the pit under the Surge Needle",,,,,,,,,,,,,,,,0xFF01FE,
1521,"depths below Vordrassil's remains.",,,,,,,,,,,,,,,,0xFF01FE,
1522,"depths below Vordrassil's Limb.",,,,,,,,,,,,,,,,0xFF01FE,
1523,"depths below Vordrassil's Tears.",,,,,,,,,,,,,,,,0xFF01FE,
1524,"Hansel Bauer",,,,,,,,,,,,,,,,0xFF01FE,
1525,"Grom'thar's Challenging Area",,,,,,,,,,,,,,,,0xFF01FE,
1526,"Wintergarde Gryphon Station",,,,,,,,,,,,,,,,0xFF01FE,
1527,"New Hearthglen Lumbermill",,,,,,,,,,,,,,,,0xFF01FE,
1528,"Vordrassil's Sapling",,,,,,,,,,,,,,,,0xFF01FE,
1529,"Basecamp",,,,,,,,,,,,,,,,0xFF01FE,
1530,"Obsidian Dragonshrine Exit Path",,,,,,,,,,,,,,,,0xFF01FE,
1531,"you to be standing next to Siege Engineer Quarterflash.",,,,,,,,,,,,,,,,0xFF01FE,
1532,"Necromantic Rune",,,,,,,,,,,,,,,,0xFF01FE,
1533,"you to be standing at one of the entrance points to Wintergarde Mine.",,,,,,,,,,,,,,,,0xFF01FE,
1534,"School of Northern Salmon",,,,,,,,,,,,,,,,0xFF01FE,
1535,"you to be standing in the center of the ruins at the Forgotten Shore.",,,,,,,,,,,,,,,,0xFF01FE,
1536,"you to be at the front of the Wintergarde Mausoleum.",,,,,,,,,,,,,,,,0xFF01FE,
1537,"Ruuna's Crystal Ball",,,,,,,,,,,,,,,,0xFF01FE,
1538,"Squire Percy",,,,,,,,,,,,,,,,0xFF01FE,
1539,"that you be closer to Alystros the Verdant Keeper",,,,,,,,,,,,,,,,0xFF01FE,
1540,"Frostmourne Altar",,,,,,,,,,,,,,,,0xFF01FE,
1541,"that you be on the sands of the Bronze Dragonshrine",,,,,,,,,,,,,,,,0xFF01FE,
1542,"Vrykul Hawk Roost",,,,,,,,,,,,,,,,0xFF01FE,
1543,"Scourged Mummy Fire",,,,,,,,,,,,,,,,0xFF01FE,
1544,"Drakkari Ritual Statue",,,,,,,,,,,,,,,,0xFF01FE,
1545,"Finklestein's Cauldron",,,,,,,,,,,,,,,,0xFF01FE,
1546,"Mistwhisper Weather Shrine",,,,,,,,,,,,,,,,0xFF01FE,
1547,"Offering Bowl",,,,,,,,,,,,,,,,0xFF01FE,
1548,"Drakkari Pedestal",,,,,,,,,,,,,,,,0xFF01FE,
1549,"Fallen Log",,,,,,,,,,,,,,,,0xFF01FE,
1550,"Ancient Dirt Mound",,,,,,,,,,,,,,,,0xFF01FE,
1551,"Nerubian Crater",,,,,,,,,,,,,,,,0xFF01FE,
1552,"Runeforge",,,,,,,,,,,,,,,,0xFF01FE,
1553,"Landing Pad",,,,,,,,,,,,,,,,0xFF01FE,
1554,"Scourgewagon",,,,,,,,,,,,,,,,0xFF01FE,
1555,"Quetz'lun's Corpse and that the Prophet of Quetz'lun be present and unengaged",,,,,,,,,,,,,,,,0xFF01FE,
1556,"Altar of Kartak",,,,,,,,,,,,,,,,0xFF01FE,
1557,"Great Lightning Stone",,,,,,,,,,,,,,,,0xFF01FE,
1558,"Warlord Zol'Maz present and unengaged in combat.",,,,,,,,,,,,,,,,0xFF01FE,
1559,"Top of the Suntouched Pillar",,,,,,,,,,,,,,,,0xFF01FE,
1560,"Convocation Summoning Circle",,,,,,,,,,,,,,,,0xFF01FE,
1561,"Soaked Fertile Dirt",,,,,,,,,,,,,,,,0xFF01FE,
1562,"Top of Sholazar Pillar",,,,,,,,,,,,,,,,0xFF01FE,
1563,"Top of the Glimmering Pillar",,,,,,,,,,,,,,,,0xFF01FE,
1564,"Exposed Lifeblood Pillar Crystal",,,,,,,,,,,,,,,,0xFF01FE,
1565,"Uzo Deathcaller",,,,,,,,,,,,,,,,0xFF01FE,
1566,"Archbishop Landgren's corpse and Lord-Commander Arete not be present",,,,,,,,,,,,,,,,0xFF01FE,
1567,"School of Tasty Reef Fish",,,,,,,,,,,,,,,,0xFF01FE,
1568,"Magmawyrm Resurrection Chamber",,,,,,,,,,,,,,,,0xFF01FE,
1569,"Frostgut's Altar",,,,,,,,,,,,,,,,0xFF01FE,
1570,"Garm Teleporter",,,,,,,,,,,,,,,,0xFF01FE,
1571,"Thane Ufrang the Mighty present and seated",,,,,,,,,,,,,,,,0xFF01FE,
1572,"Northern Ice Spike",,,,,,,,,,,,,,,,0xFF01FE,
1573,"Icy Crater",,,,,,,,,,,,,,,,0xFF01FE,
1574,"Vanguard Infirmary",,,,,,,,,,,,,,,,0xFF01FE,
1575,"Snowdrift",,,,,,,,,,,,,,,,0xFF01FE,
1576,"the Broodmother's Nest",,,,,,,,,,,,,,,,0xFF01FE,
