long,flags,flags,long,long,
1206,0x1,0x0,0,0,
1207,0x0,0x0,0,0,
1208,0x0,0x0,0,0,
1209,0x0,0x0,0,0,
1210,0x0,0x0,0,0,
1211,0x0,0x0,0,0,
1212,0x0,0x0,0,0,
1213,0x0,0x0,0,0,
1214,0x0,0x0,0,100,
1224,0x0,0x0,0,0,
1244,0x0,0x0,0,0,
1264,0x0,0x0,0,0,
1265,0x0,0x0,0,0,
1266,0x0,0x0,0,0,
1284,0x1,0x0,0,0,
1304,0x0,0x0,1,0,
1324,0x0,0x0,0,0,
1325,0x0,0x0,0,0,
1326,0x0,0x0,0,0,
1327,0x0,0x0,0,0,
1328,0x0,0x0,0,0,
1329,0x0,0x0,0,0,
1344,0x0,0x0,1,0,
1364,0x0,0x0,0,0,
1365,0x0,0x0,0,0,
1384,0x0,0x0,1,0,
1385,0x0,0x0,0,0,
1386,0x0,0x0,0,0,
1387,0x0,0x0,0,0,
1388,0x0,0x0,0,0,
1404,0x0,0x0,0,100,
1424,0x0,0x0,0,0,
1425,0x0,0x0,1,100,
1426,0x1,0x1,0,100,
1427,0x0,0x0,0,0,
1444,0x0,0x0,0,0,
1464,0x0,0x0,0,0,
1484,0x0,0x0,0,0,
1485,0x0,0x0,0,0,
1486,0x0,0x0,0,0,
1504,0x0,0x0,0,0,
1505,0x0,0x0,0,0,
1524,0x0,0x0,0,0,
1544,0x0,0x0,0,0,
1545,0x0,0x0,0,0,
1546,0x0,0x0,0,0,
1547,0x0,0x0,0,0,
1548,0x0,0x0,0,0,
1549,0x0,0x0,0,0,
1550,0x0,0x0,0,0,
1564,0x0,0x1,1,100,
1584,0x0,0x0,0,0,
1585,0x0,0x0,0,0,
1586,0x0,0x0,0,100,
1587,0x0,0x0,0,100,
1588,0x0,0x0,0,0,
1604,0x0,0x0,1,100,
1605,0x0,0x0,1,100,
1606,0x0,0x0,0,100,
1607,0x0,0x0,0,0,
1608,0x0,0x0,0,100,
1609,0x0,0x0,0,0,
1610,0x0,0x0,0,0,
1611,0x0,0x0,0,0,
1612,0x0,0x0,0,100,
1613,0x0,0x0,0,0,
1614,0x0,0x0,0,0,
1615,0x0,0x0,0,0,
1624,0x0,0x0,0,0,
1644,0x0,0x0,0,0,
1645,0x0,0x0,0,0,
1646,0x0,0x0,0,0,
1647,0x0,0x0,0,0,
1664,0x1,0x1,0,100,
1684,0x0,0x0,0,0,
1704,0x0,0x0,0,100,
1705,0x0,0x0,0,100,
1724,0x0,0x0,0,0,
1764,0x0,0x1,0,100,
1784,0x0,0x0,0,0,
1804,0x0,0x0,1,0,
1824,0x0,0x0,0,100,
1825,0x0,0x0,0,0,
1844,0x0,0x0,0,0,
1845,0x0,0x0,0,0,
1964,0x0,0x0,0,0,
1965,0x0,0x0,0,0,
1966,0x0,0x0,0,0,
1967,0x0,0x0,0,0,
1968,0x0,0x0,0,100,
1969,0x0,0x0,0,100,
1970,0x0,0x0,0,100,
1971,0x0,0x0,0,100,
1972,0x0,0x0,0,100,
1984,0x0,0x1,1,150,
2004,0x1,0x1,1,150,
2024,0x1,0x1,1,150,
2025,0x0,0x1,1,150,
2044,0x0,0x0,0,100,
2045,0x0,0x0,0,100,
2046,0x0,0x0,0,100,
2047,0x0,0x0,1,100,
2048,0x0,0x0,1,100,
2049,0x0,0x0,1,100,
2204,0x0,0x1,0,100,
2224,0x0,0x0,1,0,
2264,0x0,0x1,0,100,
2284,0x1,0x0,0,0,
2285,0x1,0x0,0,0,
2286,0x0,0x0,0,0,
2287,0x0,0x0,0,0,
2288,0x0,0x0,0,0,
2289,0x0,0x0,0,0,
2290,0x0,0x0,0,0,
2291,0x0,0x0,0,0,
2292,0x0,0x0,0,0,
2293,0x0,0x0,0,0,
2294,0x0,0x0,0,0,
2295,0x0,0x0,0,0,
2296,0x0,0x0,0,0,
2297,0x0,0x0,0,0,
2298,0x0,0x0,0,0,
2299,0x0,0x0,0,0,
2300,0x0,0x0,0,0,
2301,0x0,0x0,0,0,
2302,0x0,0x0,0,0,
2303,0x0,0x0,0,100,
2304,0x0,0x0,0,0,
2305,0x0,0x0,0,0,
2306,0x0,0x0,0,0,
2307,0x0,0x0,0,0,
2308,0x0,0x0,0,0,
2309,0x0,0x0,1,100,
2310,0x0,0x0,1,100,
2311,0x0,0x1,0,0,
2312,0x0,0x1,0,0,
2313,0x0,0x0,0,0,
2314,0x0,0x0,0,0,
2315,0x0,0x0,0,0,
2316,0x0,0x0,0,0,
2317,0x0,0x0,0,0,
2318,0x0,0x0,0,0,
2319,0x0,0x0,0,0,
2320,0x0,0x0,0,0,
2321,0x0,0x0,0,0,
2322,0x0,0x0,0,0,
2323,0x0,0x0,0,0,
2324,0x0,0x0,0,0,
2325,0x0,0x0,0,0,
2326,0x0,0x0,0,0,
2327,0x0,0x0,0,0,
2328,0x0,0x0,0,0,
2329,0x0,0x0,0,0,
2330,0x0,0x0,0,0,
2331,0x0,0x0,0,0,
2332,0x0,0x0,0,0,
2333,0x0,0x0,0,0,
2334,0x0,0x0,0,0,
2335,0x0,0x0,0,0,
2336,0x0,0x0,0,0,
2337,0x0,0x0,0,0,
2338,0x0,0x0,0,0,
2339,0x0,0x0,0,0,
2340,0x0,0x0,0,0,
2341,0x0,0x0,0,0,
2342,0x0,0x0,0,0,
2343,0x0,0x0,0,0,
2344,0x0,0x0,0,0,
2345,0x1,0x0,0,10,
2346,0x0,0x1,1,150,
2347,0x0,0x0,0,0,
2348,0x0,0x0,0,0,
2349,0x0,0x0,0,0,
2350,0x0,0x0,0,0,
2351,0x0,0x0,0,0,
2352,0x0,0x0,0,0,
2364,0x0,0x1,0,100,
2365,0x0,0x1,0,100,
2384,0x0,0x0,0,100,
2404,0x0,0x0,0,100,
2424,0x0,0x0,0,100,
2425,0x0,0x0,0,100,
2444,0x0,0x0,0,100,
2445,0x0,0x0,0,100,
2464,0x0,0x1,0,100,
2465,0x0,0x1,1,150,
2467,0x1,0x1,0,100,
2479,0xC,0xC,12,0,
2480,0xC,0xC,12,0,
2481,0xC,0xC,12,0,
2513,0x0,0x0,1,100,
