id;value
653;4335 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
701;10200 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
702;4760 Honor Points, 25 Alterac Valley Mark of Honor (ID = 20560)
746;8160 Honor Points, 40 Arathi Basin Mark of Honor (ID = 20559)
747;5100 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
748;8925 Honor Points, 40 Warsong Gulch Mark of Honor (ID = 20558)
774;1530 Honor Points, 10 Arathi Basin Mark of Honor (ID = 20559)
821;428 Honor Points, 40 Warsong Gulch Mark of Honor (ID = 20558)
822;65 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
823;65 Honor Points, 10 Warsong Gulch Mark of Honor (ID = 20558)
826;214 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
837;632 Honor Points, 40 Warsong Gulch Mark of Honor (ID = 20558)
838;95 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
839;95 Honor Points, 10 Warsong Gulch Mark of Honor (ID = 20558)
841;175 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
855;175 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
871;316 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
883;938 Honor Points, 40 Warsong Gulch Mark of Honor (ID = 20558)
884;141 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
885;141 Honor Points, 10 Warsong Gulch Mark of Honor (ID = 20558)
887;258 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
901;258 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
917;469 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
929;1387 Honor Points, 40 Warsong Gulch Mark of Honor (ID = 20558)
930;208 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
931;208 Honor Points, 10 Warsong Gulch Mark of Honor (ID = 20558)
933;382 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
947;382 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
968;694 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
986;208 Honor Points, 10 Arathi Basin Mark of Honor (ID = 20559)
989;422 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
990;624 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
1000;60 Arathi Basin Mark of Honor (ID = 20559)
1002;30 Alterac Valley Mark of Honor (ID = 20560)
1003;60 Alterac Valley Mark of Honor (ID = 20560)
1005;50 Alterac Valley Mark of Honor (ID = 20560)
1006;20 Alterac Valley Mark of Honor (ID = 20560), 20 Arathi Basin Mark of Honor (ID = 20559), 20 Warsong Gulch Mark of Honor (ID = 20558)
1007;3 Arathi Basin Mark of Honor (ID = 20559), 3 Warsong Gulch Mark of Honor (ID = 20558)
1009;60 Warsong Gulch Mark of Honor (ID = 20558)
1015;25 Badge of Justice (ID = 29434)
1027;41 Badge of Justice (ID = 29434)
1037;33 Badge of Justice (ID = 29434)
1040;50 Badge of Justice (ID = 29434)
1050;95 Honor Points, 10 Arathi Basin Mark of Honor (ID = 20559)
1054;258 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
1055;118 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
1061;20 Arathi Basin Mark of Honor (ID = 20559)
1062;20 Alterac Valley Mark of Honor (ID = 20560)
1076;20 Glowcap (ID = 24245)
1077;45 Glowcap (ID = 24245)
1110;30 Arathi Basin Mark of Honor (ID = 20559)
1111;30 Warsong Gulch Mark of Honor (ID = 20558)
1184;2 Holy Dust (ID = 29735)
1188;8 Holy Dust (ID = 29735)
1192;2 Arcane Rune (ID = 29736)
1196;8 Arcane Rune (ID = 29736)
1200;Chestguard of the Fallen Champion (ID = 29754)
1203;Gloves of the Fallen Champion (ID = 29757)
1206;Helm of the Fallen Champion (ID = 29760)
1209;Leggings of the Fallen Champion (ID = 29766)
1212;Pauldrons of the Fallen Champion (ID = 29763)
1215;Chestguard of the Fallen Hero (ID = 29755)
1216;Gloves of the Fallen Hero (ID = 29756)
1217;Helm of the Fallen Hero (ID = 29759)
1218;Leggings of the Fallen Hero (ID = 29765)
1219;Pauldrons of the Fallen Hero (ID = 29762)
1235;Chestguard of the Fallen Defender (ID = 29753)
1237;Gloves of the Fallen Defender (ID = 29758)
1239;Helm of the Fallen Defender (ID = 29761)
1241;Leggings of the Fallen Defender (ID = 29767)
1243;Pauldrons of the Fallen Defender (ID = 29764)
1332;Chestguard of the Vanquished Defender (ID = 30237)
1333;Gloves of the Vanquished Defender (ID = 30240)
1334;Helm of the Vanquished Defender (ID = 30243)
1335;Leggings of the Vanquished Defender (ID = 30246)
1336;Pauldrons of the Vanquished Defender (ID = 30249)
1342;Chestguard of the Vanquished Champion (ID = 30236)
1343;Gloves of the Vanquished Champion (ID = 30239)
1344;Helm of the Vanquished Champion (ID = 30242)
1345;Leggings of the Vanquished Champion (ID = 30245)
1346;Pauldrons of the Vanquished Champion (ID = 30248)
1357;Chestguard of the Vanquished Hero (ID = 30238)
1358;Gloves of the Vanquished Hero (ID = 30241)
1359;Helm of the Vanquished Hero (ID = 30244)
1360;Leggings of the Vanquished Hero (ID = 30247)
1361;Pauldrons of the Vanquished Hero (ID = 30250)
1431;1875 Arena Points, 1850 Arena Rating
1432;1125 Arena Points, 1850 Arena Rating
1435;1500 Arena Points, 2000 Arena Rating
1442;7905 Honor Points, 60 Warsong Gulch Mark of Honor (ID = 20558)
1452;20 Badge of Justice (ID = 29434)
1454;30 Badge of Justice (ID = 29434)
1468;8160 Honor Points, 60 Alterac Valley Mark of Honor (ID = 20560)
1474;Gloves of the Forgotten Protector (ID = 31094)
1476;Helm of the Forgotten Protector (ID = 31095)
1478;Chestguard of the Forgotten Protector (ID = 31091)
1480;Leggings of the Forgotten Protector (ID = 31100)
1482;Pauldrons of the Forgotten Protector (ID = 31103)
1485;Gloves of the Forgotten Conqueror (ID = 31092)
1488;Helm of the Forgotten Conqueror (ID = 31097)
1491;Chestguard of the Forgotten Conqueror (ID = 31089)
1494;Leggings of the Forgotten Conqueror (ID = 31098)
1497;Pauldrons of the Forgotten Conqueror (ID = 31101)
1520;Gloves of the Forgotten Vanquisher (ID = 31093)
1521;Helm of the Forgotten Vanquisher (ID = 31096)
1522;Chestguard of the Forgotten Vanquisher (ID = 31090)
1523;Leggings of the Forgotten Vanquisher (ID = 31099)
1524;Pauldrons of the Forgotten Vanquisher (ID = 31102)
1564;8 Honor Points
1565;5 Honor Points
1642;15 Badge of Justice (ID = 29434)
1645;Silken Thread (ID = 4291)
1646;100 Halaa Battle Token (ID = 26045), 20 Halaa Research Token (ID = 26044)
1647;70 Halaa Battle Token (ID = 26045), 15 Halaa Research Token (ID = 26044)
1648;2 Arathi Basin Mark of Honor (ID = 20559)
1649;2 Alterac Valley Mark of Honor (ID = 20560)
1652;2 Eye of the Storm Mark of Honor (ID = 29024)
1653;2 Warsong Gulch Mark of Honor (ID = 20558)
1664;3750 Arena Points
1670;2625 Arena Points, 1850 Arena Rating
1757;3150 Arena Points, 1850 Arena Rating
1758;1000 Arena Points
1765;2 Halaa Research Token (ID = 26044)
1909;10 Badge of Justice (ID = 29434)
1910;35 Apexis Shard (ID = 32569)
1911;17850 Honor Points, 40 Eye of the Storm Mark of Honor (ID = 29024)
1923;17850 Honor Points, 40 Arathi Basin Mark of Honor (ID = 20559)
1935;11794 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
1948;3 Apexis Shard (ID = 32569)
1949;2 Apexis Shard (ID = 32569)
1950;4 Apexis Crystal (ID = 32572), 100 Apexis Shard (ID = 32569)
1952;Apexis Crystal (ID = 32572), 50 Apexis Shard (ID = 32569)
1958;10 Apexis Shard (ID = 32569)
1959;Mark of the Illidari (ID = 32897)
1963;Coilfang Armaments (ID = 24368)
1973;40 Apexis Shard (ID = 32569)
1979;160 Apexis Shard (ID = 32569)
1981;4 Apexis Crystal (ID = 32572)
1985;3 Apexis Crystal (ID = 32572)
1992;2 Spirit Shard (ID = 28558)
1994;10 Glowcap (ID = 24245)
2028;15300 Honor Points, 10 Alterac Valley Mark of Honor (ID = 20560)
2049;75 Badge of Justice (ID = 29434)
2059;60 Badge of Justice (ID = 29434)
2060;35 Badge of Justice (ID = 29434)
2236;4 Halaa Research Token (ID = 26044)
2237;27000 Honor Points, 40 Alterac Valley Mark of Honor (ID = 20560)
2238;25200 Honor Points, 20 Eye of the Storm Mark of Honor (ID = 29024)
2239;18000 Honor Points, 20 Eye of the Storm Mark of Honor (ID = 29024)
2240;9000 Honor Points, 20 Eye of the Storm Mark of Honor (ID = 29024)
2241;8000 Honor Points, 10 Eye of the Storm Mark of Honor (ID = 29024)
2242;15000 Honor Points, 20 Eye of the Storm Mark of Honor (ID = 29024)
2248;11934 Honor Points, 10 Eye of the Storm Mark of Honor (ID = 29024)
2249;11424 Honor Points, 40 Arathi Basin Mark of Honor (ID = 20559)
2250;11424 Honor Points, 40 Eye of the Storm Mark of Honor (ID = 29024)
2251;7548 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
2252;9547 Honor Points, 10 Eye of the Storm Mark of Honor (ID = 29024)
2253;9547 Honor Points, 10 Alterac Valley Mark of Honor (ID = 20560)
2254;19125 Honor Points, 20 Eye of the Storm Mark of Honor (ID = 29024)
2255;12240 Honor Points, 20 Eye of the Storm Mark of Honor (ID = 29024)
2256;38250 Honor Points, 40 Alterac Valley Mark of Honor (ID = 20560)
2257;24480 Honor Points, 40 Alterac Valley Mark of Honor (ID = 20560)
2258;20655 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
2259;13219 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
2260;12622 Honor Points, 20 Alterac Valley Mark of Honor (ID = 20560)
2261;8078 Honor Points, 20 Alterac Valley Mark of Honor (ID = 20560)
2262;20081 Honor Points, 30 Alterac Valley Mark of Honor (ID = 20560)
2263;12852 Honor Points, 30 Alterac Valley Mark of Honor (ID = 20560)
2264;20081 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
2265;12852 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
2266;12622 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
2267;8078 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
2268;11794 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
2269;7548 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
2270;25500 Honor Points, 40 Alterac Valley Mark of Honor (ID = 20560)
2271;16320 Honor Points, 40 Alterac Valley Mark of Honor (ID = 20560)
2272;50 Apexis Shard (ID = 32569)
2273;600 Brewfest Prize Ticket (ID = 37829)
2274;50 Brewfest Prize Ticket (ID = 37829)
2275;100 Brewfest Prize Ticket (ID = 37829)
2276;200 Brewfest Prize Ticket (ID = 37829)
2277;10500 Honor Points, 20 Alterac Valley Mark of Honor (ID = 20560)
2278;11250 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
2279;14500 Honor Points, 30 Arathi Basin Mark of Honor (ID = 20559)
2280;14500 Honor Points, 30 Alterac Valley Mark of Honor (ID = 20560)
2281;14500 Honor Points, 30 Warsong Gulch Mark of Honor (ID = 20558)
2282;3750 Arena Points, 1850 Arena Rating
2283;1125 Arena Points
2284;3150 Arena Points
2285;1875 Arena Points
2286;1125 Arena Points
2287;2625 Arena Points
2288;1500 Arena Points
2289;30000 Honor Points, 40 Alterac Valley Mark of Honor (ID = 20560)
2290;19125 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
2291;12240 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
2292;Felfury Legplates (ID = 34180), Sunmote (ID = 34664)
2293;Legplates of the Holy Juggernaut (ID = 34167), Sunmote (ID = 34664)
2294;Chain Links of the Tumultuous Storm (ID = 34186), Sunmote (ID = 34664)
2295;Breeches of Natural Aggression (ID = 34169), Sunmote (ID = 34664)
2296;Leggings of the Immortal Night (ID = 34188), Sunmote (ID = 34664)
2297;Pantaloons of Calming Strife (ID = 34170), Sunmote (ID = 34664)
2298;Pauldrons of Perseverance (ID = 34192), Sunmote (ID = 34664)
2299;Spaulders of the Thalassian Savior (ID = 34193), Sunmote (ID = 34664)
2300;Equilibrium Epaulets (ID = 34208), Sunmote (ID = 34664)
2301;Spaulders of Reclamation (ID = 34209), Sunmote (ID = 34664)
2302;Shoulderpads of Vehemence (ID = 34195), Sunmote (ID = 34664)
2303;Shawl of Wonderment (ID = 34202), Sunmote (ID = 34664)
2304;Warharness of Reckless Fury (ID = 34215), Sunmote (ID = 34664)
2305;Heroic Judicator's Chestguard (ID = 34216), Sunmote (ID = 34664)
2306;Garments of Serene Shores (ID = 34229), Sunmote (ID = 34664)
2307;Harness of Carnal Instinct (ID = 34211), Sunmote (ID = 34664)
2308;Sunglow Vest (ID = 34212), Sunmote (ID = 34664)
2309;Robes of Faltered Light (ID = 34233), Sunmote (ID = 34664)
2310;Crown of Anasterian (ID = 34345), Sunmote (ID = 34664)
2311;Helm of Burning Righteousness (ID = 34243), Sunmote (ID = 34664)
2312;Cowl of Gul'dan (ID = 34332), Sunmote (ID = 34664)
2313;Cover of Ursol the Wise (ID = 34245), Sunmote (ID = 34664)
2314;Duplicitous Guise (ID = 34244), Sunmote (ID = 34664)
2315;Cowl of Light's Purity (ID = 34339), Sunmote (ID = 34664)
2316;Handguards of the Dawn (ID = 34342), Sunmote (ID = 34664)
2317;Tranquil Majesty Wraps (ID = 34351), Sunmote (ID = 34664)
2318;Shadowed Gauntlets of Paroxysm (ID = 34234), Sunmote (ID = 34664)
2319;Gauntlets of the Ancient Shadowmoon (ID = 34350), Sunmote (ID = 34664)
2320;Bracers of the Forgotten Conqueror (ID = 34848)
2321;Bracers of the Forgotten Vanquisher (ID = 34852)
2322;Belt of the Forgotten Protector (ID = 34854)
2323;Bracers of the Forgotten Protector (ID = 34851)
2324;Belt of the Forgotten Conqueror (ID = 34853)
2325;Belt of the Forgotten Vanquisher (ID = 34855)
2326;Boots of the Forgotten Conqueror (ID = 34856)
2327;Boots of the Forgotten Vanquisher (ID = 34858)
2328;Boots of the Forgotten Protector (ID = 34857)
2329;150 Badge of Justice (ID = 29434)
2330;125 Badge of Justice (ID = 29434)
2331;105 Badge of Justice (ID = 29434)
2332;45 Badge of Justice (ID = 29434)
2333;100 Badge of Justice (ID = 29434)
2334;1875 Arena Points, 1650 Arena Rating
2335;1125 Arena Points, 1550 Arena Rating
2336;1875 Arena Points, 1750 Arena Rating
2337;1875 Arena Points, 1600 Arena Rating
2338;1125 Arena Points, 1750 Arena Rating
2339;1000 Arena Points, 1750 Arena Rating
2340;2150 Arena Points, 1700 Arena Rating
2341;1110 Arena Points, 1700 Arena Rating
2342;1125 Arena Points
2343;675 Arena Points
2344;1575 Arena Points, 1700 Arena Rating
2345;675 Arena Points, 1700 Arena Rating
2346;1125 Arena Points, 1700 Arena Rating
2347;40 Badge of Justice (ID = 29434)
2348;2 Burning Blossom (ID = 23247)
2349;5 Burning Blossom (ID = 23247)
2350;20 Burning Blossom (ID = 23247)
2351;100 Burning Blossom (ID = 23247)
2352;200 Burning Blossom (ID = 23247)
2353;350 Burning Blossom (ID = 23247)
2354;1 Honor Points
2355;Borean Leather (ID = 33568)
2356;650 Arena Points, 1750 Arena Rating
2357;650 Arena Points
2358;1304 Arena Points, 1850 Arena Rating
2359;1500 Arena Points, 2200 Arena Rating
2360;3750 Arena Points, 2050 Arena Rating
2361;3150 Arena Points, 2050 Arena Rating
2362;2625 Arena Points, 2050 Arena Rating
2363;1125 Arena Points, 2050 Arena Rating
2364;1875 Arena Points, 2050 Arena Rating
2365;1875 Arena Points, 1700 Arena Rating
2366;1875 Arena Points, 1550 Arena Rating
2367;2250 Arena Points, 1800 Arena Rating
2368;1110 Arena Points, 1800 Arena Rating
2369;1575 Arena Points, 1800 Arena Rating
2370;1575 Arena Points, 1800 Arena Rating
2371;675 Arena Points, 1800 Arena Rating
2372;1125 Arena Points, 1800 Arena Rating
2373;1304 Arena Points, 1950 Arena Rating
2374;600 Arena Points
2375;650 Arena Points, 2050 Arena Rating
2376;4 Borean Leather (ID = 33568)
2377;3000 Arena Points, 1800 Arena Rating
2378;2520 Arena Points, 1800 Arena Rating
2379;900 Arena Points
2380;800 Arena Points
2381;2100 Arena Points, 1800 Arena Rating
2382;900 Arena Points, 1800 Arena Rating
2383;1500 Arena Points, 1800 Arena Rating
2384;1150 Arena Points, 1950 Arena Rating
2385;2520 Arena Points, 1800 Arena Rating
2386;3000 Arena Points, 1800 Arena Rating
2387;900 Arena Points
2388;800 Arena Points
2389;2100 Arena Points, 1800 Arena Rating
2390;900 Arena Points, 1800 Arena Rating
2391;1500 Arena Points, 1800 Arena Rating
2392;1200 Arena Points, 1950 Arena Rating
2393;650 Arena Points, 2050 Arena Rating
2394;200 Venture Coin (ID = 37836)
2395;200 Venture Coin (ID = 37836)
2396;120 Venture Coin (ID = 37836)
2397;200 Brewfest Prize Token (ID = 37829)
2398;2 Brewfest Prize Token (ID = 37829)
2399;20 Brewfest Prize Token (ID = 37829)
2400;17850 Honor Points, 40 Eye of the Storm Mark of Honor (ID = 29024), 1700 Arena Rating
2401;11794 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558), 1575 Arena Rating
2402;15300 Honor Points, 10 Alterac Valley Mark of Honor (ID = 20560), 1650 Arena Rating
2403;40000 Honor Points
2404;8000 Honor Points
2405;9199 Honor Points, 20 Warsong Gulch Mark of Honor (ID = 20558)
2406;13923 Honor Points, 40 Eye of the Storm Mark of Honor (ID = 29024)
2407;500 Ethereal Credit (ID = 38186)
2408;100 Ethereal Credit (ID = 38186)
2409;250 Ethereal Credit (ID = 38186)
2410;1000 Ethereal Credit (ID = 38186)
2411;50 Ethereal Credit (ID = 38186)
2412;25 Ethereal Credit (ID = 38186)
2413;Winterfin Clam (ID = 34597)
2414;50 Winterfin Clam (ID = 34597)
2415;30 Winterfin Clam (ID = 34597)
2416;5 Winterfin Clam (ID = 34597)
2417;20 Winterfin Clam (ID = 34597)
2418;100 Winterfin Clam (ID = 34597)
2419;60 Winterfin Clam (ID = 34597)
2420;30 Venture Coin (ID = 37836)
2421;70 Venture Coin (ID = 37836)
2422;50 Venture Coin (ID = 37836)
2423;800 Arena Points
2424;5 Brewfest Prize Token (ID = 37829)
2425;9500 Honor Points, 10 Alterac Valley Mark of Honor (ID = 20560)
2426;1250 Honor Points
2427;35000 Honor Points, 40 Alterac Valley Mark of Honor (ID = 20560)
2428;20000 Honor Points, 20 Arathi Basin Mark of Honor (ID = 20559)
2429;3 Dalaran Jewelcrafter's Token (ID = 41596)
2430;5 Dalaran Jewelcrafter's Token (ID = 41596)
2431;250 Arena Points
2432;400 Arena Points
2433;Dalaran Jewelcrafter's Token (ID = 41596)
2434;2 Dalaran Jewelcrafter's Token (ID = 41596)
2435;Alterac Valley Mark of Honor (ID = 20560), Arathi Basin Mark of Honor (ID = 20559), Eye of the Storm Mark of Honor (ID = 29024), Warsong Gulch Mark of Honor (ID = 20558), Strand of the Ancients Mark of Honor (ID = 42425)
2436;4 Dalaran Jewelcrafter's Token (ID = 41596)
2437;100 Oshu'gun Relic (ID = 25634)
2438;24000 Honor Points, 700 Arena Points
2439;20000 Honor Points, 575 Arena Points
2440;12000 Honor Points, 350 Arena Points
2441;7200 Honor Points, 200 Arena Points
2442;16800 Honor Points, 475 Arena Points
2443;7200 Honor Points, 200 Arena Points
2444;6400 Honor Points, 175 Arena Points
2445;9600 Honor Points, 275 Arena Points
2446;24800 Honor Points
2447;15800 Honor Points
2448;19000 Honor Points
2449;24000 Honor Points, 1400 Arena Points, 1705 Arena Rating
2450;20000 Honor Points, 1150 Arena Points, 1705 Arena Rating
2451;12000 Honor Points, 700 Arena Points, 1675 Arena Rating
2452;7200 Honor Points, 400 Arena Points, 1615 Arena Rating
2453;12000 Honor Points, 700 Arena Points, 1735 Arena Rating
2454;12000 Honor Points, 700 Arena Points, 1645 Arena Rating
2455;16800 Honor Points, 950 Arena Points, 1705 Arena Rating
2456;7200 Honor Points, 400 Arena Points, 1705 Arena Rating
2457;6400 Honor Points, 350 Arena Points, 1705 Arena Rating
2458;12000 Honor Points, 700 Arena Points, 1705 Arena Rating
2459;9600 Honor Points, 550 Arena Points, 1775 Arena Rating
2460;4500 Arena Points, 1930 Arena Rating
2461;3750 Arena Points, 1930Arena Rating
2462;2250 Arena Points, 1870 Arena Rating
2463;1350 Arena Points, 1750 Arena Rating
2464;2250 Arena Points, 1990 Arena Rating
2465;2250 Arena Points, 1810 Arena Rating
2466;3150 Arena Points, 1930 Arena Rating
2467;1350 Arena Points, 1930 Arena Rating
2468;1200 Arena Points, 1930 Arena Rating
2469;2250 Arena Points, 1930 Arena Rating
2470;1750 Arena Points, 2050 Arena Rating
2471;31000 Honor Points, 1630 Arena Rating
2472;31000 Honor Points, 1720 Arena Rating
2473;19700 Honor Points, 1660 Arena Rating
2474;23700 Honor Points, 1750 Arena Rating
2475;23700 Honor Points, 1600 Arena Rating
2476;23700 Honor Points, 1690 Arena Rating
2477;31000 Honor Points, 1800 Arena Rating
2478;3 Dalaran Cooking Award (ID = 43016)
2479;5 Dalaran Cooking Award (ID = 43016)
2480;Dalaran Cooking Award (ID = 43016)
2481;12 Stone Keeper's Shard (ID = 43228)
2482;24 Stone Keeper's Shard (ID = 43228)
2483;12 Honor Points
2484;10 Emblem of Heroism (ID = 40752)
2485;Chestguard of the Lost Vanquisher (ID = 40612)
2486;Gloves of the Lost Vanquisher (ID = 40615)
2487;Helm of the Lost Vanquisher (ID = 40618)
2488;Leggings of the Lost Vanquisher (ID = 40621)
2489;Spaulders of the Lost Vanquisher (ID = 40624)
2490;Helm of the Lost Conqueror (ID = 40616)
2491;Chestguard of the Lost Conqueror (ID = 40610)
2492;Leggings of the Lost Conqueror (ID = 40619)
2493;Spaulders of the Lost Conqueror (ID = 40622)
2494;Gloves of the Lost Conqueror (ID = 40613)
2495;Chestguard of the Lost Protector (ID = 40611)
2496;Gloves of the Lost Protector (ID = 40614)
2497;Helm of the Lost Protector (ID = 40617)
2498;Leggings of the Lost Protector (ID = 40620)
2499;Spaulders of the Lost Protector (ID = 40623)
2500;10 Relic of Ulduar (ID = 42780)
2501;2 Relic of Ulduar (ID = 42780)
2502;250 Relic of Ulduar (ID = 42780)
2503;Gauntlets of the Lost Conqueror (ID = 40628)
2504;Breastplate of the Lost Conqueror (ID = 40625)
2505;Crown of the Lost Conqueror (ID = 40631)
2506;Legplates of the Lost Conqueror (ID = 40634)
2507;Mantle of the Lost Conqueror (ID = 40637)
2508;Breastplate of the Lost Protector (ID = 40626)
2509;Crown of the Lost Protector (ID = 40632)
2510;Gauntlets of the Lost Protector (ID = 40629)
2511;Legplates of the Lost Protector (ID = 40635)
2512;Mantle of the Lost Protector (ID = 40638)
2513;Breastplate of the Lost Vanquisher (ID = 40627)
2514;Crown of the Lost Vanquisher (ID = 40633)
2515;Gauntlets of the Lost Vanquisher (ID = 40630)
2516;Legplates of the Lost Vanquisher (ID = 40636)
2517;Mantle of the Lost Vanquisher (ID = 40639)
2518;15 Necrotic Rune (ID = 22484)
2519;20 Necrotic Rune (ID = 22484)
2520;8 Necrotic Rune (ID = 22484)
