long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,flags,long,flags,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
263,-1,-1,0,"Ice the Frost Lord",,,,,,,,,,,,,,,,0xFF01FE,"Slay Ahune in the Slave Pens.",,,,,,,,,,,,,,,,0xFF01FE,161,0xA,1,0x0,94,"",,,,,,,,,,,,,,,,0xFF01EE,1,0,
273,-1,-1,0,"On Metzen!",,,,,,,,,,,,,,,,0xFF01FE,"Save Metzen the Reindeer.",,,,,,,,,,,,,,,,0xFF01FE,156,0xA,1,0x0,3703,"",,,,,,,,,,,,,,,,0xFF01EE,1,0,
319,-1,-1,0,"Duels won",,,,,,,,,,,,,,,,0xFF01FE,"Duels won",,,,,,,,,,,,,,,,0xFF01FE,154,0x0,1,0x1,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
321,-1,-1,0,"Total raid and dungeon deaths",,,,,,,,,,,,,,,,0xFF01FE,"Total raid and dungeon deaths",,,,,,,,,,,,,,,,0xFF01FE,125,0x0,1,0x9,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
328,-1,-1,0,"Total gold acquired",,,,,,,,,,,,,,,,0xFF01FE,"Total gold acquired",,,,,,,,,,,,,,,,0xFF01FE,140,0x0,1,0x9,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
344,-1,-1,0,"Bandages used",,,,,,,,,,,,,,,,0xFF01FE,"Bandages used",,,,,,,,,,,,,,,,0xFF01FE,145,0x0,1,0x9,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
349,-1,-1,0,"Flight paths taken",,,,,,,,,,,,,,,,0xFF01FE,"Flight paths taken",,,,,,,,,,,,,,,,0xFF01FE,134,0x0,1,0x1,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
377,-1,-1,0,"Most factions at Exalted",,,,,,,,,,,,,,,,0xFF01FE,"Most factions at Exalted",,,,,,,,,,,,,,,,0xFF01FE,147,0x0,1,0x1,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
397,-1,-1,0,"Step Into The Arena",,,,,,,,,,,,,,,,0xFF01FE,"Win a ranked arena match at level 80.",,,,,,,,,,,,,,,,0xFF01FE,165,0xA,1,0x0,3601,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
457,-1,-1,0,"Realm First! Level 80",,,,,,,,,,,,,,,,0xFF01FE,"First person on the realm to achieve level 80.",,,,,,,,,,,,,,,,0xFF01FE,81,0x0,1,0x100,3275,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
477,-1,574,0,"Utgarde Keep",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses in Utgarde Keep.",,,,,,,,,,,,,,,,0xFF01FE,14806,0xA,1,0x0,3226,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
489,-1,574,0,"Heroic: Utgarde Keep",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the Utgarde Keep bosses on Heroic Difficulty.",,,,,,,,,,,,,,,,0xFF01FE,14921,0xA,1,0x0,3225,"",,,,,,,,,,,,,,,,0xFF01EC,0,0,
503,-1,-1,0,"50 Quests Completed",,,,,,,,,,,,,,,,0xFF01FE,"Complete 50 quests.",,,,,,,,,,,,,,,,0xFF01FE,96,0xA,1,0x0,3421,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
522,-1,-1,0,"Somebody Likes Me",,,,,,,,,,,,,,,,0xFF01FE,"Raise a reputation to Exalted.",,,,,,,,,,,,,,,,0xFF01FE,201,0xA,1,0x0,3609,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
588,-1,-1,0,"Total Honorable Kills",,,,,,,,,,,,,,,,0xFF01FE,"Total Honorable Kills",,,,,,,,,,,,,,,,0xFF01FE,136,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
605,-1,-1,0,"A Coin of Ancestry",,,,,,,,,,,,,,,,0xFF01FE,"Receive a Coin of Ancestry.",,,,,,,,,,,,,,,,0xFF01FE,160,0xA,1,0x0,2717,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
625,-1,615,0,"Besting the Black Dragonflight (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Sartharion the Onyx Guardian in 25-player mode.",,,,,,,,,,,,,,,,0xFF01FE,14923,0x19,1,0x0,3255,"",,,,,,,,,,,,,,,,0xFF01EC,0,0,
629,-1,-1,0,"Ragefire Chasm",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Taragaman the Hungerer.",,,,,,,,,,,,,,,,0xFF01FE,14808,0xA,1,0x0,1983,"",,,,,,,,,,,,,,,,0xFF01EC,1,0,
647,-1,-1,0,"Hellfire Ramparts",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Omor the Unscarred.",,,,,,,,,,,,,,,,0xFF01FE,14805,0xA,1,0x0,3680,"",,,,,,,,,,,,,,,,0xFF01EE,1,0,
728,-1,-1,0,"Explore Durotar",,,,,,,,,,,,,,,,0xFF01FE,"Explore Durotar, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,0xFF01FE,14778,0xA,1,0x0,3532,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
763,0,-1,0,"The Burning Crusader",,,,,,,,,,,,,,,,0xFF01FE,"Raise all of The Burning Crusade dungeon reputations to exalted.",,,,,,,,,,,,,,,,0xFF01FE,14865,0x14,1,0x0,2365,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
776,-1,-1,0,"Explore Elwynn Forest",,,,,,,,,,,,,,,,0xFF01FE,"Explore Elwynn Forest, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,0xFF01FE,14777,0xA,1,0x0,3536,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
796,-1,-1,0,"Resurrected by priests",,,,,,,,,,,,,,,,0xFF01FE,"Resurrected by priests",,,,,,,,,,,,,,,,0xFF01FE,127,0x0,1,0x9,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
837,-1,-1,0,"Arenas won",,,,,,,,,,,,,,,,0xFF01FE,"Arenas won",,,,,,,,,,,,,,,,0xFF01FE,152,0x0,1,0x9,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
839,-1,-1,0,"Battlegrounds played",,,,,,,,,,,,,,,,0xFF01FE,"Battlegrounds played",,,,,,,,,,,,,,,,0xFF01FE,153,0x0,1,0x9,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
862,-1,-1,0,"Explore Hellfire Peninsula",,,,,,,,,,,,,,,,0xFF01FE,"Explore  Hellfire Peninsula, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,0xFF01FE,14779,0xA,1,0x0,3554,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
913,-1,-1,0,"To Honor One's Elders",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Lunar Festival achievements listed below.",,,,,,,,,,,,,,,,0xFF01FE,155,0x1E,1,0x0,3698,"Title Reward: Elder",,,,,,,,,,,,,,,,0xFF01FE,0,0,
927,-1,-1,0,"Equipped epic items in item slots",,,,,,,,,,,,,,,,0xFF01FE,"Equipped epic items in item slots",,,,,,,,,,,,,,,,0xFF01FE,191,0x0,1,0x21,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
932,-1,-1,0,"Total 5-player dungeons entered",,,,,,,,,,,,,,,,0xFF01FE,"Total 5-player dungeons entered",,,,,,,,,,,,,,,,0xFF01FE,14807,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
939,-1,-1,0,"Hills Like White Elekk",,,,,,,,,,,,,,,,0xFF01FE,"Complete all of Hemet Nesingwary quests in Nagrand up to and including The Ultimate Bloodsport.",,,,,,,,,,,,,,,,0xFF01FE,14862,0xA,1,0x0,2165,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
940,-1,-1,0,"The Green Hills of Stranglethorn",,,,,,,,,,,,,,,,0xFF01FE,"Complete all of Hemet Nesingwary quests in Stranglethorn Vale up to and including The Green Hills of Stranglethorn and Big Game Hunter.",,,,,,,,,,,,,,,,0xFF01FE,14861,0xA,1,0x0,916,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
946,-1,-1,0,"The Argent Dawn",,,,,,,,,,,,,,,,0xFF01FE,"Earn exalted status with the Argent Dawn.",,,,,,,,,,,,,,,,0xFF01FE,14864,0xF,1,0x0,1608,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
947,-1,-1,0,"The Argent Crusade",,,,,,,,,,,,,,,,0xFF01FE,"Earn exalted status with the Argent Crusade.",,,,,,,,,,,,,,,,0xFF01FE,14866,0xF,1,0x0,1672,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
972,-1,-1,0,"Trick or Treat!",,,,,,,,,,,,,,,,0xFF01FE,"Receive a handful of a candy from one of the Candy Buckets located in an inn.",,,,,,,,,,,,,,,,0xFF01FE,158,0xA,1,0x0,2652,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
1042,-1,-1,0,"Number of hugs",,,,,,,,,,,,,,,,0xFF01FE,"Number of hugs",,,,,,,,,,,,,,,,0xFF01FE,131,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
1057,-1,-1,0,"Deaths in 2v2",,,,,,,,,,,,,,,,0xFF01FE,"Deaths in 2v2",,,,,,,,,,,,,,,,0xFF01FE,123,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
1068,-1,542,0,"Keli'dan the Breaker kills (The Blood Furnace)",,,,,,,,,,,,,,,,0xFF01FE,"Keli'dan the Breaker kills (The Blood Furnace)",,,,,,,,,,,,,,,,0xFF01FE,14822,0x5,1,0x1,541,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
1091,-1,36,0,"Edwin VanCleef kills (Deadmines)",,,,,,,,,,,,,,,,0xFF01FE,"Edwin VanCleef kills (Deadmines)",,,,,,,,,,,,,,,,0xFF01FE,14821,0x5,1,0x1,2692,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
1149,-1,-1,0,"Talent tree respecs",,,,,,,,,,,,,,,,0xFF01FE,"Talent tree respecs",,,,,,,,,,,,,,,,0xFF01FE,130,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
1184,1,-1,0,"Strange Brew",,,,,,,,,,,,,,,,0xFF01FE,"Drink the Brewfest beers listed below.",,,,,,,,,,,,,,,,0xFF01FE,162,0xA,1,0x0,1780,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
1197,-1,-1,0,"Total kills",,,,,,,,,,,,,,,,0xFF01FE,"Total kills",,,,,,,,,,,,,,,,0xFF01FE,128,0x0,1,0x9,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
1199,-1,-1,0,"Professions learned",,,,,,,,,,,,,,,,0xFF01FE,"Professions learned",,,,,,,,,,,,,,,,0xFF01FE,132,0x0,1,0x21,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
1242,-1,574,0,"Ingvar the Plunderer kills (Utgarde Keep)",,,,,,,,,,,,,,,,0xFF01FE,"Ingvar the Plunderer kills (Utgarde Keep)",,,,,,,,,,,,,,,,0xFF01FE,14823,0x5,1,0x1,2813,"",,,,,,,,,,,,,,,,0x7DFF01EE,0,0,
1264,-1,-1,0,"Explore Borean Tundra",,,,,,,,,,,,,,,,0xFF01FE,"Explore Borean Tundra, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,0xFF01FE,14780,0xA,1,0x0,3330,"",,,,,,,,,,,,,,,,0x7DFF01EE,0,0,
1283,-1,-1,0,"Classic Dungeonmaster",,,,,,,,,,,,,,,,0xFF01FE,"Complete the classic dungeon achievements listed below.",,,,,,,,,,,,,,,,0xFF01FE,168,0xA,1,0x0,1949,"",,,,,,,,,,,,,,,,0x7DFF01EE,0,0,
1308,-1,607,0,"Strand of the Ancients Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Strand of the Ancients.",,,,,,,,,,,,,,,,0xFF01FE,14881,0xA,1,0x0,3402,"",,,,,,,,,,,,,,,,0x7DFF01EC,0,0,
1487,-1,-1,0,"Total Killing Blows",,,,,,,,,,,,,,,,0xFF01FE,"Total Killing Blows",,,,,,,,,,,,,,,,0xFF01FE,137,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0x7BFF01EC,0,0,
1501,-1,-1,0,"Total deaths from other players",,,,,,,,,,,,,,,,0xFF01FE,"Total deaths from other players",,,,,,,,,,,,,,,,0xFF01FE,21,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0x7DFF01EC,0,0,
1524,-1,-1,0,"Cooking skill",,,,,,,,,,,,,,,,0xFF01FE,"Cooking skill",,,,,,,,,,,,,,,,0xFF01FE,178,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0x7BFF01EC,0,0,
1527,-1,-1,0,"Highest Alchemy skill",,,,,,,,,,,,,,,,0xFF01FE,"Highest Alchemy skill",,,,,,,,,,,,,,,,0xFF01FE,173,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0x7BFF01EC,0,0,
1701,-1,-1,0,"Be Mine!",,,,,,,,,,,,,,,,0xFF01FE,"Eat the eight ""Bag of Candies"" heart candies listed below.",,,,,,,,,,,,,,,,0xFF01FE,187,0xA,1,0x0,3196,"",,,,,,,,,,,,,,,,0x7AFF01EC,0,0,
1717,-1,571,0,"Wintergrasp Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win the battle for Wintergrasp.",,,,,,,,,,,,,,,,0xFF01FE,14901,0xA,1,0x0,187,"",,,,,,,,,,,,,,,,0x7EFF01EC,0,0,
1791,-1,-1,0,"Home Alone",,,,,,,,,,,,,,,,0xFF01FE,"Use your Hearthstone while your orphan is with you.",,,,,,,,,,,,,,,,0xFF01FE,163,0xA,1,0x0,776,"",,,,,,,,,,,,,,,,0x7BFF01EC,0,0,
1876,-1,615,0,"Besting the Black Dragonflight (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Sartharion the Onyx Guardian in 10-player mode.",,,,,,,,,,,,,,,,0xFF01FE,14922,0xA,1,0x0,3254,"",,,,,,,,,,,,,,,,0x7EFF01EC,0,0,
2676,-1,-1,0,"I Found One!",,,,,,,,,,,,,,,,0xFF01FE,"Find a Brightly Colored Egg.",,,,,,,,,,,,,,,,0xFF01FE,159,0xA,1,0x0,3202,"",,,,,,,,,,,,,,,,0x7DFF01EC,0,0,
2756,-1,-1,0,"Argent Aspiration",,,,,,,,,,,,,,,,0xFF01FE,"Train to compete in the Argent Tournament by becoming an Aspirant for your race's faction.",,,,,,,,,,,,,,,,0xFF01FE,14941,0xA,1,0x0,3805,"",,,,,,,,,,,,,,,,0x7DFF01EC,1,0,
2856,-1,603,0,"Flame Leviathan kills (Ulduar 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Flame Leviathan kills (Ulduar 10 player)",,,,,,,,,,,,,,,,0xFF01FE,14963,0xA,1,0x1,1700,"",,,,,,,,,,,,,,,,0x7DFF01EC,0,0,
2886,-1,603,0,"The Siege of Ulduar (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses of The Siege area of Ulduar in 10-player mode.",,,,,,,,,,,,,,,,0xFF01FE,14961,0xA,1,0x0,3844,"",,,,,,,,,,,,,,,,0x7DFF01EC,0,0,
2887,-1,603,0,"The Siege of Ulduar (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses of The Siege area of Ulduar in 25-player mode.",,,,,,,,,,,,,,,,0xFF01FE,14962,0xA,1,0x0,3844,"",,,,,,,,,,,,,,,,0x7DFF01EC,0,0,
3579,-1,-1,0,"""FOOD FIGHT!""",,,,,,,,,,,,,,,,0xFF01FE,"Bounce food off a fellow feaster's head at a Bountiful Table.",,,,,,,,,,,,,,,,0xFF01FE,14981,0xA,1,0x0,456,"",,,,,,,,,,,,,,,,0xFFF7EE,1,0,
3776,-1,628,0,"Isle of Conquest Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Isle of Conquest.",,,,,,,,,,,,,,,,0xFF01FE,15003,0xA,1,0x0,4002,"",,,,,,,,,,,,,,,,0xFF1BFE,0,0,
3916,-1,-1,0,"Call of the Crusade (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat every boss in the Trial of the Crusader in 25-player mode.",,,,,,,,,,,,,,,,0xFF01FE,15002,0xA,1,0x0,3744,"",,,,,,,,,,,,,,,,0x8FFA9FC,0,0,
3917,-1,-1,0,"Call of the Crusade (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat every boss in the Trial of the Crusader in 10-player mode.",,,,,,,,,,,,,,,,0xFF01FE,15001,0xA,1,0x0,3744,"",,,,,,,,,,,,,,,,0x8FFA9EC,0,0,
4018,-1,-1,0,"Victories over Hunter Champion (Trial of the Champion)",,,,,,,,,,,,,,,,0xFF01FE,"Victories over Hunter Champion (Trial of the Champion)",,,,,,,,,,,,,,,,0xFF01FE,15021,0x0,1,0x1,1,"",,,,,,,,,,,,,,,,0xFF01EC,0,0,
4531,-1,631,0,"Storming the Citadel (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the first four bosses in Icecrown Citadel in 10-player mode.",,,,,,,,,,,,,,,,0xFF01FE,15041,0xA,1,0x0,4167,"",,,,,,,,,,,,,,,,0xFF01EC,0,0,
4604,-1,631,0,"Storming the Citadel (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the first four bosses in Icecrown Citadel in 25-player mode.",,,,,,,,,,,,,,,,0xFF01FE,15042,0xA,1,0x0,4167,"",,,,,,,,,,,,,,,,0xFF01FC,0,0,
4713,-1,-1,0,"Bronjahm kills (Forge of Souls)",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FC,15062,0x0,1,0x5,1,"",,,,,,,,,,,,,,,,0xFF01FC,0,0,
7,-1,-1,6,"Level 20",,,,,,,,,,,,,,,,0xFF01FE,"Reach level 20.",,,,,,,,,,,,,,,,0xFF01FE,92,0xA,2,0x4,3269,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
43,-1,-1,0,"Explore Kalimdor",,,,,,,,,,,,,,,,0xFF01FE,"Explore the regions of Kalimdor.",,,,,,,,,,,,,,,,0xFF01FE,97,0x19,2,0x0,3491,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
59,-1,529,0,"Deaths in Arathi Basin",,,,,,,,,,,,,,,,0xFF01FE,"Deaths in Arathi Basin",,,,,,,,,,,,,,,,0xFF01FE,124,0x0,2,0x1,1,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
95,-1,-1,0,"Average quests completed per day",,,,,,,,,,,,,,,,0xFF01FE,"Average quests completed per day",,,,,,,,,,,,,,,,0xFF01FE,133,0x0,2,0x49,0,"",,,,,,,,,,,,,,,,0xFF01EE,0,98,
122,-1,-1,121,"Expert Cook",,,,,,,,,,,,,,,,0xFF01FE,"Become an Expert Cook.",,,,,,,,,,,,,,,,0xFF01FE,170,0xA,2,0x0,1467,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
127,-1,-1,126,"Expert Fisherman",,,,,,,,,,,,,,,,0xFF01FE,"Become an Expert Fisherman.",,,,,,,,,,,,,,,,0xFF01FE,171,0xA,2,0x0,580,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
132,-1,-1,131,"Expert in First Aid",,,,,,,,,,,,,,,,0xFF01FE,"Become an Expert in first aid.",,,,,,,,,,,,,,,,0xFF01FE,172,0xA,2,0x0,504,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
155,-1,529,154,"Arathi Basin Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete 100 victories in Arathi Basin.",,,,,,,,,,,,,,,,0xFF01FE,14802,0xA,2,0x0,3382,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
167,-1,489,166,"Warsong Gulch Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete 100 victories in Warsong Gulch.",,,,,,,,,,,,,,,,0xFF01FE,14804,0xA,2,0x0,3388,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
209,-1,566,208,"Eye of the Storm Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete 100 victories in Eye of the Storm.",,,,,,,,,,,,,,,,0xFF01FE,14803,0xA,2,0x0,3385,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
219,-1,30,218,"Alterac Valley Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete 100 victories in Alterac Valley.",,,,,,,,,,,,,,,,0xFF01FE,14801,0xA,2,0x0,3378,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
252,-1,-1,0,"With a Little Helper from My Friends",,,,,,,,,,,,,,,,0xFF01FE,"Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.",,,,,,,,,,,,,,,,0xFF01FE,156,0xA,2,0x88,3679,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
260,-1,-1,0,"Charming",,,,,,,,,,,,,,,,0xFF01FE,"Create 12 Lovely Charm Bracelets.",,,,,,,,,,,,,,,,0xFF01FE,187,0xA,2,0x0,4134,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
271,-1,-1,0,"Burning Hot Pole Dance",,,,,,,,,,,,,,,,0xFF01FE,"Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.",,,,,,,,,,,,,,,,0xFF01FE,161,0xA,2,0x0,3262,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
288,-1,-1,0,"Out With It",,,,,,,,,,,,,,,,0xFF01FE,"Eat so many Tricky Treats that you get an upset tummy.",,,,,,,,,,,,,,,,0xFF01FE,158,0xA,2,0x0,97,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
318,-1,-1,0,"Total deaths from opposite faction",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,0xFF01FE,21,0x0,2,0x1,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
320,-1,-1,0,"Duels lost",,,,,,,,,,,,,,,,0xFF01FE,"Duels lost",,,,,,,,,,,,,,,,0xFF01FE,154,0x0,2,0x1,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
342,-1,-1,0,"Epic items acquired",,,,,,,,,,,,,,,,0xFF01FE,"Epic items acquired",,,,,,,,,,,,,,,,0xFF01FE,191,0x0,2,0x1,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
378,-1,-1,0,"Most factions at Revered or higher",,,,,,,,,,,,,,,,0xFF01FE,"Most factions at Revered or higher",,,,,,,,,,,,,,,,0xFF01FE,147,0x0,2,0x1,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
381,-1,-1,0,"World Honorable Kills",,,,,,,,,,,,,,,,0xFF01FE,"World Honorable Kills",,,,,,,,,,,,,,,,0xFF01FE,136,0x0,2,0x9,4,"",,,,,,,,,,,,,,,,0xFF01EE,0,0,
